ortholog_1 gene-HOLleu_00014 AFI21291.1
ortholog_103 gene-HOLleu_01385 AFI20986.1
ortholog_104 gene-HOLleu_01387 AFI02087.1
ortholog_105 gene-HOLleu_01400 AFI20991.1
ortholog_106 gene-HOLleu_01401 AFI21226.1
ortholog_107 gene-HOLleu_01403 AFI10884.1
ortholog_108 gene-HOLleu_01404 AFI20019.1
ortholog_109 gene-HOLleu_01405 AFI10891.1
ortholog_110 gene-HOLleu_01406 AFI18051.1
ortholog_111 gene-HOLleu_01416 AFI22043.1
ortholog_112 gene-HOLleu_01425 AFI20314.1
ortholog_113 gene-HOLleu_01437 AFI02851.1
ortholog_114 gene-HOLleu_01455 AFI20532.1
ortholog_115 gene-HOLleu_01456 AFI05706.1
ortholog_116 gene-HOLleu_01460 AFI18741.1
ortholog_117 gene-HOLleu_01473 AFI19161.1
ortholog_118 gene-HOLleu_01482 AFI13952.1
ortholog_119 gene-HOLleu_01499 AFI15735.1
ortholog_120 gene-HOLleu_01512 AFI28944.1
ortholog_121 gene-HOLleu_01531 AFI08542.1
ortholog_122 gene-HOLleu_01563 AFI29509.1
ortholog_123 gene-HOLleu_01569 AFI22630.1
ortholog_124 gene-HOLleu_01570 AFI03405.2
ortholog_125 gene-HOLleu_01572 AFI02758.1
ortholog_126 gene-HOLleu_01590 AFI19614.1
ortholog_127 gene-HOLleu_01607 AFI00382.1
ortholog_128 gene-HOLleu_01693 AFI33669.1
ortholog_129 gene-HOLleu_01694 AFI02565.1
ortholog_130 gene-HOLleu_01697 AFI25198.1
ortholog_131 gene-HOLleu_01703 AFI26305.1
ortholog_132 gene-HOLleu_01704 AFI04038.1
ortholog_133 gene-HOLleu_01722 AFI18090.3
ortholog_134 gene-HOLleu_01732 AFI14412.1
ortholog_135 gene-HOLleu_01756 AFI20936.1
ortholog_136 gene-HOLleu_01772 AFI01648.1
ortholog_137 gene-HOLleu_01800 AFI20461.1
ortholog_138 gene-HOLleu_01803 AFI13593.1
ortholog_139 gene-HOLleu_01836 AFI32866.1
ortholog_140 gene-HOLleu_01837 AFI20843.1
ortholog_141 gene-HOLleu_01860 AFI30305.1
ortholog_142 gene-HOLleu_01917 AFI05484.1
ortholog_143 gene-HOLleu_01940 AFI07973.1
ortholog_144 gene-HOLleu_01980 AFI14233.1
ortholog_145 gene-HOLleu_01984 AFI09648.1
ortholog_146 gene-HOLleu_01985 AFI05247.2
ortholog_147 gene-HOLleu_02013 AFI02759.1
ortholog_148 gene-HOLleu_02015 AFI02349.1
ortholog_149 gene-HOLleu_02017 AFI14262.1
ortholog_150 gene-HOLleu_02022 AFI09560.1
ortholog_151 gene-HOLleu_02047 AFI29697.1
ortholog_152 gene-HOLleu_02060 AFI17547.1
ortholog_153 gene-HOLleu_02071 AFI21127.1
ortholog_154 gene-HOLleu_02075 AFI20161.1
ortholog_155 gene-HOLleu_02077 AFI20330.1
ortholog_156 gene-HOLleu_02097 AFI04971.1
ortholog_157 gene-HOLleu_02099 AFI09363.1
ortholog_158 gene-HOLleu_02119 AFI20734.1
ortholog_159 gene-HOLleu_02124 AFI19571.1
ortholog_160 gene-HOLleu_02145 AFI17737.1
ortholog_161 gene-HOLleu_02157 AFI21359.1
ortholog_162 gene-HOLleu_02165 AFI21328.2
ortholog_163 gene-HOLleu_02167 AFI32928.1
ortholog_164 gene-HOLleu_02171 AFI18189.1
ortholog_165 gene-HOLleu_02192 AFI13737.1
ortholog_166 gene-HOLleu_02194 AFI14207.1
ortholog_167 gene-HOLleu_02207 AFI05592.1
ortholog_168 gene-HOLleu_02242 AFI02674.1
ortholog_169 gene-HOLleu_02243 AFI03146.1
ortholog_170 gene-HOLleu_02246 AFI14096.1
ortholog_171 gene-HOLleu_02253 AFI19850.1
ortholog_172 gene-HOLleu_02259 AFI22392.1
ortholog_173 gene-HOLleu_02264 AFI24174.1
ortholog_174 gene-HOLleu_02271 AFI24326.1
ortholog_175 gene-HOLleu_02280 AFI19814.1
ortholog_176 gene-HOLleu_02282 AFI13758.1
ortholog_177 gene-HOLleu_02286 AFI07117.3
ortholog_178 gene-HOLleu_02299 AFI15635.1
ortholog_179 gene-HOLleu_02345 AFI24345.1
ortholog_180 gene-HOLleu_02356 AFI04519.1
ortholog_181 gene-HOLleu_02384 AFI14719.1
ortholog_182 gene-HOLleu_02434 AFI06795.1
ortholog_183 gene-HOLleu_02449 AFI05337.1
ortholog_184 gene-HOLleu_02473 AFI02446.1
ortholog_185 gene-HOLleu_02477 AFI03037.1
ortholog_186 gene-HOLleu_02478 AFI03238.1
ortholog_187 gene-HOLleu_02479 AFI02085.1
ortholog_188 gene-HOLleu_02483 AFI02590.1
ortholog_189 gene-HOLleu_02484 AFI02608.1
ortholog_190 gene-HOLleu_02514 AFI23854.1
ortholog_191 gene-HOLleu_02516 AFI02537.1
ortholog_192 gene-HOLleu_02539 AFI26978.1
ortholog_193 gene-HOLleu_02553 AFI19894.1
ortholog_194 gene-HOLleu_02557 AFI16284.1
ortholog_195 gene-HOLleu_02565 AFI21463.1
ortholog_196 gene-HOLleu_02577 AFI27341.1
ortholog_197 gene-HOLleu_02605 AFI14258.1
ortholog_198 gene-HOLleu_02611 AFI02977.1
ortholog_199 gene-HOLleu_02619 AFI19965.1
ortholog_200 gene-HOLleu_02621 AFI19948.1
ortholog_201 gene-HOLleu_02626 AFI19990.1
ortholog_202 gene-HOLleu_02629 AFI21197.1
ortholog_203 gene-HOLleu_02643 AFI02237.1
ortholog_204 gene-HOLleu_02646 AFI20251.1
ortholog_205 gene-HOLleu_02652 AFI13638.1
ortholog_206 gene-HOLleu_02653 AFI13730.1
ortholog_207 gene-HOLleu_02660 AFI20451.2
ortholog_208 gene-HOLleu_02663 AFI01499.1
ortholog_209 gene-HOLleu_02669 AFI03464.2
ortholog_210 gene-HOLleu_02675 AFI14094.1
ortholog_211 gene-HOLleu_02688 AFI20902.3
ortholog_212 gene-HOLleu_02690 AFI20893.1
ortholog_213 gene-HOLleu_02691 AFI20249.1
ortholog_214 gene-HOLleu_02695 AFI18144.1
ortholog_215 gene-HOLleu_02697 AFI13510.1
ortholog_216 gene-HOLleu_02719 AFI24378.1
ortholog_217 gene-HOLleu_02720 AFI31988.1
ortholog_218 gene-HOLleu_02730 AFI20057.1
ortholog_219 gene-HOLleu_02732 AFI26603.1
ortholog_220 gene-HOLleu_02745 AFI12968.1
ortholog_221 gene-HOLleu_02770 AFI14064.1
ortholog_222 gene-HOLleu_02805 AFI18698.1
ortholog_223 gene-HOLleu_02848 AFI20088.1
ortholog_224 gene-HOLleu_02852 AFI02150.1
ortholog_225 gene-HOLleu_02855 AFI21238.1
ortholog_226 gene-HOLleu_02862 AFI22877.1
ortholog_227 gene-HOLleu_02908 AFI10118.1
ortholog_228 gene-HOLleu_02911 AFI20852.1
ortholog_229 gene-HOLleu_02914 AFI20618.1
ortholog_230 gene-HOLleu_02988 AFI22694.1
ortholog_231 gene-HOLleu_03001 AFI06750.1
ortholog_232 gene-HOLleu_03005 AFI31927.2
ortholog_233 gene-HOLleu_03027 AFI20995.1
ortholog_234 gene-HOLleu_03053 AFI25429.1
ortholog_235 gene-HOLleu_03056 AFI24932.1
ortholog_236 gene-HOLleu_03075 AFI11958.1
ortholog_237 gene-HOLleu_03080 AFI05344.1
ortholog_238 gene-HOLleu_03082 AFI11465.1
ortholog_239 gene-HOLleu_03133 AFI22861.1
ortholog_240 gene-HOLleu_03183 AFI21289.1
ortholog_241 gene-HOLleu_03201 AFI08139.1
ortholog_242 gene-HOLleu_03226 AFI31898.1
ortholog_243 gene-HOLleu_03227 AFI30340.1
ortholog_244 gene-HOLleu_03245 AFI21035.1
ortholog_245 gene-HOLleu_03300 AFI06072.1
ortholog_246 gene-HOLleu_03358 AFI05736.1
ortholog_247 gene-HOLleu_03397 AFI13622.1
ortholog_248 gene-HOLleu_03436 AFI06801.1
ortholog_249 gene-HOLleu_03459 AFI20381.1
ortholog_250 gene-HOLleu_03460 AFI03130.3
ortholog_251 gene-HOLleu_03461 AFI02318.1
ortholog_252 gene-HOLleu_03482 AFI16378.1
ortholog_253 gene-HOLleu_03542 AFI32308.1
ortholog_254 gene-HOLleu_03560 AFI20047.1
ortholog_255 gene-HOLleu_03564 AFI21074.1
ortholog_256 gene-HOLleu_03566 AFI20164.1
ortholog_257 gene-HOLleu_03567 AFI13966.1
ortholog_258 gene-HOLleu_03570 AFI20680.1
ortholog_259 gene-HOLleu_03606 AFI20769.1
ortholog_260 gene-HOLleu_03625 AFI18949.1
ortholog_261 gene-HOLleu_03626 AFI21089.1
ortholog_262 gene-HOLleu_03628 AFI01747.2
ortholog_263 gene-HOLleu_03634 AFI13209.1
ortholog_264 gene-HOLleu_03636 AFI19933.1
ortholog_265 gene-HOLleu_03643 AFI05485.1
ortholog_266 gene-HOLleu_03712 AFI21116.1
ortholog_267 gene-HOLleu_03714 AFI12548.1
ortholog_268 gene-HOLleu_03749 AFI21044.1
ortholog_269 gene-HOLleu_03814 AFI13825.1
ortholog_270 gene-HOLleu_03815 AFI22424.1
ortholog_271 gene-HOLleu_03816 AFI16412.2
ortholog_272 gene-HOLleu_03825 AFI14223.1
ortholog_273 gene-HOLleu_03835 AFI04973.1
ortholog_274 gene-HOLleu_03848 AFI31091.1
ortholog_275 gene-HOLleu_03863 AFI07935.1
ortholog_276 gene-HOLleu_03864 AFI13929.1
ortholog_277 gene-HOLleu_03874 AFI00077.1
ortholog_278 gene-HOLleu_03882 AFI09178.1
ortholog_279 gene-HOLleu_03917 AFI31748.1
ortholog_280 gene-HOLleu_03949 AFI08040.1
ortholog_281 gene-HOLleu_03960 AFI12659.1
ortholog_282 gene-HOLleu_03975 AFI02840.1
ortholog_283 gene-HOLleu_03985 AFI10894.1
ortholog_284 gene-HOLleu_03988 AFI13404.1
ortholog_285 gene-HOLleu_04004 AFI15398.1
ortholog_286 gene-HOLleu_04005 AFI03433.2
ortholog_287 gene-HOLleu_04007 AFI03195.1
ortholog_288 gene-HOLleu_04009 AFI03416.1
ortholog_289 gene-HOLleu_04010 AFI20822.1
ortholog_290 gene-HOLleu_04011 AFI20905.1
ortholog_291 gene-HOLleu_04019 AFI20417.1
ortholog_292 gene-HOLleu_04025 AFI03232.1
ortholog_293 gene-HOLleu_04053 AFI20090.1
ortholog_294 gene-HOLleu_04066 AFI17344.1
ortholog_295 gene-HOLleu_04071 AFI02494.1
ortholog_296 gene-HOLleu_04072 AFI02921.1
ortholog_297 gene-HOLleu_04073 AFI02066.1
ortholog_298 gene-HOLleu_04116 AFI03379.1
ortholog_299 gene-HOLleu_04129 AFI00925.1
ortholog_300 gene-HOLleu_04156 AFI19854.2
ortholog_301 gene-HOLleu_04165 AFI03978.1
ortholog_302 gene-HOLleu_04167 AFI22317.1
ortholog_303 gene-HOLleu_04169 AFI19217.1
ortholog_304 gene-HOLleu_04189 AFI10881.1
ortholog_305 gene-HOLleu_04190 AFI02683.1
ortholog_306 gene-HOLleu_04195 AFI13476.1
ortholog_307 gene-HOLleu_04199 AFI21047.2
ortholog_308 gene-HOLleu_04203 AFI03821.1
ortholog_309 gene-HOLleu_04238 AFI12107.1
ortholog_310 gene-HOLleu_04268 AFI32484.1
ortholog_311 gene-HOLleu_04285 AFI03882.1
ortholog_312 gene-HOLleu_04287 AFI18638.1
ortholog_313 gene-HOLleu_04331 AFI08850.1
ortholog_314 gene-HOLleu_04333 AFI13186.1
ortholog_315 gene-HOLleu_04339 AFI02500.1
ortholog_316 gene-HOLleu_04341 AFI20604.1
ortholog_317 gene-HOLleu_04347 AFI08797.1
ortholog_318 gene-HOLleu_04363 AFI06374.1
ortholog_319 gene-HOLleu_04378 AFI21304.1
ortholog_320 gene-HOLleu_04381 AFI19977.1
ortholog_321 gene-HOLleu_04395 AFI13315.1
ortholog_322 gene-HOLleu_04460 AFI20169.1
ortholog_323 gene-HOLleu_04466 AFI25951.1
ortholog_324 gene-HOLleu_04470 AFI03215.3
ortholog_325 gene-HOLleu_04472 AFI02190.1
ortholog_326 gene-HOLleu_04476 AFI02613.1
ortholog_327 gene-HOLleu_04509 AFI26187.1
ortholog_328 gene-HOLleu_04525 AFI03154.1
ortholog_329 gene-HOLleu_04539 AFI16296.1
ortholog_330 gene-HOLleu_04552 AFI20520.1
ortholog_331 gene-HOLleu_04563 AFI06515.1
ortholog_332 gene-HOLleu_04576 AFI19927.3
ortholog_333 gene-HOLleu_04578 AFI13438.1
ortholog_334 gene-HOLleu_04606 AFI20199.1
ortholog_335 gene-HOLleu_04607 AFI14102.1
ortholog_336 gene-HOLleu_04680 AFI08700.1
ortholog_337 gene-HOLleu_04689 AFI14068.1
ortholog_338 gene-HOLleu_04722 AFI13757.1
ortholog_339 gene-HOLleu_04759 AFI02154.1
ortholog_340 gene-HOLleu_04776 AFI02273.1
ortholog_341 gene-HOLleu_04786 AFI06639.2
ortholog_342 gene-HOLleu_04792 AFI17594.1
ortholog_343 gene-HOLleu_04794 AFI16826.2
ortholog_344 gene-HOLleu_04795 AFI18034.1
ortholog_345 gene-HOLleu_04804 AFI16935.2
ortholog_346 gene-HOLleu_04813 AFI02769.1
ortholog_347 gene-HOLleu_04814 AFI16523.1
ortholog_348 gene-HOLleu_04815 AFI17792.1
ortholog_349 gene-HOLleu_04821 AFI06740.1
ortholog_350 gene-HOLleu_04822 AFI07213.2
ortholog_351 gene-HOLleu_04846 AFI17560.1
ortholog_352 gene-HOLleu_04850 AFI16769.1
ortholog_353 gene-HOLleu_04851 AFI12733.1
ortholog_354 gene-HOLleu_04860 AFI10795.1
ortholog_355 gene-HOLleu_04861 AFI16830.1
ortholog_356 gene-HOLleu_04862 AFI20564.1
ortholog_357 gene-HOLleu_04863 AFI18285.1
ortholog_358 gene-HOLleu_04866 AFI17437.1
ortholog_359 gene-HOLleu_04867 AFI17669.1
ortholog_360 gene-HOLleu_04872 AFI17914.1
ortholog_361 gene-HOLleu_04874 AFI18207.1
ortholog_362 gene-HOLleu_04876 AFI16363.1
ortholog_363 gene-HOLleu_04879 AFI16549.1
ortholog_364 gene-HOLleu_04882 AFI17215.1
ortholog_365 gene-HOLleu_04883 AFI17465.1
ortholog_366 gene-HOLleu_04884 AFI17295.1
ortholog_367 gene-HOLleu_04885 AFI16884.1
ortholog_368 gene-HOLleu_04892 AFI18021.1
ortholog_369 gene-HOLleu_04896 AFI18070.1
ortholog_370 gene-HOLleu_04899 AFI18376.1
ortholog_371 gene-HOLleu_04900 AFI17189.1
ortholog_372 gene-HOLleu_04907 AFI03604.1
ortholog_373 gene-HOLleu_04908 AFI17698.1
ortholog_374 gene-HOLleu_04910 AFI17031.1
ortholog_375 gene-HOLleu_04924 AFI29308.1
ortholog_376 gene-HOLleu_04933 AFI07186.1
ortholog_377 gene-HOLleu_04934 AFI06865.1
ortholog_378 gene-HOLleu_04936 AFI09759.1
ortholog_379 gene-HOLleu_04942 AFI07076.1
ortholog_380 gene-HOLleu_04957 AFI17537.1
ortholog_381 gene-HOLleu_04963 AFI01084.1
ortholog_382 gene-HOLleu_04967 AFI21943.1
ortholog_383 gene-HOLleu_04973 AFI05066.1
ortholog_384 gene-HOLleu_04974 AFI22139.1
ortholog_385 gene-HOLleu_04975 AFI16662.4
ortholog_386 gene-HOLleu_04979 AFI07460.1
ortholog_387 gene-HOLleu_04987 AFI16395.1
ortholog_388 gene-HOLleu_04992 AFI17134.1
ortholog_389 gene-HOLleu_04993 AFI22036.3
ortholog_390 gene-HOLleu_04994 AFI16861.1
ortholog_391 gene-HOLleu_04995 AFI17789.1
ortholog_392 gene-HOLleu_04998 AFI26204.1
ortholog_393 gene-HOLleu_05003 AFI17287.1
ortholog_394 gene-HOLleu_05005 AFI16866.1
ortholog_395 gene-HOLleu_05006 AFI17590.1
ortholog_396 gene-HOLleu_05008 AFI17620.1
ortholog_397 gene-HOLleu_05009 AFI16782.1
ortholog_398 gene-HOLleu_05011 AFI18065.1
ortholog_399 gene-HOLleu_05013 AFI16414.1
ortholog_400 gene-HOLleu_05014 AFI16979.1
ortholog_401 gene-HOLleu_05020 AFI16443.1
ortholog_402 gene-HOLleu_05021 AFI18109.2
ortholog_403 gene-HOLleu_05026 AFI26164.1
ortholog_404 gene-HOLleu_05027 AFI14318.1
ortholog_405 gene-HOLleu_05028 AFI16960.1
ortholog_406 gene-HOLleu_05029 AFI18368.1
ortholog_407 gene-HOLleu_05032 AFI16868.1
ortholog_408 gene-HOLleu_05035 AFI17822.1
ortholog_409 gene-HOLleu_05036 AFI17346.1
ortholog_410 gene-HOLleu_05039 AFI17824.1
ortholog_411 gene-HOLleu_05041 AFI05399.1
ortholog_412 gene-HOLleu_05042 AFI07470.1
ortholog_413 gene-HOLleu_05046 AFI17345.4
ortholog_414 gene-HOLleu_05049 AFI17186.2
ortholog_415 gene-HOLleu_05051 AFI18193.1
ortholog_416 gene-HOLleu_05052 AFI17623.1
ortholog_417 gene-HOLleu_05056 AFI16740.1
ortholog_418 gene-HOLleu_05066 AFI17781.1
ortholog_419 gene-HOLleu_05070 AFI01933.1
ortholog_420 gene-HOLleu_05069 AFI16648.2
ortholog_421 gene-HOLleu_05071 AFI06722.1
ortholog_422 gene-HOLleu_05073 AFI17709.10
ortholog_423 gene-HOLleu_05082 AFI18073.1
ortholog_424 gene-HOLleu_05083 AFI21518.2
ortholog_425 gene-HOLleu_05086 AFI22470.1
ortholog_426 gene-HOLleu_05089 AFI17466.1
ortholog_427 gene-HOLleu_05094 AFI03925.1
ortholog_428 gene-HOLleu_05096 AFI16757.1
ortholog_429 gene-HOLleu_05112 AFI16971.2
ortholog_430 gene-HOLleu_05113 AFI22256.1
ortholog_431 gene-HOLleu_05114 AFI16766.2
ortholog_432 gene-HOLleu_05115 AFI07154.1
ortholog_433 gene-HOLleu_05116 AFI21962.1
ortholog_434 gene-HOLleu_05117 AFI17559.1
ortholog_435 gene-HOLleu_05122 AFI33358.1
ortholog_436 gene-HOLleu_05123 AFI18301.1
ortholog_437 gene-HOLleu_05124 AFI17332.1
ortholog_438 gene-HOLleu_05133 AFI13092.1
ortholog_439 gene-HOLleu_05134 AFI13444.1
ortholog_440 gene-HOLleu_05142 AFI20239.1
ortholog_441 gene-HOLleu_05152 AFI17749.2
ortholog_442 gene-HOLleu_05178 AFI18017.1
ortholog_443 gene-HOLleu_05179 AFI07761.1
ortholog_444 gene-HOLleu_05181 AFI07310.1
ortholog_445 gene-HOLleu_05184 AFI17582.1
ortholog_446 gene-HOLleu_05186 AFI17008.1
ortholog_447 gene-HOLleu_05187 AFI17913.1
ortholog_448 gene-HOLleu_05188 AFI17130.1
ortholog_449 gene-HOLleu_05190 AFI17826.2
ortholog_450 gene-HOLleu_05191 AFI16759.1
ortholog_451 gene-HOLleu_05195 AFI17716.1
ortholog_452 gene-HOLleu_05196 AFI18336.1
ortholog_453 gene-HOLleu_05198 AFI24783.1
ortholog_454 gene-HOLleu_05202 AFI16787.1
ortholog_455 gene-HOLleu_05206 AFI07514.1
ortholog_456 gene-HOLleu_05207 AFI14166.1
ortholog_457 gene-HOLleu_05214 AFI16950.1
ortholog_458 gene-HOLleu_05216 AFI17414.1
ortholog_459 gene-HOLleu_05220 AFI22047.1
ortholog_460 gene-HOLleu_05221 AFI22749.1
ortholog_461 gene-HOLleu_05224 AFI18166.1
ortholog_462 gene-HOLleu_05228 AFI07199.1
ortholog_463 gene-HOLleu_05229 AFI06837.1
ortholog_464 gene-HOLleu_05231 AFI16488.1
ortholog_465 gene-HOLleu_05234 AFI32017.3
ortholog_466 gene-HOLleu_05253 AFI16917.1
ortholog_467 gene-HOLleu_05256 AFI16722.1
ortholog_468 gene-HOLleu_05257 AFI18128.2
ortholog_469 gene-HOLleu_05259 AFI16501.1
ortholog_470 gene-HOLleu_05260 AFI16762.1
ortholog_471 gene-HOLleu_05262 AFI16966.1
ortholog_472 gene-HOLleu_05263 AFI18045.1
ortholog_473 gene-HOLleu_05266 AFI17325.1
ortholog_474 gene-HOLleu_05268 AFI07806.1
ortholog_475 gene-HOLleu_05326 AFI22330.1
ortholog_476 gene-HOLleu_05327 AFI16509.1
ortholog_477 gene-HOLleu_05329 AFI17971.1
ortholog_478 gene-HOLleu_05330 AFI16347.1
ortholog_479 gene-HOLleu_05332 AFI17001.2
ortholog_480 gene-HOLleu_05335 AFI16335.1
ortholog_481 gene-HOLleu_05339 AFI13743.1
ortholog_482 gene-HOLleu_05356 AFI02532.1
ortholog_483 gene-HOLleu_05357 AFI17910.1
ortholog_484 gene-HOLleu_05366 AFI18299.1
ortholog_485 gene-HOLleu_05369 AFI07789.1
ortholog_486 gene-HOLleu_05373 AFI25847.1
ortholog_487 gene-HOLleu_05390 AFI16924.1
ortholog_488 gene-HOLleu_05400 AFI29637.1
ortholog_489 gene-HOLleu_05403 AFI17543.11
ortholog_490 gene-HOLleu_05404 AFI16314.1
ortholog_491 gene-HOLleu_05406 AFI16708.3
ortholog_492 gene-HOLleu_05407 AFI24629.1
ortholog_493 gene-HOLleu_05425 AFI21823.1
ortholog_494 gene-HOLleu_05428 AFI21544.1
ortholog_495 gene-HOLleu_05429 AFI21844.1
ortholog_496 gene-HOLleu_05430 AFI17906.1
ortholog_497 gene-HOLleu_05432 AFI13277.1
ortholog_498 gene-HOLleu_05433 AFI32318.4
ortholog_499 gene-HOLleu_05437 AFI16673.1
ortholog_500 gene-HOLleu_05439 AFI17886.1
ortholog_501 gene-HOLleu_05441 AFI18085.1
ortholog_502 gene-HOLleu_05446 AFI17598.1
ortholog_503 gene-HOLleu_05450 AFI18335.3
ortholog_504 gene-HOLleu_05453 AFI17874.1
ortholog_505 gene-HOLleu_05455 AFI17710.1
ortholog_506 gene-HOLleu_05457 AFI16302.1
ortholog_507 gene-HOLleu_05459 AFI17150.1
ortholog_508 gene-HOLleu_05470 AFI22104.1
ortholog_509 gene-HOLleu_05473 AFI16871.1
ortholog_510 gene-HOLleu_05474 AFI16849.1
ortholog_511 gene-HOLleu_05476 AFI21625.3
ortholog_512 gene-HOLleu_05479 AFI17588.1
ortholog_513 gene-HOLleu_05488 AFI07516.1
ortholog_514 gene-HOLleu_05490 AFI18100.1
ortholog_515 gene-HOLleu_05491 AFI17814.1
ortholog_516 gene-HOLleu_05499 AFI02640.2
ortholog_517 gene-HOLleu_05500 AFI13858.1
