ortholog_1 SCH01409.1 BL15770
ortholog_308 SCH01850.1 BL07576
ortholog_309 SCH01611.1 BL24837
ortholog_310 SCH01794.1 BL07331
ortholog_311 SCH01962.1 BL27324
ortholog_312 SCH01862.1 BL07653
ortholog_313 SCH01942.1 BL07332
ortholog_314 SCH01814.1 BL11001
ortholog_315 SCH01656.1 BL04511
ortholog_316 SCH01940.1 BL07707
ortholog_317 SCH01750.1 BL07659
ortholog_318 SCH01593.1 BL07710
ortholog_319 SCH01560.1 BL16700
ortholog_320 SCH01964.1 BL27785
ortholog_321 SCH01653.1 BL24390
ortholog_322 SCH01837.1 BL07681
ortholog_323 SCH01728.1 BL25329
ortholog_324 SCH01876.1 BL26203
ortholog_325 SCH01904.1 BL17550
ortholog_326 SCH01715.1 BL08392
ortholog_327 SCH01872.1 BL07400
ortholog_328 SCH01855.1 BL07404
ortholog_329 SCH01785.1 BL07692
ortholog_330 SCH01821.1 BL07644
ortholog_331 SCH01798.1 BL06993
ortholog_332 SCH01976.1 BL13950
ortholog_333 SCH01878.1 BL07657
ortholog_334 SCH01853.1 BL10921
ortholog_335 SCH01840.1 BL08474
ortholog_336 SCH01537.1 BL15903
ortholog_337 SCH01965.1 BL15871
ortholog_338 SCH01871.1 BL15873
ortholog_339 SCH01948.1 BL03479
ortholog_340 SCH02006.1 BL19693
ortholog_341 SCH02927.1 BL12915
ortholog_342 SCH03174.1 BL05410
ortholog_343 SCH02922.1 BL05063
ortholog_344 SCH02742.1 BL12488
ortholog_345 SCH02461.1 BL02093
ortholog_346 SCH03063.1 BL15145
ortholog_347 SCH03070.1 BL05359
ortholog_348 SCH02850.1 BL00087
ortholog_349 SCH02177.1 BL05568
ortholog_350 SCH02303.1 BL05192
ortholog_351 SCH02262.1 BL05329
ortholog_352 SCH02394.1 BL05328
ortholog_353 SCH02935.1 BL05512
ortholog_354 SCH02852.1 BL05188
ortholog_355 SCH03141.1 BL12253
ortholog_356 SCH02870.1 BL05086
ortholog_357 SCH02958.1 BL15370
ortholog_358 SCH03331.1 BL10831
ortholog_359 SCH02462.1 BL12473
ortholog_360 SCH02751.1 BL05069
ortholog_361 SCH02253.1 BL03273
ortholog_362 SCH02428.1 BL12467
ortholog_363 SCH02706.1 BL12469
ortholog_364 SCH02611.1 BL12471
ortholog_365 SCH02350.1 BL05509
ortholog_366 SCH02219.1 BL10426
ortholog_367 SCH02225.1 BL08845
ortholog_368 SCH02349.1 BL05451
ortholog_369 SCH02669.1 BL10279
ortholog_370 SCH02055.1 BL19757
ortholog_371 SCH02050.1 BL06710
ortholog_372 SCH02140.1 BL10418
ortholog_373 SCH02099.1 BL05551
ortholog_374 SCH03061.1 BL19728
ortholog_375 SCH02635.1 BL15847
ortholog_376 SCH02291.1 BL19709
ortholog_377 SCH02585.1 BL05467
ortholog_378 SCH03279.1 BL05514
ortholog_379 SCH02382.1 BL05466
ortholog_380 SCH02482.1 BL07154
ortholog_381 SCH02539.1 BL02531
ortholog_382 SCH03056.1 BL05103
ortholog_383 SCH03144.1 BL10276
ortholog_384 SCH03272.1 BL00017
ortholog_385 SCH02157.1 BL05082
ortholog_386 SCH01982.1 BL05573
ortholog_387 SCH02086.1 BL10275
ortholog_388 SCH02705.1 BL12867
ortholog_389 SCH02206.1 BL05472
ortholog_390 SCH02867.1 BL05572
ortholog_391 SCH02160.1 BL05258
ortholog_392 SCH02062.1 BL02510
ortholog_393 SCH03224.1 BL04952
ortholog_394 SCH03097.1 BL23949
ortholog_395 SCH02174.1 BL06594
ortholog_396 SCH03058.1 BL12882
ortholog_397 SCH03316.1 BL19635
ortholog_398 SCH03369.1 BL19636
ortholog_399 SCH02101.1 BL05401
ortholog_400 SCH02142.1 BL20410
ortholog_401 SCH03217.1 BL05473
ortholog_402 SCH03312.1 BL05226
ortholog_403 SCH03360.1 BL12462
ortholog_404 SCH02659.1 BL12439
ortholog_405 SCH03082.1 BL05433
ortholog_406 SCH03256.1 BL27355
ortholog_407 SCH02918.1 BL19684
ortholog_408 SCH02899.1 BL19685
ortholog_409 SCH03190.1 BL12047
ortholog_410 SCH02993.1 BL05320
ortholog_411 SCH02233.1 BL05321
ortholog_412 SCH03329.1 BL05322
ortholog_413 SCH02460.1 BL05323
ortholog_414 SCH03183.1 BL05395
ortholog_415 SCH02550.1 BL05318
ortholog_416 SCH02515.1 BL06934
ortholog_417 SCH02605.1 BL05235
ortholog_418 SCH02556.1 BL04945
ortholog_419 SCH03178.1 BL03580
ortholog_420 SCH02309.1 BL20489
ortholog_421 SCH02926.1 BL11994
ortholog_422 SCH03049.1 BL05425
ortholog_423 SCH03091.1 BL19708
ortholog_424 SCH03136.1 BL05003
ortholog_425 SCH03135.1 BL05555
ortholog_426 SCH02925.1 BL05010
ortholog_427 SCH02832.1 BL04974
ortholog_428 SCH03035.1 BL23461
ortholog_429 SCH02479.1 BL09574
ortholog_430 SCH02702.1 BL04993
ortholog_431 SCH02622.1 BL10340
ortholog_432 SCH02781.1 BL05575
ortholog_433 SCH02875.1 BL05020
ortholog_434 SCH03254.1 BL23747
ortholog_435 SCH02953.1 BL08412
ortholog_436 SCH01979.1 BL22011
ortholog_437 SCH03016.1 BL05482
ortholog_438 SCH03103.1 BL19691
ortholog_439 SCH03148.1 BL10359
ortholog_440 SCH03186.1 BL20634
ortholog_441 SCH03225.1 BL05119
ortholog_442 SCH02194.1 BL03623
ortholog_443 SCH02937.1 BL10374
ortholog_444 SCH02982.1 BL09568
ortholog_445 SCH02405.1 BL05491
ortholog_446 SCH02651.1 BL05295
ortholog_447 SCH03011.1 BL19754
ortholog_448 SCH02607.1 BL19678
ortholog_449 SCH02355.1 BL19677
ortholog_450 SCH02440.1 BL10427
ortholog_451 SCH03303.1 BL16685
ortholog_452 SCH03087.1 BL19698
ortholog_453 SCH02212.1 BL05005
ortholog_454 SCH03211.1 BL05170
ortholog_455 SCH02473.1 BL12428
ortholog_456 SCH03044.1 BL12908
ortholog_457 SCH02474.1 BL05542
ortholog_458 SCH03264.1 BL05562
ortholog_459 SCH02692.1 BL02527
ortholog_460 SCH03114.1 BL05006
ortholog_461 SCH03033.1 BL24183
ortholog_462 SCH02608.1 BL05371
ortholog_463 SCH02165.1 BL12036
ortholog_464 SCH02229.1 BL05479
ortholog_465 SCH02035.1 BL05613
ortholog_466 SCH02657.1 BL05018
ortholog_467 SCH02976.1 BL04958
ortholog_468 SCH02697.1 BL05271
ortholog_469 SCH02064.1 BL05090
ortholog_470 SCH02783.1 BL05278
ortholog_471 SCH02381.1 BL05376
ortholog_472 SCH03196.1 BL05378
ortholog_473 SCH02247.1 BL05083
ortholog_474 SCH02465.1 BL12748
ortholog_475 SCH02133.1 BL05150
ortholog_476 SCH02090.1 BL10335
ortholog_477 SCH02036.1 BL04985
ortholog_478 SCH03298.1 BL21772
ortholog_479 SCH02268.1 BL12732
ortholog_480 SCH02230.1 BL17053
ortholog_481 SCH03000.1 BL05380
ortholog_482 SCH03068.1 BL05193
ortholog_483 SCH02974.1 BL05194
ortholog_484 SCH02940.1 BL10298
ortholog_485 SCH02803.1 BL05339
ortholog_486 SCH02761.1 BL05181
ortholog_487 SCH02636.1 BL27773
ortholog_488 SCH02179.1 BL02383
ortholog_489 SCH03222.1 BL05040
ortholog_490 SCH02472.1 BL05386
ortholog_491 SCH02818.1 BL05338
ortholog_492 SCH02796.1 BL05117
ortholog_493 SCH02809.1 BL10419
ortholog_494 SCH02295.1 BL19668
ortholog_495 SCH02258.1 BL05365
ortholog_496 SCH02873.1 BL13962
ortholog_497 SCH02786.1 BL19669
ortholog_498 SCH03041.1 BL02518
ortholog_499 SCH03184.1 BL12888
ortholog_500 SCH02266.1 BL03599
ortholog_501 SCH03075.1 BL12021
ortholog_502 SCH02437.1 BL12022
ortholog_503 SCH02392.1 BL08116
ortholog_504 SCH02570.1 BL19683
ortholog_505 SCH03015.1 BL05145
ortholog_506 SCH02526.1 BL12486
ortholog_507 SCH02897.1 BL10314
ortholog_508 SCH02645.1 BL12884
ortholog_509 SCH02661.1 BL12885
ortholog_510 SCH02236.1 BL05161
ortholog_511 SCH02275.1 BL05147
ortholog_512 SCH02314.1 BL05274
ortholog_513 SCH02123.1 BL15504
ortholog_514 SCH02625.1 BL05112
ortholog_515 SCH02587.1 BL19714
ortholog_516 SCH02707.1 BL03591
ortholog_517 SCH03020.1 BL10674
ortholog_518 SCH02968.1 BL12420
ortholog_519 SCH02125.1 BL24516
ortholog_520 SCH02615.1 BL02494
ortholog_521 SCH02687.1 BL05107
ortholog_522 SCH02787.1 BL23768
ortholog_523 SCH02469.1 BL05254
ortholog_524 SCH03333.1 BL19648
ortholog_525 SCH02385.1 BL05007
ortholog_526 SCH03219.1 BL03605
ortholog_527 SCH02047.1 BL19838
ortholog_528 SCH02143.1 BL05326
ortholog_529 SCH02957.1 BL18062
ortholog_530 SCH03182.1 BL00337
ortholog_531 SCH03218.1 BL05400
ortholog_532 SCH03138.1 BL05526
ortholog_533 SCH02743.1 BL05490
ortholog_534 SCH03032.1 BL12472
ortholog_535 SCH02788.1 BL12876
ortholog_536 SCH02828.1 BL05292
ortholog_537 SCH03259.1 BL12431
ortholog_538 SCH02094.1 BL19759
ortholog_539 SCH02042.1 BL19758
ortholog_540 SCH03099.1 BL10406
ortholog_541 SCH03108.1 BL04941
ortholog_542 SCH02527.1 BL04942
ortholog_543 SCH03143.1 BL05422
ortholog_544 SCH02847.1 BL22695
ortholog_545 SCH02934.1 BL19912
ortholog_546 SCH02011.1 BL05346
ortholog_547 SCH02302.1 BL03620
ortholog_548 SCH02628.1 BL05027
ortholog_549 SCH02823.1 BL10321
ortholog_550 SCH02591.1 BL10389
ortholog_551 SCH03024.1 BL05505
ortholog_552 SCH02754.1 BL05305
ortholog_553 SCH02964.1 BL19713
ortholog_554 SCH03173.1 BL12881
ortholog_555 SCH03169.1 BL05250
ortholog_556 SCH02632.1 BL03826
ortholog_557 SCH02795.1 BL08935
ortholog_558 SCH02815.1 BL04936
ortholog_559 SCH02155.1 BL12052
ortholog_560 SCH03102.1 BL12029
ortholog_561 SCH03147.1 BL12030
ortholog_562 SCH02343.1 BL05142
ortholog_563 SCH02641.1 BL12907
ortholog_564 SCH02767.1 BL09585
ortholog_565 SCH02451.1 BL05497
ortholog_566 SCH02560.1 BL05495
ortholog_567 SCH03092.1 BL05494
ortholog_568 SCH02928.1 BL05511
ortholog_569 SCH03175.1 BL04951
ortholog_570 SCH03294.1 BL05026
ortholog_571 SCH02151.1 BL05025
ortholog_572 SCH03150.1 BL05299
ortholog_573 SCH02254.1 BL02496
ortholog_574 SCH02812.1 BL05412
ortholog_575 SCH02193.1 BL05502
ortholog_576 SCH03349.1 BL05475
ortholog_577 SCH02304.1 BL05552
ortholog_578 SCH02480.1 BL10280
ortholog_579 SCH02489.1 BL12475
ortholog_580 SCH02881.1 BL05498
ortholog_581 SCH02951.1 BL07083
ortholog_582 SCH03343.1 BL12474
ortholog_583 SCH03128.1 BL24213
ortholog_584 SCH02502.1 BL05306
ortholog_585 SCH02038.1 BL05275
ortholog_586 SCH02644.1 BL05081
ortholog_587 SCH03123.1 BL05353
ortholog_588 SCH02100.1 BL05019
ortholog_589 SCH02053.1 BL02526
ortholog_590 SCH02835.1 BL10000
ortholog_591 SCH03370.1 BL12889
ortholog_592 SCH02063.1 BL05114
ortholog_593 SCH03085.1 BL09538
ortholog_594 SCH02684.1 BL11009
ortholog_595 SCH03300.1 BL05056
ortholog_596 SCH02513.1 BL05054
ortholog_597 SCH02045.1 BL05327
ortholog_598 SCH03071.1 BL05148
ortholog_599 SCH02494.1 BL05520
ortholog_600 SCH02342.1 BL05500
ortholog_601 SCH02866.1 BL10339
ortholog_602 SCH02005.1 BL19727
ortholog_603 SCH03069.1 BL25796
ortholog_604 SCH03229.1 BL12463
ortholog_605 SCH02732.1 BL03846
ortholog_606 SCH02002.1 BL10379
ortholog_607 SCH02263.1 BL07514
ortholog_608 SCH02399.1 BL27219
ortholog_609 SCH02857.1 BL28136
ortholog_610 SCH03212.1 BL05270
ortholog_611 SCH02283.1 BL05440
ortholog_612 SCH02744.1 BL02392
ortholog_613 SCH02756.1 BL13377
ortholog_614 SCH03353.1 BL05256
ortholog_615 SCH02078.1 BL02512
ortholog_616 SCH02859.1 BL12482
ortholog_617 SCH02649.1 BL05087
ortholog_618 SCH03305.1 BL05450
ortholog_619 SCH03074.1 BL03600
ortholog_620 SCH02907.1 BL14724
ortholog_621 SCH02933.1 BL05398
ortholog_622 SCH02311.1 BL19697
ortholog_623 SCH02269.1 BL05251
ortholog_624 SCH02231.1 BL00040
ortholog_625 SCH02300.1 BL10330
ortholog_626 SCH02175.1 BL05388
ortholog_627 SCH02478.1 BL05277
ortholog_628 SCH02436.1 BL05196
ortholog_629 SCH02390.1 BL05452
ortholog_630 SCH02279.1 BL05567
ortholog_631 SCH02352.1 BL05546
ortholog_632 SCH02098.1 BL05066
ortholog_633 SCH02995.1 BL15940
ortholog_634 SCH02557.1 BL12034
ortholog_635 SCH02499.1 BL05559
ortholog_636 SCH02567.1 BL00896
ortholog_637 SCH03055.1 BL25740
ortholog_638 SCH02184.1 BL05360
ortholog_639 SCH03187.1 BL12870
ortholog_640 SCH02192.1 BL02630
ortholog_641 SCH02623.1 BL05177
ortholog_642 SCH02203.1 BL10386
ortholog_643 SCH02245.1 BL05453
ortholog_644 SCH02575.1 BL03564
ortholog_645 SCH03195.1 BL12442
ortholog_646 SCH03337.1 BL05263
ortholog_647 SCH02210.1 BL05302
ortholog_648 SCH02167.1 BL12404
ortholog_649 SCH03115.1 BL05447
ortholog_650 SCH02410.1 BL22028
ortholog_651 SCH02447.1 BL05543
ortholog_652 SCH02554.1 BL05190
ortholog_653 SCH02255.1 BL05262
ortholog_654 SCH03342.1 BL05260
ortholog_655 SCH02292.1 BL19747
ortholog_656 SCH03351.1 BL03603
ortholog_657 SCH02379.1 BL05310
ortholog_658 SCH02495.1 BL09496
ortholog_659 SCH02464.1 BL05474
ortholog_660 SCH01989.1 BL21971
ortholog_661 SCH03356.1 BL05149
ortholog_662 SCH03306.1 BL05289
ortholog_663 SCH03291.1 BL05288
ortholog_664 SCH02991.1 BL15604
ortholog_665 SCH02238.1 BL09805
ortholog_666 SCH02277.1 BL09547
ortholog_667 SCH02414.1 BL04947
ortholog_668 SCH03378.1 BL17072
ortholog_669 SCH02790.1 BL05123
ortholog_670 SCH02831.1 BL24653
ortholog_671 SCH02154.1 BL09525
ortholog_672 SCH02134.1 BL12926
ortholog_673 SCH03156.1 BL14488
ortholog_674 SCH03355.1 BL12407
ortholog_675 SCH03214.1 BL05079
ortholog_676 SCH03042.1 BL05209
ortholog_677 SCH03154.1 BL19651
ortholog_678 SCH03350.1 BL19652
ortholog_679 SCH02874.1 BL05273
ortholog_680 SCH02720.1 BL19649
ortholog_681 SCH03248.1 BL12883
ortholog_682 SCH03012.1 BL04998
ortholog_683 SCH02717.1 BL05109
ortholog_684 SCH02676.1 BL05108
ortholog_685 SCH02682.1 BL05374
ortholog_686 SCH02598.1 BL02817
ortholog_687 SCH02552.1 BL05394
ortholog_688 SCH02445.1 BL10305
ortholog_689 SCH03145.1 BL03585
ortholog_690 SCH03139.1 BL19715
ortholog_691 SCH03096.1 BL05528
ortholog_692 SCH02523.1 BL05331
ortholog_693 SCH03354.1 BL19687
ortholog_694 SCH02144.1 BL04162
ortholog_695 SCH02834.1 BL02530
ortholog_696 SCH02792.1 BL13595
ortholog_697 SCH02956.1 BL05536
ortholog_698 SCH02840.1 BL05357
ortholog_699 SCH02757.1 BL26392
