ortholog_1 MGL01089.1 g162422
ortholog_68 MGL00938.1 g158690
ortholog_69 MGL00108.1 g154204
ortholog_70 MGL00162.1 g157201
ortholog_71 MGL01103.1 g157915
ortholog_72 MGL00057.1 g193843
ortholog_73 MGL01486.1 g73426
ortholog_74 MGL00506.1 g150985
ortholog_75 MGL01398.1 g155132
ortholog_76 MGL01447.1 g149344
ortholog_77 MGL00817.1 g158463
ortholog_78 MGL01580.1 g163926
ortholog_79 MGL00008.1 g161029
ortholog_80 MGL00106.1 g160369
ortholog_81 MGL00946.1 g160504
ortholog_82 MGL00690.1 g154799
ortholog_83 MGL00644.1 g163885
ortholog_84 MGL00585.1 g158510
ortholog_85 MGL00531.1 g158511
ortholog_86 MGL00424.1 g26195
ortholog_87 MGL00367.1 g26197
ortholog_88 MGL00265.1 g162603
ortholog_89 MGL00213.1 g199872
ortholog_90 MGL00161.1 g154865
ortholog_91 MGL00105.1 g154860
ortholog_92 MGL01492.1 g26193
ortholog_93 MGL01535.1 g162436
ortholog_94 MGL01588.1 g159466
ortholog_95 MGL00067.1 g154892
ortholog_96 MGL00113.1 g154885
ortholog_97 MGL00166.1 g157419
ortholog_98 MGL00270.1 g56355
ortholog_99 MGL00321.1 g158450
ortholog_100 MGL01195.1 g158470
ortholog_101 MGL00684.1 g162475
ortholog_102 MGL00211.1 g159583
ortholog_103 MGL00421.1 g168553
ortholog_104 MGL00472.1 g155520
ortholog_105 MGL00526.1 g155511
ortholog_106 MGL00581.1 g163801
ortholog_107 MGL00733.1 g161253
ortholog_108 MGL00565.1 g167280
ortholog_109 MGL00827.1 g155415
ortholog_110 MGL00885.1 g160963
ortholog_111 MGL00942.1 g163913
ortholog_112 MGL01042.1 g162345
ortholog_113 MGL01094.1 g147786
ortholog_114 MGL01257.1 g162027
ortholog_115 MGL01243.1 g157251
ortholog_116 MGL01405.1 g156165
ortholog_117 MGL01141.1 g156160
ortholog_118 MGL01034.1 g159964
ortholog_119 MGL01054.1 g162081
ortholog_120 MGL01133.1 g155202
ortholog_121 MGL00741.1 g155190
ortholog_122 MGL00650.1 g156256
ortholog_123 MGL01472.1 g56916
ortholog_124 MGL00881.1 g126136
ortholog_125 MGL00765.1 g205482
ortholog_126 MGL00594.1 g155879
ortholog_127 MGL00479.1 g153898
ortholog_128 MGL00431.1 g155834
ortholog_129 MGL00374.1 g161596
ortholog_130 MGL01562.1 g159486
ortholog_131 MGL00155.1 g95857
ortholog_132 MGL01491.1 g163873
ortholog_133 MGL01215.1 g156428
ortholog_134 MGL00197.1 g157874
ortholog_135 MGL01193.1 g157872
ortholog_136 MGL01106.1 g157863
ortholog_137 MGL01053.1 g160298
ortholog_138 MGL01001.1 g28664
ortholog_139 MGL00622.1 g109811
ortholog_140 MGL00953.1 g161449
ortholog_141 MGL00896.1 g161438
ortholog_142 MGL01316.1 g157615
ortholog_143 MGL01403.1 g155309
ortholog_144 MGL00635.1 g158630
ortholog_145 MGL01586.1 g156831
ortholog_146 MGL00013.1 g160763
ortholog_147 MGL01144.1 g160770
ortholog_148 MGL00720.1 g156101
ortholog_149 MGL00112.1 g127235
ortholog_150 MGL00244.1 g29848
ortholog_151 MGL00430.1 g157980
ortholog_152 MGL00478.1 g160667
ortholog_153 MGL01052.1 g157269
ortholog_154 MGL00895.1 g160753
ortholog_155 MGL00477.1 g163534
ortholog_156 MGL00429.1 g166176
ortholog_157 MGL00372.1 g162716
ortholog_158 MGL00318.1 g163785
ortholog_159 MGL00539.1 g185215
ortholog_160 MGL01578.1 g55163
ortholog_161 MGL01444.1 g160498
ortholog_162 MGL00102.1 g155618
ortholog_163 MGL00366.1 g157151
ortholog_164 MGL00934.1 g163901
ortholog_165 MGL00473.1 g161062
ortholog_166 MGL00582.1 g154092
ortholog_167 MGL00641.1 g154087
ortholog_168 MGL00688.1 g154084
ortholog_169 MGL00523.1 g159381
ortholog_170 MGL00783.1 g159370
ortholog_171 MGL00829.1 g159366
ortholog_172 MGL01152.1 g159400
ortholog_173 MGL01207.1 g164117
ortholog_174 MGL01258.1 g162061
ortholog_175 MGL01311.1 g162067
ortholog_176 MGL01342.1 g160088
ortholog_177 MGL01395.1 g158881
ortholog_178 MGL01579.1 g153720
ortholog_179 MGL00007.1 g162879
ortholog_180 MGL00059.1 g162917
ortholog_181 MGL00469.1 g157126
ortholog_182 MGL00423.1 g157127
ortholog_183 MGL00474.1 g161286
ortholog_184 MGL00583.1 g154404
ortholog_185 MGL00043.1 g161747
ortholog_186 MGL00735.1 g157323
ortholog_187 MGL00784.1 g153948
ortholog_188 MGL01272.1 g156174
ortholog_189 MGL01219.1 g154692
ortholog_190 MGL01239.1 g163909
ortholog_191 MGL01059.1 g3671
ortholog_192 MGL00157.1 g3678
ortholog_193 MGL00959.1 g92884
ortholog_194 MGL00902.1 g125274
ortholog_195 MGL00842.1 g156012
ortholog_196 MGL00188.1 g149972
ortholog_197 MGL00699.1 g154358
ortholog_198 MGL00435.1 g161920
ortholog_199 MGL00378.1 g161268
ortholog_200 MGL00326.1 g161263
ortholog_201 MGL00224.1 g160829
ortholog_202 MGL00299.1 g160837
ortholog_203 MGL00117.1 g163571
ortholog_204 MGL00707.1 g157698
ortholog_205 MGL00751.1 g156491
ortholog_206 MGL00910.1 g161092
ortholog_207 MGL01065.1 g161099
ortholog_208 MGL01115.1 g159634
ortholog_209 MGL01227.1 g153995
ortholog_210 MGL01417.1 g157526
ortholog_211 MGL01464.1 g157531
ortholog_212 MGL01602.1 g154677
ortholog_213 MGL00027.1 g154648
ortholog_214 MGL00079.1 g155224
ortholog_215 MGL00125.1 g158955
ortholog_216 MGL00176.1 g163596
ortholog_217 MGL00232.1 g161463
ortholog_218 MGL00338.1 g72383
ortholog_219 MGL00286.1 g108113
ortholog_220 MGL00558.1 g159649
ortholog_221 MGL00667.1 g157614
ortholog_222 MGL00711.1 g12517
ortholog_223 MGL00602.1 g156677
ortholog_224 MGL01275.1 g164063
ortholog_225 MGL00521.1 g157064
ortholog_226 MGL01459.1 g144903
ortholog_227 MGL01299.1 g162162
ortholog_228 MGL00870.1 g155040
ortholog_229 MGL00361.1 g155069
ortholog_230 MGL00927.1 g191057
ortholog_231 MGL00519.1 g154319
ortholog_232 MGL00227.1 g160102
ortholog_233 MGL00141.1 g163331
ortholog_234 MGL01510.1 g157728
ortholog_235 MGL01608.1 g158717
ortholog_236 MGL00627.1 g158709
ortholog_237 MGL00287.1 g160991
ortholog_238 MGL00395.1 g158627
ortholog_239 MGL00447.1 g158245
ortholog_240 MGL00497.1 g163569
ortholog_241 MGL00559.1 g158230
ortholog_242 MGL00668.1 g154146
ortholog_243 MGL00517.1 g100661
ortholog_244 MGL00916.1 g101403
ortholog_245 MGL01546.1 g161589
ortholog_246 MGL00022.1 g159868
ortholog_247 MGL00075.1 g161721
ortholog_248 MGL00121.1 g11317
ortholog_249 MGL01167.1 g161903
ortholog_250 MGL00260.1 g150601
ortholog_251 MGL00703.1 g153892
ortholog_252 MGL00603.1 g159860
ortholog_253 MGL00546.1 g160095
ortholog_254 MGL00439.1 g159323
ortholog_255 MGL01592.1 g159604
ortholog_256 MGL01594.1 g156181
ortholog_257 MGL01542.1 g157987
ortholog_258 MGL01498.1 g156992
ortholog_259 MGL01455.1 g163606
ortholog_260 MGL00511.1 g159376
ortholog_261 MGL01269.1 g5464
ortholog_262 MGL01349.1 g159669
ortholog_263 MGL00359.1 g56894
ortholog_264 MGL00980.1 g82283
ortholog_265 MGL01537.1 g156878
ortholog_266 MGL01590.1 g160889
ortholog_267 MGL00069.1 g156422
ortholog_268 MGL00168.1 g153703
ortholog_269 MGL00272.1 g163685
ortholog_270 MGL00597.1 g213122
ortholog_271 MGL00989.1 g180199
ortholog_272 MGL00346.1 g96438
ortholog_273 MGL00839.1 g153786
ortholog_274 MGL00357.1 g153789
ortholog_275 MGL00956.1 g153794
ortholog_276 MGL01005.1 g153828
ortholog_277 MGL01056.1 g153814
ortholog_278 MGL01527.1 g153810
ortholog_279 MGL01350.1 g154194
ortholog_280 MGL01319.1 g162358
ortholog_281 MGL00654.1 g105626
ortholog_282 MGL00541.1 g162608
ortholog_283 MGL00001.1 g160698
ortholog_284 MGL00325.1 g157467
ortholog_285 MGL00274.1 g154510
ortholog_286 MGL00169.1 g156620
ortholog_287 MGL00071.1 g156004
ortholog_288 MGL00887.1 g160325
ortholog_289 MGL00944.1 g190030
ortholog_290 MGL00993.1 g112416
ortholog_291 MGL01044.1 g159423
ortholog_292 MGL01259.1 g158587
ortholog_293 MGL01312.1 g158524
ortholog_294 MGL01343.1 g158534
ortholog_295 MGL01396.1 g154104
ortholog_296 MGL00584.1 g155304
ortholog_297 MGL00736.1 g156443
ortholog_298 MGL00252.1 g161996
ortholog_299 MGL00831.1 g158787
ortholog_300 MGL00408.1 g154417
ortholog_301 MGL00677.1 g124836
ortholog_302 MGL00945.1 g161400
ortholog_303 MGL01260.1 g159717
ortholog_304 MGL01102.1 g155696
ortholog_305 MGL01212.1 g104872
ortholog_306 MGL01344.1 g158897
ortholog_307 MGL01261.1 g163515
ortholog_308 MGL01209.1 g159480
ortholog_309 MGL01046.1 g161569
ortholog_310 MGL00995.1 g378
ortholog_311 MGL00214.1 g128363
ortholog_312 MGL00266.1 g159565
ortholog_313 MGL00315.1 g156398
ortholog_314 MGL00368.1 g156412
ortholog_315 MGL00645.1 g157496
ortholog_316 MGL00209.1 g155754
ortholog_317 MGL00691.1 g155756
ortholog_318 MGL00876.1 g163536
ortholog_319 MGL00890.1 g163269
ortholog_320 MGL00947.1 g164076
ortholog_321 MGL01100.1 g63124
ortholog_322 MGL01337.1 g156381
ortholog_323 MGL01262.1 g156363
ortholog_324 MGL01314.1 g156659
ortholog_325 MGL00061.1 g162402
ortholog_326 MGL00532.1 g164052
ortholog_327 MGL00646.1 g57606
ortholog_328 MGL00834.1 g162389
ortholog_329 MGL00891.1 g162387
ortholog_330 MGL00948.1 g162058
ortholog_331 MGL01048.1 g155624
ortholog_332 MGL01101.1 g155631
ortholog_333 MGL01211.1 g157525
ortholog_334 MGL00952.1 g154327
ortholog_335 MGL01000.1 g153868
ortholog_336 MGL01051.1 g162919
ortholog_337 MGL01105.1 g79440
ortholog_338 MGL00578.1 g157210
ortholog_339 MGL01265.1 g157703
ortholog_340 MGL01253.1 g163576
ortholog_341 MGL01348.1 g155796
ortholog_342 MGL00632.1 g95436
ortholog_343 MGL01241.1 g160001
ortholog_344 MGL01534.1 g160236
ortholog_345 MGL00012.1 g12839
ortholog_346 MGL00595.1 g154541
ortholog_347 MGL00049.1 g162417
ortholog_348 MGL00620.1 g155433
ortholog_349 MGL00171.1 g31213
ortholog_350 MGL00119.1 g156904
ortholog_351 MGL00020.1 g155325
ortholog_352 MGL01595.1 g159967
ortholog_353 MGL01543.1 g156556
ortholog_354 MGL01499.1 g154835
ortholog_355 MGL01410.1 g155781
ortholog_356 MGL01273.1 g155783
ortholog_357 MGL01322.1 g156389
ortholog_358 MGL01354.1 g157326
ortholog_359 MGL01521.1 g157333
ortholog_360 MGL00142.1 g157331
ortholog_361 MGL01164.1 g157342
ortholog_362 MGL01110.1 g159299
ortholog_363 MGL01060.1 g159293
ortholog_364 MGL01008.1 g146923
ortholog_365 MGL00310.1 g159334
ortholog_366 MGL00843.1 g155763
ortholog_367 MGL00725.1 g4951
ortholog_368 MGL01135.1 g155746
ortholog_369 MGL00730.1 g155722
ortholog_370 MGL00600.1 g158665
ortholog_371 MGL00151.1 g40193
ortholog_372 MGL00200.1 g154343
ortholog_373 MGL00308.1 g163646
ortholog_374 MGL00411.1 g158660
ortholog_375 MGL00436.1 g186336
ortholog_376 MGL00327.1 g157438
ortholog_377 MGL00275.1 g160318
ortholog_378 MGL00225.1 g155663
ortholog_379 MGL00170.1 g158447
ortholog_380 MGL00118.1 g154696
ortholog_381 MGL00877.1 g193735
ortholog_382 MGL00019.1 g159393
ortholog_383 MGL00838.1 g163553
ortholog_384 MGL00742.1 g1788
ortholog_385 MGL00540.1 g161863
ortholog_386 MGL00433.1 g18373
ortholog_387 MGL00376.1 g161060
ortholog_388 MGL00322.1 g157849
ortholog_389 MGL00271.1 g157851
ortholog_390 MGL00220.1 g155555
ortholog_391 MGL00114.1 g156845
ortholog_392 MGL00016.1 g155982
ortholog_393 MGL01536.1 g154898
ortholog_394 MGL01317.1 g158217
ortholog_395 MGL01268.1 g158218
ortholog_396 MGL01338.1 g157780
ortholog_397 MGL01055.1 g158734
ortholog_398 MGL01003.1 g162951
ortholog_399 MGL00898.1 g163845
ortholog_400 MGL01151.1 g155585
ortholog_401 MGL01095.1 g161777
ortholog_402 MGL01043.1 g157185
ortholog_403 MGL01524.1 g54238
ortholog_404 MGL00005.1 g72367
ortholog_405 MGL00828.1 g190420
ortholog_406 MGL00782.1 g152502
ortholog_407 MGL00640.1 g160363
ortholog_408 MGL00678.1 g162002
ortholog_409 MGL00527.1 g161835
ortholog_410 MGL01306.1 g20196
ortholog_411 MGL00365.1 g156107
ortholog_412 MGL01530.1 g155249
ortholog_413 MGL01483.1 g161812
ortholog_414 MGL01045.1 g156675
ortholog_415 MGL01098.1 g159716
ortholog_416 MGL01454.1 g156229
ortholog_417 MGL01497.1 g109604
ortholog_418 MGL01541.1 g156594
ortholog_419 MGL01408.1 g158385
ortholog_420 MGL01352.1 g156475
ortholog_421 MGL01271.1 g30629
ortholog_422 MGL01218.1 g159979
ortholog_423 MGL00371.1 g155693
ortholog_424 MGL00164.1 g159341
ortholog_425 MGL00465.1 g67999
ortholog_426 MGL00796.1 g156638
ortholog_427 MGL00901.1 g154668
ortholog_428 MGL01007.1 g91118
ortholog_429 MGL01058.1 g210689
ortholog_430 MGL00406.1 g134138
ortholog_431 MGL01029.1 g119263
ortholog_432 MGL00879.1 g117059
ortholog_433 MGL01504.1 g162022
ortholog_434 MGL00077.1 g163115
ortholog_435 MGL01038.1 g157030
ortholog_436 MGL00332.1 g157678
ortholog_437 MGL00383.1 g157682
ortholog_438 MGL00488.1 g155535
ortholog_439 MGL00054.1 g161914
ortholog_440 MGL00605.1 g158442
ortholog_441 MGL00661.1 g155793
ortholog_442 MGL00706.1 g100559
ortholog_443 MGL00802.1 g154919
ortholog_444 MGL00909.1 g29852
ortholog_445 MGL01012.1 g161469
ortholog_446 MGL01416.1 g162231
ortholog_447 MGL00256.1 g157755
ortholog_448 MGL01505.1 g157754
ortholog_449 MGL00196.1 g157753
ortholog_450 MGL00384.1 g20190
ortholog_451 MGL00442.1 g153999
ortholog_452 MGL00551.1 g156320
ortholog_453 MGL00606.1 g161289
ortholog_454 MGL01593.1 g159658
ortholog_455 MGL01376.1 g198325
ortholog_456 MGL00949.1 g158485
ortholog_457 MGL00892.1 g155969
ortholog_458 MGL00835.1 g153709
ortholog_459 MGL00787.1 g96780
ortholog_460 MGL00738.1 g159279
ortholog_461 MGL00588.1 g160704
ortholog_462 MGL00533.1 g159276
ortholog_463 MGL00267.1 g159251
ortholog_464 MGL01441.1 g162118
ortholog_465 MGL00107.1 g162113
ortholog_466 MGL00154.1 g163999
ortholog_467 MGL00009.1 g156886
ortholog_468 MGL01581.1 g157160
ortholog_469 MGL00522.1 g158572
ortholog_470 MGL01263.1 g171130
ortholog_471 MGL00292.1 g162732
ortholog_472 MGL00089.1 g159002
ortholog_473 MGL00928.1 g160868
ortholog_474 MGL00186.1 g94192
ortholog_475 MGL00241.1 g155656
ortholog_476 MGL00291.1 g139787
ortholog_477 MGL00087.1 g155237
ortholog_478 MGL01557.1 g155319
ortholog_479 MGL01514.1 g160072
ortholog_480 MGL01427.1 g161982
ortholog_481 MGL01368.1 g161987
ortholog_482 MGL01334.1 g149992
ortholog_483 MGL01181.1 g153922
ortholog_484 MGL01126.1 g159633
ortholog_485 MGL01021.1 g154715
ortholog_486 MGL00919.1 g159828
ortholog_487 MGL01386.1 g154828
ortholog_488 MGL00301.1 g72355
ortholog_489 MGL00671.1 g154820
ortholog_490 MGL00613.1 g156024
ortholog_491 MGL00562.1 g162127
ortholog_492 MGL00920.1 g208800
ortholog_493 MGL01022.1 g162092
ortholog_494 MGL00458.1 g157208
ortholog_495 MGL01076.1 g160760
ortholog_496 MGL01023.1 g163348
ortholog_497 MGL00975.1 g163214
ortholog_498 MGL00403.1 g163216
ortholog_499 MGL00861.1 g160068
ortholog_500 MGL00713.1 g161300
ortholog_501 MGL00673.1 g161292
ortholog_502 MGL00564.1 g161848
ortholog_503 MGL00630.1 g152333
ortholog_504 MGL00824.1 g158569
ortholog_505 MGL01428.1 g110818
ortholog_506 MGL00088.1 g161318
ortholog_507 MGL01563.1 g161305
ortholog_508 MGL01612.1 g106495
ortholog_509 MGL01558.1 g158677
ortholog_510 MGL01529.1 g160789
ortholog_511 MGL01326.1 g163343
ortholog_512 MGL01224.1 g46548
ortholog_513 MGL01113.1 g154687
ortholog_514 MGL01063.1 g157424
ortholog_515 MGL00962.1 g157432
ortholog_516 MGL00907.1 g157436
ortholog_517 MGL00636.1 g161383
ortholog_518 MGL00748.1 g154550
ortholog_519 MGL00704.1 g162025
ortholog_520 MGL00548.1 g159605
ortholog_521 MGL00153.1 g161347
ortholog_522 MGL00094.1 g161433
ortholog_523 MGL00174.1 g162373
ortholog_524 MGL00122.1 g174718
ortholog_525 MGL00261.1 g162363
ortholog_526 MGL00023.1 g156839
ortholog_527 MGL01598.1 g156842
ortholog_528 MGL01547.1 g163156
ortholog_529 MGL01294.1 g158549
ortholog_530 MGL00822.1 g158555
ortholog_531 MGL01325.1 g158561
ortholog_532 MGL01223.1 g157243
ortholog_533 MGL01062.1 g163284
ortholog_534 MGL00873.1 g161340
ortholog_535 MGL01462.1 g154691
ortholog_536 MGL01503.1 g155887
ortholog_537 MGL00331.1 g156560
ortholog_538 MGL00470.1 g163739
ortholog_539 MGL00660.1 g158402
ortholog_540 MGL00749.1 g156209
ortholog_541 MGL00801.1 g155837
ortholog_542 MGL00848.1 g117101
ortholog_543 MGL00908.1 g158497
ortholog_544 MGL00984.1 g158500
ortholog_545 MGL00963.1 g158506
ortholog_546 MGL00981.1 g101199
ortholog_547 MGL01114.1 g153682
ortholog_548 MGL01170.1 g157524
ortholog_549 MGL01225.1 g161073
ortholog_550 MGL00177.1 g43395
ortholog_551 MGL01088.1 g162290
ortholog_552 MGL00126.1 g114348
ortholog_553 MGL00028.1 g154690
ortholog_554 MGL00156.1 g134714
ortholog_555 MGL01551.1 g161419
ortholog_556 MGL01465.1 g158783
ortholog_557 MGL01171.1 g25758
ortholog_558 MGL01280.1 g174803
ortholog_559 MGL00520.1 g163601
ortholog_560 MGL01361.1 g155222
ortholog_561 MGL00964.1 g158437
ortholog_562 MGL00388.1 g154179
ortholog_563 MGL00179.1 g156928
ortholog_564 MGL01437.1 g153668
ortholog_565 MGL00081.1 g163183
ortholog_566 MGL01605.1 g85214
ortholog_567 MGL00846.1 g159644
ortholog_568 MGL00906.1 g162861
ortholog_569 MGL01481.1 g158048
ortholog_570 MGL01174.1 g155684
ortholog_571 MGL01478.1 g155678
ortholog_572 MGL01015.1 g157320
ortholog_573 MGL00912.1 g6004
ortholog_574 MGL00755.1 g156323
ortholog_575 MGL00665.1 g160740
ortholog_576 MGL00336.1 g155612
ortholog_577 MGL00387.1 g78392
ortholog_578 MGL01198.1 g190333
ortholog_579 MGL00778.1 g163714
ortholog_580 MGL00492.1 g163837
ortholog_581 MGL00664.1 g153694
ortholog_582 MGL00710.1 g158237
ortholog_583 MGL00806.1 g155919
ortholog_584 MGL00937.1 g157421
ortholog_585 MGL00130.1 g162351
ortholog_586 MGL00085.1 g161821
ortholog_587 MGL01609.1 g157295
ortholog_588 MGL01439.1 g160818
ortholog_589 MGL00312.1 g160282
ortholog_590 MGL01424.1 g155955
ortholog_591 MGL01080.1 g155950
ortholog_592 MGL01200.1 g86467
ortholog_593 MGL01366.1 g154445
ortholog_594 MGL01288.1 g163821
ortholog_595 MGL01236.1 g163820
ortholog_596 MGL00971.1 g160353
ortholog_597 MGL01020.1 g163429
ortholog_598 MGL01073.1 g186304
ortholog_599 MGL00033.1 g161382
ortholog_600 MGL00237.1 g154745
ortholog_601 MGL00350.1 g154742
ortholog_602 MGL00182.1 g153840
ortholog_603 MGL00129.1 g153851
ortholog_604 MGL00360.1 g157934
ortholog_605 MGL01124.1 g157540
ortholog_606 MGL01019.1 g153608
ortholog_607 MGL00970.1 g159438
ortholog_608 MGL00858.1 g94334
ortholog_609 MGL01407.1 g155218
ortholog_610 MGL01453.1 g124793
ortholog_611 MGL00625.1 g124794
ortholog_612 MGL01495.1 g154662
ortholog_613 MGL01591.1 g155564
ortholog_614 MGL00576.1 g160709
ortholog_615 MGL00222.1 g153699
ortholog_616 MGL00377.1 g105312
ortholog_617 MGL00743.1 g156640
ortholog_618 MGL00840.1 g160987
ortholog_619 MGL00957.1 g164244
ortholog_620 MGL01057.1 g164235
ortholog_621 MGL01217.1 g153656
ortholog_622 MGL00728.1 g157645
ortholog_623 MGL00618.1 g115980
ortholog_624 MGL01351.1 g153957
ortholog_625 MGL01286.1 g154672
ortholog_626 MGL01234.1 g156002
ortholog_627 MGL01178.1 g159173
ortholog_628 MGL01525.1 g195720
ortholog_629 MGL00557.1 g157942
ortholog_630 MGL00285.1 g155424
ortholog_631 MGL00729.1 g157664
ortholog_632 MGL00579.1 g163458
ortholog_633 MGL01390.1 g163464
ortholog_634 MGL01148.1 g163465
ortholog_635 MGL00504.1 g137053
ortholog_636 MGL00509.1 g199090
ortholog_637 MGL01570.1 g101130
ortholog_638 MGL00761.1 g170439
ortholog_639 MGL00505.1 g148183
ortholog_640 MGL00756.1 g157544
ortholog_641 MGL00719.1 g91297
ortholog_642 MGL00392.1 g155764
ortholog_643 MGL00083.1 g153538
ortholog_644 MGL00409.1 g12109
ortholog_645 MGL00032.1 g153526
ortholog_646 MGL01339.1 g159287
ortholog_647 MGL01071.1 g163500
ortholog_648 MGL01177.1 g153698
ortholog_649 MGL00915.1 g157282
ortholog_650 MGL00856.1 g161816
ortholog_651 MGL00311.1 g157281
ortholog_652 MGL00148.1 g157257
ortholog_653 MGL00666.1 g157259
ortholog_654 MGL00611.1 g158580
ortholog_655 MGL00556.1 g159675
ortholog_656 MGL01468.1 g163586
ortholog_657 MGL00570.1 g17041
ortholog_658 MGL01364.1 g174673
ortholog_659 MGL01284.1 g157969
ortholog_660 MGL01232.1 g160328
ortholog_661 MGL01120.1 g162987
ortholog_662 MGL01070.1 g163189
ortholog_663 MGL00914.1 g161077
ortholog_664 MGL01037.1 g163547
ortholog_665 MGL00555.1 g157215
ortholog_666 MGL00495.1 g154320
ortholog_667 MGL00790.1 g166604
ortholog_668 MGL01199.1 g161212
ortholog_669 MGL01363.1 g155499
ortholog_670 MGL01332.1 g109607
ortholog_671 MGL01175.1 g113705
ortholog_672 MGL01431.1 g138260
ortholog_673 MGL01231.1 g135541
ortholog_674 MGL01283.1 g158456
ortholog_675 MGL00775.1 g50396
ortholog_676 MGL00807.1 g143199
ortholog_677 MGL00340.1 g163905
ortholog_678 MGL00288.1 g156661
ortholog_679 MGL00389.1 g107004
ortholog_680 MGL00445.1 g158256
ortholog_681 MGL01134.1 g160129
ortholog_682 MGL00610.1 g157313
ortholog_683 MGL00619.1 g159100
ortholog_684 MGL00500.1 g157046
ortholog_685 MGL00137.1 g158605
ortholog_686 MGL01518.1 g153677
ortholog_687 MGL00041.1 g163687
ortholog_688 MGL01560.1 g156896
ortholog_689 MGL01519.1 g159579
ortholog_690 MGL01146.1 g181782
ortholog_691 MGL01090.1 g156649
ortholog_692 MGL00918.1 g158952
ortholog_693 MGL00859.1 g160978
ortholog_694 MGL00561.1 g161016
ortholog_695 MGL00199.1 g68899
ortholog_696 MGL01523.1 g90635
ortholog_697 MGL01379.1 g104296
ortholog_698 MGL00289.1 g160307
ortholog_699 MGL00086.1 g160596
ortholog_700 MGL00035.1 g160574
ortholog_701 MGL01610.1 g160573
ortholog_702 MGL01512.1 g162600
ortholog_703 MGL01470.1 g163622
ortholog_704 MGL01367.1 g53309
ortholog_705 MGL01425.1 g158157
ortholog_706 MGL00453.1 g190817
ortholog_707 MGL00498.1 g161391
ortholog_708 MGL00003.1 g159987
ortholog_709 MGL00507.1 g103641
ortholog_710 MGL00776.1 g159447
ortholog_711 MGL00757.1 g32969
ortholog_712 MGL00669.1 g154666
ortholog_713 MGL01025.1 g53685
ortholog_714 MGL00612.1 g156438
ortholog_715 MGL00560.1 g153863
ortholog_716 MGL01013.1 g155552
ortholog_717 MGL01116.1 g60130
ortholog_718 MGL01172.1 g164188
ortholog_719 MGL00882.1 g164178
ortholog_720 MGL01362.1 g162405
ortholog_721 MGL01466.1 g160585
ortholog_722 MGL01507.1 g160620
ortholog_723 MGL00178.1 g154167
ortholog_724 MGL00127.1 g160568
ortholog_725 MGL01552.1 g155227
ortholog_726 MGL01618.1 g163594
ortholog_727 MGL00850.1 g159113
ortholog_728 MGL00804.1 g159121
ortholog_729 MGL00752.1 g158443
ortholog_730 MGL00708.1 g156655
ortholog_731 MGL00663.1 g154841
ortholog_732 MGL00607.1 g165192
ortholog_733 MGL00552.1 g155142
ortholog_734 MGL00490.1 g155091
ortholog_735 MGL00385.1 g155488
