ortholog_1 SCH00647.1 g59284
ortholog_396 SCH01537.1 g75293
ortholog_397 SCH01965.1 g68718
ortholog_398 SCH01948.1 g68108
ortholog_399 SCH02006.1 g65310
ortholog_400 SCH02927.1 g62118
ortholog_401 SCH03174.1 g61469
ortholog_402 SCH02922.1 g57869
ortholog_403 SCH02997.1 g62446
ortholog_404 SCH02742.1 g59717
ortholog_405 SCH02340.1 g190984
ortholog_406 SCH02521.1 g13435
ortholog_407 SCH02577.1 g58176
ortholog_408 SCH02164.1 g128687
ortholog_409 SCH03063.1 g58493
ortholog_410 SCH03070.1 g60617
ortholog_411 SCH02850.1 g64357
ortholog_412 SCH02177.1 g61178
ortholog_413 SCH02303.1 g58962
ortholog_414 SCH02262.1 g64026
ortholog_415 SCH02394.1 g1149
ortholog_416 SCH02935.1 g60579
ortholog_417 SCH02885.1 g60118
ortholog_418 SCH02737.1 g199423
ortholog_419 SCH02852.1 g64720
ortholog_420 SCH02870.1 g57421
ortholog_421 SCH02804.1 g60920
ortholog_422 SCH02751.1 g64512
ortholog_423 SCH02253.1 g179499
ortholog_424 SCH02428.1 g58070
ortholog_425 SCH02611.1 g58052
ortholog_426 SCH02350.1 g66136
ortholog_427 SCH02219.1 g146957
ortholog_428 SCH02171.1 g65697
ortholog_429 SCH03245.1 g16230
ortholog_430 SCH02349.1 g66287
ortholog_431 SCH02669.1 g61082
ortholog_432 SCH02727.1 g24295
ortholog_433 SCH02055.1 g179327
ortholog_434 SCH03323.1 g137826
ortholog_435 SCH03162.1 g144403
ortholog_436 SCH02738.1 g61707
ortholog_437 SCH02267.1 g62833
ortholog_438 SCH03061.1 g62838
ortholog_439 SCH02635.1 g66222
ortholog_440 SCH02704.1 g61737
ortholog_441 SCH02291.1 g64617
ortholog_442 SCH02585.1 g61237
ortholog_443 SCH03279.1 g61244
ortholog_444 SCH02382.1 g61238
ortholog_445 SCH02482.1 g6451
ortholog_446 SCH02539.1 g63440
ortholog_447 SCH03056.1 g105302
ortholog_448 SCH03144.1 g58550
ortholog_449 SCH03272.1 g66012
ortholog_450 SCH03314.1 g60069
ortholog_451 SCH02086.1 g65291
ortholog_452 SCH02723.1 g196536
ortholog_453 SCH02705.1 g57182
ortholog_454 SCH03080.1 g66762
ortholog_455 SCH02867.1 g59924
ortholog_456 SCH02095.1 g34885
ortholog_457 SCH02062.1 g66047
ortholog_458 SCH03224.1 g187774
ortholog_459 SCH02448.1 g65718
ortholog_460 SCH03097.1 g62631
ortholog_461 SCH02174.1 g125602
ortholog_462 SCH03253.1 g66263
ortholog_463 SCH03058.1 g65140
ortholog_464 SCH03316.1 g72923
ortholog_465 SCH03369.1 g51976
ortholog_466 SCH02108.1 g65178
ortholog_467 SCH03165.1 g34736
ortholog_468 SCH03153.1 g201508
ortholog_469 SCH02101.1 g63393
ortholog_470 SCH03217.1 g66150
ortholog_471 SCH03360.1 g65121
ortholog_472 SCH02659.1 g63638
ortholog_473 SCH03082.1 g61248
ortholog_474 SCH02918.1 g59770
ortholog_475 SCH03190.1 g64219
ortholog_476 SCH02993.1 g66084
ortholog_477 SCH02233.1 g66087
ortholog_478 SCH03329.1 g62044
ortholog_479 SCH03183.1 g58714
ortholog_480 SCH03364.1 g42457
ortholog_481 SCH03013.1 g94341
ortholog_482 SCH02556.1 g59824
ortholog_483 SCH03178.1 g58296
ortholog_484 SCH02127.1 g90350
ortholog_485 SCH02878.1 g121656
ortholog_486 SCH02926.1 g63758
ortholog_487 SCH03049.1 g62923
ortholog_488 SCH03091.1 g64601
ortholog_489 SCH03136.1 g63538
ortholog_490 SCH02753.1 g200269
ortholog_491 SCH03215.1 g21023
ortholog_492 SCH02925.1 g60909
ortholog_493 SCH02791.1 g61141
ortholog_494 SCH03035.1 g69294
ortholog_495 SCH02479.1 g63730
ortholog_496 SCH02702.1 g59123
ortholog_497 SCH02660.1 g60614
ortholog_498 SCH02781.1 g131833
ortholog_499 SCH02875.1 g64055
ortholog_500 SCH03254.1 g57546
ortholog_501 SCH01979.1 g63424
ortholog_502 SCH03016.1 g62222
ortholog_503 SCH03148.1 g64373
ortholog_504 SCH02194.1 g65704
ortholog_505 SCH03318.1 g59857
ortholog_506 SCH02869.1 g63151
ortholog_507 SCH02982.1 g63140
ortholog_508 SCH02405.1 g65435
ortholog_509 SCH02651.1 g60769
ortholog_510 SCH02532.1 g60359
ortholog_511 SCH03011.1 g65112
ortholog_512 SCH02607.1 g65224
ortholog_513 SCH02355.1 g66361
ortholog_514 SCH02440.1 g64327
ortholog_515 SCH03303.1 g65328
ortholog_516 SCH03087.1 g86816
ortholog_517 SCH03132.1 g65591
ortholog_518 SCH02212.1 g61735
ortholog_519 SCH03211.1 g63358
ortholog_520 SCH02473.1 g58463
ortholog_521 SCH03155.1 g57792
ortholog_522 SCH03044.1 g62601
ortholog_523 SCH02388.1 g57520
ortholog_524 SCH03264.1 g62765
ortholog_525 SCH02692.1 g57785
ortholog_526 SCH03114.1 g64360
ortholog_527 SCH03307.1 g176043
ortholog_528 SCH02608.1 g58769
ortholog_529 SCH02229.1 g64539
ortholog_530 SCH02524.1 g3015
ortholog_531 SCH02639.1 g22047
ortholog_532 SCH02035.1 g1105
ortholog_533 SCH02657.1 g58003
ortholog_534 SCH02892.1 g57983
ortholog_535 SCH03149.1 g64886
ortholog_536 SCH02976.1 g58082
ortholog_537 SCH02064.1 g62153
ortholog_538 SCH02783.1 g61542
ortholog_539 SCH02381.1 g61532
ortholog_540 SCH03196.1 g61522
ortholog_541 SCH02501.1 g65495
ortholog_542 SCH02090.1 g57767
ortholog_543 SCH02036.1 g57758
ortholog_544 SCH03347.1 g66056
ortholog_545 SCH02273.1 g73135
ortholog_546 SCH02268.1 g31475
ortholog_547 SCH02230.1 g32238
ortholog_548 SCH03000.1 g62022
ortholog_549 SCH02974.1 g64979
ortholog_550 SCH02807.1 g63164
ortholog_551 SCH02803.1 g57658
ortholog_552 SCH02761.1 g61879
ortholog_553 SCH02636.1 g102088
ortholog_554 SCH02569.1 g135131
ortholog_555 SCH02179.1 g58790
ortholog_556 SCH03098.1 g60064
ortholog_557 SCH02818.1 g58968
ortholog_558 SCH02796.1 g63216
ortholog_559 SCH02837.1 g63224
ortholog_560 SCH02809.1 g64320
ortholog_561 SCH02295.1 g66584
ortholog_562 SCH02786.1 g63883
ortholog_563 SCH02533.1 g99873
ortholog_564 SCH03184.1 g60161
ortholog_565 SCH02266.1 g61150
ortholog_566 SCH02437.1 g60081
ortholog_567 SCH02207.1 g58490
ortholog_568 SCH02570.1 g59412
ortholog_569 SCH02010.1 g112166
ortholog_570 SCH02886.1 g1090
ortholog_571 SCH03015.1 g66022
ortholog_572 SCH02897.1 g173636
ortholog_573 SCH02138.1 g168354
ortholog_574 SCH02645.1 g65126
ortholog_575 SCH02661.1 g57577
ortholog_576 SCH02236.1 g60249
ortholog_577 SCH02314.1 g60518
ortholog_578 SCH02606.1 g174679
ortholog_579 SCH02587.1 g60770
ortholog_580 SCH02707.1 g57499
ortholog_581 SCH02518.1 g44812
ortholog_582 SCH02968.1 g66730
ortholog_583 SCH02615.1 g62051
ortholog_584 SCH02604.1 g103354
ortholog_585 SCH02469.1 g61852
ortholog_586 SCH03283.1 g60902
ortholog_587 SCH03241.1 g48887
ortholog_588 SCH02385.1 g62420
ortholog_589 SCH03219.1 g60041
ortholog_590 SCH02143.1 g63780
ortholog_591 SCH03182.1 g62037
ortholog_592 SCH03218.1 g62030
ortholog_593 SCH03138.1 g63293
ortholog_594 SCH02743.1 g60806
ortholog_595 SCH03032.1 g58245
ortholog_596 SCH02788.1 g90016
ortholog_597 SCH02828.1 g66393
ortholog_598 SCH02235.1 g90685
ortholog_599 SCH02905.1 g64631
ortholog_600 SCH02042.1 g62913
ortholog_601 SCH02079.1 g59844
ortholog_602 SCH03108.1 g65931
ortholog_603 SCH02527.1 g65918
ortholog_604 SCH02152.1 g59439
ortholog_605 SCH03143.1 g64586
ortholog_606 SCH02847.1 g59621
ortholog_607 SCH02970.1 g65625
ortholog_608 SCH02762.1 g65237
ortholog_609 SCH02302.1 g60976
ortholog_610 SCH02823.1 g60940
ortholog_611 SCH02591.1 g98119
ortholog_612 SCH03024.1 g57880
ortholog_613 SCH02754.1 g62960
ortholog_614 SCH02964.1 g60532
ortholog_615 SCH03173.1 g65165
ortholog_616 SCH03130.1 g62867
ortholog_617 SCH03169.1 g62909
ortholog_618 SCH03289.1 g65480
ortholog_619 SCH02795.1 g30476
ortholog_620 SCH02947.1 g62610
ortholog_621 SCH03102.1 g60174
ortholog_622 SCH03147.1 g65688
ortholog_623 SCH02343.1 g65539
ortholog_624 SCH02767.1 g57931
ortholog_625 SCH02451.1 g65298
ortholog_626 SCH02560.1 g57160
ortholog_627 SCH02333.1 g60895
ortholog_628 SCH03175.1 g60898
ortholog_629 SCH02009.1 g62275
ortholog_630 SCH03294.1 g64324
ortholog_631 SCH02151.1 g57918
ortholog_632 SCH03150.1 g65186
ortholog_633 SCH02254.1 g57373
ortholog_634 SCH02812.1 g57378
ortholog_635 SCH02193.1 g65693
ortholog_636 SCH02304.1 g62445
ortholog_637 SCH02330.1 g100404
ortholog_638 SCH02951.1 g130670
ortholog_639 SCH03343.1 g114858
ortholog_640 SCH03277.1 g10020
ortholog_641 SCH02502.1 g65189
ortholog_642 SCH02038.1 g65489
ortholog_643 SCH02644.1 g64594
ortholog_644 SCH03123.1 g58781
ortholog_645 SCH02053.1 g149618
ortholog_646 SCH02835.1 g65083
ortholog_647 SCH03370.1 g59714
ortholog_648 SCH02063.1 g62270
ortholog_649 SCH02798.1 g111123
ortholog_650 SCH03039.1 g197872
ortholog_651 SCH03348.1 g63326
ortholog_652 SCH02513.1 g57585
ortholog_653 SCH02286.1 g5240
ortholog_654 SCH03071.1 g60198
ortholog_655 SCH02423.1 g60813
ortholog_656 SCH02370.1 g60814
ortholog_657 SCH02494.1 g201842
ortholog_658 SCH02553.1 g61401
ortholog_659 SCH02342.1 g99045
ortholog_660 SCH02005.1 g89436
ortholog_661 SCH02015.1 g37008
ortholog_662 SCH02205.1 g182110
ortholog_663 SCH03334.1 g81103
ortholog_664 SCH02226.1 g81102
ortholog_665 SCH03229.1 g62977
ortholog_666 SCH02854.1 g128815
ortholog_667 SCH02221.1 g63141
ortholog_668 SCH02263.1 g66051
ortholog_669 SCH02619.1 g61910
ortholog_670 SCH03212.1 g60506
ortholog_671 SCH02283.1 g63812
ortholog_672 SCH02965.1 g60513
ortholog_673 SCH03066.1 g200179
ortholog_674 SCH02652.1 g128683
ortholog_675 SCH02466.1 g191873
ortholog_676 SCH02756.1 g178357
ortholog_677 SCH03353.1 g60932
ortholog_678 SCH02078.1 g58359
ortholog_679 SCH02859.1 g58757
ortholog_680 SCH02139.1 g62169
ortholog_681 SCH02649.1 g58090
ortholog_682 SCH03305.1 g60259
ortholog_683 SCH03074.1 g61157
ortholog_684 SCH03053.1 g170512
ortholog_685 SCH02933.1 g61779
ortholog_686 SCH02311.1 g61373
ortholog_687 SCH02269.1 g65422
ortholog_688 SCH02231.1 g63677
ortholog_689 SCH03246.1 g166742
ortholog_690 SCH02701.1 g59554
ortholog_691 SCH02610.1 g59574
ortholog_692 SCH02300.1 g57762
ortholog_693 SCH02175.1 g66249
ortholog_694 SCH02478.1 g63599
ortholog_695 SCH02436.1 g66264
ortholog_696 SCH02279.1 g61400
ortholog_697 SCH02352.1 g62670
ortholog_698 SCH02098.1 g62581
ortholog_699 SCH02995.1 g61723
ortholog_700 SCH02734.1 g87469
ortholog_701 SCH02557.1 g60095
ortholog_702 SCH02499.1 g65662
ortholog_703 SCH03113.1 g160026
ortholog_704 SCH02116.1 g80156
ortholog_705 SCH03055.1 g66045
ortholog_706 SCH02184.1 g64381
ortholog_707 SCH02192.1 g61068
ortholog_708 SCH02439.1 g63750
ortholog_709 SCH02623.1 g64049
ortholog_710 SCH03202.1 g107527
ortholog_711 SCH02203.1 g107525
ortholog_712 SCH02575.1 g63288
ortholog_713 SCH03195.1 g64124
ortholog_714 SCH03337.1 g1115
ortholog_715 SCH02210.1 g58303
ortholog_716 SCH02167.1 g60861
ortholog_717 SCH02447.1 g62619
ortholog_718 SCH02554.1 g62637
ortholog_719 SCH02255.1 g65183
ortholog_720 SCH03342.1 g65570
ortholog_721 SCH02030.1 g65568
ortholog_722 SCH03351.1 g64669
ortholog_723 SCH02647.1 g58374
ortholog_724 SCH03062.1 g58381
ortholog_725 SCH01989.1 g89280
ortholog_726 SCH03356.1 g63747
ortholog_727 SCH02991.1 g60382
ortholog_728 SCH02277.1 g64009
ortholog_729 SCH02414.1 g62417
ortholog_730 SCH03378.1 g92065
ortholog_731 SCH02310.1 g205267
ortholog_732 SCH02790.1 g64791
ortholog_733 SCH02154.1 g63043
ortholog_734 SCH02134.1 g60047
ortholog_735 SCH02771.1 g36530
