ortholog_1 g320 BL22201
ortholog_146 g5118 BL04024
ortholog_147 g5125 BL04025
ortholog_148 g5151 BL04009
ortholog_149 g5154 BL04010
ortholog_150 g5156 BL04011
ortholog_151 g5184 BL15097
ortholog_152 g5247 BL04129
ortholog_153 g5260 BL16101
ortholog_154 g5262 BL04012
ortholog_155 g5267 BL19880
ortholog_156 g5276 BL05375
ortholog_157 g5353 BL19989
ortholog_158 g5376 BL20020
ortholog_159 g5382 BL20021
ortholog_160 g5385 BL20022
ortholog_161 g5396 BL20396
ortholog_162 g5402 BL20395
ortholog_163 g5421 BL09825
ortholog_164 g5458 BL10903
ortholog_165 g5459 BL08938
ortholog_166 g5473 BL23691
ortholog_167 g5499 BL20524
ortholog_168 g5508 BL19416
ortholog_169 g5511 BL20300
ortholog_170 g5517 BL23195
ortholog_171 g5525 BL01803
ortholog_172 g5542 BL04040
ortholog_173 g5548 BL09185
ortholog_174 g5610 BL06017
ortholog_175 g5621 BL20383
ortholog_176 g5624 BL20382
ortholog_177 g5635 BL20381
ortholog_178 g5641 BL20378
ortholog_179 g5650 BL04136
ortholog_180 g5682 BL09202
ortholog_181 g5706 BL03898
ortholog_182 g5730 BL20491
ortholog_183 g5792 BL06912
ortholog_184 g5800 BL13366
ortholog_185 g5807 BL03997
ortholog_186 g5809 BL20040
ortholog_187 g5845 BL20713
ortholog_188 g5860 BL19937
ortholog_189 g5869 BL17742
ortholog_190 g5871 BL04050
ortholog_191 g5877 BL20088
ortholog_192 g5890 BL09996
ortholog_193 g5913 BL18326
ortholog_194 g5914 BL04054
ortholog_195 g5934 BL09990
ortholog_196 g5936 BL04090
ortholog_197 g5944 BL19428
ortholog_198 g5957 BL04046
ortholog_199 g6004 BL24274
ortholog_200 g6063 BL20080
ortholog_201 g6145 BL20424
ortholog_202 g6190 BL04028
ortholog_203 g6299 BL22129
ortholog_204 g6321 BL17783
ortholog_205 g6327 BL27025
ortholog_206 g6356 BL20028
ortholog_207 g6367 BL20260
ortholog_208 g6369 BL09998
ortholog_209 g6415 BL00011
ortholog_210 g6426 BL19972
ortholog_211 g6451 BL07154
ortholog_212 g6470 BL04117
ortholog_213 g6473 BL18285
ortholog_214 g6547 BL20027
ortholog_215 g6555 BL20030
ortholog_216 g6557 BL20031
ortholog_217 g6566 BL20015
ortholog_218 g6572 BL09159
ortholog_219 g6579 BL14165
ortholog_220 g6588 BL19971
ortholog_221 g6628 BL20501
ortholog_222 g6634 BL20225
ortholog_223 g6638 BL16081
ortholog_224 g6674 BL02383
ortholog_225 g6692 BL23216
ortholog_226 g6701 BL23198
ortholog_227 g6702 BL23214
ortholog_228 g6706 BL09999
ortholog_229 g6731 BL08384
ortholog_230 g6735 BL20262
ortholog_231 g6770 BL01574
ortholog_232 g6777 BL13395
ortholog_233 g6834 BL20050
ortholog_234 g6839 BL20051
ortholog_235 g6848 BL03952
ortholog_236 g6858 BL03951
ortholog_237 g6886 BL24238
ortholog_238 g6898 BL02816
ortholog_239 g6913 BL20556
ortholog_240 g6917 BL19168
ortholog_241 g6932 BL19947
ortholog_242 g6951 BL09780
ortholog_243 g6961 BL20570
ortholog_244 g6996 BL19868
ortholog_245 g6999 BL20233
ortholog_246 g7011 BL07975
ortholog_247 g7014 BL19975
ortholog_248 g7037 BL14418
ortholog_249 g7038 BL04635
ortholog_250 g7053 BL09229
ortholog_251 g7065 BL20238
ortholog_252 g7072 BL01116
ortholog_253 g7078 BL13245
ortholog_254 g7100 BL16583
ortholog_255 g7214 BL20455
ortholog_256 g7232 BL08172
ortholog_257 g7241 BL19886
ortholog_258 g7248 BL13371
ortholog_259 g7256 BL24198
ortholog_260 g7334 BL22814
ortholog_261 g7344 BL03945
ortholog_262 g7346 BL03946
ortholog_263 g7386 BL19008
ortholog_264 g7448 BL20066
ortholog_265 g7458 BL03940
ortholog_266 g7461 BL03939
ortholog_267 g7470 BL25948
ortholog_268 g7476 BL08063
ortholog_269 g7480 BL12367
ortholog_270 g7488 BL27973
ortholog_271 g7541 BL20004
ortholog_272 g7545 BL19153
ortholog_273 g7549 BL11615
ortholog_274 g7555 BL22873
ortholog_275 g7566 BL01224
ortholog_276 g7580 BL20551
ortholog_277 g7584 BL23366
ortholog_278 g7590 BL19988
ortholog_279 g7598 BL24668
ortholog_280 g7604 BL09989
ortholog_281 g7628 BL19962
ortholog_282 g7636 BL04027
ortholog_283 g7653 BL03450
ortholog_284 g7726 BL19915
ortholog_285 g7728 BL14749
ortholog_286 g7741 BL04109
ortholog_287 g7757 BL04107
ortholog_288 g7762 BL20252
ortholog_289 g7763 BL20251
ortholog_290 g7802 BL04033
ortholog_291 g7810 BL23334
ortholog_292 g7874 BL21450
ortholog_293 g7883 BL20391
ortholog_294 g7890 BL03941
ortholog_295 g8006 BL25789
ortholog_296 g8021 BL03462
ortholog_297 g8036 BL02944
ortholog_298 g8073 BL19205
ortholog_299 g8075 BL20189
ortholog_300 g8104 BL04104
ortholog_301 g8132 BL04051
ortholog_302 g8139 BL15824
ortholog_303 g8151 BL20003
ortholog_304 g8210 BL09824
ortholog_305 g8236 BL07287
ortholog_306 g8262 BL20199
ortholog_307 g8281 BL17170
ortholog_308 g8284 BL01397
ortholog_309 g8308 BL13580
ortholog_310 g8354 BL24249
ortholog_311 g8355 BL24250
ortholog_312 g8360 BL03953
ortholog_313 g8368 BL03954
ortholog_314 g8372 BL20488
ortholog_315 g8378 BL20255
ortholog_316 g8397 BL20600
ortholog_317 g8399 BL04085
ortholog_318 g8421 BL24266
ortholog_319 g8430 BL20226
ortholog_320 g8439 BL03992
ortholog_321 g8472 BL19159
ortholog_322 g8476 BL19158
ortholog_323 g8480 BL19939
ortholog_324 g8489 BL07099
ortholog_325 g8499 BL19119
ortholog_326 g8508 BL19811
ortholog_327 g8528 BL18398
ortholog_328 g8579 BL20560
ortholog_329 g8603 BL19874
ortholog_330 g8638 BL05445
ortholog_331 g8639 BL20460
ortholog_332 g8666 BL20218
ortholog_333 g8680 BL27494
ortholog_334 g8694 BL20388
ortholog_335 g8703 BL20389
ortholog_336 g8720 BL20387
ortholog_337 g8723 BL20386
ortholog_338 g8731 BL03912
ortholog_339 g8733 BL03913
ortholog_340 g8747 BL19976
ortholog_341 g8774 BL20215
ortholog_342 g8781 BL20016
ortholog_343 g8786 BL17352
ortholog_344 g8811 BL09179
ortholog_345 g8813 BL09178
ortholog_346 g8833 BL23196
ortholog_347 g8842 BL14681
ortholog_348 g8856 BL20201
ortholog_349 g8860 BL24219
ortholog_350 g8861 BL20191
ortholog_351 g8862 BL17740
ortholog_352 g8979 BL23225
ortholog_353 g8988 BL01373
ortholog_354 g8992 BL15648
ortholog_355 g9074 BL19179
ortholog_356 g9077 BL10902
ortholog_357 g9086 BL03409
ortholog_358 g9091 BL07583
ortholog_359 g9122 BL18561
ortholog_360 g9137 BL20083
ortholog_361 g9166 BL20457
ortholog_362 g9174 BL03920
ortholog_363 g9179 BL03915
ortholog_364 g9193 BL20514
ortholog_365 g9201 BL20504
ortholog_366 g9215 BL16029
ortholog_367 g9227 BL20258
ortholog_368 g9246 BL20257
ortholog_369 g9250 BL20256
ortholog_370 g9261 BL19997
ortholog_371 g9266 BL02840
ortholog_372 g9270 BL20760
ortholog_373 g9292 BL04007
ortholog_374 g9302 BL04045
ortholog_375 g9323 BL19170
ortholog_376 g9335 BL23219
ortholog_377 g9338 BL16109
ortholog_378 g9343 BL23220
ortholog_379 g9379 BL24806
ortholog_380 g9479 BL09596
ortholog_381 g9600 BL21559
ortholog_382 g9667 BL19887
ortholog_383 g9672 BL08429
ortholog_384 g9690 BL11953
ortholog_385 g9715 BL16345
ortholog_386 g9746 BL17658
ortholog_387 g9751 BL20214
ortholog_388 g9757 BL24199
ortholog_389 g9769 BL24201
ortholog_390 g9788 BL24202
ortholog_391 g9793 BL09175
ortholog_392 g9799 BL20494
ortholog_393 g9809 BL20495
ortholog_394 g9833 BL13164
ortholog_395 g9866 BL04835
ortholog_396 g9904 BL19897
ortholog_397 g9984 BL20561
ortholog_398 g9987 BL19999
ortholog_399 g10051 BL09173
ortholog_400 g10064 BL20502
ortholog_401 g10102 BL09162
ortholog_402 g10110 BL09166
ortholog_403 g10119 BL19950
ortholog_404 g10145 BL10593
ortholog_405 g10149 BL19155
ortholog_406 g10154 BL04128
ortholog_407 g10156 BL02284
ortholog_408 g10161 BL07841
ortholog_409 g10162 BL07842
ortholog_410 g10217 BL20203
ortholog_411 g10229 BL20376
ortholog_412 g10298 BL24236
ortholog_413 g10323 BL19995
ortholog_414 g10329 BL20025
ortholog_415 g10348 BL10040
ortholog_416 g10379 BL03948
ortholog_417 g10464 BL06117
ortholog_418 g10492 BL10013
ortholog_419 g10501 BL23354
ortholog_420 g10507 BL20499
ortholog_421 g10522 BL04124
ortholog_422 g10525 BL25485
ortholog_423 g10531 BL23113
ortholog_424 g10556 BL20000
ortholog_425 g10595 BL20402
ortholog_426 g10597 BL20398
ortholog_427 g10604 BL17161
ortholog_428 g10624 BL20194
ortholog_429 g10631 BL04071
ortholog_430 g10649 BL19028
ortholog_431 g10661 BL05200
ortholog_432 g10682 BL03930
ortholog_433 g10695 BL06944
ortholog_434 g10697 BL22157
ortholog_435 g10739 BL02599
ortholog_436 g10778 BL19934
ortholog_437 g10801 BL20301
ortholog_438 g10830 BL03971
ortholog_439 g10845 BL24223
ortholog_440 g10847 BL24222
ortholog_441 g10859 BL19166
ortholog_442 g10878 BL04068
ortholog_443 g10884 BL20292
ortholog_444 g10894 BL20291
ortholog_445 g10896 BL08535
ortholog_446 g10900 BL03998
ortholog_447 g10906 BL24245
ortholog_448 g10933 BL24248
ortholog_449 g10961 BL13033
ortholog_450 g10963 BL16199
ortholog_451 g11030 BL19992
ortholog_452 g11049 BL05951
ortholog_453 g11063 BL04074
ortholog_454 g11070 BL19140
ortholog_455 g11116 BL20236
ortholog_456 g11147 BL04015
ortholog_457 g11152 BL04016
ortholog_458 g11159 BL20208
ortholog_459 g11160 BL20207
ortholog_460 g11168 BL20079
ortholog_461 g11171 BL19149
ortholog_462 g11181 BL20082
ortholog_463 g11184 BL19941
ortholog_464 g11214 BL19156
ortholog_465 g11215 BL04089
ortholog_466 g11221 BL14770
ortholog_467 g11229 BL03905
ortholog_468 g11236 BL09182
ortholog_469 g11248 BL09180
ortholog_470 g11298 BL08916
ortholog_471 g11307 BL00374
ortholog_472 g11335 BL19143
ortholog_473 g11353 BL20735
ortholog_474 g11363 BL20196
ortholog_475 g11401 BL14980
ortholog_476 g11416 BL20602
ortholog_477 g11434 BL03950
ortholog_478 g11450 BL23203
ortholog_479 g11456 BL23204
ortholog_480 g11464 BL19883
ortholog_481 g11479 BL13382
ortholog_482 g11481 BL20535
ortholog_483 g11493 BL20361
ortholog_484 g11494 BL20596
ortholog_485 g11495 BL20613
ortholog_486 g11501 BL20598
ortholog_487 g11503 BL20599
ortholog_488 g11555 BL05749
ortholog_489 g11556 BL19120
ortholog_490 g11562 BL09057
ortholog_491 g11566 BL01235
ortholog_492 g11765 BL20409
ortholog_493 g11770 BL19180
ortholog_494 g11775 BL24196
ortholog_495 g11780 BL03991
ortholog_496 g11861 BL27163
ortholog_497 g11960 BL20712
ortholog_498 g11993 BL19954
ortholog_499 g12041 BL03319
ortholog_500 g12073 BL24370
ortholog_501 g12204 BL07126
ortholog_502 g12232 BL07291
ortholog_503 g12517 BL01479
ortholog_504 g12582 BL17704
ortholog_505 g12589 BL14363
ortholog_506 g12699 BL14794
ortholog_507 g12720 BL24710
ortholog_508 g12839 BL22925
ortholog_509 g12888 BL06212
ortholog_510 g12951 BL19426
ortholog_511 g13284 BL02208
ortholog_512 g13320 BL03200
ortholog_513 g13344 BL08847
ortholog_514 g13375 BL03201
ortholog_515 g13435 BL13557
ortholog_516 g13458 BL02932
ortholog_517 g13462 BL12983
ortholog_518 g13467 BL00019
ortholog_519 g13477 BL22638
ortholog_520 g13483 BL22637
ortholog_521 g13495 BL03088
ortholog_522 g13522 BL23301
ortholog_523 g13528 BL00450
ortholog_524 g13558 BL22562
ortholog_525 g13582 BL02880
ortholog_526 g13590 BL15256
ortholog_527 g13643 BL19871
ortholog_528 g13649 BL24302
ortholog_529 g13668 BL02870
ortholog_530 g13692 BL02989
ortholog_531 g13702 BL24583
ortholog_532 g13743 BL11789
ortholog_533 g13768 BL22422
ortholog_534 g13882 BL02904
ortholog_535 g13883 BL02710
ortholog_536 g13910 BL03155
ortholog_537 g13964 BL18068
ortholog_538 g14022 BL21364
ortholog_539 g14039 BL24481
ortholog_540 g14079 BL02863
ortholog_541 g14088 BL02868
ortholog_542 g14094 BL11346
ortholog_543 g14107 BL02607
ortholog_544 g14108 BL02938
ortholog_545 g14118 BL13822
ortholog_546 g14134 BL03108
ortholog_547 g14258 BL03071
ortholog_548 g14262 BL02618
ortholog_549 g14268 BL02832
ortholog_550 g14334 BL23596
ortholog_551 g14405 BL25375
ortholog_552 g14409 BL02962
ortholog_553 g14432 BL02973
ortholog_554 g14447 BL02902
ortholog_555 g14502 BL24469
ortholog_556 g14566 BL12842
ortholog_557 g14577 BL03011
ortholog_558 g14581 BL24766
ortholog_559 g14586 BL11844
ortholog_560 g14630 BL02753
ortholog_561 g14650 BL21790
ortholog_562 g14682 BL02776
ortholog_563 g14685 BL02774
ortholog_564 g14711 BL20839
ortholog_565 g14715 BL17283
ortholog_566 g14719 BL26578
ortholog_567 g14720 BL03041
ortholog_568 g14728 BL03042
ortholog_569 g14730 BL16287
ortholog_570 g14775 BL02842
ortholog_571 g14778 BL02841
ortholog_572 g14793 BL26472
ortholog_573 g14805 BL10828
ortholog_574 g14813 BL02859
ortholog_575 g14918 BL03005
ortholog_576 g15001 BL24537
ortholog_577 g15003 BL24540
ortholog_578 g15009 BL02597
ortholog_579 g15010 BL11461
ortholog_580 g15018 BL18396
ortholog_581 g15025 BL02561
ortholog_582 g15070 BL21936
ortholog_583 g15082 BL02901
ortholog_584 g15084 BL02586
ortholog_585 g15122 BL22594
ortholog_586 g15143 BL22586
ortholog_587 g15186 BL02664
ortholog_588 g15190 BL02663
ortholog_589 g15294 BL24513
ortholog_590 g15309 BL26450
ortholog_591 g15316 BL26581
ortholog_592 g15334 BL02666
ortholog_593 g15343 BL03102
ortholog_594 g15350 BL02590
ortholog_595 g15357 BL02605
ortholog_596 g15359 BL14273
ortholog_597 g15375 BL22554
ortholog_598 g15408 BL03124
ortholog_599 g15428 BL02556
ortholog_600 g15432 BL03009
ortholog_601 g15437 BL03010
ortholog_602 g15467 BL02711
ortholog_603 g15476 BL05976
ortholog_604 g15478 BL03180
ortholog_605 g15486 BL01733
ortholog_606 g15495 BL02834
ortholog_607 g15496 BL12118
ortholog_608 g15506 BL24589
ortholog_609 g15541 BL00444
ortholog_610 g15546 BL18334
ortholog_611 g15580 BL12587
ortholog_612 g15585 BL24930
ortholog_613 g15625 BL02980
ortholog_614 g15629 BL21007
ortholog_615 g15639 BL15789
ortholog_616 g15664 BL05408
ortholog_617 g15677 BL03183
ortholog_618 g15712 BL03184
ortholog_619 g15715 BL01942
ortholog_620 g15719 BL01083
ortholog_621 g15740 BL19304
ortholog_622 g15745 BL13077
ortholog_623 g15807 BL15791
ortholog_624 g15875 BL26568
ortholog_625 g15885 BL26572
ortholog_626 g15901 BL02576
ortholog_627 g15907 BL02594
ortholog_628 g15927 BL21699
ortholog_629 g15969 BL02960
ortholog_630 g16044 BL02567
ortholog_631 g16061 BL22585
ortholog_632 g16098 BL02815
ortholog_633 g16113 BL02877
ortholog_634 g16146 BL02957
ortholog_635 g16150 BL02971
ortholog_636 g16223 BL05218
ortholog_637 g16235 BL02736
ortholog_638 g16242 BL27932
ortholog_639 g16288 BL03106
ortholog_640 g16331 BL02879
ortholog_641 g16363 BL02878
ortholog_642 g16373 BL25608
ortholog_643 g16382 BL03176
ortholog_644 g16408 BL02826
ortholog_645 g16443 BL10833
ortholog_646 g16501 BL02876
ortholog_647 g16516 BL12951
ortholog_648 g16537 BL02843
ortholog_649 g16552 BL02893
ortholog_650 g16560 BL21750
ortholog_651 g16571 BL01358
ortholog_652 g16581 BL02890
ortholog_653 g16613 BL10715
ortholog_654 g16656 BL24527
ortholog_655 g16674 BL24526
ortholog_656 g16756 BL03030
ortholog_657 g16758 BL10561
ortholog_658 g16762 BL02954
ortholog_659 g16805 BL24587
ortholog_660 g16821 BL03046
ortholog_661 g16830 BL03047
ortholog_662 g16926 BL06738
ortholog_663 g16951 BL02930
ortholog_664 g16956 BL03044
ortholog_665 g16996 BL15344
ortholog_666 g17027 BL02966
ortholog_667 g17059 BL02540
ortholog_668 g17067 BL02539
ortholog_669 g17081 BL02912
ortholog_670 g17128 BL02683
ortholog_671 g17302 BL02998
ortholog_672 g17304 BL26555
ortholog_673 g17314 BL03086
ortholog_674 g17336 BL24570
ortholog_675 g17365 BL11846
ortholog_676 g17378 BL15885
ortholog_677 g17387 BL22536
ortholog_678 g17390 BL02945
ortholog_679 g17411 BL09512
ortholog_680 g17439 BL03187
ortholog_681 g17449 BL03171
ortholog_682 g17450 BL23667
ortholog_683 g17456 BL03186
ortholog_684 g17572 BL02686
ortholog_685 g17616 BL24460
ortholog_686 g17630 BL24592
ortholog_687 g17648 BL02788
ortholog_688 g17653 BL23200
ortholog_689 g17657 BL22542
ortholog_690 g17667 BL22543
ortholog_691 g17672 BL24598
ortholog_692 g17684 BL09375
ortholog_693 g17721 BL24444
ortholog_694 g17731 BL03110
ortholog_695 g17746 BL03109
ortholog_696 g17751 BL24443
ortholog_697 g17755 BL02931
ortholog_698 g17761 BL21830
ortholog_699 g17767 BL17256
ortholog_700 g17774 BL14497
ortholog_701 g17783 BL07825
ortholog_702 g17786 BL00433
ortholog_703 g17787 BL17277
ortholog_704 g17865 BL02704
ortholog_705 g17919 BL02917
ortholog_706 g17921 BL27079
ortholog_707 g17922 BL05465
ortholog_708 g17927 BL03075
ortholog_709 g17930 BL02671
ortholog_710 g18057 BL02617
ortholog_711 g18061 BL26544
ortholog_712 g18069 BL14789
ortholog_713 g18080 BL02794
ortholog_714 g18081 BL22596
ortholog_715 g18086 BL22597
ortholog_716 g18142 BL26588
ortholog_717 g18193 BL26571
ortholog_718 g18203 BL13756
ortholog_719 g18218 BL02818
ortholog_720 g18241 BL24573
ortholog_721 g18243 BL24495
ortholog_722 g18245 BL02829
ortholog_723 g18273 BL03205
ortholog_724 g18284 BL02983
ortholog_725 g18292 BL02982
ortholog_726 g18354 BL12980
ortholog_727 g18361 BL22569
ortholog_728 g18381 BL02654
ortholog_729 g18405 BL10243
ortholog_730 g18412 BL03120
ortholog_731 g18416 BL22281
ortholog_732 g18424 BL02913
ortholog_733 g18429 BL09424
ortholog_734 g18464 BL27735
ortholog_735 g18504 BL03052
ortholog_736 g18525 BL03189
ortholog_737 g18612 BL02819
ortholog_738 g18616 BL26567
ortholog_739 g18620 BL03153
ortholog_740 g18674 BL26583
ortholog_741 g18699 BL02855
ortholog_742 g18702 BL02856
ortholog_743 g18710 BL11407
ortholog_744 g18725 BL24447
ortholog_745 g18740 BL03100
ortholog_746 g18791 BL02987
ortholog_747 g18792 BL02988
ortholog_748 g18797 BL12050
ortholog_749 g18812 BL04439
ortholog_750 g18814 BL04437
ortholog_751 g18829 BL02428
ortholog_752 g18841 BL04412
ortholog_753 g18938 BL24493
ortholog_754 g18963 BL03198
ortholog_755 g18971 BL02844
ortholog_756 g18989 BL02874
ortholog_757 g19016 BL26590
ortholog_758 g19019 BL24584
ortholog_759 g19054 BL02580
ortholog_760 g19059 BL02577
ortholog_761 g19149 BL24602
ortholog_762 g19167 BL27933
ortholog_763 g19174 BL16235
ortholog_764 g19177 BL02200
ortholog_765 g19197 BL22578
ortholog_766 g19201 BL10952
ortholog_767 g19217 BL15394
ortholog_768 g19317 BL02613
ortholog_769 g19334 BL11638
ortholog_770 g19338 BL02883
ortholog_771 g19341 BL03015
ortholog_772 g19349 BL26520
ortholog_773 g19391 BL02975
ortholog_774 g19392 BL02976
ortholog_775 g19403 BL22111
ortholog_776 g19409 BL26258
ortholog_777 g19412 BL26550
ortholog_778 g19414 BL03089
ortholog_779 g19419 BL02712
ortholog_780 g19437 BL14179
ortholog_781 g19439 BL26793
ortholog_782 g19444 BL02678
ortholog_783 g19482 BL02615
ortholog_784 g19505 BL12638
ortholog_785 g19509 BL24491
ortholog_786 g19533 BL02974
ortholog_787 g19534 BL02738
ortholog_788 g19545 BL02737
ortholog_789 g19550 BL03008
ortholog_790 g19551 BL03127
ortholog_791 g19601 BL18951
ortholog_792 g19606 BL24485
ortholog_793 g19654 BL26584
ortholog_794 g19706 BL00397
ortholog_795 g19713 BL00396
ortholog_796 g19714 BL00395
ortholog_797 g19749 BL00392
ortholog_798 g19790 BL03158
ortholog_799 g19798 BL03160
ortholog_800 g19829 BL02632
ortholog_801 g19935 BL22574
ortholog_802 g19989 BL22614
ortholog_803 g20010 BL02958
ortholog_804 g20039 BL02899
ortholog_805 g20046 BL24601
ortholog_806 g20119 BL02744
ortholog_807 g20126 BL03199
ortholog_808 g20177 BL26587
ortholog_809 g20179 BL12852
ortholog_810 g20196 BL14207
ortholog_811 g20271 BL03135
ortholog_812 g20275 BL26444
ortholog_813 g20283 BL02675
ortholog_814 g20289 BL03173
ortholog_815 g20336 BL25465
ortholog_816 g20371 BL02801
ortholog_817 g20372 BL02812
ortholog_818 g20400 BL01967
ortholog_819 g20423 BL16828
ortholog_820 g20447 BL03128
ortholog_821 g20471 BL02875
ortholog_822 g20479 BL13151
ortholog_823 g20499 BL02745
ortholog_824 g20503 BL16807
ortholog_825 g20512 BL03014
ortholog_826 g20524 BL03185
ortholog_827 g20528 BL27369
ortholog_828 g20529 BL02836
ortholog_829 g20534 BL03034
ortholog_830 g20542 BL11860
ortholog_831 g20562 BL11864
ortholog_832 g20567 BL11867
ortholog_833 g20612 BL22636
ortholog_834 g20653 BL09687
ortholog_835 g20666 BL26417
ortholog_836 g20673 BL09562
ortholog_837 g20815 BL20994
ortholog_838 g20868 BL20290
ortholog_839 g20965 BL22604
ortholog_840 g20969 BL25035
ortholog_841 g21000 BL22563
ortholog_842 g21011 BL10378
ortholog_843 g21161 BL02914
ortholog_844 g21167 BL03152
ortholog_845 g21271 BL02807
ortholog_846 g21325 BL11824
ortholog_847 g21331 BL02965
ortholog_848 g21385 BL12982
ortholog_849 g21406 BL02749
ortholog_850 g21412 BL02748
ortholog_851 g21487 BL26458
ortholog_852 g21495 BL02995
ortholog_853 g21508 BL22372
ortholog_854 g21513 BL09419
ortholog_855 g21528 BL26481
ortholog_856 g21541 BL07594
ortholog_857 g21551 BL03438
ortholog_858 g21591 BL03022
ortholog_859 g21597 BL03016
ortholog_860 g21611 BL26615
ortholog_861 g21622 BL02550
ortholog_862 g21727 BL02665
ortholog_863 g21733 BL02563
ortholog_864 g21737 BL13372
ortholog_865 g21785 BL20705
ortholog_866 g21796 BL26552
ortholog_867 g21806 BL26542
ortholog_868 g21812 BL02548
ortholog_869 g21817 BL02549
ortholog_870 g21825 BL17697
ortholog_871 g21833 BL24574
ortholog_872 g21838 BL16288
ortholog_873 g21910 BL24524
ortholog_874 g21913 BL24588
