ortholog_1 MGL00634.1 SCH19313.1
ortholog_270 MGL01235.1 SCH23356.1
ortholog_271 MGL00184.1 SCH22179.1
ortholog_272 MGL01608.1 SCH21827.1
ortholog_273 MGL00627.1 SCH23007.1
ortholog_274 MGL00183.1 SCH21821.1
ortholog_275 MGL00287.1 SCH23262.1
ortholog_276 MGL00339.1 SCH03040.1
ortholog_277 MGL00447.1 SCH22391.1
ortholog_278 MGL00497.1 SCH22760.1
ortholog_279 MGL00559.1 SCH22325.1
ortholog_280 MGL00628.1 SCH22988.1
ortholog_281 MGL00668.1 SCH22797.1
ortholog_282 MGL01546.1 SCH22605.1
ortholog_283 MGL01597.1 SCH21929.1
ortholog_284 MGL00022.1 SCH22742.1
ortholog_285 MGL00075.1 SCH22144.1
ortholog_286 MGL00121.1 SCH11411.1
ortholog_287 MGL01167.1 SCH23361.1
ortholog_288 MGL00260.1 SCH07723.1
ortholog_289 MGL00703.1 SCH22359.1
ortholog_290 MGL00603.1 SCH22472.1
ortholog_291 MGL00546.1 SCH22734.1
ortholog_292 MGL00485.1 SCH23096.1
ortholog_293 MGL00439.1 SCH21711.1
ortholog_294 MGL01479.1 SCH23071.1
ortholog_295 MGL01539.1 SCH10260.1
ortholog_296 MGL01592.1 SCH22976.1
ortholog_297 MGL01542.1 SCH23349.1
ortholog_298 MGL01409.1 SCH21997.1
ortholog_299 MGL00511.1 SCH21110.1
ortholog_300 MGL01349.1 SCH22901.1
ortholog_301 MGL01406.1 SCH22999.1
ortholog_302 MGL01537.1 SCH22056.1
ortholog_303 MGL01590.1 SCH22459.1
ortholog_304 MGL00017.1 SCH23376.1
ortholog_305 MGL00069.1 SCH21918.1
ortholog_306 MGL00221.1 SCH21775.1
ortholog_307 MGL00272.1 SCH22498.1
ortholog_308 MGL00434.1 SCH22426.1
ortholog_309 MGL00989.1 SCH08871.1
ortholog_310 MGL01145.1 SCH22151.1
ortholog_311 MGL00839.1 SCH22563.1
ortholog_312 MGL00357.1 SCH23371.1
ortholog_313 MGL00956.1 SCH22224.1
ortholog_314 MGL01005.1 SCH22855.1
ortholog_315 MGL00146.1 SCH22740.1
ortholog_316 MGL01056.1 SCH23115.1
ortholog_317 MGL01350.1 SCH22669.1
ortholog_318 MGL01319.1 SCH22886.1
ortholog_319 MGL01270.1 SCH21686.1
ortholog_320 MGL00001.1 SCH21942.1
ortholog_321 MGL00274.1 SCH23114.1
ortholog_322 MGL00223.1 SCH22028.1
ortholog_323 MGL00169.1 SCH22139.1
ortholog_324 MGL00071.1 SCH21744.1
ortholog_325 MGL00887.1 SCH23229.1
ortholog_326 MGL00944.1 SCH22706.1
ortholog_327 MGL00993.1 SCH00926.1
ortholog_328 MGL01044.1 SCH22795.1
ortholog_329 MGL01097.1 SCH22904.1
ortholog_330 MGL01259.1 SCH22690.1
ortholog_331 MGL01312.1 SCH21692.1
ortholog_332 MGL01343.1 SCH22867.1
ortholog_333 MGL01484.1 SCH21704.1
ortholog_334 MGL01532.1 SCH23291.1
ortholog_335 MGL01040.1 SCH19397.1
ortholog_336 MGL00530.1 SCH22460.1
ortholog_337 MGL00584.1 SCH23279.1
ortholog_338 MGL00736.1 SCH22395.1
ortholog_339 MGL00252.1 SCH23090.1
ortholog_340 MGL00831.1 SCH21772.1
ortholog_341 MGL00677.1 SCH22382.1
ortholog_342 MGL00945.1 SCH23239.1
ortholog_343 MGL01260.1 SCH23372.1
ortholog_344 MGL01049.1 SCH12767.1
ortholog_345 MGL01102.1 SCH21708.1
ortholog_346 MGL01156.1 SCH22603.1
ortholog_347 MGL01212.1 SCH21726.1
ortholog_348 MGL01344.1 SCH22443.1
ortholog_349 MGL01313.1 SCH21788.1
ortholog_350 MGL01209.1 SCH22697.1
ortholog_351 MGL01046.1 SCH22216.1
ortholog_352 MGL00995.1 SCH23178.1
ortholog_353 MGL00266.1 SCH22355.1
ortholog_354 MGL00315.1 SCH22172.1
ortholog_355 MGL00368.1 SCH22234.1
ortholog_356 MGL00645.1 SCH23143.1
ortholog_357 MGL00209.1 SCH22897.1
ortholog_358 MGL00691.1 SCH22396.1
ortholog_359 MGL00876.1 SCH23228.1
ortholog_360 MGL00785.1 SCH21784.1
ortholog_361 MGL00890.1 SCH21852.1
ortholog_362 MGL00947.1 SCH22748.1
ortholog_363 MGL00996.1 SCH22069.1
ortholog_364 MGL01100.1 SCH23140.1
ortholog_365 MGL01337.1 SCH23082.1
ortholog_366 MGL01262.1 SCH21948.1
ortholog_367 MGL00061.1 SCH23187.1
ortholog_368 MGL00587.1 SCH22729.1
ortholog_369 MGL00786.1 SCH23083.1
ortholog_370 MGL01093.1 SCH22041.1
ortholog_371 MGL00834.1 SCH22713.1
ortholog_372 MGL00891.1 SCH22399.1
ortholog_373 MGL00948.1 SCH23011.1
ortholog_374 MGL01048.1 SCH22079.1
ortholog_375 MGL00875.1 SCH22876.1
ortholog_376 MGL01101.1 SCH21749.1
ortholog_377 MGL01000.1 SCH23292.1
ortholog_378 MGL01051.1 SCH22915.1
ortholog_379 MGL01105.1 SCH24014.1
ortholog_380 MGL00578.1 SCH23195.1
ortholog_381 MGL01265.1 SCH23254.1
ortholog_382 MGL01253.1 SCH23329.1
ortholog_383 MGL01348.1 SCH22354.1
ortholog_384 MGL01402.1 SCH21836.1
ortholog_385 MGL00632.1 SCH22333.1
ortholog_386 MGL01489.1 SCH22232.1
ortholog_387 MGL01534.1 SCH22343.1
ortholog_388 MGL00012.1 SCH22317.1
ortholog_389 MGL01204.1 SCH23154.1
ortholog_390 MGL00049.1 SCH22280.1
ortholog_391 MGL00620.1 SCH10147.1
ortholog_392 MGL00119.1 SCH22586.1
ortholog_393 MGL00020.1 SCH22332.1
ortholog_394 MGL01595.1 SCH23274.1
ortholog_395 MGL01543.1 SCH23188.1
ortholog_396 MGL01499.1 SCH21965.1
ortholog_397 MGL01456.1 SCH23220.1
ortholog_398 MGL01410.1 SCH23167.1
ortholog_399 MGL01273.1 SCH22929.1
ortholog_400 MGL01322.1 SCH22761.1
ortholog_401 MGL00462.1 SCH23289.1
ortholog_402 MGL01521.1 SCH07063.1
ortholog_403 MGL01164.1 SCH22485.1
ortholog_404 MGL01110.1 SCH22679.1
ortholog_405 MGL01060.1 SCH22389.1
ortholog_406 MGL01008.1 SCH23288.1
ortholog_407 MGL00843.1 SCH21922.1
ortholog_408 MGL00725.1 SCH12059.1
ortholog_409 MGL00700.1 SCH22882.1
ortholog_410 MGL00404.1 SCH22544.1
ortholog_411 MGL00730.1 SCH22489.1
ortholog_412 MGL00052.1 SCH21707.1
ortholog_413 MGL00656.1 SCH22423.1
ortholog_414 MGL00300.1 SCH21764.1
ortholog_415 MGL00308.1 SCH23112.1
ortholog_416 MGL00327.1 SCH23013.1
ortholog_417 MGL00779.1 SCH22548.1
ortholog_418 MGL00143.1 SCH21801.1
ortholog_419 MGL00275.1 SCH23058.1
ortholog_420 MGL00225.1 SCH22174.1
ortholog_421 MGL00170.1 SCH22370.1
ortholog_422 MGL00118.1 SCH22645.1
ortholog_423 MGL00877.1 SCH15235.1
ortholog_424 MGL00019.1 SCH22539.1
ortholog_425 MGL00869.1 SCH20350.1
ortholog_426 MGL01004.1 SCH21970.1
ortholog_427 MGL00955.1 SCH22817.1
ortholog_428 MGL00899.1 SCH08827.1
ortholog_429 MGL00838.1 SCH22947.1
ortholog_430 MGL00742.1 SCH22841.1
ortholog_431 MGL00433.1 SCH22297.1
ortholog_432 MGL00376.1 SCH22889.1
ortholog_433 MGL00271.1 SCH21956.1
ortholog_434 MGL00220.1 SCH23282.1
ortholog_435 MGL00114.1 SCH22903.1
ortholog_436 MGL00016.1 SCH23196.1
ortholog_437 MGL01589.1 SCH21877.1
ortholog_438 MGL01536.1 SCH23100.1
ortholog_439 MGL01317.1 SCH22794.1
ortholog_440 MGL01268.1 SCH22741.1
ortholog_441 MGL01338.1 SCH22264.1
ortholog_442 MGL01216.1 SCH21770.1
ortholog_443 MGL00090.1 SCH21746.1
ortholog_444 MGL01055.1 SCH22785.1
ortholog_445 MGL01003.1 SCH21724.1
ortholog_446 MGL01137.1 SCH23029.1
ortholog_447 MGL01151.1 SCH22924.1
ortholog_448 MGL01095.1 SCH21919.1
ortholog_449 MGL01043.1 SCH23302.1
ortholog_450 MGL00828.1 SCH17538.1
ortholog_451 MGL00734.1 SCH21823.1
ortholog_452 MGL00640.1 SCH23116.1
ortholog_453 MGL00678.1 SCH22311.1
ortholog_454 MGL00527.1 SCH23206.1
ortholog_455 MGL01306.1 SCH20204.1
ortholog_456 MGL00365.1 SCH22847.1
ortholog_457 MGL01530.1 SCH22526.1
ortholog_458 MGL01483.1 SCH14873.1
ortholog_459 MGL01208.1 SCH21917.1
ortholog_460 MGL01045.1 SCH22799.1
ortholog_461 MGL01098.1 SCH23243.1
ortholog_462 MGL01454.1 SCH22291.1
ortholog_463 MGL01497.1 SCH22790.1
ortholog_464 MGL01408.1 SCH22108.1
ortholog_465 MGL01352.1 SCH21947.1
ortholog_466 MGL01574.1 SCH21845.1
ortholog_467 MGL01320.1 SCH22410.1
ortholog_468 MGL01271.1 SCH22186.1
ortholog_469 MGL01218.1 SCH22367.1
ortholog_470 MGL00476.1 SCH23163.1
ortholog_471 MGL01250.1 SCH09069.1
ortholog_472 MGL00371.1 SCH21716.1
ortholog_473 MGL01039.1 SCH21673.1
ortholog_474 MGL00216.1 SCH22109.1
ortholog_475 MGL00164.1 SCH09809.1
ortholog_476 MGL00064.1 SCH22053.1
ortholog_477 MGL00698.1 SCH22285.1
ortholog_478 MGL00465.1 SCH21145.1
ortholog_479 MGL00841.1 SCH22573.1
ortholog_480 MGL00901.1 SCH21875.1
ortholog_481 MGL00958.1 SCH22059.1
ortholog_482 MGL01108.1 SCH22657.1
ortholog_483 MGL00406.1 SCH02518.1
ortholog_484 MGL00351.1 SCH03327.1
ortholog_485 MGL01463.1 SCH22913.1
ortholog_486 MGL01504.1 SCH22229.1
ortholog_487 MGL00077.1 SCH22512.1
ortholog_488 MGL00280.1 SCH22979.1
ortholog_489 MGL00332.1 SCH22031.1
ortholog_490 MGL00383.1 SCH23062.1
ortholog_491 MGL00488.1 SCH22148.1
ortholog_492 MGL00550.1 SCH21863.1
ortholog_493 MGL00605.1 SCH23278.1
ortholog_494 MGL00706.1 SCH22671.1
ortholog_495 MGL00802.1 SCH22611.1
ortholog_496 MGL01416.1 SCH22462.1
ortholog_497 MGL00256.1 SCH21879.1
ortholog_498 MGL01505.1 SCH23267.1
ortholog_499 MGL00196.1 SCH22466.1
ortholog_500 MGL01549.1 SCH22525.1
ortholog_501 MGL00281.1 SCH21676.1
ortholog_502 MGL00442.1 SCH22330.1
ortholog_503 MGL00489.1 SCH21846.1
ortholog_504 MGL00551.1 SCH22004.1
ortholog_505 MGL00606.1 SCH21855.1
ortholog_506 MGL01593.1 SCH22233.1
ortholog_507 MGL01540.1 SCH00569.1
ortholog_508 MGL00510.1 SCH11937.1
ortholog_509 MGL00892.1 SCH23109.1
ortholog_510 MGL00787.1 SCH16460.1
ortholog_511 MGL00738.1 SCH21924.1
ortholog_512 MGL01335.1 SCH15181.1
ortholog_513 MGL00588.1 SCH23098.1
ortholog_514 MGL00533.1 SCH23040.1
ortholog_515 MGL00267.1 SCH21759.1
ortholog_516 MGL01441.1 SCH21756.1
ortholog_517 MGL00107.1 SCH22255.1
ortholog_518 MGL00154.1 SCH23272.1
ortholog_519 MGL00009.1 SCH22209.1
ortholog_520 MGL01581.1 SCH22168.1
ortholog_521 MGL00522.1 SCH22739.1
ortholog_522 MGL01263.1 SCH14437.1
ortholog_523 MGL00292.1 SCH15718.1
ortholog_524 MGL00243.1 SCH22304.1
ortholog_525 MGL00089.1 SCH23335.1
ortholog_526 MGL00038.1 SCH23208.1
ortholog_527 MGL00928.1 SCH23078.1
ortholog_528 MGL00039.1 SCH22265.1
ortholog_529 MGL00056.1 SCH23125.1
ortholog_530 MGL00241.1 SCH22434.1
ortholog_531 MGL00291.1 SCH22870.1
ortholog_532 MGL00450.1 SCH08197.1
ortholog_533 MGL00563.1 SCH23318.1
ortholog_534 MGL00087.1 SCH22631.1
ortholog_535 MGL01557.1 SCH23377.1
ortholog_536 MGL01514.1 SCH21687.1
ortholog_537 MGL01427.1 SCH23168.1
ortholog_538 MGL01368.1 SCH22083.1
ortholog_539 MGL01181.1 SCH22705.1
ortholog_540 MGL01021.1 SCH21740.1
ortholog_541 MGL00973.1 SCH22630.1
ortholog_542 MGL00919.1 SCH22989.1
ortholog_543 MGL01386.1 SCH23312.1
ortholog_544 MGL00712.1 SCH10922.1
ortholog_545 MGL00671.1 SCH21732.1
ortholog_546 MGL00562.1 SCH21760.1
ortholog_547 MGL01022.1 SCH22457.1
ortholog_548 MGL00458.1 SCH22609.1
ortholog_549 MGL01076.1 SCH22786.1
ortholog_550 MGL01023.1 SCH22065.1
ortholog_551 MGL00975.1 SCH23384.1
ortholog_552 MGL00403.1 SCH22093.1
ortholog_553 MGL00921.1 SCH22587.1
ortholog_554 MGL00769.1 SCH22211.1
ortholog_555 MGL00861.1 SCH22683.1
ortholog_556 MGL00713.1 SCH22365.1
ortholog_557 MGL00614.1 SCH01293.1
ortholog_558 MGL00564.1 SCH23285.1
ortholog_559 MGL00630.1 SCH01451.1
ortholog_560 MGL01516.1 SCH20570.1
ortholog_561 MGL00824.1 SCH22758.1
ortholog_562 MGL01428.1 SCH14425.1
ortholog_563 MGL01369.1 SCH22081.1
ortholog_564 MGL00134.1 SCH08646.1
ortholog_565 MGL00088.1 SCH21920.1
ortholog_566 MGL01563.1 SCH21957.1
ortholog_567 MGL01612.1 SCH22263.1
ortholog_568 MGL01558.1 SCH21828.1
ortholog_569 MGL01515.1 SCH21890.1
ortholog_570 MGL01529.1 SCH21961.1
ortholog_571 MGL01224.1 SCH22348.1
ortholog_572 MGL01113.1 SCH22243.1
ortholog_573 MGL01063.1 SCH23069.1
ortholog_574 MGL00410.1 SCH22589.1
ortholog_575 MGL00962.1 SCH23352.1
ortholog_576 MGL00907.1 SCH22966.1
ortholog_577 MGL00847.1 SCH22757.1
ortholog_578 MGL00636.1 SCH22561.1
ortholog_579 MGL00748.1 SCH21843.1
ortholog_580 MGL00704.1 SCH22567.1
ortholog_581 MGL00548.1 SCH22680.1
ortholog_582 MGL00867.1 SCH22615.1
ortholog_583 MGL00153.1 SCH21739.1
ortholog_584 MGL00094.1 SCH21755.1
ortholog_585 MGL00330.1 SCH22575.1
ortholog_586 MGL00279.1 SCH17976.1
ortholog_587 MGL00229.1 SCH21946.1
ortholog_588 MGL00174.1 SCH21812.1
ortholog_589 MGL00122.1 SCH21891.1
ortholog_590 MGL00261.1 SCH21940.1
ortholog_591 MGL00023.1 SCH22738.1
ortholog_592 MGL01598.1 SCH22381.1
ortholog_593 MGL01547.1 SCH22617.1
ortholog_594 MGL01502.1 SCH22482.1
ortholog_595 MGL01294.1 SCH23024.1
ortholog_596 MGL00822.1 SCH21968.1
ortholog_597 MGL01325.1 SCH23134.1
ortholog_598 MGL01223.1 SCH23311.1
ortholog_599 MGL01168.1 SCH22440.1
ortholog_600 MGL01062.1 SCH21988.1
ortholog_601 MGL00873.1 SCH23159.1
ortholog_602 MGL01462.1 SCH23161.1
ortholog_603 MGL01503.1 SCH23211.1
ortholog_604 MGL01548.1 SCH23149.1
ortholog_605 MGL00024.1 SCH23107.1
ortholog_606 MGL00076.1 SCH22998.1
ortholog_607 MGL00331.1 SCH22594.1
