ortholog_1 MGL01089.1 BL00872
ortholog_55 MGL00686.1 BL00612
ortholog_56 MGL00638.1 BL22420
ortholog_57 MGL00580.1 BL01876
ortholog_58 MGL01197.1 BL01875
ortholog_59 MGL00420.1 BL01007
ortholog_60 MGL00821.1 BL27169
ortholog_61 MGL00512.1 BL01594
ortholog_62 MGL00210.1 BL01976
ortholog_63 MGL00159.1 BL06795
ortholog_64 MGL00004.1 BL03014
ortholog_65 MGL01482.1 BL00901
ortholog_66 MGL01571.1 BL01343
ortholog_67 MGL00624.1 BL01675
ortholog_68 MGL00991.1 BL04451
ortholog_69 MGL01432.1 BL04438
ortholog_70 MGL01252.1 BL01356
ortholog_71 MGL01305.1 BL01327
ortholog_72 MGL01213.1 BL08264
ortholog_73 MGL00938.1 BL06794
ortholog_74 MGL00466.1 BL10502
ortholog_75 MGL00108.1 BL22423
ortholog_76 MGL00162.1 BL22429
ortholog_77 MGL00693.1 BL08232
ortholog_78 MGL01103.1 BL01121
ortholog_79 MGL01157.1 BL14653
ortholog_80 MGL01582.1 BL00972
ortholog_81 MGL01486.1 BL14665
ortholog_82 MGL01398.1 BL14185
ortholog_83 MGL01447.1 BL22078
ortholog_84 MGL00817.1 BL00854
ortholog_85 MGL01580.1 BL14181
ortholog_86 MGL00008.1 BL01513
ortholog_87 MGL00060.1 BL01512
ortholog_88 MGL00106.1 BL01511
ortholog_89 MGL00946.1 BL01255
ortholog_90 MGL00832.1 BL00970
ortholog_91 MGL00690.1 BL01309
ortholog_92 MGL00644.1 BL01310
ortholog_93 MGL00585.1 BL01633
ortholog_94 MGL00531.1 BL01733
ortholog_95 MGL00424.1 BL17628
ortholog_96 MGL00367.1 BL20947
ortholog_97 MGL00265.1 BL00884
ortholog_98 MGL00213.1 BL08327
ortholog_99 MGL00105.1 BL14655
ortholog_100 MGL01458.1 BL27796
ortholog_101 MGL01033.1 BL27799
ortholog_102 MGL01588.1 BL00929
ortholog_103 MGL00067.1 BL00907
ortholog_104 MGL00166.1 BL19052
ortholog_105 MGL00321.1 BL14654
ortholog_106 MGL01394.1 BL00888
ortholog_107 MGL01195.1 BL01366
ortholog_108 MGL00149.1 BL01101
ortholog_109 MGL00684.1 BL12999
ortholog_110 MGL00309.1 BL00998
ortholog_111 MGL00211.1 BL00999
ortholog_112 MGL00421.1 BL27746
ortholog_113 MGL00472.1 BL23163
ortholog_114 MGL00526.1 BL23164
ortholog_115 MGL00581.1 BL01325
ortholog_116 MGL00639.1 BL04215
ortholog_117 MGL00687.1 BL14179
ortholog_118 MGL00733.1 BL12990
ortholog_119 MGL00827.1 BL00653
ortholog_120 MGL00885.1 BL01283
ortholog_121 MGL00942.1 BL22433
ortholog_122 MGL01042.1 BL22432
ortholog_123 MGL01094.1 BL19101
ortholog_124 MGL01205.1 BL01872
ortholog_125 MGL01257.1 BL00965
ortholog_126 MGL01405.1 BL00590
ortholog_127 MGL01141.1 BL00589
ortholog_128 MGL01034.1 BL00587
ortholog_129 MGL01054.1 BL01210
ortholog_130 MGL01002.1 BL01211
ortholog_131 MGL01133.1 BL01918
ortholog_132 MGL00741.1 BL09069
ortholog_133 MGL00695.1 BL01917
ortholog_134 MGL00650.1 BL01916
ortholog_135 MGL00594.1 BL00866
ortholog_136 MGL00479.1 BL01364
ortholog_137 MGL00374.1 BL22399
ortholog_138 MGL00066.1 BL14226
ortholog_139 MGL01587.1 BL01921
ortholog_140 MGL00155.1 BL01922
ortholog_141 MGL01491.1 BL01776
ortholog_142 MGL01215.1 BL24632
ortholog_143 MGL01160.1 BL01014
ortholog_144 MGL01249.1 BL01616
ortholog_145 MGL01053.1 BL01500
ortholog_146 MGL00681.1 BL28160
ortholog_147 MGL00953.1 BL00708
ortholog_148 MGL00896.1 BL14651
ortholog_149 MGL01316.1 BL01341
ortholog_150 MGL01451.1 BL08279
ortholog_151 MGL00635.1 BL00697
ortholog_152 MGL01586.1 BL14695
ortholog_153 MGL00013.1 BL14697
ortholog_154 MGL01144.1 BL01363
ortholog_155 MGL00112.1 BL01878
ortholog_156 MGL00244.1 BL10803
ortholog_157 MGL00478.1 BL00312
ortholog_158 MGL01052.1 BL14702
ortholog_159 MGL00895.1 BL08262
ortholog_160 MGL00477.1 BL01050
ortholog_161 MGL00429.1 BL01049
ortholog_162 MGL00372.1 BL01052
ortholog_163 MGL00318.1 BL01947
ortholog_164 MGL00539.1 BL07860
ortholog_165 MGL01444.1 BL01447
ortholog_166 MGL00102.1 BL14680
ortholog_167 MGL00366.1 BL01824
ortholog_168 MGL00934.1 BL01605
ortholog_169 MGL00473.1 BL01822
ortholog_170 MGL00528.1 BL22403
ortholog_171 MGL00582.1 BL01577
ortholog_172 MGL00688.1 BL01576
ortholog_173 MGL00783.1 BL01222
ortholog_174 MGL00829.1 BL01221
ortholog_175 MGL00886.1 BL17962
ortholog_176 MGL01152.1 BL00619
ortholog_177 MGL01207.1 BL01225
ortholog_178 MGL01258.1 BL01226
ortholog_179 MGL01311.1 BL01230
ortholog_180 MGL01342.1 BL22409
ortholog_181 MGL00767.1 BL22411
ortholog_182 MGL01531.1 BL01587
ortholog_183 MGL01579.1 BL01874
ortholog_184 MGL00264.1 BL01347
ortholog_185 MGL00469.1 BL01453
ortholog_186 MGL00423.1 BL01454
ortholog_187 MGL00474.1 BL01455
ortholog_188 MGL00583.1 BL00989
ortholog_189 MGL00043.1 BL10852
ortholog_190 MGL00735.1 BL25593
ortholog_191 MGL00784.1 BL07094
ortholog_192 MGL00830.1 BL01408
ortholog_193 MGL01353.1 BL00777
ortholog_194 MGL01272.1 BL13020
ortholog_195 MGL01219.1 BL13019
ortholog_196 MGL01239.1 BL12492
ortholog_197 MGL00419.1 BL23700
ortholog_198 MGL00959.1 BL14478
ortholog_199 MGL00902.1 BL22407
ortholog_200 MGL00842.1 BL00851
ortholog_201 MGL00699.1 BL01234
ortholog_202 MGL00378.1 BL01263
ortholog_203 MGL00326.1 BL01264
ortholog_204 MGL00224.1 BL01756
ortholog_205 MGL00299.1 BL01754
ortholog_206 MGL00117.1 BL14754
ortholog_207 MGL00018.1 BL23502
ortholog_208 MGL00662.1 BL27457
ortholog_209 MGL00751.1 BL25565
ortholog_210 MGL00849.1 BL25563
ortholog_211 MGL00910.1 BL25560
ortholog_212 MGL01065.1 BL25559
ortholog_213 MGL01115.1 BL00933
ortholog_214 MGL00096.1 BL02773
ortholog_215 MGL01227.1 BL00935
ortholog_216 MGL01417.1 BL01601
ortholog_217 MGL01464.1 BL01600
ortholog_218 MGL01550.1 BL14601
ortholog_219 MGL01602.1 BL01331
ortholog_220 MGL00027.1 BL13032
ortholog_221 MGL00079.1 BL01812
ortholog_222 MGL00176.1 BL01724
ortholog_223 MGL00232.1 BL01723
ortholog_224 MGL00338.1 BL04675
ortholog_225 MGL00286.1 BL09747
ortholog_226 MGL00558.1 BL01349
ortholog_227 MGL00667.1 BL01020
ortholog_228 MGL00711.1 BL01479
ortholog_229 MGL00602.1 BL01643
ortholog_230 MGL00702.1 BL03111
ortholog_231 MGL00799.1 BL05122
ortholog_232 MGL01010.1 BL22436
ortholog_233 MGL01275.1 BL01651
ortholog_234 MGL01221.1 BL06430
ortholog_235 MGL00723.1 BL01851
ortholog_236 MGL01459.1 BL01894
ortholog_237 MGL01545.1 BL15779
ortholog_238 MGL00870.1 BL00937
ortholog_239 MGL00173.1 BL00938
ortholog_240 MGL00227.1 BL14699
ortholog_241 MGL00141.1 BL01516
ortholog_242 MGL01235.1 BL14188
ortholog_243 MGL01554.1 BL01980
ortholog_244 MGL01608.1 BL01981
ortholog_245 MGL00627.1 BL01982
ortholog_246 MGL00238.1 BL05534
ortholog_247 MGL00287.1 BL14659
ortholog_248 MGL00447.1 BL08092
ortholog_249 MGL00559.1 BL00601
ortholog_250 MGL00628.1 BL00602
ortholog_251 MGL01030.1 BL00603
ortholog_252 MGL01546.1 BL01256
ortholog_253 MGL00022.1 BL00681
ortholog_254 MGL00075.1 BL22405
ortholog_255 MGL00260.1 BL11553
ortholog_256 MGL00603.1 BL00758
ortholog_257 MGL00546.1 BL12989
ortholog_258 MGL00439.1 BL22447
ortholog_259 MGL01592.1 BL01463
ortholog_260 MGL01594.1 BL01165
ortholog_261 MGL01542.1 BL01164
ortholog_262 MGL01498.1 BL01158
ortholog_263 MGL01455.1 BL27470
ortholog_264 MGL00511.1 BL14668
ortholog_265 MGL01349.1 BL01001
ortholog_266 MGL01406.1 BL25555
ortholog_267 MGL00249.1 BL21623
ortholog_268 MGL01590.1 BL08259
ortholog_269 MGL00069.1 BL24626
ortholog_270 MGL00221.1 BL05832
ortholog_271 MGL00272.1 BL01936
ortholog_272 MGL00989.1 BL05220
ortholog_273 MGL00347.1 BL01431
ortholog_274 MGL00839.1 BL01412
ortholog_275 MGL00357.1 BL01415
ortholog_276 MGL00956.1 BL01416
ortholog_277 MGL01005.1 BL01425
ortholog_278 MGL00146.1 BL01422
ortholog_279 MGL01350.1 BL01426
ortholog_280 MGL01319.1 BL01429
ortholog_281 MGL01270.1 BL00892
ortholog_282 MGL00654.1 BL13417
ortholog_283 MGL00541.1 BL20900
ortholog_284 MGL00001.1 BL01122
ortholog_285 MGL00325.1 BL01448
ortholog_286 MGL00274.1 BL01449
ortholog_287 MGL00223.1 BL01138
ortholog_288 MGL00169.1 BL01139
ortholog_289 MGL00071.1 BL00808
ortholog_290 MGL00944.1 BL00616
ortholog_291 MGL01044.1 BL01395
ortholog_292 MGL01097.1 BL01396
ortholog_293 MGL01312.1 BL23158
ortholog_294 MGL01343.1 BL23159
ortholog_295 MGL01532.1 BL06782
ortholog_296 MGL00584.1 BL00691
ortholog_297 MGL00736.1 BL00628
ortholog_298 MGL00252.1 BL00676
ortholog_299 MGL00831.1 BL00675
ortholog_300 MGL00888.1 BL01832
ortholog_301 MGL00408.1 BL01830
ortholog_302 MGL00945.1 BL01829
ortholog_303 MGL01260.1 BL19226
ortholog_304 MGL01102.1 BL00939
ortholog_305 MGL01156.1 BL00848
ortholog_306 MGL01212.1 BL01682
ortholog_307 MGL01344.1 BL01514
ortholog_308 MGL01313.1 BL25557
ortholog_309 MGL01261.1 BL25558
ortholog_310 MGL01209.1 BL01254
ortholog_311 MGL01046.1 BL01074
ortholog_312 MGL00995.1 BL01105
ortholog_313 MGL00214.1 BL12998
ortholog_314 MGL00315.1 BL12995
ortholog_315 MGL00368.1 BL00850
ortholog_316 MGL01474.1 BL06793
ortholog_317 MGL00645.1 BL06789
ortholog_318 MGL00209.1 BL01607
ortholog_319 MGL00876.1 BL01608
ortholog_320 MGL00138.1 BL06801
ortholog_321 MGL00947.1 BL01328
ortholog_322 MGL00996.1 BL01329
ortholog_323 MGL01100.1 BL14175
ortholog_324 MGL01154.1 BL01974
ortholog_325 MGL01337.1 BL01973
ortholog_326 MGL01262.1 BL01968
ortholog_327 MGL01314.1 BL22487
ortholog_328 MGL00061.1 BL01111
ortholog_329 MGL00532.1 BL01992
ortholog_330 MGL00587.1 BL20224
ortholog_331 MGL00646.1 BL24604
ortholog_332 MGL00834.1 BL27516
ortholog_333 MGL00891.1 BL01796
ortholog_334 MGL00948.1 BL01797
ortholog_335 MGL01048.1 BL01038
ortholog_336 MGL00875.1 BL01039
ortholog_337 MGL01211.1 BL01602
ortholog_338 MGL01000.1 BL25505
ortholog_339 MGL01105.1 BL06252
ortholog_340 MGL00578.1 BL01353
ortholog_341 MGL01265.1 BL01352
ortholog_342 MGL01253.1 BL01864
ortholog_343 MGL01348.1 BL25507
ortholog_344 MGL00632.1 BL15443
ortholog_345 MGL01489.1 BL01441
ortholog_346 MGL01534.1 BL01437
ortholog_347 MGL00595.1 BL01995
ortholog_348 MGL01388.1 BL01042
ortholog_349 MGL00049.1 BL00873
ortholog_350 MGL00620.1 BL15128
ortholog_351 MGL00171.1 BL26201
ortholog_352 MGL00119.1 BL01828
ortholog_353 MGL00020.1 BL01849
ortholog_354 MGL01595.1 BL01964
ortholog_355 MGL01543.1 BL01860
ortholog_356 MGL01499.1 BL01859
ortholog_357 MGL01410.1 BL01858
ortholog_358 MGL01273.1 BL01773
ortholog_359 MGL01322.1 BL01771
ortholog_360 MGL01354.1 BL01790
ortholog_361 MGL00142.1 BL01782
ortholog_362 MGL01164.1 BL01781
ortholog_363 MGL01110.1 BL01780
ortholog_364 MGL01060.1 BL01779
ortholog_365 MGL01008.1 BL22395
ortholog_366 MGL00310.1 BL01435
ortholog_367 MGL00843.1 BL01434
ortholog_368 MGL00725.1 BL13387
ortholog_369 MGL01135.1 BL00955
ortholog_370 MGL00300.1 BL01370
ortholog_371 MGL00200.1 BL00855
ortholog_372 MGL00327.1 BL01247
ortholog_373 MGL00779.1 BL01246
ortholog_374 MGL00275.1 BL01245
ortholog_375 MGL00225.1 BL01244
ortholog_376 MGL00170.1 BL01243
ortholog_377 MGL00118.1 BL00936
ortholog_378 MGL00877.1 BL06176
ortholog_379 MGL00869.1 BL01705
ortholog_380 MGL00955.1 BL01053
ortholog_381 MGL00899.1 BL16269
ortholog_382 MGL00838.1 BL14196
ortholog_383 MGL00257.1 BL22502
ortholog_384 MGL00596.1 BL01188
ortholog_385 MGL00540.1 BL22387
ortholog_386 MGL00433.1 BL22669
ortholog_387 MGL00376.1 BL01839
ortholog_388 MGL00271.1 BL01833
ortholog_389 MGL00167.1 BL18117
ortholog_390 MGL00114.1 BL01899
ortholog_391 MGL00016.1 BL14191
ortholog_392 MGL01589.1 BL13501
ortholog_393 MGL01536.1 BL14189
ortholog_394 MGL01317.1 BL01011
ortholog_395 MGL01268.1 BL01010
ortholog_396 MGL01338.1 BL01009
ortholog_397 MGL01055.1 BL01218
ortholog_398 MGL01003.1 BL01360
ortholog_399 MGL00898.1 BL03795
ortholog_400 MGL00696.1 BL07152
ortholog_401 MGL01151.1 BL13027
ortholog_402 MGL01095.1 BL22448
ortholog_403 MGL01043.1 BL00782
ortholog_404 MGL00734.1 BL15423
ortholog_405 MGL00640.1 BL01509
ortholog_406 MGL00678.1 BL22386
ortholog_407 MGL00527.1 BL22385
ortholog_408 MGL01306.1 BL14207
ortholog_409 MGL00365.1 BL01743
ortholog_410 MGL01483.1 BL01393
ortholog_411 MGL01045.1 BL08316
ortholog_412 MGL01098.1 BL21006
ortholog_413 MGL01454.1 BL00930
ortholog_414 MGL01497.1 BL00932
ortholog_415 MGL01541.1 BL16554
ortholog_416 MGL01352.1 BL25567
ortholog_417 MGL01320.1 BL01265
ortholog_418 MGL01218.1 BL01261
ortholog_419 MGL00476.1 BL15315
ortholog_420 MGL00371.1 BL14187
ortholog_421 MGL00216.1 BL15733
ortholog_422 MGL00164.1 BL01032
ortholog_423 MGL00064.1 BL24555
ortholog_424 MGL00698.1 BL14201
ortholog_425 MGL00465.1 BL14203
ortholog_426 MGL00901.1 BL00650
ortholog_427 MGL00958.1 BL00648
ortholog_428 MGL00051.1 BL26785
ortholog_429 MGL01415.1 BL14208
ortholog_430 MGL01504.1 BL01994
ortholog_431 MGL00025.1 BL01934
ortholog_432 MGL00077.1 BL01935
ortholog_433 MGL00332.1 BL14676
ortholog_434 MGL00383.1 BL14677
ortholog_435 MGL00488.1 BL01154
ortholog_436 MGL00054.1 BL01156
ortholog_437 MGL00605.1 BL25509
ortholog_438 MGL00661.1 BL25508
ortholog_439 MGL00706.1 BL07652
ortholog_440 MGL00750.1 BL22506
ortholog_441 MGL00802.1 BL06781
ortholog_442 MGL01012.1 BL01114
ortholog_443 MGL01416.1 BL01168
ortholog_444 MGL00256.1 BL01998
ortholog_445 MGL01549.1 BL17658
ortholog_446 MGL00551.1 BL01561
ortholog_447 MGL01593.1 BL24847
ortholog_448 MGL01376.1 BL08982
ortholog_449 MGL00949.1 BL01639
ortholog_450 MGL00892.1 BL01761
ortholog_451 MGL00835.1 BL01094
ortholog_452 MGL00738.1 BL01774
ortholog_453 MGL00588.1 BL15303
ortholog_454 MGL00533.1 BL00698
ortholog_455 MGL00267.1 BL00699
ortholog_456 MGL00107.1 BL25501
ortholog_457 MGL00154.1 BL25502
ortholog_458 MGL00522.1 BL01103
ortholog_459 MGL01263.1 BL13570
ortholog_460 MGL00292.1 BL19364
ortholog_461 MGL00089.1 BL01175
ortholog_462 MGL00928.1 BL01191
ortholog_463 MGL00133.1 BL06796
ortholog_464 MGL00241.1 BL06797
ortholog_465 MGL00291.1 BL06798
ortholog_466 MGL00563.1 BL14662
ortholog_467 MGL00087.1 BL01652
ortholog_468 MGL01557.1 BL01848
ortholog_469 MGL01514.1 BL01840
ortholog_470 MGL01427.1 BL14657
ortholog_471 MGL01368.1 BL14658
ortholog_472 MGL01181.1 BL01517
ortholog_473 MGL01126.1 BL14674
ortholog_474 MGL01075.1 BL14673
ortholog_475 MGL01021.1 BL00902
ortholog_476 MGL00919.1 BL01975
ortholog_477 MGL01386.1 BL00607
ortholog_478 MGL00671.1 BL00608
ortholog_479 MGL00613.1 BL00992
ortholog_480 MGL00562.1 BL01490
ortholog_481 MGL00974.1 BL12528
ortholog_482 MGL01022.1 BL00629
ortholog_483 MGL00458.1 BL07112
ortholog_484 MGL01076.1 BL14696
ortholog_485 MGL01023.1 BL14700
ortholog_486 MGL00975.1 BL07721
ortholog_487 MGL01438.1 BL17183
ortholog_488 MGL00921.1 BL01301
ortholog_489 MGL00769.1 BL01183
ortholog_490 MGL00713.1 BL01143
ortholog_491 MGL00673.1 BL01145
ortholog_492 MGL00630.1 BL10656
ortholog_493 MGL00824.1 BL00685
ortholog_494 MGL01428.1 BL19103
ortholog_495 MGL01369.1 BL16395
ortholog_496 MGL00088.1 BL01798
ortholog_497 MGL01563.1 BL01799
ortholog_498 MGL01558.1 BL01371
ortholog_499 MGL01515.1 BL01745
ortholog_500 MGL01326.1 BL00611
ortholog_501 MGL01224.1 BL16676
ortholog_502 MGL01113.1 BL01740
ortholog_503 MGL01063.1 BL01410
ortholog_504 MGL00410.1 BL01300
ortholog_505 MGL00962.1 BL01304
ortholog_506 MGL00907.1 BL01303
ortholog_507 MGL00636.1 BL00967
ortholog_508 MGL00704.1 BL01993
ortholog_509 MGL00548.1 BL01190
ortholog_510 MGL00153.1 BL14678
ortholog_511 MGL00094.1 BL01252
ortholog_512 MGL00279.1 BL12479
ortholog_513 MGL00229.1 BL01638
ortholog_514 MGL00174.1 BL13007
ortholog_515 MGL00122.1 BL13013
ortholog_516 MGL00261.1 BL01368
ortholog_517 MGL00023.1 BL01312
ortholog_518 MGL01547.1 BL01306
ortholog_519 MGL01502.1 BL01124
ortholog_520 MGL01357.1 BL01584
ortholog_521 MGL00822.1 BL01766
ortholog_522 MGL01168.1 BL25554
ortholog_523 MGL00873.1 BL25550
ortholog_524 MGL01503.1 BL00863
ortholog_525 MGL01599.1 BL01915
ortholog_526 MGL00076.1 BL01914
ortholog_527 MGL00331.1 BL01377
ortholog_528 MGL00382.1 BL01847
ortholog_529 MGL00470.1 BL01504
ortholog_530 MGL00549.1 BL01503
ortholog_531 MGL00988.1 BL26517
ortholog_532 MGL00660.1 BL01075
ortholog_533 MGL00801.1 BL25021
ortholog_534 MGL00908.1 BL01714
ortholog_535 MGL00963.1 BL01630
ortholog_536 MGL00981.1 BL01632
ortholog_537 MGL01064.1 BL01081
ortholog_538 MGL01114.1 BL01150
ortholog_539 MGL01170.1 BL01359
ortholog_540 MGL01225.1 BL01852
ortholog_541 MGL00633.1 BL01494
ortholog_542 MGL00177.1 BL01597
ortholog_543 MGL00028.1 BL01738
ortholog_544 MGL00156.1 BL18037
ortholog_545 MGL01551.1 BL14670
ortholog_546 MGL01465.1 BL01618
ortholog_547 MGL01418.1 BL00927
ortholog_548 MGL01171.1 BL01741
ortholog_549 MGL01280.1 BL00785
ortholog_550 MGL00520.1 BL01445
ortholog_551 MGL01361.1 BL25503
ortholog_552 MGL01078.1 BL01870
ortholog_553 MGL00388.1 BL01622
ortholog_554 MGL00235.1 BL17784
ortholog_555 MGL00179.1 BL01316
ortholog_556 MGL00081.1 BL01123
ortholog_557 MGL00030.1 BL07041
ortholog_558 MGL01605.1 BL02057
ortholog_559 MGL00846.1 BL01348
ortholog_560 MGL01481.1 BL00756
ortholog_561 MGL01174.1 BL07270
ortholog_562 MGL01478.1 BL01030
ortholog_563 MGL01015.1 BL01022
ortholog_564 MGL00966.1 BL04856
ortholog_565 MGL00912.1 BL01018
ortholog_566 MGL00853.1 BL00654
ortholog_567 MGL00755.1 BL08079
ortholog_568 MGL00665.1 BL22475
ortholog_569 MGL00554.1 BL22479
ortholog_570 MGL00336.1 BL06802
ortholog_571 MGL00387.1 BL06804
ortholog_572 MGL00514.1 BL01112
ortholog_573 MGL01198.1 BL12043
ortholog_574 MGL00492.1 BL01195
ortholog_575 MGL00664.1 BL22389
ortholog_576 MGL00937.1 BL01725
ortholog_577 MGL00185.1 BL25630
ortholog_578 MGL00130.1 BL01430
ortholog_579 MGL00085.1 BL24633
ortholog_580 MGL00034.1 BL24634
ortholog_581 MGL01609.1 BL24635
ortholog_582 MGL01439.1 BL01748
ortholog_583 MGL00302.1 BL01239
ortholog_584 MGL01424.1 BL14707
ortholog_585 MGL01080.1 BL14708
ortholog_586 MGL01200.1 BL14709
ortholog_587 MGL01288.1 BL01271
ortholog_588 MGL01236.1 BL01275
ortholog_589 MGL01179.1 BL01274
ortholog_590 MGL00971.1 BL01273
ortholog_591 MGL01020.1 BL00674
ortholog_592 MGL01073.1 BL27450
ortholog_593 MGL00033.1 BL01932
ortholog_594 MGL00350.1 BL01933
ortholog_595 MGL00201.1 BL22416
ortholog_596 MGL00360.1 BL01192
ortholog_597 MGL01072.1 BL01823
ortholog_598 MGL01019.1 BL01739
ortholog_599 MGL00970.1 BL01317
ortholog_600 MGL00808.1 BL00878
ortholog_601 MGL01407.1 BL00877
ortholog_602 MGL00625.1 BL00875
ortholog_603 MGL01495.1 BL00874
ortholog_604 MGL01591.1 BL14720
ortholog_605 MGL00576.1 BL01392
ortholog_606 MGL00222.1 BL25592
ortholog_607 MGL00273.1 BL01450
ortholog_608 MGL00324.1 BL22485
ortholog_609 MGL00377.1 BL01550
ortholog_610 MGL00598.1 BL01548
ortholog_611 MGL00743.1 BL22446
ortholog_612 MGL00840.1 BL01694
ortholog_613 MGL00900.1 BL09118
ortholog_614 MGL01575.1 BL25703
ortholog_615 MGL01057.1 BL23168
ortholog_616 MGL01217.1 BL08536
ortholog_617 MGL00728.1 BL01542
ortholog_618 MGL01351.1 BL14664
ortholog_619 MGL01286.1 BL07338
ortholog_620 MGL01234.1 BL05113
ortholog_621 MGL01178.1 BL01560
ortholog_622 MGL00557.1 BL01362
ortholog_623 MGL00446.1 BL06788
ortholog_624 MGL00393.1 BL25504
ortholog_625 MGL00285.1 BL13021
ortholog_626 MGL00729.1 BL14675
ortholog_627 MGL01390.1 BL22627
ortholog_628 MGL00152.1 BL27171
ortholog_629 MGL01285.1 BL01537
ortholog_630 MGL00756.1 BL01237
ortholog_631 MGL00083.1 BL00973
ortholog_632 MGL01607.1 BL01890
ortholog_633 MGL01339.1 BL00969
ortholog_634 MGL01071.1 BL14698
ortholog_635 MGL01121.1 BL00959
ortholog_636 MGL01177.1 BL00960
ortholog_637 MGL00915.1 BL00961
ortholog_638 MGL00856.1 BL00593
ortholog_639 MGL00311.1 BL00962
ortholog_640 MGL00148.1 BL00596
ortholog_641 MGL00666.1 BL00597
ortholog_642 MGL00611.1 BL01016
ortholog_643 MGL00556.1 BL01015
ortholog_644 MGL01041.1 BL22296
ortholog_645 MGL01468.1 BL01620
ortholog_646 MGL01364.1 BL01345
ortholog_647 MGL01284.1 BL01596
ortholog_648 MGL01232.1 BL01866
ortholog_649 MGL01384.1 BL01865
ortholog_650 MGL01070.1 BL01708
ortholog_651 MGL00914.1 BL01853
ortholog_652 MGL01037.1 BL07588
ortholog_653 MGL00555.1 BL01350
ortholog_654 MGL00495.1 BL00666
ortholog_655 MGL00790.1 BL16573
ortholog_656 MGL00337.1 BL22390
ortholog_657 MGL01199.1 BL14742
ortholog_658 MGL01363.1 BL14743
ortholog_659 MGL01332.1 BL14745
ortholog_660 MGL01175.1 BL21487
ortholog_661 MGL01431.1 BL16343
ortholog_662 MGL01283.1 BL14661
ortholog_663 MGL00340.1 BL01604
ortholog_664 MGL00288.1 BL22489
ortholog_665 MGL00239.1 BL01747
ortholog_666 MGL00389.1 BL01752
ortholog_667 MGL00445.1 BL00966
ortholog_668 MGL01134.1 BL26198
ortholog_669 MGL00610.1 BL01768
ortholog_670 MGL00619.1 BL24620
ortholog_671 MGL00500.1 BL00679
ortholog_672 MGL00297.1 BL08971
ortholog_673 MGL00189.1 BL18917
ortholog_674 MGL00137.1 BL07742
ortholog_675 MGL01518.1 BL01149
ortholog_676 MGL00041.1 BL01937
ortholog_677 MGL01560.1 BL01186
ortholog_678 MGL01146.1 BL01501
ortholog_679 MGL01090.1 BL01097
ortholog_680 MGL00918.1 BL01506
ortholog_681 MGL00859.1 BL01507
ortholog_682 MGL00809.1 BL01508
ortholog_683 MGL00758.1 BL00799
ortholog_684 MGL00816.1 BL11649
ortholog_685 MGL00035.1 BL01297
ortholog_686 MGL01610.1 BL01299
ortholog_687 MGL01555.1 BL01305
ortholog_688 MGL01367.1 BL16764
ortholog_689 MGL01425.1 BL01826
ortholog_690 MGL00498.1 BL01005
ortholog_691 MGL00003.1 BL01004
ortholog_692 MGL01125.1 BL01307
ortholog_693 MGL00972.1 BL22640
ortholog_694 MGL00917.1 BL14712
ortholog_695 MGL00669.1 BL01212
ortholog_696 MGL01382.1 BL02557
ortholog_697 MGL00092.1 BL04891
ortholog_698 MGL00612.1 BL01207
ortholog_699 MGL00560.1 BL01821
