ortholog_1 gene-HOLleu_00018 PL21831
ortholog_134 gene-HOLleu_01606 PL09937
ortholog_135 gene-HOLleu_01611 PL22652
ortholog_136 gene-HOLleu_01612 PL13947
ortholog_137 gene-HOLleu_01625 PL20530
ortholog_138 gene-HOLleu_01666 PL08440
ortholog_139 gene-HOLleu_01680 PL09965
ortholog_140 gene-HOLleu_01694 PL22249
ortholog_141 gene-HOLleu_01722 PL05104
ortholog_142 gene-HOLleu_01730 PL32057
ortholog_143 gene-HOLleu_01743 PL34585
ortholog_144 gene-HOLleu_01754 PL23425
ortholog_145 gene-HOLleu_01756 PL22753
ortholog_146 gene-HOLleu_01765 PL32520
ortholog_147 gene-HOLleu_01775 PL07712
ortholog_148 gene-HOLleu_01800 PL22849
ortholog_149 gene-HOLleu_01803 PL22415
ortholog_150 gene-HOLleu_01824 PL30917
ortholog_151 gene-HOLleu_01837 PL22017
ortholog_152 gene-HOLleu_01843 PL03273
ortholog_153 gene-HOLleu_01849 PL21017
ortholog_154 gene-HOLleu_01871 PL20622
ortholog_155 gene-HOLleu_01947 PL34464
ortholog_156 gene-HOLleu_01972 PL15530
ortholog_157 gene-HOLleu_02013 PL21744
ortholog_158 gene-HOLleu_02015 PL22442
ortholog_159 gene-HOLleu_02017 PL22842
ortholog_160 gene-HOLleu_02022 PL14216
ortholog_161 gene-HOLleu_02034 PL23797
ortholog_162 gene-HOLleu_02035 PL02449
ortholog_163 gene-HOLleu_02047 PL10749
ortholog_164 gene-HOLleu_02071 PL21451
ortholog_165 gene-HOLleu_02075 PL21475
ortholog_166 gene-HOLleu_02077 PL21761
ortholog_167 gene-HOLleu_02124 PL39234
ortholog_168 gene-HOLleu_02145 PL28122
ortholog_169 gene-HOLleu_02160 PL03051
ortholog_170 gene-HOLleu_02163 PL23579
ortholog_171 gene-HOLleu_02165 PL23019
ortholog_172 gene-HOLleu_02167 PL21482
ortholog_173 gene-HOLleu_02172 PL26844
ortholog_174 gene-HOLleu_02188 PL27138
ortholog_175 gene-HOLleu_02190 PL22462
ortholog_176 gene-HOLleu_02194 PL23150
ortholog_177 gene-HOLleu_02197 PL22838
ortholog_178 gene-HOLleu_02198 PL20547
ortholog_179 gene-HOLleu_02199 PL09377
ortholog_180 gene-HOLleu_02207 PL22362
ortholog_181 gene-HOLleu_02237 PL04355
ortholog_182 gene-HOLleu_02242 PL23217
ortholog_183 gene-HOLleu_02243 PL23435
ortholog_184 gene-HOLleu_02246 PL23413
ortholog_185 gene-HOLleu_02253 PL22831
ortholog_186 gene-HOLleu_02259 PL04226
ortholog_187 gene-HOLleu_02282 PL21971
ortholog_188 gene-HOLleu_02286 PL23549
ortholog_189 gene-HOLleu_02337 PL19013
ortholog_190 gene-HOLleu_02346 PL38130
ortholog_191 gene-HOLleu_02357 PL23074
ortholog_192 gene-HOLleu_02461 PL32510
ortholog_193 gene-HOLleu_02477 PL21434
ortholog_194 gene-HOLleu_02478 PL23199
ortholog_195 gene-HOLleu_02479 PL23507
ortholog_196 gene-HOLleu_02483 PL21613
ortholog_197 gene-HOLleu_02484 PL21771
ortholog_198 gene-HOLleu_02516 PL22995
ortholog_199 gene-HOLleu_02520 PL13874
ortholog_200 gene-HOLleu_02526 PL21474
ortholog_201 gene-HOLleu_02553 PL22358
ortholog_202 gene-HOLleu_02557 PL21804
ortholog_203 gene-HOLleu_02568 PL15564
ortholog_204 gene-HOLleu_02577 PL22262
ortholog_205 gene-HOLleu_02611 PL22570
ortholog_206 gene-HOLleu_02617 PL22091
ortholog_207 gene-HOLleu_02619 PL23006
ortholog_208 gene-HOLleu_02621 PL21776
ortholog_209 gene-HOLleu_02626 PL23200
ortholog_210 gene-HOLleu_02629 PL22479
ortholog_211 gene-HOLleu_02646 PL22446
ortholog_212 gene-HOLleu_02652 PL23239
ortholog_213 gene-HOLleu_02653 PL21607
ortholog_214 gene-HOLleu_02660 PL21641
ortholog_215 gene-HOLleu_02663 PL30050
ortholog_216 gene-HOLleu_02669 PL21949
ortholog_217 gene-HOLleu_02685 PL40346
ortholog_218 gene-HOLleu_02688 PL22100
ortholog_219 gene-HOLleu_02690 PL23501
ortholog_220 gene-HOLleu_02691 PL23225
ortholog_221 gene-HOLleu_02695 PL22986
ortholog_222 gene-HOLleu_02697 PL22441
ortholog_223 gene-HOLleu_02716 PL30365
ortholog_224 gene-HOLleu_02730 PL21467
ortholog_225 gene-HOLleu_02739 PL21532
ortholog_226 gene-HOLleu_02744 PL01965
ortholog_227 gene-HOLleu_02745 PL11118
ortholog_228 gene-HOLleu_02757 PL06820
ortholog_229 gene-HOLleu_02765 PL24356
ortholog_230 gene-HOLleu_02781 PL28631
ortholog_231 gene-HOLleu_02788 PL10042
ortholog_232 gene-HOLleu_02802 PL04000
ortholog_233 gene-HOLleu_02848 PL22788
ortholog_234 gene-HOLleu_02852 PL23636
ortholog_235 gene-HOLleu_02900 PL06924
ortholog_236 gene-HOLleu_02908 PL16143
ortholog_237 gene-HOLleu_02914 PL21695
ortholog_238 gene-HOLleu_02947 PL22635
ortholog_239 gene-HOLleu_03005 PL32122
ortholog_240 gene-HOLleu_03011 PL07915
ortholog_241 gene-HOLleu_03046 PL35228
ortholog_242 gene-HOLleu_03064 PL22930
ortholog_243 gene-HOLleu_03066 PL11374
ortholog_244 gene-HOLleu_03133 PL20075
ortholog_245 gene-HOLleu_03158 PL22599
ortholog_246 gene-HOLleu_03183 PL22365
ortholog_247 gene-HOLleu_03184 PL09824
ortholog_248 gene-HOLleu_03201 PL40612
ortholog_249 gene-HOLleu_03239 PL25231
ortholog_250 gene-HOLleu_03256 PL40936
ortholog_251 gene-HOLleu_03264 PL41711
ortholog_252 gene-HOLleu_03283 PL39589
ortholog_253 gene-HOLleu_03300 PL41630
ortholog_254 gene-HOLleu_03392 PL00079
ortholog_255 gene-HOLleu_03410 PL27493
ortholog_256 gene-HOLleu_03433 PL13363
ortholog_257 gene-HOLleu_03447 PL06561
ortholog_258 gene-HOLleu_03460 PL23139
ortholog_259 gene-HOLleu_03461 PL21809
ortholog_260 gene-HOLleu_03482 PL07288
ortholog_261 gene-HOLleu_03497 PL02144
ortholog_262 gene-HOLleu_03510 PL34348
ortholog_263 gene-HOLleu_03517 PL10409
ortholog_264 gene-HOLleu_03535 PL12414
ortholog_265 gene-HOLleu_03542 PL21356
ortholog_266 gene-HOLleu_03560 PL21379
ortholog_267 gene-HOLleu_03561 PL23538
ortholog_268 gene-HOLleu_03564 PL22817
ortholog_269 gene-HOLleu_03565 PL22231
ortholog_270 gene-HOLleu_03566 PL21874
ortholog_271 gene-HOLleu_03567 PL21950
ortholog_272 gene-HOLleu_03570 PL21799
ortholog_273 gene-HOLleu_03576 PL23936
ortholog_274 gene-HOLleu_03580 PL00819
ortholog_275 gene-HOLleu_03620 PL38543
ortholog_276 gene-HOLleu_03623 PL23005
ortholog_277 gene-HOLleu_03626 PL21789
ortholog_278 gene-HOLleu_03634 PL21402
ortholog_279 gene-HOLleu_03636 PL22253
ortholog_280 gene-HOLleu_03672 PL22899
ortholog_281 gene-HOLleu_03698 PL32136
ortholog_282 gene-HOLleu_03714 PL30363
ortholog_283 gene-HOLleu_03749 PL22686
ortholog_284 gene-HOLleu_03754 PL17843
ortholog_285 gene-HOLleu_03814 PL23189
ortholog_286 gene-HOLleu_03815 PL21998
ortholog_287 gene-HOLleu_03816 PL22285
ortholog_288 gene-HOLleu_03826 PL27890
ortholog_289 gene-HOLleu_03835 PL40427
ortholog_290 gene-HOLleu_03848 PL27866
ortholog_291 gene-HOLleu_03850 PL35257
ortholog_292 gene-HOLleu_03871 PL35099
ortholog_293 gene-HOLleu_03912 PL18676
ortholog_294 gene-HOLleu_03984 PL06768
ortholog_295 gene-HOLleu_03988 PL22875
ortholog_296 gene-HOLleu_04005 PL21476
ortholog_297 gene-HOLleu_04007 PL23050
ortholog_298 gene-HOLleu_04009 PL23168
ortholog_299 gene-HOLleu_04010 PL22782
ortholog_300 gene-HOLleu_04011 PL23087
ortholog_301 gene-HOLleu_04025 PL21727
ortholog_302 gene-HOLleu_04033 PL02993
ortholog_303 gene-HOLleu_04053 PL22729
ortholog_304 gene-HOLleu_04066 PL29801
ortholog_305 gene-HOLleu_04071 PL23617
ortholog_306 gene-HOLleu_04072 PL22282
ortholog_307 gene-HOLleu_04073 PL21349
ortholog_308 gene-HOLleu_04079 PL22104
ortholog_309 gene-HOLleu_04093 PL03786
ortholog_310 gene-HOLleu_04103 PL21132
ortholog_311 gene-HOLleu_04116 PL22606
ortholog_312 gene-HOLleu_04156 PL22666
ortholog_313 gene-HOLleu_04189 PL22018
ortholog_314 gene-HOLleu_04190 PL17787
ortholog_315 gene-HOLleu_04197 PL00883
ortholog_316 gene-HOLleu_04199 PL04282
ortholog_317 gene-HOLleu_04206 PL15532
ortholog_318 gene-HOLleu_04216 PL40539
ortholog_319 gene-HOLleu_04268 PL04949
ortholog_320 gene-HOLleu_04283 PL04067
ortholog_321 gene-HOLleu_04284 PL04059
ortholog_322 gene-HOLleu_04299 PL21380
ortholog_323 gene-HOLleu_04313 PL21647
ortholog_324 gene-HOLleu_04323 PL14360
ortholog_325 gene-HOLleu_04331 PL21657
ortholog_326 gene-HOLleu_04333 PL23367
ortholog_327 gene-HOLleu_04339 PL22802
ortholog_328 gene-HOLleu_04341 PL21879
ortholog_329 gene-HOLleu_04347 PL26591
ortholog_330 gene-HOLleu_04375 PL34415
ortholog_331 gene-HOLleu_04378 PL22974
ortholog_332 gene-HOLleu_04397 PL22144
ortholog_333 gene-HOLleu_04419 PL25980
ortholog_334 gene-HOLleu_04426 PL33736
ortholog_335 gene-HOLleu_04428 PL31078
ortholog_336 gene-HOLleu_04451 PL28984
ortholog_337 gene-HOLleu_04452 PL27428
ortholog_338 gene-HOLleu_04460 PL22131
ortholog_339 gene-HOLleu_04470 PL21314
ortholog_340 gene-HOLleu_04472 PL21591
ortholog_341 gene-HOLleu_04473 PL21443
ortholog_342 gene-HOLleu_04476 PL22212
ortholog_343 gene-HOLleu_04480 PL23424
ortholog_344 gene-HOLleu_04486 PL13261
ortholog_345 gene-HOLleu_04509 PL08911
ortholog_346 gene-HOLleu_04512 PL16928
ortholog_347 gene-HOLleu_04525 PL22430
ortholog_348 gene-HOLleu_04539 PL36832
ortholog_349 gene-HOLleu_04552 PL21439
ortholog_350 gene-HOLleu_04553 PL23141
ortholog_351 gene-HOLleu_04561 PL22810
ortholog_352 gene-HOLleu_04576 PL21393
ortholog_353 gene-HOLleu_04578 PL22939
ortholog_354 gene-HOLleu_04606 PL12565
ortholog_355 gene-HOLleu_04607 PL23476
ortholog_356 gene-HOLleu_04643 PL27458
ortholog_357 gene-HOLleu_04680 PL26635
ortholog_358 gene-HOLleu_04689 PL22011
ortholog_359 gene-HOLleu_04718 PL33727
ortholog_360 gene-HOLleu_04720 PL25313
ortholog_361 gene-HOLleu_04759 PL19778
ortholog_362 gene-HOLleu_04762 PL29743
ortholog_363 gene-HOLleu_04773 PL17335
ortholog_364 gene-HOLleu_04782 PL20960
ortholog_365 gene-HOLleu_04792 PL05956
ortholog_366 gene-HOLleu_04795 PL06173
ortholog_367 gene-HOLleu_04804 PL05011
ortholog_368 gene-HOLleu_04807 PL08089
ortholog_369 gene-HOLleu_04814 PL05129
ortholog_370 gene-HOLleu_04821 PL07399
ortholog_371 gene-HOLleu_04822 PL05139
ortholog_372 gene-HOLleu_04845 PL07468
ortholog_373 gene-HOLleu_04851 PL41088
ortholog_374 gene-HOLleu_04858 PL04804
ortholog_375 gene-HOLleu_04860 PL05767
ortholog_376 gene-HOLleu_04861 PL07624
ortholog_377 gene-HOLleu_04862 PL21847
ortholog_378 gene-HOLleu_04863 PL07181
ortholog_379 gene-HOLleu_04866 PL05630
ortholog_380 gene-HOLleu_04869 PL07040
ortholog_381 gene-HOLleu_04872 PL07146
ortholog_382 gene-HOLleu_04873 PL07278
ortholog_383 gene-HOLleu_04876 PL07092
ortholog_384 gene-HOLleu_04879 PL04902
ortholog_385 gene-HOLleu_04882 PL05981
ortholog_386 gene-HOLleu_04883 PL04865
ortholog_387 gene-HOLleu_04884 PL07060
ortholog_388 gene-HOLleu_04885 PL06556
ortholog_389 gene-HOLleu_04889 PL05268
ortholog_390 gene-HOLleu_04892 PL05274
ortholog_391 gene-HOLleu_04895 PL41602
ortholog_392 gene-HOLleu_04899 PL04876
ortholog_393 gene-HOLleu_04900 PL21773
ortholog_394 gene-HOLleu_04904 PL07504
ortholog_395 gene-HOLleu_04905 PL06257
ortholog_396 gene-HOLleu_04907 PL31641
ortholog_397 gene-HOLleu_04908 PL22393
ortholog_398 gene-HOLleu_04910 PL07115
ortholog_399 gene-HOLleu_04918 PL32045
ortholog_400 gene-HOLleu_04924 PL32230
ortholog_401 gene-HOLleu_04934 PL06588
ortholog_402 gene-HOLleu_04936 PL41677
ortholog_403 gene-HOLleu_04938 PL33396
ortholog_404 gene-HOLleu_04951 PL05771
ortholog_405 gene-HOLleu_04957 PL07794
ortholog_406 gene-HOLleu_04960 PL07387
ortholog_407 gene-HOLleu_04967 PL24922
ortholog_408 gene-HOLleu_04974 PL07156
ortholog_409 gene-HOLleu_04975 PL04589
ortholog_410 gene-HOLleu_04979 PL06265
ortholog_411 gene-HOLleu_04987 PL07306
ortholog_412 gene-HOLleu_04992 PL04946
ortholog_413 gene-HOLleu_04993 PL07020
ortholog_414 gene-HOLleu_04994 PL06711
ortholog_415 gene-HOLleu_04995 PL04858
ortholog_416 gene-HOLleu_04998 PL05112
ortholog_417 gene-HOLleu_05003 PL06917
ortholog_418 gene-HOLleu_05004 PL05162
ortholog_419 gene-HOLleu_05005 PL07445
ortholog_420 gene-HOLleu_05006 PL06005
ortholog_421 gene-HOLleu_05008 PL04809
ortholog_422 gene-HOLleu_05009 PL07682
ortholog_423 gene-HOLleu_05011 PL05193
ortholog_424 gene-HOLleu_05013 PL07717
ortholog_425 gene-HOLleu_05014 PL06795
ortholog_426 gene-HOLleu_05021 PL06522
ortholog_427 gene-HOLleu_05026 PL09900
ortholog_428 gene-HOLleu_05027 PL05715
ortholog_429 gene-HOLleu_05028 PL04995
ortholog_430 gene-HOLleu_05029 PL05814
ortholog_431 gene-HOLleu_05032 PL07643
ortholog_432 gene-HOLleu_05035 PL07275
ortholog_433 gene-HOLleu_05039 PL07521
ortholog_434 gene-HOLleu_05041 PL06569
ortholog_435 gene-HOLleu_05042 PL07613
ortholog_436 gene-HOLleu_05044 PL24957
ortholog_437 gene-HOLleu_05051 PL07773
ortholog_438 gene-HOLleu_05052 PL07489
ortholog_439 gene-HOLleu_05056 PL05171
ortholog_440 gene-HOLleu_05062 PL05607
ortholog_441 gene-HOLleu_05073 PL07588
ortholog_442 gene-HOLleu_05077 PL31824
ortholog_443 gene-HOLleu_05082 PL06352
ortholog_444 gene-HOLleu_05083 PL07385
ortholog_445 gene-HOLleu_05086 PL07801
ortholog_446 gene-HOLleu_05089 PL07085
ortholog_447 gene-HOLleu_05109 PL04917
ortholog_448 gene-HOLleu_05112 PL04817
ortholog_449 gene-HOLleu_05113 PL05688
ortholog_450 gene-HOLleu_05114 PL07808
ortholog_451 gene-HOLleu_05115 PL05344
ortholog_452 gene-HOLleu_05116 PL07204
ortholog_453 gene-HOLleu_05117 PL06398
ortholog_454 gene-HOLleu_05118 PL15629
ortholog_455 gene-HOLleu_05123 PL06251
ortholog_456 gene-HOLleu_05124 PL05563
ortholog_457 gene-HOLleu_05137 PL05537
ortholog_458 gene-HOLleu_05142 PL20483
ortholog_459 gene-HOLleu_05152 PL04783
ortholog_460 gene-HOLleu_05178 PL05549
ortholog_461 gene-HOLleu_05179 PL07503
ortholog_462 gene-HOLleu_05181 PL07264
ortholog_463 gene-HOLleu_05184 PL06146
ortholog_464 gene-HOLleu_05186 PL04825
ortholog_465 gene-HOLleu_05187 PL05388
ortholog_466 gene-HOLleu_05188 PL07551
ortholog_467 gene-HOLleu_05189 PL27884
ortholog_468 gene-HOLleu_05190 PL05506
ortholog_469 gene-HOLleu_05191 PL05491
ortholog_470 gene-HOLleu_05195 PL07210
ortholog_471 gene-HOLleu_05196 PL05669
ortholog_472 gene-HOLleu_05201 PL06062
ortholog_473 gene-HOLleu_05202 PL05484
ortholog_474 gene-HOLleu_05207 PL05944
ortholog_475 gene-HOLleu_05214 PL07359
ortholog_476 gene-HOLleu_05216 PL07227
ortholog_477 gene-HOLleu_05221 PL06615
ortholog_478 gene-HOLleu_05224 PL07061
ortholog_479 gene-HOLleu_05227 PL06649
ortholog_480 gene-HOLleu_05229 PL06997
ortholog_481 gene-HOLleu_05231 PL05362
ortholog_482 gene-HOLleu_05253 PL06337
ortholog_483 gene-HOLleu_05256 PL07807
ortholog_484 gene-HOLleu_05257 PL07689
ortholog_485 gene-HOLleu_05259 PL06909
ortholog_486 gene-HOLleu_05263 PL07642
ortholog_487 gene-HOLleu_05266 PL06842
ortholog_488 gene-HOLleu_05315 PL02154
ortholog_489 gene-HOLleu_05326 PL07128
ortholog_490 gene-HOLleu_05327 PL08017
ortholog_491 gene-HOLleu_05329 PL05337
ortholog_492 gene-HOLleu_05330 PL05103
ortholog_493 gene-HOLleu_05331 PL05965
ortholog_494 gene-HOLleu_05332 PL07725
ortholog_495 gene-HOLleu_05334 PL05853
ortholog_496 gene-HOLleu_05335 PL07523
ortholog_497 gene-HOLleu_05356 PL40543
ortholog_498 gene-HOLleu_05357 PL06533
ortholog_499 gene-HOLleu_05366 PL05637
ortholog_500 gene-HOLleu_05370 PL06454
ortholog_501 gene-HOLleu_05390 PL05181
ortholog_502 gene-HOLleu_05400 PL32014
ortholog_503 gene-HOLleu_05403 PL06372
ortholog_504 gene-HOLleu_05404 PL07231
ortholog_505 gene-HOLleu_05406 PL04887
ortholog_506 gene-HOLleu_05414 PL01955
ortholog_507 gene-HOLleu_05425 PL07070
ortholog_508 gene-HOLleu_05427 PL05737
ortholog_509 gene-HOLleu_05428 PL06187
ortholog_510 gene-HOLleu_05429 PL04879
ortholog_511 gene-HOLleu_05430 PL06513
ortholog_512 gene-HOLleu_05432 PL05749
ortholog_513 gene-HOLleu_05433 PL06493
ortholog_514 gene-HOLleu_05437 PL05007
ortholog_515 gene-HOLleu_05439 PL06860
ortholog_516 gene-HOLleu_05441 PL06180
ortholog_517 gene-HOLleu_05442 PL06594
ortholog_518 gene-HOLleu_05443 PL06006
ortholog_519 gene-HOLleu_05446 PL06289
ortholog_520 gene-HOLleu_05450 PL04977
ortholog_521 gene-HOLleu_05453 PL05101
ortholog_522 gene-HOLleu_05455 PL07002
ortholog_523 gene-HOLleu_05457 PL06426
ortholog_524 gene-HOLleu_05459 PL05310
ortholog_525 gene-HOLleu_05470 PL33163
ortholog_526 gene-HOLleu_05473 PL05510
ortholog_527 gene-HOLleu_05474 PL07582
ortholog_528 gene-HOLleu_05476 PL07122
ortholog_529 gene-HOLleu_05488 PL05622
ortholog_530 gene-HOLleu_05491 PL05296
ortholog_531 gene-HOLleu_05499 PL07330
ortholog_532 gene-HOLleu_05500 PL07255
ortholog_533 gene-HOLleu_05502 PL06208
ortholog_534 gene-HOLleu_05503 PL06273
ortholog_535 gene-HOLleu_05505 PL07584
ortholog_536 gene-HOLleu_05507 PL06634
ortholog_537 gene-HOLleu_05510 PL06863
ortholog_538 gene-HOLleu_05511 PL24860
ortholog_539 gene-HOLleu_05516 PL06927
ortholog_540 gene-HOLleu_05519 PL06242
ortholog_541 gene-HOLleu_05520 PL14078
ortholog_542 gene-HOLleu_05521 PL06161
ortholog_543 gene-HOLleu_05523 PL07136
ortholog_544 gene-HOLleu_05526 PL06580
ortholog_545 gene-HOLleu_05527 PL06367
ortholog_546 gene-HOLleu_05530 PL05091
ortholog_547 gene-HOLleu_05529 PL05651
ortholog_548 gene-HOLleu_05531 PL05974
ortholog_549 gene-HOLleu_05532 PL06793
ortholog_550 gene-HOLleu_05535 PL05127
ortholog_551 gene-HOLleu_05543 PL07317
ortholog_552 gene-HOLleu_05544 PL07472
ortholog_553 gene-HOLleu_05545 PL07526
ortholog_554 gene-HOLleu_05552 PL07728
ortholog_555 gene-HOLleu_05553 PL06328
ortholog_556 gene-HOLleu_05555 PL07082
ortholog_557 gene-HOLleu_05556 PL06497
ortholog_558 gene-HOLleu_05558 PL05700
ortholog_559 gene-HOLleu_05563 PL26861
ortholog_560 gene-HOLleu_05566 PL31617
ortholog_561 gene-HOLleu_05567 PL02950
ortholog_562 gene-HOLleu_05568 PL05410
ortholog_563 gene-HOLleu_05570 PL06336
ortholog_564 gene-HOLleu_05579 PL04296
ortholog_565 gene-HOLleu_05582 PL05979
ortholog_566 gene-HOLleu_05583 PL07391
ortholog_567 gene-HOLleu_05587 PL06215
ortholog_568 gene-HOLleu_05589 PL07095
ortholog_569 gene-HOLleu_05593 PL06332
ortholog_570 gene-HOLleu_05595 PL26979
ortholog_571 gene-HOLleu_05601 PL07707
ortholog_572 gene-HOLleu_05609 PL07108
ortholog_573 gene-HOLleu_05611 PL02273
ortholog_574 gene-HOLleu_05618 PL04962
ortholog_575 gene-HOLleu_05620 PL23875
ortholog_576 gene-HOLleu_05622 PL06996
ortholog_577 gene-HOLleu_05623 PL06418
ortholog_578 gene-HOLleu_05626 PL06145
ortholog_579 gene-HOLleu_05628 PL07087
ortholog_580 gene-HOLleu_05629 PL07269
ortholog_581 gene-HOLleu_05630 PL05820
ortholog_582 gene-HOLleu_05636 PL40023
