ortholog_1 gene-HOLleu_00001 BL04309_cuf3
ortholog_49 gene-HOLleu_00628 BL67478_cuf0
ortholog_50 gene-HOLleu_00649 BL27861_evm0
ortholog_51 gene-HOLleu_00677 BL07156_evm0
ortholog_52 gene-HOLleu_00712 BL16836_cuf2
ortholog_53 gene-HOLleu_00722 BL29589_evm0
ortholog_54 gene-HOLleu_00781 BL19299_cuf1
ortholog_55 gene-HOLleu_00803 BL00256_evm0
ortholog_56 gene-HOLleu_00844 BL20895_cuf1
ortholog_57 gene-HOLleu_00845 BL07522_evm0
ortholog_58 gene-HOLleu_00883 BL97253_cuf21
ortholog_59 gene-HOLleu_00887 BL31832_evm0
ortholog_60 gene-HOLleu_00918 BL03441_cuf1
ortholog_61 gene-HOLleu_00982 BL25210_evm0
ortholog_62 gene-HOLleu_01008 BL13367_cuf13
ortholog_63 gene-HOLleu_01029 BL19985_evm1
ortholog_64 gene-HOLleu_01062 BL06451_cuf3
ortholog_65 gene-HOLleu_01070 BL01920_evm0
ortholog_66 gene-HOLleu_01088 BL25804_evm0
ortholog_67 gene-HOLleu_01146 BL26274_evm0
ortholog_68 gene-HOLleu_01155 BL29975_evm0
ortholog_69 gene-HOLleu_01162 BL96562_cuf3
ortholog_70 gene-HOLleu_01250 BL29245_evm0
ortholog_71 gene-HOLleu_01263 BL12235_cuf0
ortholog_72 gene-HOLleu_01265 BL22501_cuf0
ortholog_73 gene-HOLleu_01269 BL10514_evm0
ortholog_74 gene-HOLleu_01284 BL21010_evm0
ortholog_75 gene-HOLleu_01324 BL32359_evm0
ortholog_76 gene-HOLleu_01330 BL10164_evm0
ortholog_77 gene-HOLleu_01375 BL00372_cuf3
ortholog_78 gene-HOLleu_01377 BL03839_evm0
ortholog_79 gene-HOLleu_01382 BL00014_cuf10
ortholog_80 gene-HOLleu_01383 BL13681_cuf1
ortholog_81 gene-HOLleu_01384 BL04135_evm0
ortholog_82 gene-HOLleu_01385 BL21837_cuf0
ortholog_83 gene-HOLleu_01387 BL06710_cuf2
ortholog_84 gene-HOLleu_01400 BL20621_cuf7
ortholog_85 gene-HOLleu_01403 BL76464_cuf6
ortholog_86 gene-HOLleu_01404 BL15182_cuf5
ortholog_87 gene-HOLleu_01405 BL14881_evm3
ortholog_88 gene-HOLleu_01406 BL08901_cuf6
ortholog_89 gene-HOLleu_01426 BL20634_evm0
ortholog_90 gene-HOLleu_01437 BL11715_cuf0
ortholog_91 gene-HOLleu_01455 BL20599_cuf2
ortholog_92 gene-HOLleu_01460 BL24508_evm1
ortholog_93 gene-HOLleu_01502 BL26916_evm0
ortholog_94 gene-HOLleu_01528 BL25832_evm0
ortholog_95 gene-HOLleu_01547 BL42166_cuf0
ortholog_96 gene-HOLleu_01586 BL07960_cuf2
ortholog_97 gene-HOLleu_01604 BL60579_cuf2
ortholog_98 gene-HOLleu_01611 BL14264_evm0
ortholog_99 gene-HOLleu_01675 BL32201_evm0
ortholog_100 gene-HOLleu_01693 BL18125_cuf4
ortholog_101 gene-HOLleu_01694 BL06186_cuf14
ortholog_102 gene-HOLleu_01697 BL07419_evm0
ortholog_103 gene-HOLleu_01704 BL47684_cuf1
ortholog_104 gene-HOLleu_01709 BL04716_cuf0
ortholog_105 gene-HOLleu_01722 BL34809_cuf14
ortholog_106 gene-HOLleu_01756 BL12761_evm0
ortholog_107 gene-HOLleu_01757 BL59723_cuf0
ortholog_108 gene-HOLleu_01800 BL24942_evm3
ortholog_109 gene-HOLleu_01803 BL00699_cuf0
ortholog_110 gene-HOLleu_01843 BL10131_cuf1
ortholog_111 gene-HOLleu_01856 BL24984_cuf0
ortholog_112 gene-HOLleu_02013 BL95896_evm0
ortholog_113 gene-HOLleu_02015 BL17928_cuf2
ortholog_114 gene-HOLleu_02017 BL08132_cuf2
ortholog_115 gene-HOLleu_02022 BL28197_evm0
ortholog_116 gene-HOLleu_02035 BL11114_evm0
ortholog_117 gene-HOLleu_02077 BL04412_evm0
ortholog_118 gene-HOLleu_02124 BL26629_evm0
ortholog_119 gene-HOLleu_02135 BL16781_evm0
ortholog_120 gene-HOLleu_02154 BL59587_cuf1
ortholog_121 gene-HOLleu_02163 BL08373_cuf0
ortholog_122 gene-HOLleu_02165 BL17903_evm0
ortholog_123 gene-HOLleu_02167 BL75882_cuf0
ortholog_124 gene-HOLleu_02190 BL03778_cuf6
ortholog_125 gene-HOLleu_02194 BL18297_cuf13
ortholog_126 gene-HOLleu_02197 BL01297_evm6
ortholog_127 gene-HOLleu_02242 BL02056_evm0
ortholog_128 gene-HOLleu_02243 BL24805_evm1
ortholog_129 gene-HOLleu_02246 BL18950_evm0
ortholog_130 gene-HOLleu_02247 BL31546_evm0
ortholog_131 gene-HOLleu_02253 BL19684_evm0
ortholog_132 gene-HOLleu_02282 BL11402_evm0
ortholog_133 gene-HOLleu_02286 BL17035_evm5
ortholog_134 gene-HOLleu_02339 BL51743_cuf0
ortholog_135 gene-HOLleu_02345 BL16052_evm0
ortholog_136 gene-HOLleu_02434 BL28995_evm0
ortholog_137 gene-HOLleu_02473 BL10613_evm0
ortholog_138 gene-HOLleu_02477 BL09008_evm0
ortholog_139 gene-HOLleu_02478 BL19589_cuf1
ortholog_140 gene-HOLleu_02479 BL19366_evm0
ortholog_141 gene-HOLleu_02484 BL16027_cuf5
ortholog_142 gene-HOLleu_02491 BL20259_evm0
ortholog_143 gene-HOLleu_02514 BL15016_evm3
ortholog_144 gene-HOLleu_02520 BL07955_evm4
ortholog_145 gene-HOLleu_02553 BL21745_evm0
ortholog_146 gene-HOLleu_02557 BL10753_evm1
ortholog_147 gene-HOLleu_02577 BL10809_evm0
ortholog_148 gene-HOLleu_02605 BL20886_evm3
ortholog_149 gene-HOLleu_02609 BL18154_evm2
ortholog_150 gene-HOLleu_02611 BL15676_evm0
ortholog_151 gene-HOLleu_02617 BL13415_cuf3
ortholog_152 gene-HOLleu_02619 BL00429_evm0
ortholog_153 gene-HOLleu_02621 BL52172_cuf2
ortholog_154 gene-HOLleu_02626 BL16924_cuf5
ortholog_155 gene-HOLleu_02646 BL21378_evm7
ortholog_156 gene-HOLleu_02653 BL14590_evm1
ortholog_157 gene-HOLleu_02660 BL25720_evm0
ortholog_158 gene-HOLleu_02662 BL13123_cuf6
ortholog_159 gene-HOLleu_02685 BL08931_cuf1
ortholog_160 gene-HOLleu_02688 BL14152_evm0
ortholog_161 gene-HOLleu_02690 BL04763_evm2
ortholog_162 gene-HOLleu_02691 BL01620_evm3
ortholog_163 gene-HOLleu_02697 BL13243_evm4
ortholog_164 gene-HOLleu_02716 BL27159_evm0
ortholog_165 gene-HOLleu_02727 BL28910_evm0
ortholog_166 gene-HOLleu_02730 BL22744_evm3
ortholog_167 gene-HOLleu_02732 BL24829_cuf1
ortholog_168 gene-HOLleu_02744 BL16036_evm0
ortholog_169 gene-HOLleu_02759 BL08820_cuf0
ortholog_170 gene-HOLleu_02802 BL17684_evm0
ortholog_171 gene-HOLleu_02804 BL73585_cuf0
ortholog_172 gene-HOLleu_02843 BL21019_evm0
ortholog_173 gene-HOLleu_02848 BL05734_evm0
ortholog_174 gene-HOLleu_02852 BL03798_cuf0
ortholog_175 gene-HOLleu_02855 BL17919_evm1
ortholog_176 gene-HOLleu_02862 BL10187_evm2
ortholog_177 gene-HOLleu_02897 BL15707_cuf1
ortholog_178 gene-HOLleu_02914 BL08720_evm0
ortholog_179 gene-HOLleu_02915 BL30293_evm0
ortholog_180 gene-HOLleu_02957 BL15738_evm0
ortholog_181 gene-HOLleu_03053 BL25950_evm0
ortholog_182 gene-HOLleu_03064 BL04723_evm0
ortholog_183 gene-HOLleu_03116 BL28726_evm0
ortholog_184 gene-HOLleu_03173 BL01929_cuf2
ortholog_185 gene-HOLleu_03182 BL08624_evm0
ortholog_186 gene-HOLleu_03183 BL15648_evm10
ortholog_187 gene-HOLleu_03193 BL73042_cuf0
ortholog_188 gene-HOLleu_03201 BL01975_evm0
ortholog_189 gene-HOLleu_03245 BL08795_evm1
ortholog_190 gene-HOLleu_03290 BL18626_evm1
ortholog_191 gene-HOLleu_03343 BL25703_evm0
ortholog_192 gene-HOLleu_03361 BL03536_cuf1
ortholog_193 gene-HOLleu_03399 BL69860_cuf0
ortholog_194 gene-HOLleu_03405 BL34899_cuf2
ortholog_195 gene-HOLleu_03437 BL18574_cuf1
ortholog_196 gene-HOLleu_03459 BL00148_evm4
ortholog_197 gene-HOLleu_03460 BL65236_cuf3
ortholog_198 gene-HOLleu_03461 BL95538_evm0
ortholog_199 gene-HOLleu_03477 BL20635_cuf2
ortholog_200 gene-HOLleu_03482 BL14498_evm0
ortholog_201 gene-HOLleu_03486 BL18554_cuf2
ortholog_202 gene-HOLleu_03497 BL95857_evm3
ortholog_203 gene-HOLleu_03517 BL47068_cuf0
ortholog_204 gene-HOLleu_03560 BL17855_evm11
ortholog_205 gene-HOLleu_03561 BL01565_evm16
ortholog_206 gene-HOLleu_03564 BL21944_evm0
ortholog_207 gene-HOLleu_03566 BL02729_evm0
ortholog_208 gene-HOLleu_03567 BL12541_cuf2
ortholog_209 gene-HOLleu_03601 BL08592_cuf3
ortholog_210 gene-HOLleu_03606 BL21617_cuf6
ortholog_211 gene-HOLleu_03626 BL62372_cuf2
ortholog_212 gene-HOLleu_03627 BL16511_evm1
ortholog_213 gene-HOLleu_03634 BL20469_evm6
ortholog_214 gene-HOLleu_03636 BL19208_cuf2
ortholog_215 gene-HOLleu_03638 BL18474_evm1
ortholog_216 gene-HOLleu_03672 BL10368_evm0
ortholog_217 gene-HOLleu_03682 BL96598_cuf21
ortholog_218 gene-HOLleu_03749 BL15257_cuf2
ortholog_219 gene-HOLleu_03754 BL03259_cuf3
ortholog_220 gene-HOLleu_03812 BL74875_cuf1
ortholog_221 gene-HOLleu_03814 BL08228_cuf2
ortholog_222 gene-HOLleu_03816 BL05633_evm0
ortholog_223 gene-HOLleu_03850 BL25133_evm0
ortholog_224 gene-HOLleu_03871 BL16681_evm0
ortholog_225 gene-HOLleu_03917 BL25849_evm0
ortholog_226 gene-HOLleu_03966 BL07078_evm1
ortholog_227 gene-HOLleu_03985 BL18709_evm0
ortholog_228 gene-HOLleu_03988 BL18248_evm0
ortholog_229 gene-HOLleu_04007 BL14374_evm0
ortholog_230 gene-HOLleu_04009 BL11380_evm1
ortholog_231 gene-HOLleu_04010 BL04872_cuf3
ortholog_232 gene-HOLleu_04025 BL17912_evm0
ortholog_233 gene-HOLleu_04036 BL21187_evm0
ortholog_234 gene-HOLleu_04053 BL58667_cuf1
ortholog_235 gene-HOLleu_04054 BL06758_evm0
ortholog_236 gene-HOLleu_04071 BL11830_evm3
ortholog_237 gene-HOLleu_04072 BL08988_evm0
ortholog_238 gene-HOLleu_04073 BL05746_cuf14
ortholog_239 gene-HOLleu_04116 BL11434_cuf3
ortholog_240 gene-HOLleu_04156 BL20854_evm0
ortholog_241 gene-HOLleu_04161 BL06392_cuf3
ortholog_242 gene-HOLleu_04169 BL67763_cuf0
ortholog_243 gene-HOLleu_04189 BL01995_evm0
ortholog_244 gene-HOLleu_04190 BL95114_evm1
ortholog_245 gene-HOLleu_04199 BL18261_cuf7
ortholog_246 gene-HOLleu_04223 BL30376_evm0
ortholog_247 gene-HOLleu_04256 BL18493_evm0
ortholog_248 gene-HOLleu_04268 BL41805_cuf0
ortholog_249 gene-HOLleu_04285 BL17929_evm0
ortholog_250 gene-HOLleu_04314 BL09962_evm0
ortholog_251 gene-HOLleu_04331 BL15661_evm0
ortholog_252 gene-HOLleu_04333 BL14115_evm4
ortholog_253 gene-HOLleu_04336 BL16745_evm0
ortholog_254 gene-HOLleu_04339 BL00561_cuf4
ortholog_255 gene-HOLleu_04341 BL06546_evm0
ortholog_256 gene-HOLleu_04344 BL08616_cuf2
ortholog_257 gene-HOLleu_04347 BL17067_cuf1
ortholog_258 gene-HOLleu_04378 BL03352_evm2
ortholog_259 gene-HOLleu_04431 BL68868_cuf0
ortholog_260 gene-HOLleu_04460 BL95547_evm0
ortholog_261 gene-HOLleu_04468 BL77594_cuf0
ortholog_262 gene-HOLleu_04472 BL19532_cuf0
ortholog_263 gene-HOLleu_04473 BL25079_evm0
ortholog_264 gene-HOLleu_04525 BL11359_cuf1
ortholog_265 gene-HOLleu_04552 BL14598_cuf7
ortholog_266 gene-HOLleu_04553 BL10056_evm0
ortholog_267 gene-HOLleu_04576 BL24992_evm1
ortholog_268 gene-HOLleu_04578 BL18457_evm5
ortholog_269 gene-HOLleu_04606 BL01321_evm3
ortholog_270 gene-HOLleu_04607 BL95142_evm0
ortholog_271 gene-HOLleu_04629 BL31926_evm0
ortholog_272 gene-HOLleu_04689 BL09994_evm0
ortholog_273 gene-HOLleu_04702 BL39659_cuf0
ortholog_274 gene-HOLleu_04738 BL87142_cuf1
ortholog_275 gene-HOLleu_04757 BL84270_cuf0
ortholog_276 gene-HOLleu_04759 BL95188_evm1
ortholog_277 gene-HOLleu_04786 BL13076_cuf7
ortholog_278 gene-HOLleu_04795 BL00838_evm0
ortholog_279 gene-HOLleu_04807 BL21151_cuf2
ortholog_280 gene-HOLleu_04814 BL08119_cuf15
ortholog_281 gene-HOLleu_04816 BL13229_evm0
ortholog_282 gene-HOLleu_04821 BL15557_cuf26
ortholog_283 gene-HOLleu_04822 BL08757_evm0
ortholog_284 gene-HOLleu_04823 BL14011_cuf5
ortholog_285 gene-HOLleu_04831 BL14874_evm0
ortholog_286 gene-HOLleu_04846 BL08758_cuf2
ortholog_287 gene-HOLleu_04857 BL23180_cuf1
ortholog_288 gene-HOLleu_04860 BL71161_cuf1
ortholog_289 gene-HOLleu_04863 BL05220_evm2
ortholog_290 gene-HOLleu_04866 BL01059_cuf3
ortholog_291 gene-HOLleu_04872 BL07220_cuf0
ortholog_292 gene-HOLleu_04873 BL24227_cuf13
ortholog_293 gene-HOLleu_04876 BL10607_evm5
ortholog_294 gene-HOLleu_04879 BL04101_evm16
ortholog_295 gene-HOLleu_04882 BL06698_cuf0
ortholog_296 gene-HOLleu_04883 BL15455_cuf0
ortholog_297 gene-HOLleu_04884 BL14132_cuf9
ortholog_298 gene-HOLleu_04885 BL23988_evm0
ortholog_299 gene-HOLleu_04896 BL00182_cuf7
ortholog_300 gene-HOLleu_04899 BL19903_cuf1
ortholog_301 gene-HOLleu_04900 BL18429_cuf2
ortholog_302 gene-HOLleu_04908 BL06736_evm0
ortholog_303 gene-HOLleu_04910 BL22682_evm0
ortholog_304 gene-HOLleu_04912 BL18577_evm9
ortholog_305 gene-HOLleu_04931 BL02599_cuf1
ortholog_306 gene-HOLleu_04932 BL12283_evm0
ortholog_307 gene-HOLleu_04933 BL18396_evm0
ortholog_308 gene-HOLleu_04934 BL07877_evm0
ortholog_309 gene-HOLleu_04935 BL95773_evm0
ortholog_310 gene-HOLleu_04942 BL96904_cuf7
ortholog_311 gene-HOLleu_04957 BL14244_cuf1
ortholog_312 gene-HOLleu_04960 BL11909_cuf1
ortholog_313 gene-HOLleu_04974 BL20968_cuf1
ortholog_314 gene-HOLleu_04979 BL24774_cuf1
ortholog_315 gene-HOLleu_04987 BL24667_evm2
ortholog_316 gene-HOLleu_04991 BL19480_cuf8
ortholog_317 gene-HOLleu_04992 BL13509_evm0
ortholog_318 gene-HOLleu_04993 BL24543_evm6
ortholog_319 gene-HOLleu_04994 BL04808_evm3
ortholog_320 gene-HOLleu_04998 BL17407_evm0
ortholog_321 gene-HOLleu_05003 BL03479_cuf5
ortholog_322 gene-HOLleu_05005 BL23634_evm0
ortholog_323 gene-HOLleu_05008 BL12276_cuf0
ortholog_324 gene-HOLleu_05011 BL19237_cuf1
ortholog_325 gene-HOLleu_05013 BL01654_evm1
ortholog_326 gene-HOLleu_05019 BL53770_cuf0
ortholog_327 gene-HOLleu_05020 BL07187_cuf3
ortholog_328 gene-HOLleu_05021 BL04604_cuf23
ortholog_329 gene-HOLleu_05026 BL18000_cuf8
ortholog_330 gene-HOLleu_05028 BL22902_cuf8
ortholog_331 gene-HOLleu_05029 BL20973_evm0
ortholog_332 gene-HOLleu_05032 BL03834_cuf2
ortholog_333 gene-HOLleu_05035 BL24439_evm0
ortholog_334 gene-HOLleu_05036 BL30819_evm0
ortholog_335 gene-HOLleu_05039 BL35311_cuf0
ortholog_336 gene-HOLleu_05041 BL01050_evm0
ortholog_337 gene-HOLleu_05042 BL14367_evm14
ortholog_338 gene-HOLleu_05046 BL19509_evm4
ortholog_339 gene-HOLleu_05049 BL19234_evm17
ortholog_340 gene-HOLleu_05051 BL00075_cuf0
ortholog_341 gene-HOLleu_05054 BL14819_evm0
ortholog_342 gene-HOLleu_05056 BL14616_evm1
ortholog_343 gene-HOLleu_05069 BL22021_evm1
ortholog_344 gene-HOLleu_05071 BL06098_cuf13
ortholog_345 gene-HOLleu_05073 BL11624_cuf15
ortholog_346 gene-HOLleu_05075 BL96737_cuf3
ortholog_347 gene-HOLleu_05077 BL25055_evm0
ortholog_348 gene-HOLleu_05082 BL09088_cuf6
ortholog_349 gene-HOLleu_05083 BL09679_evm0
ortholog_350 gene-HOLleu_05086 BL09594_cuf12
ortholog_351 gene-HOLleu_05089 BL11911_cuf3
ortholog_352 gene-HOLleu_05094 BL09592_evm0
ortholog_353 gene-HOLleu_05105 BL14442_cuf2
ortholog_354 gene-HOLleu_05109 BL34806_cuf0
ortholog_355 gene-HOLleu_05112 BL08761_cuf13
ortholog_356 gene-HOLleu_05113 BL95334_evm1
ortholog_357 gene-HOLleu_05114 BL01743_cuf0
ortholog_358 gene-HOLleu_05116 BL07937_cuf1
ortholog_359 gene-HOLleu_05117 BL04531_cuf6
ortholog_360 gene-HOLleu_05122 BL06245_cuf0
ortholog_361 gene-HOLleu_05123 BL24546_evm1
ortholog_362 gene-HOLleu_05137 BL14363_evm9
ortholog_363 gene-HOLleu_05152 BL18637_evm3
ortholog_364 gene-HOLleu_05178 BL07219_cuf4
ortholog_365 gene-HOLleu_05179 BL37738_cuf1
ortholog_366 gene-HOLleu_05181 BL54329_cuf0
ortholog_367 gene-HOLleu_05184 BL01054_cuf6
ortholog_368 gene-HOLleu_05186 BL03842_evm2
ortholog_369 gene-HOLleu_05187 BL16889_evm0
ortholog_370 gene-HOLleu_05188 BL19666_evm1
ortholog_371 gene-HOLleu_05190 BL16890_cuf4
ortholog_372 gene-HOLleu_05195 BL04096_evm0
ortholog_373 gene-HOLleu_05202 BL10358_cuf42
ortholog_374 gene-HOLleu_05205 BL78491_cuf0
ortholog_375 gene-HOLleu_05206 BL17295_evm0
ortholog_376 gene-HOLleu_05207 BL06912_evm6
ortholog_377 gene-HOLleu_05209 BL02623_cuf3
ortholog_378 gene-HOLleu_05216 BL00443_cuf3
ortholog_379 gene-HOLleu_05220 BL05096_cuf32
ortholog_380 gene-HOLleu_05221 BL16883_evm0
ortholog_381 gene-HOLleu_05224 BL24255_cuf7
ortholog_382 gene-HOLleu_05227 BL14364_cuf14
ortholog_383 gene-HOLleu_05229 BL31088_evm0
ortholog_384 gene-HOLleu_05231 BL13237_evm0
ortholog_385 gene-HOLleu_05234 BL30859_evm0
ortholog_386 gene-HOLleu_05235 BL17413_evm0
ortholog_387 gene-HOLleu_05253 BL05065_cuf10
ortholog_388 gene-HOLleu_05256 BL14503_evm0
ortholog_389 gene-HOLleu_05257 BL08759_evm12
ortholog_390 gene-HOLleu_05259 BL24547_evm2
ortholog_391 gene-HOLleu_05303 BL45743_cuf0
ortholog_392 gene-HOLleu_05327 BL96086_evm5
ortholog_393 gene-HOLleu_05330 BL22001_cuf7
ortholog_394 gene-HOLleu_05331 BL19658_cuf3
ortholog_395 gene-HOLleu_05334 BL24841_evm0
ortholog_396 gene-HOLleu_05335 BL28489_evm0
ortholog_397 gene-HOLleu_05339 BL78484_cuf0
ortholog_398 gene-HOLleu_05356 BL11396_evm1
ortholog_399 gene-HOLleu_05363 BL05332_evm7
ortholog_400 gene-HOLleu_05369 BL16986_evm2
ortholog_401 gene-HOLleu_05390 BL05222_evm7
ortholog_402 gene-HOLleu_05404 BL23728_evm5
ortholog_403 gene-HOLleu_05408 BL34630_cuf0
ortholog_404 gene-HOLleu_05425 BL18481_evm0
ortholog_405 gene-HOLleu_05427 BL23329_cuf9
ortholog_406 gene-HOLleu_05428 BL19235_evm4
ortholog_407 gene-HOLleu_05429 BL01644_cuf5
ortholog_408 gene-HOLleu_05430 BL95646_evm1
ortholog_409 gene-HOLleu_05432 BL09316_cuf4
ortholog_410 gene-HOLleu_05433 BL03518_evm0
ortholog_411 gene-HOLleu_05440 BL16504_evm5
ortholog_412 gene-HOLleu_05441 BL18177_cuf1
ortholog_413 gene-HOLleu_05442 BL14146_evm0
ortholog_414 gene-HOLleu_05443 BL04756_evm3
ortholog_415 gene-HOLleu_05450 BL09076_cuf1
ortholog_416 gene-HOLleu_05453 BL19192_evm7
ortholog_417 gene-HOLleu_05457 BL16669_evm0
ortholog_418 gene-HOLleu_05459 BL14608_cuf1
ortholog_419 gene-HOLleu_05462 BL00697_cuf1
ortholog_420 gene-HOLleu_05473 BL95107_evm0
ortholog_421 gene-HOLleu_05474 BL11515_cuf7
ortholog_422 gene-HOLleu_05476 BL25019_evm0
ortholog_423 gene-HOLleu_05491 BL06874_cuf7
ortholog_424 gene-HOLleu_05499 BL88000_cuf0
ortholog_425 gene-HOLleu_05500 BL06915_evm10
ortholog_426 gene-HOLleu_05503 BL18816_cuf0
ortholog_427 gene-HOLleu_05505 BL04584_evm0
ortholog_428 gene-HOLleu_05507 BL07253_evm0
ortholog_429 gene-HOLleu_05510 BL19187_cuf8
ortholog_430 gene-HOLleu_05513 BL07217_cuf4
ortholog_431 gene-HOLleu_05516 BL05435_cuf12
ortholog_432 gene-HOLleu_05519 BL12540_cuf4
ortholog_433 gene-HOLleu_05520 BL16159_evm0
ortholog_434 gene-HOLleu_05521 BL13232_cuf1
ortholog_435 gene-HOLleu_05522 BL01294_cuf3
ortholog_436 gene-HOLleu_05526 BL04743_evm1
ortholog_437 gene-HOLleu_05527 BL09159_evm1
ortholog_438 gene-HOLleu_05530 BL10855_cuf2
ortholog_439 gene-HOLleu_05529 BL04747_evm0
ortholog_440 gene-HOLleu_05531 BL01184_cuf6
ortholog_441 gene-HOLleu_05532 BL15507_evm0
ortholog_442 gene-HOLleu_05541 BL07798_cuf1
ortholog_443 gene-HOLleu_05543 BL04406_cuf4
ortholog_444 gene-HOLleu_05545 BL01410_cuf5
ortholog_445 gene-HOLleu_05546 BL38388_cuf0
ortholog_446 gene-HOLleu_05553 BL18898_evm5
ortholog_447 gene-HOLleu_05555 BL89092_cuf0
ortholog_448 gene-HOLleu_05556 BL10349_evm5
ortholog_449 gene-HOLleu_05558 BL14135_evm6
ortholog_450 gene-HOLleu_05559 BL95744_evm1
ortholog_451 gene-HOLleu_05566 BL24788_cuf13
ortholog_452 gene-HOLleu_05568 BL18060_evm13
ortholog_453 gene-HOLleu_05570 BL12536_evm3
ortholog_454 gene-HOLleu_05571 BL09596_cuf2
ortholog_455 gene-HOLleu_05583 BL13235_cuf4
ortholog_456 gene-HOLleu_05584 BL95745_evm0
ortholog_457 gene-HOLleu_05587 BL19869_evm1
ortholog_458 gene-HOLleu_05589 BL22717_evm0
ortholog_459 gene-HOLleu_05592 BL00221_evm0
ortholog_460 gene-HOLleu_05593 BL17462_evm5
ortholog_461 gene-HOLleu_05601 BL08433_evm0
ortholog_462 gene-HOLleu_05609 BL22690_evm1
ortholog_463 gene-HOLleu_05618 BL04514_evm0
ortholog_464 gene-HOLleu_05620 BL20941_evm3
ortholog_465 gene-HOLleu_05622 BL07548_cuf7
ortholog_466 gene-HOLleu_05626 BL11762_evm0
ortholog_467 gene-HOLleu_05628 BL07224_evm10
ortholog_468 gene-HOLleu_05629 BL22997_cuf4
ortholog_469 gene-HOLleu_05639 BL16881_evm6
ortholog_470 gene-HOLleu_05641 BL14153_evm0
ortholog_471 gene-HOLleu_05674 BL10712_evm0
ortholog_472 gene-HOLleu_05678 BL16090_cuf9
ortholog_473 gene-HOLleu_05687 BL18059_cuf15
ortholog_474 gene-HOLleu_05696 BL04384_evm0
ortholog_475 gene-HOLleu_05699 BL23900_cuf2
ortholog_476 gene-HOLleu_05700 BL20664_cuf6
ortholog_477 gene-HOLleu_05703 BL17464_cuf6
ortholog_478 gene-HOLleu_05711 BL01179_evm1
ortholog_479 gene-HOLleu_05714 BL09090_evm0
ortholog_480 gene-HOLleu_05727 BL04546_cuf3
ortholog_481 gene-HOLleu_05730 BL21361_evm0
ortholog_482 gene-HOLleu_05731 BL31852_evm0
ortholog_483 gene-HOLleu_05733 BL15254_evm1
ortholog_484 gene-HOLleu_05744 BL22666_evm5
ortholog_485 gene-HOLleu_05745 BL06875_evm0
ortholog_486 gene-HOLleu_05747 BL19870_evm1
ortholog_487 gene-HOLleu_05749 BL65917_cuf0
ortholog_488 gene-HOLleu_05750 BL24916_cuf2
ortholog_489 gene-HOLleu_05760 BL08716_evm0
ortholog_490 gene-HOLleu_05764 BL02237_evm0
ortholog_491 gene-HOLleu_05769 BL19735_evm1
