ortholog_1 g320 Em0018g373a
ortholog_161 g6817 Em0002g1030a
ortholog_162 g6832 Em0015g979a
ortholog_163 g6839 Em0015g253a
ortholog_164 g6886 Em0015g1051a
ortholog_165 g6889 Em0015g1050a
ortholog_166 g6898 Em0395g8a
ortholog_167 g6913 Em0015g1271a
ortholog_168 g6932 Em0015g1223a
ortholog_169 g6948 Em0020g930a
ortholog_170 g7053 Em0003g1444a
ortholog_171 g7065 Em0015g1014a
ortholog_172 g7072 Em0016g183a
ortholog_173 g7128 Em0004g146a
ortholog_174 g7208 Em0015g363a
ortholog_175 g7216 Em0015g366a
ortholog_176 g7241 Em0015g344a
ortholog_177 g7248 Em0015g1009a
ortholog_178 g7334 Em0019g1208a
ortholog_179 g7344 Em0015g1257a
ortholog_180 g7376 Em0005g1117a
ortholog_181 g7386 Em0217g2a
ortholog_182 g7461 Em0009g693a
ortholog_183 g7466 Em0023g313a
ortholog_184 g7486 Em0015g1290a
ortholog_185 g7541 Em0015g1178a
ortholog_186 g7545 Em0015g1108a
ortholog_187 g7549 Em0015g1022a
ortholog_188 g7551 Em0671g3a
ortholog_189 g7566 Em0015g292a
ortholog_190 g7570 Em0015g299a
ortholog_191 g7571 Em0010g674a
ortholog_192 g7577 Em0006g1461a
ortholog_193 g7580 Em0015g744a
ortholog_194 g7592 Em0015g104a
ortholog_195 g7604 Em0015g54a
ortholog_196 g7626 Em0015g614a
ortholog_197 g7652 Em0015g776a
ortholog_198 g7728 Em0015g112a
ortholog_199 g7741 Em0015g715a
ortholog_200 g7764 Em0015g977a
ortholog_201 g7809 Em0018g238a
ortholog_202 g7810 Em0005g1092a
ortholog_203 g7874 Em0015g730a
ortholog_204 g7883 Em0012g1070a
ortholog_205 g7890 Em0015g563a
ortholog_206 g7925 Em0012g606a
ortholog_207 g8022 Em0021g112a
ortholog_208 g8075 Em0015g902a
ortholog_209 g8098 Em0015g67a
ortholog_210 g8151 Em0015g1181a
ortholog_211 g8270 Em0022g31a
ortholog_212 g8281 Em0001g89a
ortholog_213 g8284 Em0015g1107a
ortholog_214 g8291 Em0020g899a
ortholog_215 g8292 Em0020g902a
ortholog_216 g8310 Em0020g98a
ortholog_217 g8335 Em0013g793a
ortholog_218 g8352 Em0015g1139a
ortholog_219 g8355 Em0698g4a
ortholog_220 g8360 Em0015g731a
ortholog_221 g8368 Em0015g903a
ortholog_222 g8372 Em0015g691a
ortholog_223 g8380 Em0015g1160a
ortholog_224 g8399 Em0015g886a
ortholog_225 g8439 Em0015g33a
ortholog_226 g8476 Em0015g1204a
ortholog_227 g8480 Em0019g308a
ortholog_228 g8499 Em0114g15a
ortholog_229 g8528 Em0016g29a
ortholog_230 g8567 Em0007g620a
ortholog_231 g8579 Em0015g135a
ortholog_232 g8603 Em0015g561a
ortholog_233 g8701 Em0015g1049a
ortholog_234 g8723 Em0015g1073a
ortholog_235 g8747 Em0015g644a
ortholog_236 g8765 Em0001g3392a
ortholog_237 g8771 Em0015g128a
ortholog_238 g8811 Em0015g251a
ortholog_239 g8849 Em0015g1035a
ortholog_240 g8860 Em0015g305a
ortholog_241 g8863 Em0015g34a
ortholog_242 g8878 Em0023g551a
ortholog_243 g8979 Em0005g1598a
ortholog_244 g8988 Em0010g908a
ortholog_245 g9001 Em0021g639a
ortholog_246 g9041 Em0017g807a
ortholog_247 g9074 Em0015g78a
ortholog_248 g9077 Em0015g916a
ortholog_249 g9091 Em0020g975a
ortholog_250 g9117 Em0007g965a
ortholog_251 g9169 Em0015g154a
ortholog_252 g9179 Em0015g153a
ortholog_253 g9201 Em0016g1025a
ortholog_254 g9258 Em0005g1197a
ortholog_255 g9266 Em0023g566a
ortholog_256 g9270 Em0015g93a
ortholog_257 g9292 Em0015g768a
ortholog_258 g9302 Em0015g1264a
ortholog_259 g9310 Em0015g1261a
ortholog_260 g9316 Em0015g1265a
ortholog_261 g9327 Em0015g1258a
ortholog_262 g9335 Em0015g1259a
ortholog_263 g9380 Em0015g420a
ortholog_264 g9615 Em0015g136a
ortholog_265 g9641 Em0015g1292a
ortholog_266 g9672 Em0015g708a
ortholog_267 g9757 Em0015g3a
ortholog_268 g9791 Em0015g1a
ortholog_269 g9793 Em0015g92a
ortholog_270 g9871 Em0002g421a
ortholog_271 g9908 Em0015g619a
ortholog_272 g9910 Em0015g558a
ortholog_273 g9984 Em0015g290a
ortholog_274 g9986 Em0306g3a
ortholog_275 g9987 Em0015g732a
ortholog_276 g10049 Em0015g28a
ortholog_277 g10118 Em0007g1042a
ortholog_278 g10124 Em0020g288a
ortholog_279 g10154 Em0015g1115a
ortholog_280 g10202 Em0306g5a
ortholog_281 g10217 Em0015g91a
ortholog_282 g10254 Em0003g647a
ortholog_283 g10263 Em0010g943a
ortholog_284 g10298 Em0015g1072a
ortholog_285 g10344 Em0001g2681a
ortholog_286 g10348 Em0163g2a
ortholog_287 g10453 Em0018g931a
ortholog_288 g10490 Em0019g697a
ortholog_289 g10492 Em0015g664a
ortholog_290 g10494 Em0015g1237a
ortholog_291 g10501 Em0023g896a
ortholog_292 g10522 Em0011g508a
ortholog_293 g10555 Em0306g4a
ortholog_294 g10556 Em0015g733a
ortholog_295 g10595 Em0015g602a
ortholog_296 g10599 Em0015g599a
ortholog_297 g10631 Em0003g540a
ortholog_298 g10649 Em0008g1025a
ortholog_299 g10657 Em0022g821a
ortholog_300 g10671 Em0003g708a
ortholog_301 g10695 Em0019g643a
ortholog_302 g10786 Em0015g1052a
ortholog_303 g10801 Em0015g52a
ortholog_304 g10845 Em0015g980a
ortholog_305 g10847 Em0015g1030a
ortholog_306 g10859 Em0015g170a
ortholog_307 g10894 Em0015g50a
ortholog_308 g10897 Em0023g292a
ortholog_309 g10898 Em0015g252a
ortholog_310 g10906 Em0015g124a
ortholog_311 g10929 Em0015g272a
ortholog_312 g10957 Em0015g475a
ortholog_313 g10961 Em0001g3609a
ortholog_314 g10963 Em0008g1012a
ortholog_315 g11030 Em0015g346a
ortholog_316 g11063 Em0015g131a
ortholog_317 g11070 Em0015g982a
ortholog_318 g11116 Em0019g357a
ortholog_319 g11133 Em0015g878a
ortholog_320 g11147 Em0009g371a
ortholog_321 g11159 Em0015g675a
ortholog_322 g11160 Em0015g674a
ortholog_323 g11168 Em0015g1144a
ortholog_324 g11193 Em0009g25a
ortholog_325 g11214 Em0015g714a
ortholog_326 g11215 Em0015g1085a
ortholog_327 g11222 Em0019g554a
ortholog_328 g11229 Em0015g1033a
ortholog_329 g11236 Em0015g1232a
ortholog_330 g11248 Em0015g1217a
ortholog_331 g11335 Em0015g504a
ortholog_332 g11363 Em0322g1a
ortholog_333 g11370 Em0021g437a
ortholog_334 g11401 Em0006g793a
ortholog_335 g11416 Em0015g1226a
ortholog_336 g11417 Em0015g1248a
ortholog_337 g11434 Em0015g1053a
ortholog_338 g11450 Em0015g121a
ortholog_339 g11456 Em0015g122a
ortholog_340 g11464 Em0015g88a
ortholog_341 g11481 Em0003g734a
ortholog_342 g11495 Em0015g1156a
ortholog_343 g11502 Em0015g944a
ortholog_344 g11556 Em0015g775a
ortholog_345 g11566 Em0023g835a
ortholog_346 g11574 Em0023g837a
ortholog_347 g11663 Em0021g886a
ortholog_348 g11741 Em0005g212a
ortholog_349 g11765 Em0020g1096a
ortholog_350 g11770 Em0004g75a
ortholog_351 g11780 Em0015g97a
ortholog_352 g11861 Em0005g1415a
ortholog_353 g12064 Em0011g522a
ortholog_354 g12204 Em0823g1a
ortholog_355 g12228 Em0009g805a
ortholog_356 g12380 Em0017g341a
ortholog_357 g12438 Em0009g345a
ortholog_358 g12440 Em0009g1155a
ortholog_359 g12450 Em0009g1285a
ortholog_360 g12517 Em0019g151a
ortholog_361 g12582 Em0005g1310a
ortholog_362 g12609 Em0009g996a
ortholog_363 g12697 Em0017g776a
ortholog_364 g12720 Em0020g85a
ortholog_365 g12848 Em0020g340a
ortholog_366 g12996 Em0002g12a
ortholog_367 g13280 Em0018g128a
ortholog_368 g13320 Em0022g216a
ortholog_369 g13351 Em0022g215a
ortholog_370 g13392 Em0001g1876a
ortholog_371 g13398 Em0017g409a
ortholog_372 g13462 Em0022g721a
ortholog_373 g13522 Em0024g73a
ortholog_374 g13582 Em0022g196a
ortholog_375 g13668 Em0022g359a
ortholog_376 g13702 Em0022g563a
ortholog_377 g13883 Em0021g540a
ortholog_378 g13909 Em0022g203a
ortholog_379 g13942 Em0022g699a
ortholog_380 g13991 Em0007g1507a
ortholog_381 g14079 Em0022g294a
ortholog_382 g14108 Em0022g493a
ortholog_383 g14134 Em0022g409a
ortholog_384 g14258 Em0022g691a
ortholog_385 g14261 Em0022g504a
ortholog_386 g14265 Em0022g933a
ortholog_387 g14289 Em0002g1632a
ortholog_388 g14334 Em0003g1617a
ortholog_389 g14409 Em0022g260a
ortholog_390 g14422 Em0022g213a
ortholog_391 g14447 Em0022g348a
ortholog_392 g14586 Em0023g933a
ortholog_393 g14640 Em0015g488a
ortholog_394 g14642 Em0022g47a
ortholog_395 g14664 Em0022g181a
ortholog_396 g14685 Em0015g690a
ortholog_397 g14711 Em0009g1306a
ortholog_398 g14715 Em0786g2a
ortholog_399 g14717 Em0179g17a
ortholog_400 g14719 Em0022g223a
ortholog_401 g14721 Em0011g419a
ortholog_402 g14728 Em0022g466a
ortholog_403 g14775 Em0019g1146a
ortholog_404 g14814 Em0022g327a
ortholog_405 g15001 Em0022g230a
ortholog_406 g15003 Em0022g173a
ortholog_407 g15010 Em0072g21a
ortholog_408 g15018 Em0022g321a
ortholog_409 g15073 Em0018g245a
ortholog_410 g15082 Em0001g723a
ortholog_411 g15140 Em0013g411a
ortholog_412 g15144 Em0020g696a
ortholog_413 g15186 Em0022g406a
ortholog_414 g15191 Em0022g189a
ortholog_415 g15294 Em0022g68a
ortholog_416 g15309 Em0022g125a
ortholog_417 g15315 Em0022g205a
ortholog_418 g15316 Em0022g206a
ortholog_419 g15338 Em0011g1027a
ortholog_420 g15351 Em0022g414a
ortholog_421 g15432 Em0022g254a
ortholog_422 g15436 Em0020g63a
ortholog_423 g15464 Em0022g362a
ortholog_424 g15503 Em0064g21a
ortholog_425 g15505 Em0022g784a
ortholog_426 g15509 Em0011g4a
ortholog_427 g15541 Em0022g218a
ortholog_428 g15574 Em0002g766a
ortholog_429 g15585 Em0001g1964a
ortholog_430 g15625 Em0022g703a
ortholog_431 g15629 Em0022g165a
ortholog_432 g15658 Em0022g330a
ortholog_433 g15664 Em0005g1093a
ortholog_434 g15677 Em0015g694a
ortholog_435 g15705 Em0022g519a
ortholog_436 g15712 Em0022g520a
ortholog_437 g15715 Em0005g90a
ortholog_438 g15716 Em0006g503a
ortholog_439 g15780 Em0019g134a
ortholog_440 g15804 Em0001g1947a
ortholog_441 g15807 Em0016g377a
ortholog_442 g15875 Em0022g159a
ortholog_443 g15881 Em0022g164a
ortholog_444 g16049 g33014.t1
ortholog_445 g16098 Em0022g346a
ortholog_446 g16150 Em0460g6a
ortholog_447 g16164 Em0011g583a
ortholog_448 g16230 Em0010g765a
ortholog_449 g16233 Em0023g802a
ortholog_450 g16235 Em0016g1090a
ortholog_451 g16331 Em0022g764a
ortholog_452 g16363 Em0022g347a
ortholog_453 g16382 Em0022g174a
ortholog_454 g16408 Em0022g574a
ortholog_455 g16453 Em0022g333a
ortholog_456 g16526 Em0013g500a
ortholog_457 g16537 Em0005g375a
ortholog_458 g16543 Em0022g343a
ortholog_459 g16560 Em0022g696a
ortholog_460 g16581 Em0022g708a
ortholog_461 g16674 Em0022g339a
ortholog_462 g16762 Em0022g167a
ortholog_463 g16926 Em0008g1013a
ortholog_464 g16951 Em0022g357a
ortholog_465 g16956 Em0023g216a
ortholog_466 g16996 Em0019g243a
ortholog_467 g17077 Em0001g1073a
ortholog_468 g17129 Em0022g940a
ortholog_469 g17302 Em0022g512a
ortholog_470 g17303 Em0022g527a
ortholog_471 g17314 Em0007g527a
ortholog_472 g17357 Em0022g177a
ortholog_473 g17359 Em0012g990a
ortholog_474 g17365 Em0020g999a
ortholog_475 g17376 Em0022g518a
ortholog_476 g17384 Em0022g50a
ortholog_477 g17387 Em0022g660a
ortholog_478 g17390 Em0022g318a
ortholog_479 g17449 Em0022g739a
ortholog_480 g17450 Em0023g420a
ortholog_481 g17456 Em0022g820a
ortholog_482 g17572 Em0022g62a
ortholog_483 g17596 Em0022g412a
ortholog_484 g17601 Em0018g1185a
ortholog_485 g17619 Em0018g1172a
ortholog_486 g17620 Em0009g196a
ortholog_487 g17642 Em0018g669a
ortholog_488 g17648 Em0022g234a
ortholog_489 g17652 Em0110g17a
ortholog_490 g17653 Em0012g171a
ortholog_491 g17657 Em0013g736a
ortholog_492 g17667 Em0022g132a
ortholog_493 g17670 Em0002g1063a
ortholog_494 g17671 Em0022g169a
ortholog_495 g17721 Em0022g136a
ortholog_496 g17731 Em0022g191a
ortholog_497 g17749 Em0022g192a
ortholog_498 g17774 Em0476g1a
ortholog_499 g17783 Em0010g261a
ortholog_500 g17787 Em0022g193a
ortholog_501 g17852 Em0022g323a
ortholog_502 g17865 Em0022g648a
ortholog_503 g17883 Em0013g4a
ortholog_504 g18063 Em0022g550a
ortholog_505 g18073 Em0015g1233a
ortholog_506 g18080 Em0022g253a
ortholog_507 g18081 Em0022g86a
ortholog_508 g18086 Em0022g732a
ortholog_509 g18142 Em0006g915a
ortholog_510 g18193 Em0022g220a
ortholog_511 g18203 Em0020g642a
ortholog_512 g18210 Em0022g361a
ortholog_513 g18238 Em0010g944a
ortholog_514 g18245 Em0022g605a
ortholog_515 g18283 Em0003g192a
ortholog_516 g18292 Em0003g655a
ortholog_517 g18361 Em0022g178a
ortholog_518 g18373 Em0017g827a
ortholog_519 g18375 Em0022g328a
ortholog_520 g18379 Em0022g407a
ortholog_521 g18408 Em0010g372a
ortholog_522 g18410 Em0019g76a
ortholog_523 g18416 Em0447g8a
ortholog_524 g18504 Em0022g131a
ortholog_525 g18515 Em0016g119a
ortholog_526 g18521 Em0022g557a
ortholog_527 g18612 Em0005g1501a
ortholog_528 g18620 Em0017g635a
ortholog_529 g18658 Em0003g1549a
ortholog_530 g18681 Em0003g1601a
ortholog_531 g18699 Em0022g717a
ortholog_532 g18702 Em1145g1a
ortholog_533 g18740 Em0022g418a
ortholog_534 g18786 Em0460g1a
ortholog_535 g18792 Em0020g1001a
ortholog_536 g18812 Em0007g935a
ortholog_537 g18841 Em0003g751a
ortholog_538 g18963 Em0022g511a
ortholog_539 g18970 Em0022g180a
ortholog_540 g18971 Em0022g190a
ortholog_541 g18989 Em0013g734a
ortholog_542 g19016 Em0022g222a
ortholog_543 g19019 Em0020g661a
ortholog_544 g19054 Em0022g742a
ortholog_545 g19059 Em0022g370a
ortholog_546 g19149 Em0022g332a
ortholog_547 g19174 Em0450g3a
ortholog_548 g19334 Em0022g589a
ortholog_549 g19336 Em0016g693a
ortholog_550 g19349 Em0022g439a
ortholog_551 g19401 Em0020g664a
ortholog_552 g19407 Em0015g544a
ortholog_553 g19444 Em0022g293a
ortholog_554 g19499 Em0001g2344a
ortholog_555 g19533 Em0013g831a
ortholog_556 g19534 Em0022g647a
ortholog_557 g19545 Em0015g250a
ortholog_558 g19606 Em0022g337a
ortholog_559 g19607 Em0010g354a
ortholog_560 g19653 Em0022g209a
ortholog_561 g19685 Em1042g1a
ortholog_562 g19706 Em0022g256a
ortholog_563 g19714 Em0022g287a
ortholog_564 g19749 Em0019g744a
ortholog_565 g19752 Em0022g151a
ortholog_566 g19785 Em0020g68a
ortholog_567 g19798 Em0022g197a
ortholog_568 g19829 Em0022g866a
ortholog_569 g19830 Em1329g1a
ortholog_570 g19968 Em0016g532a
ortholog_571 g19989 Em0022g172a
ortholog_572 g20007 Em0022g695a
ortholog_573 g20047 Em0022g761a
ortholog_574 g20115 Em0022g398a
ortholog_575 g20119 Em0022g350a
ortholog_576 g20126 Em0022g60a
ortholog_577 g20176 Em0026g53a
ortholog_578 g20179 Em0014g183a
ortholog_579 g20196 Em0019g638a
ortholog_580 g20271 Em0022g867a
ortholog_581 g20273 Em0022g249a
ortholog_582 g20275 Em0005g1499a
ortholog_583 g20283 Em0022g693a
ortholog_584 g20287 Em0022g736a
ortholog_585 g20345 Em0004g53a
ortholog_586 g20369 Em0022g176a
ortholog_587 g20394 Em0001g153a
ortholog_588 g20400 Em0001g154a
ortholog_589 g20423 Em0021g538a
ortholog_590 g20447 Em0004g304a
ortholog_591 g20503 Em0015g1087a
ortholog_592 g20510 Em0022g152a
ortholog_593 g20526 Em0001g3685a
ortholog_594 g20529 Em0020g656a
ortholog_595 g20534 Em0022g246a
ortholog_596 g20542 Em0022g162a
ortholog_597 g20653 Em0013g23a
ortholog_598 g20809 Em0020g18a
ortholog_599 g20884 Em0839g3a
ortholog_600 g20950 Em0481g5a
ortholog_601 g20964 Em0022g247a
ortholog_602 g20969 Em0022g315a
ortholog_603 g21001 Em0004g52a
ortholog_604 g21161 Em0014g682a
ortholog_605 g21171 Em0022g201a
ortholog_606 g21331 Em0022g258a
ortholog_607 g21384 Em0016g289a
ortholog_608 g21385 Em0022g871a
ortholog_609 g21387 Em0013g139a
ortholog_610 g21412 Em0006g908a
ortholog_611 g21414 Em0006g906a
ortholog_612 g21416 Em0006g904a
ortholog_613 g21487 Em0022g379a
ortholog_614 g21495 Em0022g158a
ortholog_615 g21538 Em0022g525a
ortholog_616 g21557 Em0022g130a
ortholog_617 g21593 Em0655g3a
ortholog_618 g21597 Em1006g4a
ortholog_619 g21622 Em0008g1108a
ortholog_620 g21733 Em0022g366a
ortholog_621 g21737 Em0015g1008a
ortholog_622 g21785 Em0006g983a
ortholog_623 g21796 Em0022g161a
ortholog_624 g21813 Em0022g551a
ortholog_625 g21833 Em0022g334a
ortholog_626 g21834 Em0007g1497a
ortholog_627 g21915 Em0002g1697a
ortholog_628 g21953 Em0022g285a
ortholog_629 g22028 Em0003g718a
ortholog_630 g22036 Em0631g1a
ortholog_631 g22059 Em0019g401a
ortholog_632 g22081 Em1076g1a
ortholog_633 g22086 Em0022g157a
ortholog_634 g22186 Em0022g127a
ortholog_635 g22190 Em0013g141a
ortholog_636 g22384 Em0006g1151a
ortholog_637 g22406 Em0022g217a
ortholog_638 g22513 Em0015g510a
ortholog_639 g22686 Em0013g298a
ortholog_640 g22708 Em0022g194a
ortholog_641 g22716 Em0022g272a
ortholog_642 g22739 Em0022g937a
ortholog_643 g22749 Em0022g34a
ortholog_644 g22827 Em0032g29a
ortholog_645 g23116 Em0003g1131a
ortholog_646 g23152 Em0007g1131a
ortholog_647 g23277 Em0022g303a
ortholog_648 g23279 Em0022g304a
ortholog_649 g23292 Em0001g1075a
ortholog_650 g23315 Em0022g33a
ortholog_651 g23332 Em0019g1211a
ortholog_652 g23333 Em0022g465a
ortholog_653 g23338 Em0022g441a
ortholog_654 g23352 Em0022g296a
ortholog_655 g23361 Em0001g1079a
ortholog_656 g23364 Em0023g764a
ortholog_657 g23383 Em0022g517a
ortholog_658 g23402 Em0034g3a
ortholog_659 g23410 Em0022g144a
ortholog_660 g23415 Em0022g307a
ortholog_661 g23423 Em0017g276a
ortholog_662 g23485 Em0022g288a
ortholog_663 g23507 Em0002g445a
ortholog_664 g23511 Em0004g14a
ortholog_665 g23564 Em0022g510a
ortholog_666 g23589 Em0022g442a
ortholog_667 g23604 Em0022g443a
ortholog_668 g23782 Em0011g519a
ortholog_669 g23800 Em0019g595a
ortholog_670 g23982 Em0012g1031a
ortholog_671 g24057 Em0013g487a
ortholog_672 g24180 Em0021g392a
ortholog_673 g24211 Em0016g1118a
ortholog_674 g25113 Em0010g171a
ortholog_675 g25266 Em0004g1705a
ortholog_676 g25397 Em0004g203a
ortholog_677 g25401 Em0004g145a
ortholog_678 g25412 Em0004g144a
ortholog_679 g25415 Em0021g214a
ortholog_680 g25446 Em0005g1380a
ortholog_681 g25506 g33012.t1
ortholog_682 g25516 Em0002g1137a
ortholog_683 g25554 Em0004g1114a
ortholog_684 g25586 Em0012g535a
ortholog_685 g25622 Em0020g1002a
ortholog_686 g25758 Em0019g879a
ortholog_687 g25759 Em0024g479a
ortholog_688 g25767 Em0068g14a
ortholog_689 g25790 Em0004g355a
ortholog_690 g25813 Em0009g99a
ortholog_691 g25818 Em0018g73a
ortholog_692 g25843 Em0004g1459a
ortholog_693 g25992 Em0004g905a
ortholog_694 g26072 Em0004g350a
ortholog_695 g26074 Em0004g346a
ortholog_696 g26076 Em0004g353a
ortholog_697 g26082 Em0004g293a
ortholog_698 g26188 Em0004g84a
ortholog_699 g26192 Em0018g866a
ortholog_700 g26195 Em0695g1a
ortholog_701 g26215 Em0020g213a
ortholog_702 g26216 Em0020g212a
ortholog_703 g26276 Em0001g539a
ortholog_704 g26298 Em0004g64a
ortholog_705 g26300 Em0004g93a
ortholog_706 g26344 Em0004g41a
ortholog_707 g26488 Em0016g156a
ortholog_708 g26498 Em0004g326a
ortholog_709 g26499 Em0004g308a
ortholog_710 g26501 Em0004g27a
ortholog_711 g26543 Em0004g20a
ortholog_712 g26544 Em0010g857a
ortholog_713 g26561 Em0011g727a
ortholog_714 g26570 Em0015g909a
ortholog_715 g26624 Em1121g1a
ortholog_716 g26629 Em0022g368a
ortholog_717 g26638 Em0005g1343a
ortholog_718 g26639 Em0005g1342a
ortholog_719 g26646 Em0004g1583a
ortholog_720 g26683 Em0004g357a
ortholog_721 g26688 Em0007g840a
ortholog_722 g26725 Em0004g70a
ortholog_723 g26800 Em0014g401a
ortholog_724 g26902 Em0004g1594a
ortholog_725 g26907 Em0007g970a
ortholog_726 g26915 Em0004g24a
ortholog_727 g26947 Em0010g318a
ortholog_728 g26951 Em0012g664a
