ortholog_1 gene-HOLleu_00002 Em0004g788a
ortholog_54 gene-HOLleu_01370 Em0044g19a
ortholog_55 gene-HOLleu_01377 Em0005g803a
ortholog_56 gene-HOLleu_01380 Em0022g819a
ortholog_57 gene-HOLleu_01382 Em0009g1291a
ortholog_58 gene-HOLleu_01383 Em0015g361a
ortholog_59 gene-HOLleu_01384 Em0017g495a
ortholog_60 gene-HOLleu_01385 Em0003g1366a
ortholog_61 gene-HOLleu_01387 Em0006g892a
ortholog_62 gene-HOLleu_01400 Em0012g451a
ortholog_63 gene-HOLleu_01403 Em0363g1a
ortholog_64 gene-HOLleu_01404 Em0008g192a
ortholog_65 gene-HOLleu_01405 Em0006g1557a
ortholog_66 gene-HOLleu_01456 Em0008g242a
ortholog_67 gene-HOLleu_01460 Em0008g671a
ortholog_68 gene-HOLleu_01523 Em0007g1044a
ortholog_69 gene-HOLleu_01530 Em0003g661a
ortholog_70 gene-HOLleu_01563 Em0001g2378a
ortholog_71 gene-HOLleu_01570 Em0001g124a
ortholog_72 gene-HOLleu_01575 Em0001g1962a
ortholog_73 gene-HOLleu_01609 Em0001g1116a
ortholog_74 gene-HOLleu_01693 Em0021g993a
ortholog_75 gene-HOLleu_01694 Em0006g631a
ortholog_76 gene-HOLleu_01695 Em0005g626a
ortholog_77 gene-HOLleu_01704 Em0005g469a
ortholog_78 gene-HOLleu_01722 Em0001g680a
ortholog_79 gene-HOLleu_01748 Em0003g248a
ortholog_80 gene-HOLleu_01754 Em0017g128a
ortholog_81 gene-HOLleu_01785 Em0051g27a
ortholog_82 gene-HOLleu_01800 Em0017g25a
ortholog_83 gene-HOLleu_01803 Em0017g156a
ortholog_84 gene-HOLleu_01843 Em0001g3205a
ortholog_85 gene-HOLleu_01848 Em0024g178a
ortholog_86 gene-HOLleu_01853 Em0167g6a
ortholog_87 gene-HOLleu_01980 Em0021g574a
ortholog_88 gene-HOLleu_02017 Em0017g286a
ortholog_89 gene-HOLleu_02054 Em0001g2687a
ortholog_90 gene-HOLleu_02160 Em0017g983a
ortholog_91 gene-HOLleu_02161 Em0009g563a
ortholog_92 gene-HOLleu_02163 Em0006g1429a
ortholog_93 gene-HOLleu_02165 Em0017g177a
ortholog_94 gene-HOLleu_02192 Em0037g9a
ortholog_95 gene-HOLleu_02194 Em0019g1175a
ortholog_96 gene-HOLleu_02242 Em0006g1518a
ortholog_97 gene-HOLleu_02243 Em0017g86a
ortholog_98 gene-HOLleu_02246 Em0016g1067a
ortholog_99 gene-HOLleu_02253 Em0016g549a
ortholog_100 gene-HOLleu_02272 Em0001g1289a
ortholog_101 gene-HOLleu_02286 Em0016g938a
ortholog_102 gene-HOLleu_02473 Em0006g1430a
ortholog_103 gene-HOLleu_02477 Em0023g602a
ortholog_104 gene-HOLleu_02478 Em0017g578a
ortholog_105 gene-HOLleu_02484 Em0013g608a
ortholog_106 gene-HOLleu_02489 Em0021g320a
ortholog_107 gene-HOLleu_02493 Em0008g519a
ortholog_108 gene-HOLleu_02494 Em0167g7a
ortholog_109 gene-HOLleu_02510 Em0017g680a
ortholog_110 gene-HOLleu_02515 Em1042g1a
ortholog_111 gene-HOLleu_02516 Em0017g64a
ortholog_112 gene-HOLleu_02605 Em0016g1016a
ortholog_113 gene-HOLleu_02611 Em0017g24a
ortholog_114 gene-HOLleu_02626 Em0009g1293a
ortholog_115 gene-HOLleu_02657 Em0018g608a
ortholog_116 gene-HOLleu_02663 Em0023g557a
ortholog_117 gene-HOLleu_02685 Em0021g959a
ortholog_118 gene-HOLleu_02688 Em0002g445a
ortholog_119 gene-HOLleu_02695 Em0015g1027a
ortholog_120 gene-HOLleu_02719 Em0017g599a
ortholog_121 gene-HOLleu_02848 Em0388g3a
ortholog_122 gene-HOLleu_02852 Em0017g195a
ortholog_123 gene-HOLleu_02862 Em0022g129a
ortholog_124 gene-HOLleu_02899 Em0010g641a
ortholog_125 gene-HOLleu_02908 Em0024g274a
ortholog_126 gene-HOLleu_03051 Em0003g1467a
ortholog_127 gene-HOLleu_03064 Em0016g334a
ortholog_128 gene-HOLleu_03078 Em0006g1449a
ortholog_129 gene-HOLleu_03165 Em0016g820a
ortholog_130 gene-HOLleu_03182 Em0008g288a
ortholog_131 gene-HOLleu_03183 Em0008g287a
ortholog_132 gene-HOLleu_03201 Em0001g1346a
ortholog_133 gene-HOLleu_03208 Em0003g1146a
ortholog_134 gene-HOLleu_03239 Em0022g487a
ortholog_135 gene-HOLleu_03245 Em0005g1677a
ortholog_136 gene-HOLleu_03262 Em0020g14a
ortholog_137 gene-HOLleu_03272 Em0021g652a
ortholog_138 gene-HOLleu_03349 Em0001g1308a
ortholog_139 gene-HOLleu_03391 Em0009g494a
ortholog_140 gene-HOLleu_03482 Em0020g688a
ortholog_141 gene-HOLleu_03517 Em0002g1602a
ortholog_142 gene-HOLleu_03550 Em0020g82a
ortholog_143 gene-HOLleu_03560 Em0017g39a
ortholog_144 gene-HOLleu_03561 Em0017g41a
ortholog_145 gene-HOLleu_03566 Em0003g1558a
ortholog_146 gene-HOLleu_03570 Em0017g164a
ortholog_147 gene-HOLleu_03626 Em0014g133a
ortholog_148 gene-HOLleu_03634 Em0017g19a
ortholog_149 gene-HOLleu_03636 Em0137g13a
ortholog_150 gene-HOLleu_03749 Em0017g16a
ortholog_151 gene-HOLleu_03784 Em0002g1099a
ortholog_152 gene-HOLleu_03790 Em0009g208a
ortholog_153 gene-HOLleu_03796 Em0007g887a
ortholog_154 gene-HOLleu_03816 Em0017g576a
ortholog_155 gene-HOLleu_03849 Em0013g249a
ortholog_156 gene-HOLleu_03864 Em0023g805a
ortholog_157 gene-HOLleu_03892 Em0005g1236a
ortholog_158 gene-HOLleu_03930 Em0561g1a
ortholog_159 gene-HOLleu_03985 Em0017g187a
ortholog_160 gene-HOLleu_04005 Em0017g508a
ortholog_161 gene-HOLleu_04009 Em0017g88a
ortholog_162 gene-HOLleu_04010 Em0001g3730a
ortholog_163 gene-HOLleu_04011 Em0014g4a
ortholog_164 gene-HOLleu_04025 Em0017g363a
ortholog_165 gene-HOLleu_04060 Em0005g1667a
ortholog_166 gene-HOLleu_04071 Em0011g169a
ortholog_167 gene-HOLleu_04073 Em0017g92a
ortholog_168 gene-HOLleu_04079 Em0016g362a
ortholog_169 gene-HOLleu_04099 Em0016g313a
ortholog_170 gene-HOLleu_04103 Em0063g18a
ortholog_171 gene-HOLleu_04156 Em0012g719a
ortholog_172 gene-HOLleu_04189 Em0006g1471a
ortholog_173 gene-HOLleu_04190 Em0017g65a
ortholog_174 gene-HOLleu_04199 Em0017g517a
ortholog_175 gene-HOLleu_04216 Em0860g1a
ortholog_176 gene-HOLleu_04313 Em0145g7a
ortholog_177 gene-HOLleu_04317 Em0101g9a
ortholog_178 gene-HOLleu_04333 Em0017g253a
ortholog_179 gene-HOLleu_04336 Em0017g564a
ortholog_180 gene-HOLleu_04339 Em0017g29a
ortholog_181 gene-HOLleu_04341 Em0017g36a
ortholog_182 gene-HOLleu_04347 Em0003g43a
ortholog_183 gene-HOLleu_04381 Em0022g403a
ortholog_184 gene-HOLleu_04395 Em0008g1079a
ortholog_185 gene-HOLleu_04436 Em0012g3a
ortholog_186 gene-HOLleu_04460 Em0009g601a
ortholog_187 gene-HOLleu_04472 Em0017g113a
ortholog_188 gene-HOLleu_04480 Em0006g634a
ortholog_189 gene-HOLleu_04525 Em0017g33a
ortholog_190 gene-HOLleu_04552 Em0017g32a
ortholog_191 gene-HOLleu_04576 Em0017g301a
ortholog_192 gene-HOLleu_04606 Em0006g1417a
ortholog_193 gene-HOLleu_04643 Em0001g3339a
ortholog_194 gene-HOLleu_04647 Em0021g886a
ortholog_195 gene-HOLleu_04689 Em0017g208a
ortholog_196 gene-HOLleu_04702 Em0022g662a
ortholog_197 gene-HOLleu_04820 Em0021g788a
ortholog_198 gene-HOLleu_04821 Em0001g1294a
ortholog_199 gene-HOLleu_04822 Em0001g3276a
ortholog_200 gene-HOLleu_04838 Em0022g528a
ortholog_201 gene-HOLleu_04843 Em0001g1618a
ortholog_202 gene-HOLleu_04846 Em0014g71a
ortholog_203 gene-HOLleu_04850 Em0244g5a
ortholog_204 gene-HOLleu_04862 Em0017g315a
ortholog_205 gene-HOLleu_04866 Em0019g231a
ortholog_206 gene-HOLleu_04872 Em0001g998a
ortholog_207 gene-HOLleu_04879 Em0005g80a
ortholog_208 gene-HOLleu_04882 Em0001g67a
ortholog_209 gene-HOLleu_04884 Em0009g616a
ortholog_210 gene-HOLleu_04899 Em0004g1192a
ortholog_211 gene-HOLleu_04908 Em0005g1448a
ortholog_212 gene-HOLleu_04912 Em0007g157a
ortholog_213 gene-HOLleu_04933 Em0008g1080a
ortholog_214 gene-HOLleu_04934 Em0517g2a
ortholog_215 gene-HOLleu_04942 Em0015g147a
ortholog_216 gene-HOLleu_04958 Em0026g41a
ortholog_217 gene-HOLleu_04963 Em0016g518a
ortholog_218 gene-HOLleu_04974 Em0014g172a
ortholog_219 gene-HOLleu_04987 Em0006g1247a
ortholog_220 gene-HOLleu_04992 Em0001g1890a
ortholog_221 gene-HOLleu_04993 Em0014g49a
ortholog_222 gene-HOLleu_04994 Em0016g635a
ortholog_223 gene-HOLleu_04998 Em0009g364a
ortholog_224 gene-HOLleu_05003 Em0001g3791a
ortholog_225 gene-HOLleu_05005 Em0016g397a
ortholog_226 gene-HOLleu_05013 Em0001g1293a
ortholog_227 gene-HOLleu_05020 Em0001g2661a
ortholog_228 gene-HOLleu_05021 Em0001g1754a
ortholog_229 gene-HOLleu_05026 Em0019g1041a
ortholog_230 gene-HOLleu_05027 Em0001g1791a
ortholog_231 gene-HOLleu_05032 Em0001g2663a
ortholog_232 gene-HOLleu_05038 Em0001g3216a
ortholog_233 gene-HOLleu_05041 Em0017g134a
ortholog_234 gene-HOLleu_05046 Em0009g436a
ortholog_235 gene-HOLleu_05049 Em0001g2657a
ortholog_236 gene-HOLleu_05052 Em0001g753a
ortholog_237 gene-HOLleu_05071 Em0005g1676a
ortholog_238 gene-HOLleu_05082 Em0019g102a
ortholog_239 gene-HOLleu_05086 Em0001g332a
ortholog_240 gene-HOLleu_05113 Em0001g2899a
ortholog_241 gene-HOLleu_05114 Em0014g27a
ortholog_242 gene-HOLleu_05117 Em0001g2411a
ortholog_243 gene-HOLleu_05123 Em0013g148a
ortholog_244 gene-HOLleu_05152 Em0007g621a
ortholog_245 gene-HOLleu_05178 Em0001g1112a
ortholog_246 gene-HOLleu_05179 Em0001g653a
ortholog_247 gene-HOLleu_05186 Em0001g1766a
ortholog_248 gene-HOLleu_05202 Em0016g850a
ortholog_249 gene-HOLleu_05206 Em0014g37a
ortholog_250 gene-HOLleu_05209 Em0001g247a
ortholog_251 gene-HOLleu_05216 Em0019g1206a
ortholog_252 gene-HOLleu_05220 Em0001g608a
ortholog_253 gene-HOLleu_05221 Em0001g1126a
ortholog_254 gene-HOLleu_05224 Em0001g1763a
ortholog_255 gene-HOLleu_05228 Em0015g1020a
ortholog_256 gene-HOLleu_05231 Em0006g942a
ortholog_257 gene-HOLleu_05253 Em0014g39a
ortholog_258 gene-HOLleu_05256 Em0005g1643a
ortholog_259 gene-HOLleu_05257 Em0014g5a
ortholog_260 gene-HOLleu_05259 Em0004g999a
ortholog_261 gene-HOLleu_05263 Em0001g2705a
ortholog_262 gene-HOLleu_05266 Em0021g40a
ortholog_263 gene-HOLleu_05327 Em0006g1020a
ortholog_264 gene-HOLleu_05330 Em0001g1046a
ortholog_265 gene-HOLleu_05331 Em0008g942a
ortholog_266 gene-HOLleu_05332 Em0016g440a
ortholog_267 gene-HOLleu_05357 Em0001g3820a
ortholog_268 gene-HOLleu_05370 Em0012g857a
ortholog_269 gene-HOLleu_05390 Em0001g2222a
ortholog_270 gene-HOLleu_05404 Em0001g1774a
ortholog_271 gene-HOLleu_05428 Em0004g974a
ortholog_272 gene-HOLleu_05429 Em0014g175a
ortholog_273 gene-HOLleu_05437 Em0001g213a
ortholog_274 gene-HOLleu_05441 Em0001g623a
ortholog_275 gene-HOLleu_05442 Em0020g192a
ortholog_276 gene-HOLleu_05446 Em0001g1080a
ortholog_277 gene-HOLleu_05450 Em0001g1910a
ortholog_278 gene-HOLleu_05451 Em0010g384a
ortholog_279 gene-HOLleu_05457 Em0023g538a
ortholog_280 gene-HOLleu_05459 Em0001g1127a
ortholog_281 gene-HOLleu_05474 Em0018g1088a
ortholog_282 gene-HOLleu_05476 Em0014g28a
ortholog_283 gene-HOLleu_05488 Em0006g1175a
ortholog_284 gene-HOLleu_05491 Em0003g1842a
ortholog_285 gene-HOLleu_05499 Em0001g1891a
ortholog_286 gene-HOLleu_05500 Em0001g1415a
ortholog_287 gene-HOLleu_05502 Em0001g413a
ortholog_288 gene-HOLleu_05503 Em0001g617a
ortholog_289 gene-HOLleu_05507 Em0001g2648a
ortholog_290 gene-HOLleu_05510 Em0019g73a
ortholog_291 gene-HOLleu_05515 Em0026g26a
ortholog_292 gene-HOLleu_05516 Em0014g127a
ortholog_293 gene-HOLleu_05519 Em0001g622a
ortholog_294 gene-HOLleu_05520 Em0023g423a
ortholog_295 gene-HOLleu_05521 Em0013g114a
ortholog_296 gene-HOLleu_05525 Em0012g97a
ortholog_297 gene-HOLleu_05527 Em0001g929a
ortholog_298 gene-HOLleu_05529 Em0013g995a
ortholog_299 gene-HOLleu_05531 Em0002g1892a
ortholog_300 gene-HOLleu_05532 Em0001g1211a
ortholog_301 gene-HOLleu_05541 Em0009g1241a
ortholog_302 gene-HOLleu_05543 Em0016g384a
ortholog_303 gene-HOLleu_05545 Em0020g1030a
ortholog_304 gene-HOLleu_05546 Em0008g980a
ortholog_305 gene-HOLleu_05553 Em0001g24a
ortholog_306 gene-HOLleu_05556 Em0009g602a
ortholog_307 gene-HOLleu_05558 Em0001g467a
ortholog_308 gene-HOLleu_05565 Em0004g1743a
ortholog_309 gene-HOLleu_05568 Em0014g276a
ortholog_310 gene-HOLleu_05570 Em0001g2647a
ortholog_311 gene-HOLleu_05583 Em0014g357a
ortholog_312 gene-HOLleu_05587 Em0001g3766a
ortholog_313 gene-HOLleu_05589 Em0001g1313a
ortholog_314 gene-HOLleu_05601 Em0006g1040a
ortholog_315 gene-HOLleu_05609 Em0001g1077a
ortholog_316 gene-HOLleu_05618 Em0001g1297a
ortholog_317 gene-HOLleu_05623 Em0216g5a
ortholog_318 gene-HOLleu_05626 Em0017g63a
ortholog_319 gene-HOLleu_05674 Em0001g1476a
ortholog_320 gene-HOLleu_05696 Em0001g1103a
ortholog_321 gene-HOLleu_05697 Em0023g382a
ortholog_322 gene-HOLleu_05711 Em0001g198a
ortholog_323 gene-HOLleu_05730 Em0001g1148a
ortholog_324 gene-HOLleu_05733 Em0016g1042a
ortholog_325 gene-HOLleu_05737 Em0009g1308a
ortholog_326 gene-HOLleu_05744 Em1203g1a
ortholog_327 gene-HOLleu_05745 Em0001g1552a
ortholog_328 gene-HOLleu_05746 Em0001g1334a
ortholog_329 gene-HOLleu_05750 Em0009g1312a
ortholog_330 gene-HOLleu_05752 Em0001g2034a
ortholog_331 gene-HOLleu_05769 Em0003g1560a
ortholog_332 gene-HOLleu_05791 Em0001g3784a
ortholog_333 gene-HOLleu_05801 Em0001g2141a
ortholog_334 gene-HOLleu_05809 Em0021g316a
ortholog_335 gene-HOLleu_05810 Em0001g2524a
ortholog_336 gene-HOLleu_05834 Em0008g1070a
ortholog_337 gene-HOLleu_05852 Em0011g168a
ortholog_338 gene-HOLleu_05855 Em0001g3795a
ortholog_339 gene-HOLleu_05859 Em0001g3666a
ortholog_340 gene-HOLleu_05890 Em0001g2503a
ortholog_341 gene-HOLleu_05893 Em0016g145a
ortholog_342 gene-HOLleu_05910 Em0001g542a
ortholog_343 gene-HOLleu_05920 Em0001g3534a
ortholog_344 gene-HOLleu_05930 Em0001g3612a
ortholog_345 gene-HOLleu_05935 Em0006g794a
ortholog_346 gene-HOLleu_05938 Em0001g3429a
ortholog_347 gene-HOLleu_05946 Em0001g3723a
ortholog_348 gene-HOLleu_05950 Em0010g842a
ortholog_349 gene-HOLleu_05951 Em0009g43a
ortholog_350 gene-HOLleu_05954 Em0039g33a
ortholog_351 gene-HOLleu_05955 Em0001g114a
ortholog_352 gene-HOLleu_05956 Em0001g2388a
ortholog_353 gene-HOLleu_05960 Em0014g439a
ortholog_354 gene-HOLleu_05961 Em0019g280a
ortholog_355 gene-HOLleu_05969 Em0001g1706a
ortholog_356 gene-HOLleu_05977 Em0001g3686a
ortholog_357 gene-HOLleu_05985 Em0001g2704a
ortholog_358 gene-HOLleu_05989 Em0001g1487a
ortholog_359 gene-HOLleu_05997 Em0001g1477a
ortholog_360 gene-HOLleu_06000 Em0001g3564a
ortholog_361 gene-HOLleu_06006 Em0017g947a
ortholog_362 gene-HOLleu_06007 Em0017g502a
ortholog_363 gene-HOLleu_06009 Em0001g2295a
ortholog_364 gene-HOLleu_06027 Em0022g48a
ortholog_365 gene-HOLleu_06028 Em0014g131a
ortholog_366 gene-HOLleu_06034 Em0003g1837a
ortholog_367 gene-HOLleu_06035 Em0020g789a
ortholog_368 gene-HOLleu_06036 Em0001g436a
ortholog_369 gene-HOLleu_06047 Em0014g35a
ortholog_370 gene-HOLleu_06055 Em0014g7a
ortholog_371 gene-HOLleu_06056 Em1158g2a
ortholog_372 gene-HOLleu_06057 Em0014g137a
ortholog_373 gene-HOLleu_06066 Em0014g8a
ortholog_374 gene-HOLleu_06077 Em0019g230a
ortholog_375 gene-HOLleu_06081 Em0015g1234a
ortholog_376 gene-HOLleu_06084 Em0012g780a
ortholog_377 gene-HOLleu_06125 Em0005g1218a
ortholog_378 gene-HOLleu_06149 Em0022g231a
ortholog_379 gene-HOLleu_06157 Em0001g2529a
ortholog_380 gene-HOLleu_06167 Em0001g1213a
ortholog_381 gene-HOLleu_06203 Em0020g336a
ortholog_382 gene-HOLleu_06212 Em0001g2662a
ortholog_383 gene-HOLleu_06213 Em0019g917a
ortholog_384 gene-HOLleu_06225 Em0001g529a
ortholog_385 gene-HOLleu_06228 Em0001g1627a
ortholog_386 gene-HOLleu_06230 Em0007g1369a
ortholog_387 gene-HOLleu_06237 Em0023g465a
ortholog_388 gene-HOLleu_06257 Em0011g786a
ortholog_389 gene-HOLleu_06265 Em0001g3685a
ortholog_390 gene-HOLleu_06269 Em0001g3613a
ortholog_391 gene-HOLleu_06272 Em0004g1706a
ortholog_392 gene-HOLleu_06274 Em0001g3614a
ortholog_393 gene-HOLleu_06286 Em0003g1566a
ortholog_394 gene-HOLleu_06296 Em0004g73a
ortholog_395 gene-HOLleu_06297 Em0023g418a
ortholog_396 gene-HOLleu_06313 Em0012g1097a
ortholog_397 gene-HOLleu_06318 Em0005g1113a
ortholog_398 gene-HOLleu_06320 Em0019g307a
ortholog_399 gene-HOLleu_06321 Em0021g533a
ortholog_400 gene-HOLleu_06323 Em0014g177a
ortholog_401 gene-HOLleu_06327 Em0016g364a
ortholog_402 gene-HOLleu_06328 Em0001g1437a
ortholog_403 gene-HOLleu_06352 Em0019g158a
ortholog_404 gene-HOLleu_06370 Em0001g1336a
ortholog_405 gene-HOLleu_06374 Em0011g507a
ortholog_406 gene-HOLleu_06378 Em0001g2644a
ortholog_407 gene-HOLleu_06381 Em0004g1680a
ortholog_408 gene-HOLleu_06384 Em0001g296a
ortholog_409 gene-HOLleu_06386 Em0021g968a
ortholog_410 gene-HOLleu_06389 Em0055g7a
ortholog_411 gene-HOLleu_06391 Em0001g1628a
ortholog_412 gene-HOLleu_06393 Em0001g1239a
ortholog_413 gene-HOLleu_06395 Em0004g1039a
ortholog_414 gene-HOLleu_06400 Em0001g3075a
ortholog_415 gene-HOLleu_06412 Em0001g795a
ortholog_416 gene-HOLleu_06413 Em0001g555a
ortholog_417 gene-HOLleu_06436 Em0014g132a
ortholog_418 gene-HOLleu_06445 Em0001g2871a
ortholog_419 gene-HOLleu_06458 Em0005g655a
ortholog_420 gene-HOLleu_06462 Em0013g90a
ortholog_421 gene-HOLleu_06516 Em0014g270a
ortholog_422 gene-HOLleu_06524 Em0001g3792a
ortholog_423 gene-HOLleu_06525 Em0001g3376a
ortholog_424 gene-HOLleu_06529 Em0001g3415a
ortholog_425 gene-HOLleu_06541 Em0001g846a
ortholog_426 gene-HOLleu_06548 Em0017g184a
ortholog_427 gene-HOLleu_06557 Em0576g3a
ortholog_428 gene-HOLleu_06580 Em0016g69a
ortholog_429 gene-HOLleu_06586 Em0001g3281a
ortholog_430 gene-HOLleu_06590 Em0001g1705a
ortholog_431 gene-HOLleu_06594 Em0008g162a
ortholog_432 gene-HOLleu_06598 Em0003g1359a
ortholog_433 gene-HOLleu_06605 Em0001g93a
ortholog_434 gene-HOLleu_06606 Em0021g277a
ortholog_435 gene-HOLleu_06610 Em0014g602a
ortholog_436 gene-HOLleu_06616 Em0001g1109a
ortholog_437 gene-HOLleu_06621 Em0014g170a
ortholog_438 gene-HOLleu_06627 Em0006g1486a
ortholog_439 gene-HOLleu_06629 Em0001g2658a
ortholog_440 gene-HOLleu_06647 Em0293g2a
ortholog_441 gene-HOLleu_06654 Em0001g295a
ortholog_442 gene-HOLleu_06658 Em0001g3611a
ortholog_443 gene-HOLleu_06661 Em0016g43a
ortholog_444 gene-HOLleu_06680 Em0018g387a
ortholog_445 gene-HOLleu_06681 Em0014g524a
ortholog_446 gene-HOLleu_06690 Em0010g709a
ortholog_447 gene-HOLleu_06695 Em0001g2262a
ortholog_448 gene-HOLleu_06700 Em0009g549a
ortholog_449 gene-HOLleu_06701 Em0023g921a
ortholog_450 gene-HOLleu_06721 Em0001g3779a
ortholog_451 gene-HOLleu_06722 Em0001g113a
ortholog_452 gene-HOLleu_06744 Em0014g417a
ortholog_453 gene-HOLleu_06745 Em0001g720a
ortholog_454 gene-HOLleu_06749 Em0071g21a
ortholog_455 gene-HOLleu_06750 Em0014g25a
ortholog_456 gene-HOLleu_06755 Em0017g494a
ortholog_457 gene-HOLleu_06756 Em0015g308a
ortholog_458 gene-HOLleu_06757 Em0002g292a
ortholog_459 gene-HOLleu_06766 Em0022g720a
ortholog_460 gene-HOLleu_06767 Em0880g3a
ortholog_461 gene-HOLleu_06781 Em0001g1246a
ortholog_462 gene-HOLleu_06788 Em0001g1171a
ortholog_463 gene-HOLleu_06792 Em0001g1400a
ortholog_464 gene-HOLleu_06804 Em0011g887a
ortholog_465 gene-HOLleu_06806 Em0001g2116a
ortholog_466 gene-HOLleu_06816 Em0015g804a
ortholog_467 gene-HOLleu_06818 Em0015g48a
ortholog_468 gene-HOLleu_06819 Em0014g12a
ortholog_469 gene-HOLleu_06830 Em0014g152a
ortholog_470 gene-HOLleu_06834 Em0022g517a
ortholog_471 gene-HOLleu_06835 Em0016g916a
ortholog_472 gene-HOLleu_06842 Em0014g372a
ortholog_473 gene-HOLleu_06843 Em0006g494a
ortholog_474 gene-HOLleu_06844 Em0014g79a
ortholog_475 gene-HOLleu_06853 g33015.t1
ortholog_476 gene-HOLleu_06854 Em0001g229a
ortholog_477 gene-HOLleu_06855 Em0001g214a
ortholog_478 gene-HOLleu_06859 Em0001g1953a
ortholog_479 gene-HOLleu_06867 Em0005g667a
ortholog_480 gene-HOLleu_06885 Em0022g969a
ortholog_481 gene-HOLleu_06894 Em0022g936a
ortholog_482 gene-HOLleu_06895 Em0012g466a
ortholog_483 gene-HOLleu_06914 Em0001g1369a
ortholog_484 gene-HOLleu_06926 Em0009g758a
ortholog_485 gene-HOLleu_06933 Em0001g3672a
ortholog_486 gene-HOLleu_06945 Em0001g3377a
ortholog_487 gene-HOLleu_06946 Em0001g3794a
ortholog_488 gene-HOLleu_06948 Em0001g3657a
ortholog_489 gene-HOLleu_06950 Em0088g3a
ortholog_490 gene-HOLleu_06953 Em0003g1487a
ortholog_491 gene-HOLleu_06981 Em0001g1750a
ortholog_492 gene-HOLleu_06987 Em0005g431a
ortholog_493 gene-HOLleu_06989 Em0001g2417a
ortholog_494 gene-HOLleu_06995 Em0003g464a
ortholog_495 gene-HOLleu_06996 Em0001g1571a
ortholog_496 gene-HOLleu_07015 Em0016g1066a
ortholog_497 gene-HOLleu_07017 Em0551g2a
ortholog_498 gene-HOLleu_07042 Em0018g295a
ortholog_499 gene-HOLleu_07048 Em0015g1130a
ortholog_500 gene-HOLleu_07049 Em0019g606a
ortholog_501 gene-HOLleu_07053 Em0012g495a
ortholog_502 gene-HOLleu_07054 Em0019g322a
ortholog_503 gene-HOLleu_07055 Em0019g246a
ortholog_504 gene-HOLleu_07056 Em0021g668a
ortholog_505 gene-HOLleu_07057 Em0019g245a
ortholog_506 gene-HOLleu_07060 Em0019g331a
ortholog_507 gene-HOLleu_07067 Em0019g982a
ortholog_508 gene-HOLleu_07068 Em0019g915a
ortholog_509 gene-HOLleu_07069 Em0246g4a
ortholog_510 gene-HOLleu_07075 Em0019g103a
ortholog_511 gene-HOLleu_07079 Em0019g627a
