ortholog_1 BL06853 Em0023g52a
ortholog_167 BL07425 Em0009g279a
ortholog_168 BL07427 Em0068g9a
ortholog_169 BL07434 Em0017g791a
ortholog_170 BL07447 Em0023g90a
ortholog_171 BL07449 Em0009g1219a
ortholog_172 BL07455 Em0009g1023a
ortholog_173 BL07456 Em0009g1022a
ortholog_174 BL07460 Em0021g992a
ortholog_175 BL07466 Em0009g1220a
ortholog_176 BL07472 Em0009g1033a
ortholog_177 BL07474 Em0010g134a
ortholog_178 BL07476 Em0009g1216a
ortholog_179 BL07478 Em0009g451a
ortholog_180 BL07483 Em0020g616a
ortholog_181 BL07494 Em0009g1043a
ortholog_182 BL07496 Em0022g149a
ortholog_183 BL07499 Em0009g1144a
ortholog_184 BL07500 Em0009g1120a
ortholog_185 BL07502 Em0009g606a
ortholog_186 BL07504 Em0018g906a
ortholog_187 BL07505 Em0002g874a
ortholog_188 BL07507 Em0009g1231a
ortholog_189 BL07508 Em0004g1049a
ortholog_190 BL07512 Em0009g1304a
ortholog_191 BL07514 Em0018g598a
ortholog_192 BL07518 Em0019g719a
ortholog_193 BL07521 Em0544g2a
ortholog_194 BL07525 Em0022g122a
ortholog_195 BL07526 Em0009g600a
ortholog_196 BL07530 Em0009g1226a
ortholog_197 BL07533 Em0009g1215a
ortholog_198 BL07535 Em0013g180a
ortholog_199 BL07536 Em0009g103a
ortholog_200 BL07537 Em0001g1025a
ortholog_201 BL07546 Em0009g618a
ortholog_202 BL07547 Em0021g991a
ortholog_203 BL07563 Em0009g620a
ortholog_204 BL07568 Em0002g209a
ortholog_205 BL07572 Em0007g252a
ortholog_206 BL07574 Em0023g130a
ortholog_207 BL07583 Em0020g975a
ortholog_208 BL07601 Em0016g422a
ortholog_209 BL07602 Em0007g839a
ortholog_210 BL07603 Em0002g387a
ortholog_211 BL07604 Em0009g45a
ortholog_212 BL07605 Em0019g1180a
ortholog_213 BL07606 Em0023g157a
ortholog_214 BL07608 Em0023g74a
ortholog_215 BL07610 Em0023g183a
ortholog_216 BL07611 Em0013g696a
ortholog_217 BL07616 Em0009g1111a
ortholog_218 BL07619 Em0011g985a
ortholog_219 BL07621 Em0022g667a
ortholog_220 BL07624 Em0023g267a
ortholog_221 BL07633 Em0023g87a
ortholog_222 BL07639 Em0023g265a
ortholog_223 BL07641 Em0013g986a
ortholog_224 BL07653 Em0019g264a
ortholog_225 BL07657 Em0023g61a
ortholog_226 BL07659 Em0023g78a
ortholog_227 BL07661 Em0022g241a
ortholog_228 BL07663 Em0023g352a
ortholog_229 BL07664 Em0010g903a
ortholog_230 BL07665 Em0023g198a
ortholog_231 BL07666 Em0023g194a
ortholog_232 BL07667 Em0023g354a
ortholog_233 BL07670 Em0023g338a
ortholog_234 BL07671 Em0005g166a
ortholog_235 BL07682 Em0023g230a
ortholog_236 BL07683 Em0021g257a
ortholog_237 BL07684 Em0023g357a
ortholog_238 BL07687 Em0023g227a
ortholog_239 BL07688 Em0023g337a
ortholog_240 BL07692 Em0016g225a
ortholog_241 BL07694 Em0023g266a
ortholog_242 BL07705 Em0023g57a
ortholog_243 BL07709 Em0023g85a
ortholog_244 BL07710 Em0786g3a
ortholog_245 BL07714 Em0179g12a
ortholog_246 BL07715 Em0023g40a
ortholog_247 BL07716 Em0015g978a
ortholog_248 BL07718 Em0016g218a
ortholog_249 BL07721 Em0311g1a
ortholog_250 BL07722 Em0023g36a
ortholog_251 BL07723 Em0006g877a
ortholog_252 BL07724 Em0017g28a
ortholog_253 BL07726 Em0021g221a
ortholog_254 BL07727 Em0006g900a
ortholog_255 BL07731 Em0015g514a
ortholog_256 BL07750 Em0179g3a
ortholog_257 BL07752 Em0023g59a
ortholog_258 BL07755 Em0023g279a
ortholog_259 BL07756 Em0021g36a
ortholog_260 BL07759 Em0018g1054a
ortholog_261 BL07760 Em0009g1065a
ortholog_262 BL07773 Em0009g1191a
ortholog_263 BL07793 Em0009g1165a
ortholog_264 BL07794 Em0009g1296a
ortholog_265 BL07796 Em0001g833a
ortholog_266 BL07813 Em0005g1132a
ortholog_267 BL07817 Em0009g426a
ortholog_268 BL07818 Em0009g184a
ortholog_269 BL07819 Em0009g151a
ortholog_270 BL07821 Em0009g1223a
ortholog_271 BL07825 Em0010g261a
ortholog_272 BL07831 Em0009g1003a
ortholog_273 BL07832 Em0009g186a
ortholog_274 BL07833 Em0009g1259a
ortholog_275 BL07841 Em0004g1706a
ortholog_276 BL07858 Em0009g988a
ortholog_277 BL07860 Em0019g57a
ortholog_278 BL07875 Em0009g40a
ortholog_279 BL07878 Em0019g617a
ortholog_280 BL07882 Em0009g38a
ortholog_281 BL07895 Em0009g1243a
ortholog_282 BL07897 Em0009g1064a
ortholog_283 BL07898 Em0017g92a
ortholog_284 BL07903 Em0009g809a
ortholog_285 BL07904 Em0009g1154a
ortholog_286 BL07907 Em0009g1276a
ortholog_287 BL07909 Em0009g794a
ortholog_288 BL07910 Em0735g2a
ortholog_289 BL07915 Em0009g33a
ortholog_290 BL07923 Em0004g42a
ortholog_291 BL07926 Em0009g1237a
ortholog_292 BL07927 Em0015g468a
ortholog_293 BL07929 Em0023g77a
ortholog_294 BL07935 Em0011g1191a
ortholog_295 BL07939 Em0008g792a
ortholog_296 BL07944 Em0022g309a
ortholog_297 BL07957 Em0023g384a
ortholog_298 BL07958 Em0022g283a
ortholog_299 BL07959 Em0008g864a
ortholog_300 BL07962 Em0002g1299a
ortholog_301 BL07963 Em0017g946a
ortholog_302 BL07965 Em0008g946a
ortholog_303 BL07970 Em0018g302a
ortholog_304 BL07971 Em0007g952a
ortholog_305 BL07985 Em0018g576a
ortholog_306 BL07987 Em0012g752a
ortholog_307 BL02347 Em0004g208a
ortholog_308 BL02349 Em0005g1591a
ortholog_309 BL02359 Em0019g556a
ortholog_310 BL02361 Em0021g339a
ortholog_311 BL02362 Em0004g151a
ortholog_312 BL02367 Em0011g727a
ortholog_313 BL02368 Em0013g476a
ortholog_314 BL02371 Em0011g887a
ortholog_315 BL02374 Em0011g662a
ortholog_316 BL00505 Em0021g392a
ortholog_317 BL00028 Em0023g747a
ortholog_318 BL00030 Em0023g475a
ortholog_319 BL00038 Em0001g1091a
ortholog_320 BL00051 Em0023g364a
ortholog_321 BL00056 Em0015g594a
ortholog_322 BL00057 Em0015g669a
ortholog_323 BL00058 Em0008g398a
ortholog_324 BL00011 Em0004g295a
ortholog_325 BL00017 Em0018g96a
ortholog_326 BL00019 Em0022g721a
ortholog_327 BL00076 Em0013g538a
ortholog_328 BL00078 Em0019g103a
ortholog_329 BL00086 Em0018g688a
ortholog_330 BL00088 Em0018g188a
ortholog_331 BL00125 Em0021g321a
ortholog_332 BL00143 Em0017g941a
ortholog_333 BL00145 Em0007g1589a
ortholog_334 BL00171 Em0008g46a
ortholog_335 BL00188 Em0037g9a
ortholog_336 BL00189 Em0009g1018a
ortholog_337 BL00207 Em0010g262a
ortholog_338 BL00226 Em0002g1007a
ortholog_339 BL00249 Em0015g349a
ortholog_340 BL00257 Em0016g990a
ortholog_341 BL00384 Em0528g4a
ortholog_342 BL00275 Em0001g1401a
ortholog_343 BL00276 Em0001g1477a
ortholog_344 BL00289 Em0001g1127a
ortholog_345 BL00291 Em0009g1112a
ortholog_346 BL00292 Em0019g280a
ortholog_347 BL00305 Em0001g3058a
ortholog_348 BL00312 Em0019g192a
ortholog_349 BL00325 Em0009g634a
ortholog_350 BL00335 Em0021g533a
ortholog_351 BL00337 Em0014g794a
ortholog_352 BL00364 Em0001g542a
ortholog_353 BL00366 Em0009g165a
ortholog_354 BL00368 Em0012g704a
ortholog_355 BL00392 Em0019g744a
ortholog_356 BL00395 Em0022g287a
ortholog_357 BL00397 Em0022g256a
ortholog_358 BL00433 Em0022g193a
ortholog_359 BL00443 Em0022g659a
ortholog_360 BL00444 Em0022g218a
ortholog_361 BL00449 Em0052g6a
ortholog_362 BL00508 Em0015g1076a
ortholog_363 BL00515 Em0010g946a
ortholog_364 BL00530 Em0006g271a
ortholog_365 BL00587 Em0001g228a
ortholog_366 BL00596 Em0014g687a
ortholog_367 BL00603 Em0016g546a
ortholog_368 BL00607 Em0012g1085a
ortholog_369 BL00608 Em0019g55a
ortholog_370 BL00611 Em0028g16a
ortholog_371 BL00612 Em0028g28a
ortholog_372 BL00616 Em0001g3646a
ortholog_373 BL00619 Em0019g547a
ortholog_374 BL00620 Em0016g881a
ortholog_375 BL00624 Em0022g542a
ortholog_376 BL00625 Em0020g753a
ortholog_377 BL00628 Em0019g549a
ortholog_378 BL00636 Em0005g175a
ortholog_379 BL00640 Em0006g894a
ortholog_380 BL00641 Em0008g1067a
ortholog_381 BL00643 Em0020g528a
ortholog_382 BL00648 Em0019g614a
ortholog_383 BL00652 Em0009g1068a
ortholog_384 BL00661 Em0644g2a
ortholog_385 BL00662 Em0009g613a
ortholog_386 BL00666 Em0019g584a
ortholog_387 BL00675 Em0019g805a
ortholog_388 BL00676 Em0019g803a
ortholog_389 BL00678 Em0004g157a
ortholog_390 BL00680 Em0019g1031a
ortholog_391 BL00681 Em0019g162a
ortholog_392 BL00686 Em0010g932a
ortholog_393 BL00691 Em0019g695a
ortholog_394 BL00694 Em0006g1144a
ortholog_395 BL00697 Em1035g1a
ortholog_396 BL00698 Em0019g708a
ortholog_397 BL00708 Em0019g1009a
ortholog_398 BL00713 Em0010g526a
ortholog_399 BL00714 Em0019g931a
ortholog_400 BL00726 Em0018g1157a
ortholog_401 BL00756 Em0019g552a
ortholog_402 BL00757 Em0007g733a
ortholog_403 BL00774 Em0015g386a
ortholog_404 BL00777 Em0019g863a
ortholog_405 BL00778 Em0019g701a
ortholog_406 BL00780 Em0011g1192a
ortholog_407 BL00783 Em0006g535a
ortholog_408 BL00785 Em0019g284a
ortholog_409 BL00799 Em1064g2a
ortholog_410 BL00800 Em0004g55a
ortholog_411 BL00829 Em0005g17a
ortholog_412 BL00837 Em0249g1a
ortholog_413 BL00850 Em0028g27a
ortholog_414 BL00851 Em0020g1101a
ortholog_415 BL00853 Em0004g1358a
ortholog_416 BL00854 Em0004g1357a
ortholog_417 BL00872 Em0019g160a
ortholog_418 BL00873 Em0019g244a
ortholog_419 BL00874 Em1189g1a
ortholog_420 BL00875 Em0005g1138a
ortholog_421 BL00876 Em0019g115a
ortholog_422 BL00877 Em0007g28a
ortholog_423 BL00878 Em0001g3277a
ortholog_424 BL00890 Em0019g982a
ortholog_425 BL00892 Em0022g184a
ortholog_426 BL00896 Em0019g901a
ortholog_427 BL00898 Em0019g119a
ortholog_428 BL00902 Em0019g717a
ortholog_429 BL00903 Em0019g707a
ortholog_430 BL00930 Em0019g1058a
ortholog_431 BL00933 Em0019g1059a
ortholog_432 BL00934 Em0005g142a
ortholog_433 BL00936 Em0019g1062a
ortholog_434 BL00937 Em0019g1061a
ortholog_435 BL00939 Em0019g1063a
ortholog_436 BL00954 Em0001g2530a
ortholog_437 BL00958 Em0019g1131a
ortholog_438 BL00959 Em0019g1130a
ortholog_439 BL00961 Em0028g10a
ortholog_440 BL00962 Em0014g684a
ortholog_441 BL00965 Em0019g1052a
ortholog_442 BL00966 Em0019g95a
ortholog_443 BL00967 Em0020g1028a
ortholog_444 BL00968 Em0017g24a
ortholog_445 BL00969 Em0019g1097a
ortholog_446 BL00972 Em0015g660a
ortholog_447 BL00973 Em0448g2a
ortholog_448 BL00974 Em0019g1096a
ortholog_449 BL00977 Em0005g1658a
ortholog_450 BL00979 Em0010g250a
ortholog_451 BL00987 Em0005g169a
ortholog_452 BL00989 Em0019g204a
ortholog_453 BL00996 Em0020g1061a
ortholog_454 BL00998 Em0215g3a
ortholog_455 BL00999 Em0019g38a
ortholog_456 BL01000 Em0495g1a
ortholog_457 BL01002 Em0022g314a
ortholog_458 BL01005 Em0019g287a
ortholog_459 BL01007 Em0019g615a
ortholog_460 BL01010 Em0019g1101a
ortholog_461 BL01011 Em0019g181a
ortholog_462 BL01012 Em0019g168a
ortholog_463 BL01015 Em0019g176a
ortholog_464 BL01016 Em0019g167a
ortholog_465 BL01017 Em1222g1a
ortholog_466 BL01020 Em0019g148a
ortholog_467 BL01022 Em0014g571a
ortholog_468 BL01023 Em0014g10a
ortholog_469 BL01032 Em0014g892a
ortholog_470 BL01034 Em0015g317a
ortholog_471 BL01039 Em0258g1a
ortholog_472 BL01044 Em0009g106a
ortholog_473 BL01049 Em0019g706a
ortholog_474 BL01050 Em0019g698a
ortholog_475 BL01054 Em0005g42a
ortholog_476 BL01055 Em0005g215a
ortholog_477 BL01058 Em0014g730a
ortholog_478 BL01059 Em0009g1242a
ortholog_479 BL01067 Em0006g885a
ortholog_480 BL01068 Em0005g87a
ortholog_481 BL01080 Em0006g1010a
ortholog_482 BL01083 Em0039g15a
ortholog_483 BL01087 Em0013g765a
ortholog_484 BL01096 Em0023g312a
ortholog_485 BL01097 Em0019g712a
ortholog_486 BL01099 Em0019g913a
ortholog_487 BL01101 Em0020g1011a
ortholog_488 BL01103 Em0019g1174a
ortholog_489 BL01105 Em0019g1090a
ortholog_490 BL01107 Em0006g1217a
ortholog_491 BL01108 Em0001g1046a
ortholog_492 BL01109 Em0017g959a
ortholog_493 BL01111 Em0019g897a
ortholog_494 BL01112 Em0019g1064a
ortholog_495 BL01116 Em0001g2758a
ortholog_496 BL01117 Em0162g12a
ortholog_497 BL01119 Em0019g644a
ortholog_498 BL01121 Em0019g652a
ortholog_499 BL01122 Em0017g573a
ortholog_500 BL01139 Em0022g358a
ortholog_501 BL01140 Em0018g83a
ortholog_502 BL01141 Em0019g250a
ortholog_503 BL01142 Em0006g1042a
ortholog_504 BL01143 Em0019g249a
ortholog_505 BL01146 Em0019g495a
ortholog_506 BL01150 Em0023g201a
ortholog_507 BL01152 Em0054g28a
ortholog_508 BL01154 Em0004g1039a
ortholog_509 BL01159 Em0021g282a
ortholog_510 BL01160 Em0014g683a
ortholog_511 BL01164 Em0014g577a
ortholog_512 BL01165 Em0014g576a
ortholog_513 BL01168 Em0011g509a
ortholog_514 BL01177 Em0016g280a
ortholog_515 BL01182 Em0006g1235a
ortholog_516 BL01187 Em0015g1130a
ortholog_517 BL01190 Em0004g92a
ortholog_518 BL01193 Em0019g118a
ortholog_519 BL01195 Em0017g649a
ortholog_520 BL01196 Em0005g1321a
ortholog_521 BL01202 Em0013g252a
ortholog_522 BL01203 Em0013g355a
ortholog_523 BL01207 Em0019g239a
ortholog_524 BL01210 Em0018g295a
ortholog_525 BL01211 Em0009g884a
ortholog_526 BL01212 Em0019g152a
ortholog_527 BL01216 Em0019g210a
ortholog_528 BL01218 Em0019g144a
ortholog_529 BL01219 Em0019g289a
ortholog_530 BL01220 Em0015g521a
ortholog_531 BL01222 Em0019g542a
ortholog_532 BL01224 Em0015g292a
ortholog_533 BL01230 Em0478g3a
ortholog_534 BL01231 Em0558g1a
ortholog_535 BL01233 Em0019g543a
ortholog_536 BL01234 Em0023g53a
ortholog_537 BL01237 Em0001g23a
ortholog_538 BL01243 Em0005g1219a
ortholog_539 BL01244 Em0018g535a
ortholog_540 BL01245 Em0014g832a
ortholog_541 BL01247 Em0012g820a
ortholog_542 BL01250 Em0012g873a
ortholog_543 BL01252 Em0014g790a
ortholog_544 BL01256 Em0014g771a
ortholog_545 BL01258 Em0019g333a
ortholog_546 BL01263 Em0019g349a
ortholog_547 BL01264 Em0015g1147a
ortholog_548 BL01265 Em0011g54a
ortholog_549 BL01266 Em0003g844a
ortholog_550 BL01269 Em0019g246a
ortholog_551 BL01271 Em0021g668a
ortholog_552 BL01273 Em0019g232a
ortholog_553 BL01275 Em0019g245a
ortholog_554 BL01278 Em0006g1044a
ortholog_555 BL01280 Em0006g863a
ortholog_556 BL01283 Em0016g530a
ortholog_557 BL01289 Em0010g799a
ortholog_558 BL01299 Em0019g846a
ortholog_559 BL01301 Em0019g1123a
ortholog_560 BL01303 Em0019g818a
ortholog_561 BL01304 Em0012g974a
ortholog_562 BL01305 Em0016g392a
ortholog_563 BL01310 Em0015g1159a
ortholog_564 BL01312 Em0019g153a
ortholog_565 BL01317 Em0019g252a
ortholog_566 BL01323 Em0019g189a
ortholog_567 BL01325 Em0019g198a
ortholog_568 BL01326 Em0009g1035a
ortholog_569 BL01327 Em0019g190a
ortholog_570 BL01328 Em0019g247a
ortholog_571 BL01331 Em0008g1130a
ortholog_572 BL01339 Em0017g216a
ortholog_573 BL01345 Em0012g915a
ortholog_574 BL01347 Em0019g874a
ortholog_575 BL01348 Em0019g854a
ortholog_576 BL01350 Em0019g560a
ortholog_577 BL01352 Em0015g318a
ortholog_578 BL01353 Em0019g561a
ortholog_579 BL01357 Em0019g194a
ortholog_580 BL01358 Em0002g37a
ortholog_581 BL01359 Em0019g898a
ortholog_582 BL01360 Em0019g199a
ortholog_583 BL01363 Em0019g567a
ortholog_584 BL01364 Em0019g819a
ortholog_585 BL01365 Em0019g722a
ortholog_586 BL01366 Em0007g24a
ortholog_587 BL01367 Em0023g602a
ortholog_588 BL01368 Em0019g1005a
ortholog_589 BL01373 Em0010g908a
ortholog_590 BL01380 Em0019g667a
ortholog_591 BL01384 Em0008g1031a
ortholog_592 BL01387 Em0009g1192a
ortholog_593 BL01392 Em0001g110a
ortholog_594 BL01393 Em0019g1041a
ortholog_595 BL01395 Em0019g1054a
ortholog_596 BL01407 Em0021g810a
ortholog_597 BL01408 Em0020g37a
ortholog_598 BL01409 Em0008g1057a
ortholog_599 BL01412 Em0019g355a
ortholog_600 BL01414 Em0016g362a
ortholog_601 BL01415 Em0014g814a
ortholog_602 BL01421 Em0016g1018a
ortholog_603 BL01426 Em0014g770a
ortholog_604 BL01430 Em0011g23a
ortholog_605 BL01433 Em0019g343a
ortholog_606 BL01434 Em0019g1196a
ortholog_607 BL01435 Em0571g3a
ortholog_608 BL01436 Em0006g717a
ortholog_609 BL01437 Em0018g552a
ortholog_610 BL01445 Em0020g791a
ortholog_611 BL01447 Em0019g285a
ortholog_612 BL01448 Em0005g1659a
ortholog_613 BL01449 Em0016g519a
ortholog_614 BL01454 Em0018g972a
ortholog_615 BL01459 Em0016g361a
ortholog_616 BL01463 Em0016g882a
ortholog_617 BL01464 Em0006g792a
ortholog_618 BL01465 Em0018g1047a
ortholog_619 BL01467 Em0006g1216a
ortholog_620 BL01479 Em0718g2a
ortholog_621 BL01482 Em0011g994a
ortholog_622 BL01483 Em0019g885a
ortholog_623 BL01484 Em0022g701a
ortholog_624 BL01487 Em0019g933a
ortholog_625 BL01490 Em0019g1149a
ortholog_626 BL01494 Em0019g953a
ortholog_627 BL01498 Em0013g793a
ortholog_628 BL01500 Em0012g495a
ortholog_629 BL01501 Em0019g322a
ortholog_630 BL01505 Em0004g1361a
ortholog_631 BL01506 Em0019g335a
ortholog_632 BL01511 Em0019g354a
ortholog_633 BL01512 Em0019g334a
ortholog_634 BL01513 Em0019g353a
ortholog_635 BL01514 Em0019g271a
ortholog_636 BL01516 Em0019g277a
ortholog_637 BL01517 Em0019g265a
ortholog_638 BL01526 Em0402g3a
ortholog_639 BL01530 Em0021g188a
ortholog_640 BL01534 Em0019g626a
ortholog_641 BL01535 Em0019g1025a
ortholog_642 BL01537 Em0435g6a
ortholog_643 BL01545 Em0019g107a
ortholog_644 BL01546 Em0019g932a
ortholog_645 BL01547 Em0019g195a
ortholog_646 BL01550 Em0019g886a
ortholog_647 BL01560 Em0021g875a
ortholog_648 BL01561 Em0019g207a
ortholog_649 BL01562 Em0002g1164a
ortholog_650 BL01565 Em0006g1449a
ortholog_651 BL01569 Em0015g345a
ortholog_652 BL01575 Em0009g739a
ortholog_653 BL01577 Em0019g572a
ortholog_654 BL01581 Em0286g7a
ortholog_655 BL01583 Em0016g34a
ortholog_656 BL01594 Em0019g625a
ortholog_657 BL01596 Em0019g143a
ortholog_658 BL01600 Em0581g2a
ortholog_659 BL01601 Em0019g183a
ortholog_660 BL01604 Em0019g214a
ortholog_661 BL01605 Em0019g34a
ortholog_662 BL01606 Em0402g11a
ortholog_663 BL01608 Em0016g741a
ortholog_664 BL01611 Em0019g282a
ortholog_665 BL01617 Em0019g331a
ortholog_666 BL01618 Em0210g9a
ortholog_667 BL01620 Em0258g8a
ortholog_668 BL01622 Em0019g178a
ortholog_669 BL01629 Em0015g219a
ortholog_670 BL01630 Em0021g76a
ortholog_671 BL01632 Em0019g761a
ortholog_672 BL01633 Em0019g833a
ortholog_673 BL01634 Em0006g517a
ortholog_674 BL01635 Em0012g594a
ortholog_675 BL01636 Em0013g747a
ortholog_676 BL01639 Em0016g11a
ortholog_677 BL01643 Em0019g187a
ortholog_678 BL01645 Em0019g985a
ortholog_679 BL01652 Em0022g266a
ortholog_680 BL01661 Em0019g1049a
ortholog_681 BL01662 Em0015g663a
ortholog_682 BL01663 Em0018g980a
ortholog_683 BL01679 Em0003g58a
ortholog_684 BL01682 Em0019g648a
ortholog_685 BL01683 Em0016g244a
ortholog_686 BL01687 Em0011g827a
ortholog_687 BL01688 Em0007g78a
ortholog_688 BL01689 Em0005g83a
ortholog_689 BL01708 Em0011g120a
ortholog_690 BL01712 Em0021g19a
ortholog_691 BL01714 Em0019g817a
