ortholog_1 g164 BL24932_evm1
ortholog_87 g3641 BL01177_evm9
ortholog_88 g3651 BL42842_cuf1
ortholog_89 g3681 BL27856_evm0
ortholog_90 g3737 BL24053_evm1
ortholog_91 g3746 BL21454_evm3
ortholog_92 g3756 BL21759_cuf0
ortholog_93 g3758 BL09196_cuf6
ortholog_94 g3770 BL17435_cuf3
ortholog_95 g3794 BL06221_evm0
ortholog_96 g3822 BL20494_evm0
ortholog_97 g3864 BL14829_evm7
ortholog_98 g3950 BL05422_evm0
ortholog_99 g3956 BL11920_cuf7
ortholog_100 g3965 BL04182_evm0
ortholog_101 g3977 BL96806_cuf13
ortholog_102 g3978 BL96805_cuf10
ortholog_103 g4007 BL22331_evm0
ortholog_104 g4012 BL11775_evm0
ortholog_105 g4021 BL00564_evm1
ortholog_106 g4023 BL01426_evm0
ortholog_107 g4033 BL11922_cuf8
ortholog_108 g4042 BL24360_cuf1
ortholog_109 g4051 BL19575_cuf0
ortholog_110 g4054 BL06093_evm0
ortholog_111 g4057 BL09487_evm0
ortholog_112 g4060 BL01474_evm0
ortholog_113 g4071 BL20312_cuf4
ortholog_114 g4107 BL12859_cuf2
ortholog_115 g4265 BL21118_evm5
ortholog_116 g4327 BL29878_evm0
ortholog_117 g4330 BL14855_evm2
ortholog_118 g4345 BL19419_evm4
ortholog_119 g4356 BL30010_evm0
ortholog_120 g4371 BL08653_evm8
ortholog_121 g4417 BL16028_evm0
ortholog_122 g4458 BL97333_cuf18
ortholog_123 g4469 BL21694_cuf3
ortholog_124 g4474 BL24936_evm0
ortholog_125 g4508 BL96807_cuf4
ortholog_126 g4515 BL96808_cuf5
ortholog_127 g4522 BL14000_cuf8
ortholog_128 g4531 BL10667_evm1
ortholog_129 g4572 BL04123_evm0
ortholog_130 g4597 BL01951_evm9
ortholog_131 g4605 BL07005_evm3
ortholog_132 g4610 BL00663_evm0
ortholog_133 g4613 BL14922_evm0
ortholog_134 g4616 BL02106_evm0
ortholog_135 g4621 BL02672_cuf18
ortholog_136 g4659 BL02602_evm0
ortholog_137 g4663 BL06664_cuf0
ortholog_138 g4740 BL10623_cuf1
ortholog_139 g4749 BL23661_evm12
ortholog_140 g4758 BL27069_evm0
ortholog_141 g4763 BL08037_evm0
ortholog_142 g4804 BL42830_cuf2
ortholog_143 g4812 BL21099_cuf3
ortholog_144 g4820 BL06219_cuf5
ortholog_145 g4832 BL21364_evm0
ortholog_146 g4834 BL23916_evm1
ortholog_147 g4838 BL85375_cuf3
ortholog_148 g4845 BL24856_evm0
ortholog_149 g4847 BL19418_cuf2
ortholog_150 g4848 BL12247_evm0
ortholog_151 g4861 BL16954_evm0
ortholog_152 g4863 BL00328_evm0
ortholog_153 g4871 BL01428_cuf4
ortholog_154 g4875 BL10638_cuf2
ortholog_155 g4882 BL02864_cuf1
ortholog_156 g4927 BL11369_cuf3
ortholog_157 g4947 BL29825_evm0
ortholog_158 g4951 BL01578_evm0
ortholog_159 g4960 BL01581_evm2
ortholog_160 g4961 BL18329_evm0
ortholog_161 g4962 BL01330_cuf0
ortholog_162 g4963 BL18603_cuf12
ortholog_163 g4971 BL08965_cuf3
ortholog_164 g4990 BL07772_cuf3
ortholog_165 g4992 BL13150_evm0
ortholog_166 g5063 BL20914_evm6
ortholog_167 g5090 BL18152_cuf6
ortholog_168 g5105 BL18260_cuf36
ortholog_169 g5107 BL01380_cuf16
ortholog_170 g5109 BL15954_evm0
ortholog_171 g5113 BL15953_cuf12
ortholog_172 g5118 BL20703_cuf0
ortholog_173 g5125 BL20699_evm0
ortholog_174 g5145 BL01011_cuf1
ortholog_175 g5151 BL00917_evm0
ortholog_176 g5154 BL24186_evm0
ortholog_177 g5156 BL23409_cuf1
ortholog_178 g5184 BL16639_evm4
ortholog_179 g5196 BL21856_evm0
ortholog_180 g5247 BL07298_evm1
ortholog_181 g5259 BL07630_evm2
ortholog_182 g5260 BL02189_evm0
ortholog_183 g5262 BL08854_evm0
ortholog_184 g5267 BL19364_evm0
ortholog_185 g5276 BL06077_evm0
ortholog_186 g5353 BL05320_evm5
ortholog_187 g5376 BL09729_evm3
ortholog_188 g5382 BL15195_evm0
ortholog_189 g5394 BL03517_evm0
ortholog_190 g5396 BL19127_evm0
ortholog_191 g5402 BL15583_evm0
ortholog_192 g5404 BL03179_cuf0
ortholog_193 g5421 BL05417_evm0
ortholog_194 g5425 BL21914_cuf0
ortholog_195 g5458 BL10608_cuf6
ortholog_196 g5459 BL21314_evm0
ortholog_197 g5473 BL09958_evm4
ortholog_198 g5499 BL33136_cuf1
ortholog_199 g5506 BL19368_cuf5
ortholog_200 g5517 BL15093_cuf5
ortholog_201 g5542 BL10860_evm0
ortholog_202 g5547 BL00165_evm0
ortholog_203 g5551 BL28831_evm0
ortholog_204 g5573 BL95327_evm0
ortholog_205 g5605 BL03923_cuf0
ortholog_206 g5608 BL19280_cuf6
ortholog_207 g5621 BL16471_evm2
ortholog_208 g5624 BL11085_evm0
ortholog_209 g5641 BL11090_evm21
ortholog_210 g5674 BL05160_evm0
ortholog_211 g5681 BL23164_evm5
ortholog_212 g5682 BL06862_cuf0
ortholog_213 g5695 BL09880_cuf1
ortholog_214 g5720 BL06386_cuf24
ortholog_215 g5729 BL23689_evm0
ortholog_216 g5800 BL18257_cuf5
ortholog_217 g5809 BL10645_evm0
ortholog_218 g5830 BL76885_cuf0
ortholog_219 g5845 BL15955_evm1
ortholog_220 g5860 BL23181_cuf18
ortholog_221 g5867 BL10080_cuf4
ortholog_222 g5871 BL06395_evm1
ortholog_223 g5883 BL02835_evm0
ortholog_224 g5885 BL52863_cuf1
ortholog_225 g5887 BL04578_evm0
ortholog_226 g5888 BL04576_evm0
ortholog_227 g5893 BL19271_evm0
ortholog_228 g5930 BL00780_cuf5
ortholog_229 g5936 BL11308_evm5
ortholog_230 g5946 BL20801_cuf3
ortholog_231 g5950 BL27308_evm0
ortholog_232 g5956 BL01810_evm3
ortholog_233 g5958 BL19545_evm0
ortholog_234 g6004 BL02839_evm0
ortholog_235 g6063 BL05367_evm0
ortholog_236 g6066 BL10064_cuf2
ortholog_237 g6068 BL95637_evm0
ortholog_238 g6118 BL61372_cuf5
ortholog_239 g6145 BL22675_evm0
ortholog_240 g6190 BL11428_evm30
ortholog_241 g6204 BL95548_evm1
ortholog_242 g6295 BL14718_cuf4
ortholog_243 g6354 BL24420_evm7
ortholog_244 g6360 BL19884_cuf0
ortholog_245 g6367 BL26464_evm0
ortholog_246 g6409 BL86538_cuf0
ortholog_247 g6426 BL04556_cuf2
ortholog_248 g6451 BL16449_evm0
ortholog_249 g6467 BL23509_evm4
ortholog_250 g6473 BL17942_evm1
ortholog_251 g6547 BL19916_evm2
ortholog_252 g6555 BL15885_evm0
ortholog_253 g6557 BL05822_cuf5
ortholog_254 g6566 BL24424_cuf4
ortholog_255 g6568 BL06381_evm0
ortholog_256 g6574 BL24609_evm0
ortholog_257 g6584 BL20174_evm0
ortholog_258 g6588 BL20346_evm27
ortholog_259 g6627 BL04681_cuf6
ortholog_260 g6634 BL19782_evm0
ortholog_261 g6638 BL71261_cuf0
ortholog_262 g6646 BL09764_evm0
ortholog_263 g6667 BL04477_evm0
ortholog_264 g6674 BL09494_evm0
ortholog_265 g6693 BL13341_cuf8
ortholog_266 g6701 BL07881_cuf4
ortholog_267 g6731 BL05579_cuf3
ortholog_268 g6735 BL95562_evm1
ortholog_269 g6770 BL20281_evm0
ortholog_270 g6777 BL04308_evm13
ortholog_271 g6781 BL96134_evm1
ortholog_272 g6811 BL21457_evm7
ortholog_273 g6817 BL01339_cuf1
ortholog_274 g6834 BL15886_cuf4
ortholog_275 g6839 BL15873_evm2
ortholog_276 g6848 BL14474_evm8
ortholog_277 g6858 BL14477_cuf4
ortholog_278 g6887 BL15945_cuf1
ortholog_279 g6898 BL10843_evm3
ortholog_280 g6899 BL08360_evm0
ortholog_281 g6913 BL07865_cuf0
ortholog_282 g6917 BL12066_cuf22
ortholog_283 g6926 BL00554_cuf4
ortholog_284 g6951 BL10416_evm0
ortholog_285 g6961 BL01580_evm0
ortholog_286 g6999 BL01745_evm0
ortholog_287 g7011 BL02127_evm0
ortholog_288 g7013 BL16504_evm5
ortholog_289 g7039 BL13288_evm6
ortholog_290 g7065 BL16263_evm3
ortholog_291 g7070 BL03468_cuf27
ortholog_292 g7097 BL00881_evm1
ortholog_293 g7120 BL63591_cuf1
ortholog_294 g7148 BL19593_evm0
ortholog_295 g7194 BL18246_cuf2
ortholog_296 g7205 BL09100_evm0
ortholog_297 g7214 BL22724_cuf3
ortholog_298 g7241 BL96077_evm1
ortholog_299 g7242 BL72192_cuf0
ortholog_300 g7248 BL22927_evm3
ortholog_301 g7256 BL14966_cuf0
ortholog_302 g7257 BL29660_evm1
ortholog_303 g7315 BL76734_cuf2
ortholog_304 g7318 BL06384_cuf3
ortholog_305 g7334 BL46087_cuf0
ortholog_306 g7344 BL17219_evm0
ortholog_307 g7346 BL14476_cuf1
ortholog_308 g7365 BL32146_evm0
ortholog_309 g7386 BL07141_evm0
ortholog_310 g7393 BL23517_cuf5
ortholog_311 g7448 BL21094_evm21
ortholog_312 g7458 BL17220_evm2
ortholog_313 g7461 BL14469_cuf1
ortholog_314 g7466 BL07200_evm0
ortholog_315 g7471 BL23548_evm3
ortholog_316 g7480 BL80869_cuf2
ortholog_317 g7486 BL14136_evm2
ortholog_318 g7510 BL06143_cuf3
ortholog_319 g7511 BL05899_cuf3
ortholog_320 g7515 BL33576_cuf3
ortholog_321 g7541 BL05812_cuf3
ortholog_322 g7545 BL24619_evm0
ortholog_323 g7549 BL30468_evm0
ortholog_324 g7555 BL00143_cuf5
ortholog_325 g7570 BL14651_cuf2
ortholog_326 g7571 BL21787_evm0
ortholog_327 g7580 BL13519_evm2
ortholog_328 g7584 BL27171_evm0
ortholog_329 g7590 BL05319_evm4
ortholog_330 g7600 BL25756_evm0
ortholog_331 g7604 BL16558_evm0
ortholog_332 g7628 BL06082_cuf1
ortholog_333 g7636 BL17890_cuf4
ortholog_334 g7653 BL96424_cuf7
ortholog_335 g7675 BL05025_evm0
ortholog_336 g7712 BL28368_evm0
ortholog_337 g7726 BL24996_evm3
ortholog_338 g7728 BL06666_evm0
ortholog_339 g7741 BL17897_evm3
ortholog_340 g7757 BL02103_cuf17
ortholog_341 g7762 BL00531_evm5
ortholog_342 g7764 BL19890_cuf2
ortholog_343 g7776 BL32792_cuf0
ortholog_344 g7794 BL19897_evm1
ortholog_345 g7802 BL00209_cuf1
ortholog_346 g7808 BL25937_evm0
ortholog_347 g7830 BL86541_cuf3
ortholog_348 g7867 BL10376_evm4
ortholog_349 g7874 BL03675_cuf2
ortholog_350 g7883 BL13557_evm1
ortholog_351 g7892 BL14475_cuf18
ortholog_352 g7920 BL17784_cuf1
ortholog_353 g8006 BL03741_evm0
ortholog_354 g8008 BL08556_evm1
ortholog_355 g8021 BL10976_cuf3
ortholog_356 g8035 BL02551_evm0
ortholog_357 g8051 BL30937_evm0
ortholog_358 g8060 BL26116_evm0
ortholog_359 g8081 BL18655_cuf6
ortholog_360 g8092 BL83930_cuf0
ortholog_361 g8104 BL23515_cuf4
ortholog_362 g8121 BL84132_cuf1
ortholog_363 g8218 BL00392_evm3
ortholog_364 g8236 BL18468_cuf6
ortholog_365 g8262 BL22745_cuf4
ortholog_366 g8281 BL22483_evm2
ortholog_367 g8287 BL13899_evm5
ortholog_368 g8354 BL16119_evm0
ortholog_369 g8355 BL02000_evm0
ortholog_370 g8360 BL01982_evm1
ortholog_371 g8368 BL01983_evm6
ortholog_372 g8372 BL19433_evm0
ortholog_373 g8378 BL04479_cuf7
ortholog_374 g8384 BL00527_evm0
ortholog_375 g8399 BL27173_evm0
ortholog_376 g8421 BL95872_evm1
ortholog_377 g8432 BL19095_evm0
ortholog_378 g8439 BL21451_evm2
ortholog_379 g8460 BL66806_cuf4
ortholog_380 g8472 BL20412_evm0
ortholog_381 g8475 BL24624_evm0
ortholog_382 g8480 BL16266_evm3
ortholog_383 g8489 BL08271_evm0
ortholog_384 g8500 BL19676_evm3
ortholog_385 g8508 BL05514_cuf3
ortholog_386 g8528 BL01563_evm0
ortholog_387 g8603 BL10024_cuf4
ortholog_388 g8638 BL22093_evm0
ortholog_389 g8639 BL18376_cuf18
ortholog_390 g8651 BL97097_cuf3
ortholog_391 g8680 BL95798_evm0
ortholog_392 g8694 BL07913_evm0
ortholog_393 g8701 BL14417_cuf0
ortholog_394 g8703 BL07912_evm6
ortholog_395 g8705 BL22088_evm0
ortholog_396 g8720 BL07910_evm0
ortholog_397 g8723 BL01698_evm0
ortholog_398 g8731 BL96056_evm2
ortholog_399 g8733 BL15002_evm3
ortholog_400 g8735 BL15136_evm5
ortholog_401 g8739 BL96133_evm0
ortholog_402 g8741 BL96017_evm1
ortholog_403 g8747 BL04555_cuf1
ortholog_404 g8765 BL03244_cuf2
ortholog_405 g8774 BL19893_cuf4
ortholog_406 g8781 BL82595_cuf2
ortholog_407 g8786 BL20243_cuf0
ortholog_408 g8798 BL13116_cuf3
ortholog_409 g8804 BL15396_cuf1
ortholog_410 g8811 BL09400_evm3
ortholog_411 g8829 BL05981_cuf13
ortholog_412 g8833 BL15521_cuf13
ortholog_413 g8842 BL01081_cuf5
ortholog_414 g8859 BL06945_cuf20
ortholog_415 g8860 BL16199_evm0
ortholog_416 g8861 BL04115_evm0
ortholog_417 g8862 BL22197_evm7
ortholog_418 g8885 BL20878_evm3
ortholog_419 g8973 BL17215_evm0
ortholog_420 g8988 BL15264_evm0
ortholog_421 g8992 BL95141_evm1
ortholog_422 g9066 BL00521_cuf0
ortholog_423 g9073 BL11021_evm0
ortholog_424 g9074 BL16803_evm0
ortholog_425 g9086 BL68608_cuf4
ortholog_426 g9105 BL25780_evm0
ortholog_427 g9117 BL18234_evm0
ortholog_428 g9140 BL21097_cuf13
ortholog_429 g9166 BL16433_evm0
ortholog_430 g9174 BL07142_evm0
ortholog_431 g9180 BL21913_evm2
ortholog_432 g9193 BL20255_evm0
ortholog_433 g9227 BL95563_evm0
ortholog_434 g9246 BL04120_evm12
ortholog_435 g9250 BL19792_evm0
ortholog_436 g9266 BL07116_cuf0
ortholog_437 g9270 BL24649_cuf4
ortholog_438 g9302 BL89112_cuf0
ortholog_439 g9310 BL01851_evm0
ortholog_440 g9335 BL05983_evm11
ortholog_441 g9379 BL24161_evm0
ortholog_442 g9415 BL16508_cuf0
ortholog_443 g9479 BL18883_evm3
ortholog_444 g9615 BL29712_evm0
ortholog_445 g9634 BL23044_evm0
ortholog_446 g9641 BL00158_evm0
ortholog_447 g9667 BL24486_cuf3
ortholog_448 g9672 BL08840_evm0
ortholog_449 g9746 BL19778_evm0
ortholog_450 g9751 BL17190_cuf2
ortholog_451 g9757 BL10153_cuf9
ortholog_452 g9769 BL14965_evm0
ortholog_453 g9788 BL05476_cuf2
ortholog_454 g9790 BL06806_cuf2
ortholog_455 g9830 BL95977_evm2
ortholog_456 g9837 BL54370_cuf0
ortholog_457 g9864 BL39599_cuf0
ortholog_458 g9866 BL19031_cuf0
ortholog_459 g9872 BL96723_cuf8
ortholog_460 g9877 BL10300_cuf6
ortholog_461 g9892 BL95871_evm0
ortholog_462 g9904 BL17641_evm12
ortholog_463 g9984 BL11064_evm5
ortholog_464 g9987 BL02530_evm5
ortholog_465 g10040 BL17609_cuf1
ortholog_466 g10049 BL20713_evm0
ortholog_467 g10050 BL20455_evm0
ortholog_468 g10052 BL22650_cuf1
ortholog_469 g10076 BL81275_cuf0
ortholog_470 g10095 BL29736_evm0
ortholog_471 g10119 BL00548_evm2
ortholog_472 g10124 BL73532_cuf0
ortholog_473 g10134 BL65853_cuf0
ortholog_474 g10135 BL60561_cuf2
ortholog_475 g10145 BL23425_evm0
ortholog_476 g10149 BL15437_evm0
ortholog_477 g10154 BL23514_evm0
ortholog_478 g10161 BL10021_cuf1
ortholog_479 g10162 BL12916_cuf4
ortholog_480 g10202 BL19373_evm4
ortholog_481 g10217 BL04997_cuf8
ortholog_482 g10229 BL11091_evm0
ortholog_483 g10252 BL09393_cuf1
ortholog_484 g10298 BL06243_evm0
ortholog_485 g10311 BL22284_evm0
ortholog_486 g10313 BL03187_evm0
ortholog_487 g10323 BL05321_evm5
ortholog_488 g10329 BL10230_cuf4
ortholog_489 g10330 BL11650_evm0
ortholog_490 g10331 BL95633_evm1
ortholog_491 g10333 BL24774_cuf1
ortholog_492 g10348 BL07866_cuf6
ortholog_493 g10379 BL96063_evm0
ortholog_494 g10432 BL28748_evm0
ortholog_495 g10453 BL84561_cuf0
ortholog_496 g10464 BL07323_evm0
ortholog_497 g10468 BL58321_cuf0
ortholog_498 g10491 BL20698_cuf1
ortholog_499 g10492 BL23884_cuf2
ortholog_500 g10494 BL06880_cuf5
ortholog_501 g10501 BL06070_evm3
ortholog_502 g10503 BL17582_evm0
ortholog_503 g10505 BL00842_evm0
ortholog_504 g10507 BL10422_evm3
ortholog_505 g10525 BL95808_evm0
ortholog_506 g10530 BL01121_evm0
ortholog_507 g10531 BL42726_cuf10
ortholog_508 g10556 BL05324_evm2
ortholog_509 g10595 BL22174_evm2
ortholog_510 g10597 BL23789_evm0
ortholog_511 g10599 BL13637_evm0
ortholog_512 g10600 BL14334_evm0
ortholog_513 g10604 BL24731_cuf5
ortholog_514 g10624 BL06938_cuf20
ortholog_515 g10631 BL09364_cuf0
ortholog_516 g10649 BL15398_cuf4
ortholog_517 g10682 BL16474_cuf3
ortholog_518 g10695 BL06691_evm0
ortholog_519 g10697 BL95959_evm0
ortholog_520 g10772 BL02866_evm3
ortholog_521 g10778 BL08956_cuf21
ortholog_522 g10785 BL08959_evm1
ortholog_523 g10786 BL09048_evm3
ortholog_524 g10790 BL15634_cuf5
ortholog_525 g10830 BL01472_evm0
ortholog_526 g10845 BL13467_evm0
ortholog_527 g10847 BL16197_evm0
ortholog_528 g10872 BL12134_evm0
ortholog_529 g10878 BL23391_cuf0
ortholog_530 g10894 BL11540_cuf3
ortholog_531 g10897 BL19052_evm2
ortholog_532 g10900 BL07197_cuf2
ortholog_533 g10906 BL20575_evm8
ortholog_534 g10928 BL05587_evm4
ortholog_535 g10933 BL16115_cuf3
ortholog_536 g10949 BL14746_evm4
ortholog_537 g10957 BL24785_cuf3
ortholog_538 g10962 BL00721_cuf5
ortholog_539 g10963 BL10304_evm0
ortholog_540 g11030 BL05318_evm0
ortholog_541 g11049 BL96528_cuf12
ortholog_542 g11063 BL21102_cuf0
ortholog_543 g11064 BL20661_evm0
ortholog_544 g11070 BL97368_cuf3
ortholog_545 g11080 BL22236_evm1
ortholog_546 g11116 BL24235_cuf0
ortholog_547 g11133 BL01119_evm0
ortholog_548 g11147 BL08738_cuf1
ortholog_549 g11152 BL20696_evm0
ortholog_550 g11159 BL19789_cuf0
ortholog_551 g11160 BL19892_evm0
ortholog_552 g11168 BL21091_cuf1
ortholog_553 g11171 BL24620_evm22
ortholog_554 g11181 BL21461_evm0
ortholog_555 g11184 BL16271_evm0
ortholog_556 g11188 BL29529_evm1
ortholog_557 g11193 BL15950_cuf9
ortholog_558 g11214 BL20413_evm42
ortholog_559 g11215 BL11306_evm0
ortholog_560 g11229 BL07776_evm5
ortholog_561 g11236 BL06814_evm0
ortholog_562 g11248 BL18654_evm6
ortholog_563 g11260 BL96924_cuf1
ortholog_564 g11307 BL28921_evm0
ortholog_565 g11335 BL97367_cuf0
ortholog_566 g11353 BL06623_evm0
ortholog_567 g11363 BL11023_cuf4
ortholog_568 g11385 BL06387_cuf6
ortholog_569 g11398 BL06630_evm3
ortholog_570 g11402 BL96827_cuf0
ortholog_571 g11416 BL15952_cuf33
ortholog_572 g11434 BL96064_evm1
ortholog_573 g11450 BL27112_evm0
ortholog_574 g11464 BL96078_evm0
ortholog_575 g11479 BL08926_evm2
ortholog_576 g11481 BL11222_evm0
ortholog_577 g11488 BL06466_evm0
ortholog_578 g11494 BL06618_evm3
ortholog_579 g11501 BL20641_cuf7
ortholog_580 g11511 BL29415_evm0
ortholog_581 g11555 BL21851_evm4
ortholog_582 g11556 BL20317_cuf2
ortholog_583 g11562 BL23053_evm0
ortholog_584 g11566 BL16430_cuf18
ortholog_585 g11763 BL18662_cuf8
ortholog_586 g11770 BL19781_evm0
ortholog_587 g11775 BL05592_evm0
ortholog_588 g11779 BL21452_evm7
ortholog_589 g11825 BL12622_cuf1
ortholog_590 g11922 BL02075_cuf2
ortholog_591 g11967 BL14101_cuf24
ortholog_592 g11993 BL25705_evm0
ortholog_593 g12041 BL29665_evm0
ortholog_594 g12066 BL00607_evm3
ortholog_595 g12073 BL03551_evm7
ortholog_596 g12077 BL68230_cuf0
ortholog_597 g12232 BL18470_evm0
ortholog_598 g12502 BL05272_cuf1
ortholog_599 g12574 BL96238_cuf7
ortholog_600 g12699 BL03952_evm0
ortholog_601 g12720 BL17315_evm4
ortholog_602 g12835 BL11843_cuf3
ortholog_603 g12848 BL96581_cuf2
ortholog_604 g12888 BL03878_evm1
ortholog_605 g12951 BL12507_evm5
ortholog_606 g12996 BL17840_cuf2
ortholog_607 g13023 BL23263_evm8
ortholog_608 g13280 BL31567_evm0
ortholog_609 g13344 BL07583_evm0
ortholog_610 g13375 BL21567_cuf5
ortholog_611 g13467 BL20929_cuf10
ortholog_612 g13477 BL06441_cuf0
ortholog_613 g13483 BL20731_evm0
ortholog_614 g13495 BL95412_evm1
ortholog_615 g13558 BL24728_evm5
ortholog_616 g13565 BL17177_evm0
ortholog_617 g13582 BL12514_evm11
ortholog_618 g13590 BL04855_evm0
ortholog_619 g13601 BL07271_evm5
ortholog_620 g13605 BL30478_evm0
ortholog_621 g13649 BL17085_evm0
ortholog_622 g13668 BL03255_evm3
ortholog_623 g13693 BL14199_cuf6
ortholog_624 g13702 BL04192_cuf3
ortholog_625 g13712 BL06454_evm3
ortholog_626 g13768 BL13623_evm0
ortholog_627 g13882 BL21933_evm0
ortholog_628 g13883 BL06273_evm1
ortholog_629 g13910 BL05751_evm0
ortholog_630 g13995 BL14869_evm19
ortholog_631 g14022 BL10490_evm2
ortholog_632 g14079 BL15040_evm0
ortholog_633 g14090 BL15042_cuf1
ortholog_634 g14095 BL09186_cuf3
ortholog_635 g14108 BL03940_cuf1
ortholog_636 g14118 BL01077_evm1
ortholog_637 g14124 BL26944_evm0
ortholog_638 g14131 BL32549_cuf0
ortholog_639 g14134 BL20677_evm0
ortholog_640 g14239 BL04814_evm0
ortholog_641 g14256 BL01529_cuf6
ortholog_642 g14262 BL23364_evm2
ortholog_643 g14266 BL16412_evm4
ortholog_644 g14405 BL18542_cuf2
ortholog_645 g14422 BL21348_cuf3
ortholog_646 g14432 BL07610_evm6
ortholog_647 g14445 BL12644_cuf23
ortholog_648 g14502 BL24350_cuf6
ortholog_649 g14530 BL82731_cuf1
ortholog_650 g14566 BL06481_cuf0
ortholog_651 g14574 BL76027_cuf2
ortholog_652 g14577 BL11984_evm0
ortholog_653 g14586 BL25936_evm0
ortholog_654 g14645 BL22805_evm9
ortholog_655 g14650 BL09327_cuf0
ortholog_656 g14664 BL15568_cuf12
ortholog_657 g14682 BL22808_cuf22
ortholog_658 g14685 BL04159_cuf47
ortholog_659 g14710 BL00809_cuf4
ortholog_660 g14715 BL00322_cuf1
ortholog_661 g14719 BL95731_evm1
ortholog_662 g14720 BL95770_evm0
ortholog_663 g14728 BL95769_evm1
ortholog_664 g14730 BL02522_evm4
ortholog_665 g14775 BL23601_evm0
ortholog_666 g14780 BL13704_evm0
ortholog_667 g14788 BL90926_cuf0
ortholog_668 g14789 BL36386_cuf0
ortholog_669 g14790 BL11386_evm0
ortholog_670 g14793 BL11778_evm0
ortholog_671 g14813 BL03249_cuf15
ortholog_672 g14823 BL08577_cuf5
ortholog_673 g14833 BL95456_evm2
ortholog_674 g14894 BL51094_cuf0
ortholog_675 g14918 BL05496_evm18
ortholog_676 g14939 BL01252_evm0
ortholog_677 g14976 BL06452_cuf0
ortholog_678 g15001 BL12462_evm3
ortholog_679 g15003 BL16416_evm2
ortholog_680 g15018 BL14036_evm0
ortholog_681 g15025 BL08595_evm0
ortholog_682 g15050 BL12751_cuf10
ortholog_683 g15070 BL09881_cuf0
ortholog_684 g15082 BL12643_evm10
ortholog_685 g15122 BL03711_cuf3
ortholog_686 g15140 BL06204_evm0
