ortholog_1 gene-HOLleu_00014 BL21936
ortholog_222 gene-HOLleu_04607 BL15650
ortholog_223 gene-HOLleu_04664 BL25767
ortholog_224 gene-HOLleu_04689 BL00630
ortholog_225 gene-HOLleu_04757 BL01424
ortholog_226 gene-HOLleu_04759 BL17439
ortholog_227 gene-HOLleu_04786 BL27647
ortholog_228 gene-HOLleu_04807 BL09426
ortholog_229 gene-HOLleu_04814 BL27522
ortholog_230 gene-HOLleu_04821 BL09404
ortholog_231 gene-HOLleu_04822 BL28023
ortholog_232 gene-HOLleu_04823 BL14758
ortholog_233 gene-HOLleu_04838 BL24783
ortholog_234 gene-HOLleu_04844 BL27380
ortholog_235 gene-HOLleu_04846 BL27438
ortholog_236 gene-HOLleu_04857 BL27705
ortholog_237 gene-HOLleu_04860 BL10503
ortholog_238 gene-HOLleu_04862 BL22723
ortholog_239 gene-HOLleu_04866 BL27488
ortholog_240 gene-HOLleu_04872 BL09320
ortholog_241 gene-HOLleu_04873 BL27354
ortholog_242 gene-HOLleu_04876 BL27905
ortholog_243 gene-HOLleu_04879 BL23138
ortholog_244 gene-HOLleu_04882 BL27376
ortholog_245 gene-HOLleu_04883 BL27878
ortholog_246 gene-HOLleu_04884 BL27961
ortholog_247 gene-HOLleu_04885 BL25623
ortholog_248 gene-HOLleu_04896 BL27855
ortholog_249 gene-HOLleu_04899 BL23736
ortholog_250 gene-HOLleu_04900 BL27403
ortholog_251 gene-HOLleu_04908 BL02479
ortholog_252 gene-HOLleu_04910 BL11989
ortholog_253 gene-HOLleu_04912 BL19352
ortholog_254 gene-HOLleu_04932 BL27546
ortholog_255 gene-HOLleu_04933 BL28017
ortholog_256 gene-HOLleu_04934 BL05750
ortholog_257 gene-HOLleu_04957 BL05519
ortholog_258 gene-HOLleu_04960 BL09419
ortholog_259 gene-HOLleu_04963 BL19395
ortholog_260 gene-HOLleu_04974 BL28092
ortholog_261 gene-HOLleu_04987 BL27854
ortholog_262 gene-HOLleu_04988 BL18900
ortholog_263 gene-HOLleu_04992 BL27851
ortholog_264 gene-HOLleu_04993 BL28009
ortholog_265 gene-HOLleu_04994 BL21207
ortholog_266 gene-HOLleu_04998 BL21869
ortholog_267 gene-HOLleu_05003 BL28082
ortholog_268 gene-HOLleu_05005 BL27553
ortholog_269 gene-HOLleu_05008 BL27550
ortholog_270 gene-HOLleu_05009 BL27965
ortholog_271 gene-HOLleu_05011 BL28066
ortholog_272 gene-HOLleu_05013 BL28067
ortholog_273 gene-HOLleu_05020 BL09482
ortholog_274 gene-HOLleu_05021 BL16973
ortholog_275 gene-HOLleu_05026 BL01393
ortholog_276 gene-HOLleu_05027 BL27643
ortholog_277 gene-HOLleu_05028 BL28080
ortholog_278 gene-HOLleu_05029 BL28081
ortholog_279 gene-HOLleu_05032 BL06176
ortholog_280 gene-HOLleu_05035 BL27604
ortholog_281 gene-HOLleu_05038 BL24477
ortholog_282 gene-HOLleu_05041 BL09360
ortholog_283 gene-HOLleu_05042 BL27427
ortholog_284 gene-HOLleu_05046 BL15932
ortholog_285 gene-HOLleu_05049 BL09485
ortholog_286 gene-HOLleu_05056 BL28152
ortholog_287 gene-HOLleu_05069 BL00339
ortholog_288 gene-HOLleu_05071 BL07348
ortholog_289 gene-HOLleu_05073 BL12585
ortholog_290 gene-HOLleu_05082 BL27830
ortholog_291 gene-HOLleu_05083 BL02280
ortholog_292 gene-HOLleu_05086 BL27275
ortholog_293 gene-HOLleu_05089 BL09431
ortholog_294 gene-HOLleu_05105 BL17228
ortholog_295 gene-HOLleu_05109 BL27835
ortholog_296 gene-HOLleu_05112 BL28027
ortholog_297 gene-HOLleu_05113 BL27699
ortholog_298 gene-HOLleu_05114 BL20284
ortholog_299 gene-HOLleu_05115 BL15993
ortholog_300 gene-HOLleu_05116 BL15995
ortholog_301 gene-HOLleu_05117 BL27453
ortholog_302 gene-HOLleu_05123 BL28004
ortholog_303 gene-HOLleu_05134 BL14290
ortholog_304 gene-HOLleu_05137 BL28038
ortholog_305 gene-HOLleu_05152 BL27817
ortholog_306 gene-HOLleu_05178 BL09321
ortholog_307 gene-HOLleu_05179 BL27262
ortholog_308 gene-HOLleu_05181 BL22866
ortholog_309 gene-HOLleu_05184 BL09275
ortholog_310 gene-HOLleu_05186 BL27385
ortholog_311 gene-HOLleu_05187 BL27751
ortholog_312 gene-HOLleu_05188 BL27765
ortholog_313 gene-HOLleu_05190 BL27766
ortholog_314 gene-HOLleu_05195 BL27915
ortholog_315 gene-HOLleu_05207 BL27925
ortholog_316 gene-HOLleu_05209 BL18020
ortholog_317 gene-HOLleu_05216 BL16000
ortholog_318 gene-HOLleu_05221 BL15997
ortholog_319 gene-HOLleu_05224 BL27549
ortholog_320 gene-HOLleu_05227 BL27435
ortholog_321 gene-HOLleu_05229 BL27434
ortholog_322 gene-HOLleu_05231 BL27340
ortholog_323 gene-HOLleu_05234 BL15797
ortholog_324 gene-HOLleu_05235 BL18669
ortholog_325 gene-HOLleu_05253 BL28011
ortholog_326 gene-HOLleu_05256 BL28014
ortholog_327 gene-HOLleu_05257 BL28013
ortholog_328 gene-HOLleu_05259 BL28015
ortholog_329 gene-HOLleu_05263 BL27962
ortholog_330 gene-HOLleu_05303 BL20287
ortholog_331 gene-HOLleu_05327 BL03925
ortholog_332 gene-HOLleu_05330 BL01108
ortholog_333 gene-HOLleu_05331 BL16978
ortholog_334 gene-HOLleu_05332 BL09438
ortholog_335 gene-HOLleu_05334 BL09439
ortholog_336 gene-HOLleu_05335 BL09451
ortholog_337 gene-HOLleu_05339 BL26566
ortholog_338 gene-HOLleu_05356 BL08314
ortholog_339 gene-HOLleu_05357 BL27454
ortholog_340 gene-HOLleu_05363 BL27520
ortholog_341 gene-HOLleu_05390 BL23878
ortholog_342 gene-HOLleu_05400 BL16117
ortholog_343 gene-HOLleu_05404 BL27777
ortholog_344 gene-HOLleu_05406 BL27947
ortholog_345 gene-HOLleu_05428 BL28095
ortholog_346 gene-HOLleu_05429 BL28093
ortholog_347 gene-HOLleu_05430 BL27428
ortholog_348 gene-HOLleu_05432 BL27448
ortholog_349 gene-HOLleu_05437 BL27803
ortholog_350 gene-HOLleu_05440 BL20069
ortholog_351 gene-HOLleu_05441 BL27964
ortholog_352 gene-HOLleu_05442 BL27805
ortholog_353 gene-HOLleu_05443 BL27806
ortholog_354 gene-HOLleu_05446 BL27808
ortholog_355 gene-HOLleu_05450 BL27826
ortholog_356 gene-HOLleu_05453 BL27418
ortholog_357 gene-HOLleu_05457 BL28121
ortholog_358 gene-HOLleu_05459 BL00289
ortholog_359 gene-HOLleu_05462 BL09118
ortholog_360 gene-HOLleu_05470 BL19692
ortholog_361 gene-HOLleu_05473 BL12048
ortholog_362 gene-HOLleu_05474 BL27270
ortholog_363 gene-HOLleu_05476 BL27432
ortholog_364 gene-HOLleu_05488 BL27436
ortholog_365 gene-HOLleu_05491 BL10976
ortholog_366 gene-HOLleu_05499 BL27759
ortholog_367 gene-HOLleu_05500 BL27924
ortholog_368 gene-HOLleu_05502 BL09335
ortholog_369 gene-HOLleu_05503 BL27972
ortholog_370 gene-HOLleu_05505 BL27597
ortholog_371 gene-HOLleu_05507 BL27601
ortholog_372 gene-HOLleu_05510 BL27603
ortholog_373 gene-HOLleu_05513 BL09301
ortholog_374 gene-HOLleu_05516 BL09428
ortholog_375 gene-HOLleu_05519 BL27410
ortholog_376 gene-HOLleu_05520 BL04009
ortholog_377 gene-HOLleu_05521 BL27346
ortholog_378 gene-HOLleu_05522 BL07537
ortholog_379 gene-HOLleu_05523 BL27954
ortholog_380 gene-HOLleu_05524 BL18871
ortholog_381 gene-HOLleu_05526 BL27953
ortholog_382 gene-HOLleu_05527 BL27952
ortholog_383 gene-HOLleu_05530 BL28162
ortholog_384 gene-HOLleu_05529 BL27960
ortholog_385 gene-HOLleu_05531 BL21215
ortholog_386 gene-HOLleu_05532 BL27390
ortholog_387 gene-HOLleu_05533 BL28046
ortholog_388 gene-HOLleu_05541 BL25785
ortholog_389 gene-HOLleu_05543 BL27839
ortholog_390 gene-HOLleu_05545 BL08753
ortholog_391 gene-HOLleu_05546 BL14499
ortholog_392 gene-HOLleu_05553 BL27698
ortholog_393 gene-HOLleu_05555 BL27986
ortholog_394 gene-HOLleu_05556 BL27985
ortholog_395 gene-HOLleu_05558 BL27984
ortholog_396 gene-HOLleu_05559 BL23898
ortholog_397 gene-HOLleu_05566 BL00593
ortholog_398 gene-HOLleu_05570 BL27602
ortholog_399 gene-HOLleu_05571 BL27273
ortholog_400 gene-HOLleu_05583 BL23901
ortholog_401 gene-HOLleu_05584 BL23899
ortholog_402 gene-HOLleu_05587 BL27907
ortholog_403 gene-HOLleu_05589 BL27908
ortholog_404 gene-HOLleu_05592 BL04741
ortholog_405 gene-HOLleu_05593 BL27527
ortholog_406 gene-HOLleu_05601 BL16975
ortholog_407 gene-HOLleu_05609 BL14241
ortholog_408 gene-HOLleu_05618 BL27744
ortholog_409 gene-HOLleu_05620 BL27384
ortholog_410 gene-HOLleu_05622 BL04186
ortholog_411 gene-HOLleu_05626 BL23896
ortholog_412 gene-HOLleu_05628 BL09336
ortholog_413 gene-HOLleu_05629 BL09337
ortholog_414 gene-HOLleu_05639 BL16024
ortholog_415 gene-HOLleu_05641 BL27782
ortholog_416 gene-HOLleu_05667 BL07227
ortholog_417 gene-HOLleu_05686 BL15012
ortholog_418 gene-HOLleu_05687 BL27440
ortholog_419 gene-HOLleu_05689 BL28010
ortholog_420 gene-HOLleu_05695 BL27473
ortholog_421 gene-HOLleu_05696 BL09328
ortholog_422 gene-HOLleu_05697 BL27529
ortholog_423 gene-HOLleu_05700 BL27525
ortholog_424 gene-HOLleu_05703 BL27526
ortholog_425 gene-HOLleu_05711 BL21208
ortholog_426 gene-HOLleu_05714 BL09432
ortholog_427 gene-HOLleu_05730 BL21631
ortholog_428 gene-HOLleu_05733 BL18128
ortholog_429 gene-HOLleu_05744 BL10959
ortholog_430 gene-HOLleu_05745 BL10960
ortholog_431 gene-HOLleu_05746 BL27897
ortholog_432 gene-HOLleu_05750 BL27910
ortholog_433 gene-HOLleu_05760 BL27669
ortholog_434 gene-HOLleu_05765 BL28125
ortholog_435 gene-HOLleu_05769 BL11938
ortholog_436 gene-HOLleu_05770 BL27871
ortholog_437 gene-HOLleu_05771 BL09481
ortholog_438 gene-HOLleu_05777 BL05426
ortholog_439 gene-HOLleu_05788 BL27931
ortholog_440 gene-HOLleu_05790 BL21211
ortholog_441 gene-HOLleu_05791 BL09264
ortholog_442 gene-HOLleu_05793 BL20111
ortholog_443 gene-HOLleu_05796 BL14528
ortholog_444 gene-HOLleu_05797 BL09353
ortholog_445 gene-HOLleu_05801 BL27739
ortholog_446 gene-HOLleu_05809 BL02907
ortholog_447 gene-HOLleu_05810 BL20891
ortholog_448 gene-HOLleu_05812 BL27987
ortholog_449 gene-HOLleu_05834 BL26494
ortholog_450 gene-HOLleu_05850 BL03975
ortholog_451 gene-HOLleu_05855 BL27708
ortholog_452 gene-HOLleu_05857 BL11931
ortholog_453 gene-HOLleu_05859 BL27893
ortholog_454 gene-HOLleu_05878 BL27872
ortholog_455 gene-HOLleu_05890 BL17507
ortholog_456 gene-HOLleu_05893 BL17506
ortholog_457 gene-HOLleu_05895 BL27665
ortholog_458 gene-HOLleu_05896 BL00372
ortholog_459 gene-HOLleu_05920 BL03135
ortholog_460 gene-HOLleu_05930 BL09402
ortholog_461 gene-HOLleu_05935 BL09366
ortholog_462 gene-HOLleu_05938 BL27539
ortholog_463 gene-HOLleu_05944 BL27891
ortholog_464 gene-HOLleu_05946 BL27890
ortholog_465 gene-HOLleu_05951 BL09365
ortholog_466 gene-HOLleu_05956 BL23886
ortholog_467 gene-HOLleu_05960 BL11937
ortholog_468 gene-HOLleu_05965 BL21909
ortholog_469 gene-HOLleu_05968 BL28052
ortholog_470 gene-HOLleu_05973 BL21663
ortholog_471 gene-HOLleu_05975 BL27462
ortholog_472 gene-HOLleu_05976 BL27463
ortholog_473 gene-HOLleu_05977 BL27887
ortholog_474 gene-HOLleu_05978 BL27886
ortholog_475 gene-HOLleu_05979 BL27444
ortholog_476 gene-HOLleu_05981 BL09304
ortholog_477 gene-HOLleu_05985 BL27443
ortholog_478 gene-HOLleu_05987 BL05535
ortholog_479 gene-HOLleu_05988 BL23885
ortholog_480 gene-HOLleu_05989 BL18007
ortholog_481 gene-HOLleu_05991 BL00275
ortholog_482 gene-HOLleu_05996 BL28006
ortholog_483 gene-HOLleu_05997 BL00276
ortholog_484 gene-HOLleu_06000 BL15426
ortholog_485 gene-HOLleu_06006 BL17489
ortholog_486 gene-HOLleu_06007 BL25201
ortholog_487 gene-HOLleu_06009 BL27775
ortholog_488 gene-HOLleu_06020 BL27840
ortholog_489 gene-HOLleu_06027 BL28123
ortholog_490 gene-HOLleu_06028 BL16020
ortholog_491 gene-HOLleu_06031 BL11925
ortholog_492 gene-HOLleu_06035 BL09363
ortholog_493 gene-HOLleu_06036 BL27843
ortholog_494 gene-HOLleu_06041 BL17922
ortholog_495 gene-HOLleu_06047 BL27338
ortholog_496 gene-HOLleu_06052 BL27537
ortholog_497 gene-HOLleu_06053 BL27538
ortholog_498 gene-HOLleu_06054 BL27531
ortholog_499 gene-HOLleu_06055 BL05603
ortholog_500 gene-HOLleu_06056 BL05072
ortholog_501 gene-HOLleu_06057 BL27552
ortholog_502 gene-HOLleu_06060 BL27559
ortholog_503 gene-HOLleu_06066 BL27533
ortholog_504 gene-HOLleu_06077 BL27969
ortholog_505 gene-HOLleu_06081 BL26146
ortholog_506 gene-HOLleu_06084 BL27862
ortholog_507 gene-HOLleu_06088 BL27857
ortholog_508 gene-HOLleu_06102 BL21187
ortholog_509 gene-HOLleu_06138 BL17513
ortholog_510 gene-HOLleu_06139 BL17511
ortholog_511 gene-HOLleu_06149 BL28122
ortholog_512 gene-HOLleu_06151 BL27532
ortholog_513 gene-HOLleu_06154 BL04901
ortholog_514 gene-HOLleu_06157 BL27281
ortholog_515 gene-HOLleu_06160 BL12254
ortholog_516 gene-HOLleu_06163 BL05423
ortholog_517 gene-HOLleu_06165 BL27378
ortholog_518 gene-HOLleu_06167 BL17516
ortholog_519 gene-HOLleu_06186 BL00409
ortholog_520 gene-HOLleu_06203 BL03815
ortholog_521 gene-HOLleu_06212 BL02946
ortholog_522 gene-HOLleu_06218 BL27884
ortholog_523 gene-HOLleu_06219 BL28091
ortholog_524 gene-HOLleu_06225 BL11795
ortholog_525 gene-HOLleu_06228 BL28156
ortholog_526 gene-HOLleu_06229 BL09318
ortholog_527 gene-HOLleu_06230 BL27833
ortholog_528 gene-HOLleu_06244 BL27150
ortholog_529 gene-HOLleu_06256 BL27612
ortholog_530 gene-HOLleu_06257 BL09361
ortholog_531 gene-HOLleu_06264 BL27371
ortholog_532 gene-HOLleu_06265 BL27369
ortholog_533 gene-HOLleu_06267 BL04436
ortholog_534 gene-HOLleu_06269 BL27882
ortholog_535 gene-HOLleu_06272 BL27618
ortholog_536 gene-HOLleu_06273 BL27619
ortholog_537 gene-HOLleu_06274 BL27883
ortholog_538 gene-HOLleu_06279 BL24948
ortholog_539 gene-HOLleu_06283 BL17864
ortholog_540 gene-HOLleu_06289 BL18940
ortholog_541 gene-HOLleu_06292 BL23466
ortholog_542 gene-HOLleu_06295 BL16573
ortholog_543 gene-HOLleu_06296 BL27615
ortholog_544 gene-HOLleu_06298 BL09284
ortholog_545 gene-HOLleu_06313 BL15151
ortholog_546 gene-HOLleu_06318 BL09325
ortholog_547 gene-HOLleu_06319 BL09133
ortholog_548 gene-HOLleu_06320 BL27564
ortholog_549 gene-HOLleu_06321 BL15131
ortholog_550 gene-HOLleu_06325 BL27692
ortholog_551 gene-HOLleu_06326 BL10053
ortholog_552 gene-HOLleu_06327 BL27420
ortholog_553 gene-HOLleu_06328 BL27991
ortholog_554 gene-HOLleu_06329 BL21565
ortholog_555 gene-HOLleu_06331 BL28008
ortholog_556 gene-HOLleu_06332 BL07708
ortholog_557 gene-HOLleu_06349 BL03090
ortholog_558 gene-HOLleu_06366 BL28036
ortholog_559 gene-HOLleu_06368 BL28000
ortholog_560 gene-HOLleu_06370 BL27997
ortholog_561 gene-HOLleu_06374 BL25385
ortholog_562 gene-HOLleu_06378 BL09393
ortholog_563 gene-HOLleu_06380 BL10160
ortholog_564 gene-HOLleu_06387 BL27801
ortholog_565 gene-HOLleu_06388 BL27951
ortholog_566 gene-HOLleu_06389 BL27930
ortholog_567 gene-HOLleu_06392 BL17505
ortholog_568 gene-HOLleu_06395 BL17475
ortholog_569 gene-HOLleu_06398 BL12321
ortholog_570 gene-HOLleu_06413 BL27404
ortholog_571 gene-HOLleu_06429 BL03433
ortholog_572 gene-HOLleu_06436 BL09289
ortholog_573 gene-HOLleu_06440 BL09297
ortholog_574 gene-HOLleu_06445 BL27729
ortholog_575 gene-HOLleu_06451 BL09293
ortholog_576 gene-HOLleu_06454 BL25611
ortholog_577 gene-HOLleu_06458 BL27673
ortholog_578 gene-HOLleu_06459 BL07525
ortholog_579 gene-HOLleu_06482 BL09440
ortholog_580 gene-HOLleu_06518 BL27633
ortholog_581 gene-HOLleu_06524 BL28133
ortholog_582 gene-HOLleu_06525 BL25074
