ortholog_1 g178 gene-HOLleu_44920
ortholog_102 g4033 gene-HOLleu_09709
ortholog_103 g4051 gene-HOLleu_10103
ortholog_104 g4060 gene-HOLleu_43744
ortholog_105 g4071 gene-HOLleu_10876
ortholog_106 g4104 gene-HOLleu_10039
ortholog_107 g4218 gene-HOLleu_44965
ortholog_108 g4265 gene-HOLleu_38864
ortholog_109 g4279 gene-HOLleu_39073
ortholog_110 g4300 gene-HOLleu_14679
ortholog_111 g4356 gene-HOLleu_10776
ortholog_112 g4371 gene-HOLleu_11574
ortholog_113 g4416 gene-HOLleu_11497
ortholog_114 g4470 gene-HOLleu_11468
ortholog_115 g4474 gene-HOLleu_09877
ortholog_116 g4503 gene-HOLleu_11324
ortholog_117 g4531 gene-HOLleu_34450
ortholog_118 g4597 gene-HOLleu_09865
ortholog_119 g4605 gene-HOLleu_19468
ortholog_120 g4613 gene-HOLleu_11340
ortholog_121 g4616 gene-HOLleu_09639
ortholog_122 g4724 gene-HOLleu_11479
ortholog_123 g4740 gene-HOLleu_11695
ortholog_124 g4749 gene-HOLleu_11571
ortholog_125 g4758 gene-HOLleu_11572
ortholog_126 g4766 gene-HOLleu_13543
ortholog_127 g4822 gene-HOLleu_10034
ortholog_128 g4832 gene-HOLleu_11305
ortholog_129 g4838 gene-HOLleu_11597
ortholog_130 g4841 gene-HOLleu_27051
ortholog_131 g4845 gene-HOLleu_11074
ortholog_132 g4847 gene-HOLleu_11073
ortholog_133 g4865 gene-HOLleu_07588
ortholog_134 g4871 gene-HOLleu_09728
ortholog_135 g4875 gene-HOLleu_11422
ortholog_136 g4927 gene-HOLleu_10753
ortholog_137 g4947 gene-HOLleu_11035
ortholog_138 g4961 gene-HOLleu_09590
ortholog_139 g4963 gene-HOLleu_11682
ortholog_140 g4971 gene-HOLleu_09501
ortholog_141 g4992 gene-HOLleu_11235
ortholog_142 g5008 gene-HOLleu_09416
ortholog_143 g5063 gene-HOLleu_32292
ortholog_144 g5109 gene-HOLleu_11053
ortholog_145 g5113 gene-HOLleu_11056
ortholog_146 g5118 gene-HOLleu_09805
ortholog_147 g5125 gene-HOLleu_11694
ortholog_148 g5151 gene-HOLleu_11592
ortholog_149 g5154 gene-HOLleu_11594
ortholog_150 g5156 gene-HOLleu_11590
ortholog_151 g5185 gene-HOLleu_37833
ortholog_152 g5196 gene-HOLleu_19700
ortholog_153 g5247 gene-HOLleu_10073
ortholog_154 g5262 gene-HOLleu_10904
ortholog_155 g5267 gene-HOLleu_10775
ortholog_156 g5276 gene-HOLleu_11330
ortholog_157 g5349 gene-HOLleu_36530
ortholog_158 g5353 gene-HOLleu_09991
ortholog_159 g5356 gene-HOLleu_09509
ortholog_160 g5382 gene-HOLleu_11472
ortholog_161 g5396 gene-HOLleu_09699
ortholog_162 g5402 gene-HOLleu_09686
ortholog_163 g5421 gene-HOLleu_36533
ortholog_164 g5458 gene-HOLleu_09398
ortholog_165 g5473 gene-HOLleu_17472
ortholog_166 g5499 gene-HOLleu_11282
ortholog_167 g5512 gene-HOLleu_11662
ortholog_168 g5517 gene-HOLleu_11638
ortholog_169 g5547 gene-HOLleu_11281
ortholog_170 g5621 gene-HOLleu_10502
ortholog_171 g5624 gene-HOLleu_10501
ortholog_172 g5641 gene-HOLleu_10505
ortholog_173 g5650 gene-HOLleu_11589
ortholog_174 g5665 gene-HOLleu_16773
ortholog_175 g5720 gene-HOLleu_09560
ortholog_176 g5730 gene-HOLleu_09902
ortholog_177 g5781 gene-HOLleu_10900
ortholog_178 g5800 gene-HOLleu_09502
ortholog_179 g5809 gene-HOLleu_10651
ortholog_180 g5845 gene-HOLleu_09855
ortholog_181 g5861 gene-HOLleu_09852
ortholog_182 g5869 gene-HOLleu_09977
ortholog_183 g5871 gene-HOLleu_11220
ortholog_184 g5875 gene-HOLleu_11169
ortholog_185 g5888 gene-HOLleu_10752
ortholog_186 g5914 gene-HOLleu_11423
ortholog_187 g5934 gene-HOLleu_11355
ortholog_188 g5936 gene-HOLleu_09648
ortholog_189 g5944 gene-HOLleu_11279
ortholog_190 g5956 gene-HOLleu_09960
ortholog_191 g6003 gene-HOLleu_09987
ortholog_192 g6004 gene-HOLleu_09988
ortholog_193 g6063 gene-HOLleu_11341
ortholog_194 g6068 gene-HOLleu_38297
ortholog_195 g6102 gene-HOLleu_09214
ortholog_196 g6145 gene-HOLleu_10187
ortholog_197 g6190 gene-HOLleu_09691
ortholog_198 g6216 gene-HOLleu_09685
ortholog_199 g6299 gene-HOLleu_45102
ortholog_200 g6322 gene-HOLleu_17065
ortholog_201 g6330 gene-HOLleu_10619
ortholog_202 g6342 gene-HOLleu_11442
ortholog_203 g6354 gene-HOLleu_10041
ortholog_204 g6369 gene-HOLleu_09790
ortholog_205 g6397 gene-HOLleu_24747
ortholog_206 g6426 gene-HOLleu_11576
ortholog_207 g6429 gene-HOLleu_09647
ortholog_208 g6451 gene-HOLleu_12171
ortholog_209 g6470 gene-HOLleu_11034
ortholog_210 g6472 gene-HOLleu_21101
ortholog_211 g6555 gene-HOLleu_09864
ortholog_212 g6557 gene-HOLleu_09803
ortholog_213 g6566 gene-HOLleu_09866
ortholog_214 g6568 gene-HOLleu_09871
ortholog_215 g6588 gene-HOLleu_10416
ortholog_216 g6628 gene-HOLleu_31785
ortholog_217 g6634 gene-HOLleu_31784
ortholog_218 g6638 gene-HOLleu_11022
ortholog_219 g6731 gene-HOLleu_32482
ortholog_220 g6735 gene-HOLleu_09678
ortholog_221 g6770 gene-HOLleu_10800
ortholog_222 g6775 gene-HOLleu_10795
ortholog_223 g6805 gene-HOLleu_33788
ortholog_224 g6811 gene-HOLleu_20742
ortholog_225 g6817 gene-HOLleu_09429
ortholog_226 g6834 gene-HOLleu_11107
ortholog_227 g6839 gene-HOLleu_11607
ortholog_228 g6858 gene-HOLleu_10008
ortholog_229 g6886 gene-HOLleu_09462
ortholog_230 g6891 gene-HOLleu_09425
ortholog_231 g6898 gene-HOLleu_09621
ortholog_232 g6899 gene-HOLleu_19294
ortholog_233 g6913 gene-HOLleu_09438
ortholog_234 g6917 gene-HOLleu_11215
ortholog_235 g6928 gene-HOLleu_09641
ortholog_236 g6951 gene-HOLleu_09610
ortholog_237 g6996 gene-HOLleu_10633
ortholog_238 g6999 gene-HOLleu_09575
ortholog_239 g7013 gene-HOLleu_09815
ortholog_240 g7072 gene-HOLleu_10334
ortholog_241 g7100 gene-HOLleu_09601
ortholog_242 g7120 gene-HOLleu_11661
ortholog_243 g7121 gene-HOLleu_11656
ortholog_244 g7128 gene-HOLleu_09660
ortholog_245 g7214 gene-HOLleu_10760
ortholog_246 g7241 gene-HOLleu_10005
ortholog_247 g7242 gene-HOLleu_21402
ortholog_248 g7256 gene-HOLleu_09779
ortholog_249 g7334 gene-HOLleu_09669
ortholog_250 g7344 gene-HOLleu_10296
ortholog_251 g7346 gene-HOLleu_10164
ortholog_252 g7377 gene-HOLleu_40765
ortholog_253 g7381 gene-HOLleu_09168
ortholog_254 g7448 gene-HOLleu_09466
ortholog_255 g7458 gene-HOLleu_11385
ortholog_256 g7461 gene-HOLleu_11382
ortholog_257 g7466 gene-HOLleu_11439
ortholog_258 g7471 gene-HOLleu_26850
ortholog_259 g7480 gene-HOLleu_28650
ortholog_260 g7486 gene-HOLleu_09448
ortholog_261 g7541 gene-HOLleu_09717
ortholog_262 g7545 gene-HOLleu_09664
ortholog_263 g7549 gene-HOLleu_10777
ortholog_264 g7555 gene-HOLleu_09985
ortholog_265 g7566 gene-HOLleu_21403
ortholog_266 g7571 gene-HOLleu_09612
ortholog_267 g7579 gene-HOLleu_17299
ortholog_268 g7580 gene-HOLleu_20743
ortholog_269 g7590 gene-HOLleu_10441
ortholog_270 g7604 gene-HOLleu_11353
ortholog_271 g7628 gene-HOLleu_09774
ortholog_272 g7636 gene-HOLleu_21845
ortholog_273 g7638 gene-HOLleu_20189
ortholog_274 g7672 gene-HOLleu_16283
ortholog_275 g7726 gene-HOLleu_10440
ortholog_276 g7728 gene-HOLleu_09605
ortholog_277 g7741 gene-HOLleu_11061
ortholog_278 g7762 gene-HOLleu_09405
ortholog_279 g7764 gene-HOLleu_11243
ortholog_280 g7776 gene-HOLleu_23586
ortholog_281 g7794 gene-HOLleu_10802
ortholog_282 g7802 gene-HOLleu_10764
ortholog_283 g7874 gene-HOLleu_11311
ortholog_284 g7890 gene-HOLleu_10313
ortholog_285 g8006 gene-HOLleu_10438
ortholog_286 g8010 gene-HOLleu_09663
ortholog_287 g8021 gene-HOLleu_09613
ortholog_288 g8076 gene-HOLleu_09807
ortholog_289 g8104 gene-HOLleu_10427
ortholog_290 g8121 gene-HOLleu_12451
ortholog_291 g8151 gene-HOLleu_11325
ortholog_292 g8218 gene-HOLleu_09695
ortholog_293 g8246 gene-HOLleu_38188
ortholog_294 g8254 gene-HOLleu_13724
ortholog_295 g8262 gene-HOLleu_09387
ortholog_296 g8285 gene-HOLleu_30069
ortholog_297 g8310 gene-HOLleu_14848
ortholog_298 g8354 gene-HOLleu_11344
ortholog_299 g8355 gene-HOLleu_11351
ortholog_300 g8360 gene-HOLleu_10882
ortholog_301 g8368 gene-HOLleu_11595
ortholog_302 g8372 gene-HOLleu_11646
ortholog_303 g8378 gene-HOLleu_11343
ortholog_304 g8397 gene-HOLleu_10885
ortholog_305 g8399 gene-HOLleu_11585
ortholog_306 g8421 gene-HOLleu_11625
ortholog_307 g8430 gene-HOLleu_11072
ortholog_308 g8437 gene-HOLleu_10162
ortholog_309 g8460 gene-HOLleu_09859
ortholog_310 g8472 gene-HOLleu_10995
ortholog_311 g8477 gene-HOLleu_10101
ortholog_312 g8480 gene-HOLleu_09848
ortholog_313 g8500 gene-HOLleu_09789
ortholog_314 g8517 gene-HOLleu_17978
ortholog_315 g8518 gene-HOLleu_07417
ortholog_316 g8528 gene-HOLleu_15968
ortholog_317 g8601 gene-HOLleu_26558
ortholog_318 g8603 gene-HOLleu_11078
ortholog_319 g8639 gene-HOLleu_11549
ortholog_320 g8666 gene-HOLleu_11071
ortholog_321 g8671 gene-HOLleu_19965
ortholog_322 g8680 gene-HOLleu_39708
ortholog_323 g8694 gene-HOLleu_09390
ortholog_324 g8701 gene-HOLleu_11180
ortholog_325 g8720 gene-HOLleu_11176
ortholog_326 g8723 gene-HOLleu_11177
ortholog_327 g8732 gene-HOLleu_10769
ortholog_328 g8747 gene-HOLleu_10294
ortholog_329 g8765 gene-HOLleu_36457
ortholog_330 g8771 gene-HOLleu_10184
ortholog_331 g8781 gene-HOLleu_10090
ortholog_332 g8809 gene-HOLleu_16842
ortholog_333 g8811 gene-HOLleu_09843
ortholog_334 g8831 gene-HOLleu_36274
ortholog_335 g8859 gene-HOLleu_11400
ortholog_336 g8860 gene-HOLleu_09508
ortholog_337 g8861 gene-HOLleu_11473
ortholog_338 g8862 gene-HOLleu_39687
ortholog_339 g8863 gene-HOLleu_11394
ortholog_340 g8868 gene-HOLleu_44613
ortholog_341 g8875 gene-HOLleu_31388
ortholog_342 g8973 gene-HOLleu_10640
ortholog_343 g8988 gene-HOLleu_20601
ortholog_344 g8992 gene-HOLleu_19268
ortholog_345 g9025 gene-HOLleu_16372
ortholog_346 g9041 gene-HOLleu_04965
ortholog_347 g9073 gene-HOLleu_11278
ortholog_348 g9077 gene-HOLleu_09404
ortholog_349 g9104 gene-HOLleu_40940
ortholog_350 g9122 gene-HOLleu_10903
ortholog_351 g9137 gene-HOLleu_11206
ortholog_352 g9147 gene-HOLleu_10620
ortholog_353 g9166 gene-HOLleu_11175
ortholog_354 g9169 gene-HOLleu_09617
ortholog_355 g9179 gene-HOLleu_10035
ortholog_356 g9193 gene-HOLleu_09578
ortholog_357 g9201 gene-HOLleu_11047
ortholog_358 g9229 gene-HOLleu_11446
ortholog_359 g9244 gene-HOLleu_11445
ortholog_360 g9258 gene-HOLleu_09708
ortholog_361 g9261 gene-HOLleu_11285
ortholog_362 g9266 gene-HOLleu_21847
ortholog_363 g9270 gene-HOLleu_09430
ortholog_364 g9291 gene-HOLleu_10749
ortholog_365 g9302 gene-HOLleu_09642
ortholog_366 g9310 gene-HOLleu_31004
ortholog_367 g9323 gene-HOLleu_11224
ortholog_368 g9379 gene-HOLleu_09684
ortholog_369 g9408 gene-HOLleu_11272
ortholog_370 g9415 gene-HOLleu_00122
ortholog_371 g9442 gene-HOLleu_36920
ortholog_372 g9479 gene-HOLleu_30921
ortholog_373 g9490 gene-HOLleu_32434
ortholog_374 g9615 gene-HOLleu_25938
ortholog_375 g9641 gene-HOLleu_11242
ortholog_376 g9667 gene-HOLleu_10431
ortholog_377 g9672 gene-HOLleu_10182
ortholog_378 g9715 gene-HOLleu_34474
ortholog_379 g9751 gene-HOLleu_10445
ortholog_380 g9757 gene-HOLleu_09456
ortholog_381 g9769 gene-HOLleu_10650
ortholog_382 g9788 gene-HOLleu_10879
ortholog_383 g9830 gene-HOLleu_30634
ortholog_384 g9833 gene-HOLleu_09428
ortholog_385 g9864 gene-HOLleu_38197
ortholog_386 g9866 gene-HOLleu_43341
ortholog_387 g9892 gene-HOLleu_11489
ortholog_388 g9897 gene-HOLleu_39898
ortholog_389 g9904 gene-HOLleu_11503
ortholog_390 g9954 gene-HOLleu_36233
ortholog_391 g9961 gene-HOLleu_28247
ortholog_392 g9984 gene-HOLleu_11627
ortholog_393 g10040 gene-HOLleu_11425
ortholog_394 g10064 gene-HOLleu_11048
ortholog_395 g10076 gene-HOLleu_11631
ortholog_396 g10110 gene-HOLleu_11632
ortholog_397 g10119 gene-HOLleu_09701
ortholog_398 g10145 gene-HOLleu_39675
ortholog_399 g10150 gene-HOLleu_09666
ortholog_400 g10156 gene-HOLleu_18560
ortholog_401 g10157 gene-HOLleu_16244
ortholog_402 g10202 gene-HOLleu_09384
ortholog_403 g10217 gene-HOLleu_10458
ortholog_404 g10249 gene-HOLleu_09651
ortholog_405 g10250 gene-HOLleu_09504
ortholog_406 g10298 gene-HOLleu_43828
ortholog_407 g10323 gene-HOLleu_11659
ortholog_408 g10329 gene-HOLleu_09667
ortholog_409 g10344 gene-HOLleu_20199
ortholog_410 g10348 gene-HOLleu_11255
ortholog_411 g10372 gene-HOLleu_33955
ortholog_412 g10379 gene-HOLleu_10166
ortholog_413 g10437 gene-HOLleu_02248
ortholog_414 g10468 gene-HOLleu_33574
ortholog_415 g10490 gene-HOLleu_11452
ortholog_416 g10492 gene-HOLleu_09657
ortholog_417 g10494 gene-HOLleu_11101
ortholog_418 g10501 gene-HOLleu_09792
ortholog_419 g10505 gene-HOLleu_35731
ortholog_420 g10507 gene-HOLleu_09597
ortholog_421 g10509 gene-HOLleu_07700
ortholog_422 g10531 gene-HOLleu_10195
ortholog_423 g10556 gene-HOLleu_11273
ortholog_424 g10591 gene-HOLleu_09776
ortholog_425 g10595 gene-HOLleu_11226
ortholog_426 g10604 gene-HOLleu_10358
ortholog_427 g10624 gene-HOLleu_09544
ortholog_428 g10631 gene-HOLleu_11474
ortholog_429 g10649 gene-HOLleu_10131
ortholog_430 g10695 gene-HOLleu_11171
ortholog_431 g10697 gene-HOLleu_27967
ortholog_432 g10744 gene-HOLleu_38208
ortholog_433 g10786 gene-HOLleu_09427
ortholog_434 g10791 gene-HOLleu_11310
ortholog_435 g10830 gene-HOLleu_11183
ortholog_436 g10845 gene-HOLleu_11204
ortholog_437 g10847 gene-HOLleu_11205
ortholog_438 g10884 gene-HOLleu_10001
ortholog_439 g10894 gene-HOLleu_15171
ortholog_440 g10896 gene-HOLleu_10303
ortholog_441 g10900 gene-HOLleu_09821
ortholog_442 g10906 gene-HOLleu_11106
ortholog_443 g10957 gene-HOLleu_10766
ortholog_444 g10961 gene-HOLleu_11266
ortholog_445 g10963 gene-HOLleu_39404
ortholog_446 g11001 gene-HOLleu_08558
ortholog_447 g11030 gene-HOLleu_09566
ortholog_448 g11049 gene-HOLleu_22110
ortholog_449 g11063 gene-HOLleu_10074
ortholog_450 g11070 gene-HOLleu_11307
ortholog_451 g11083 gene-HOLleu_23500
ortholog_452 g11126 gene-HOLleu_10194
ortholog_453 g11133 gene-HOLleu_10196
ortholog_454 g11152 gene-HOLleu_09697
ortholog_455 g11160 gene-HOLleu_09420
ortholog_456 g11168 gene-HOLleu_09710
ortholog_457 g11181 gene-HOLleu_09846
ortholog_458 g11188 gene-HOLleu_09514
ortholog_459 g11193 gene-HOLleu_09860
ortholog_460 g11214 gene-HOLleu_11303
ortholog_461 g11215 gene-HOLleu_11600
ortholog_462 g11228 gene-HOLleu_11050
ortholog_463 g11229 gene-HOLleu_11051
ortholog_464 g11236 gene-HOLleu_10082
ortholog_465 g11248 gene-HOLleu_11026
ortholog_466 g11362 gene-HOLleu_26111
ortholog_467 g11363 gene-HOLleu_11393
ortholog_468 g11401 gene-HOLleu_10298
ortholog_469 g11416 gene-HOLleu_11432
ortholog_470 g11434 gene-HOLleu_11102
ortholog_471 g11464 gene-HOLleu_10432
ortholog_472 g11481 gene-HOLleu_15559
ortholog_473 g11494 gene-HOLleu_09572
ortholog_474 g11503 gene-HOLleu_09570
ortholog_475 g11543 gene-HOLleu_20460
ortholog_476 g11555 gene-HOLleu_10300
ortholog_477 g11556 gene-HOLleu_09791
ortholog_478 g11562 gene-HOLleu_09958
ortholog_479 g11566 gene-HOLleu_09623
ortholog_480 g11581 gene-HOLleu_03003
ortholog_481 g11765 gene-HOLleu_11173
ortholog_482 g11770 gene-HOLleu_10460
ortholog_483 g11779 gene-HOLleu_11386
ortholog_484 g11825 gene-HOLleu_06536
ortholog_485 g11959 gene-HOLleu_09907
ortholog_486 g11967 gene-HOLleu_33187
ortholog_487 g11993 gene-HOLleu_10790
ortholog_488 g12041 gene-HOLleu_27792
ortholog_489 g12066 gene-HOLleu_14836
ortholog_490 g12073 gene-HOLleu_29947
ortholog_491 g12077 gene-HOLleu_25648
ortholog_492 g12228 gene-HOLleu_28942
ortholog_493 g12255 gene-HOLleu_18425
ortholog_494 g12289 gene-HOLleu_28445
ortholog_495 g12496 gene-HOLleu_17290
ortholog_496 g12502 gene-HOLleu_25393
ortholog_497 g12517 gene-HOLleu_07204
ortholog_498 g12589 gene-HOLleu_38874
ortholog_499 g12609 gene-HOLleu_28391
ortholog_500 g12697 gene-HOLleu_37107
ortholog_501 g12720 gene-HOLleu_18278
ortholog_502 g12857 gene-HOLleu_21334
ortholog_503 g12996 gene-HOLleu_38167
ortholog_504 g13173 gene-HOLleu_09367
ortholog_505 g13280 gene-HOLleu_12649
ortholog_506 g13284 gene-HOLleu_30993
ortholog_507 g13320 gene-HOLleu_30109
ortholog_508 g13344 gene-HOLleu_36728
ortholog_509 g13351 gene-HOLleu_31175
ortholog_510 g13398 gene-HOLleu_30910
ortholog_511 g13437 gene-HOLleu_13409
ortholog_512 g13458 gene-HOLleu_30237
ortholog_513 g13462 gene-HOLleu_31172
ortholog_514 g13477 gene-HOLleu_29815
ortholog_515 g13483 gene-HOLleu_29811
ortholog_516 g13495 gene-HOLleu_30823
ortholog_517 g13509 gene-HOLleu_30820
ortholog_518 g13528 gene-HOLleu_30494
ortholog_519 g13558 gene-HOLleu_30413
ortholog_520 g13582 gene-HOLleu_30884
ortholog_521 g13590 gene-HOLleu_30749
ortholog_522 g13668 gene-HOLleu_31108
ortholog_523 g13693 gene-HOLleu_30962
ortholog_524 g13702 gene-HOLleu_30273
ortholog_525 g13712 gene-HOLleu_16681
ortholog_526 g13737 gene-HOLleu_02365
ortholog_527 g13768 gene-HOLleu_30655
ortholog_528 g13883 gene-HOLleu_30702
ortholog_529 g13909 gene-HOLleu_31014
ortholog_530 g13964 gene-HOLleu_19092
ortholog_531 g14019 gene-HOLleu_31545
ortholog_532 g14022 gene-HOLleu_29779
ortholog_533 g14039 gene-HOLleu_44914
ortholog_534 g14079 gene-HOLleu_30873
ortholog_535 g14095 gene-HOLleu_33667
ortholog_536 g14107 gene-HOLleu_30899
ortholog_537 g14108 gene-HOLleu_30382
ortholog_538 g14125 gene-HOLleu_34492
ortholog_539 g14134 gene-HOLleu_30968
ortholog_540 g14159 gene-HOLleu_06608
ortholog_541 g14239 gene-HOLleu_30433
ortholog_542 g14262 gene-HOLleu_30411
ortholog_543 g14268 gene-HOLleu_30070
ortholog_544 g14281 gene-HOLleu_24107
ortholog_545 g14334 gene-HOLleu_23061
ortholog_546 g14409 gene-HOLleu_30691
ortholog_547 g14432 gene-HOLleu_30544
ortholog_548 g14447 gene-HOLleu_30630
ortholog_549 g14502 gene-HOLleu_30807
ortholog_550 g14566 gene-HOLleu_30363
ortholog_551 g14577 gene-HOLleu_30931
ortholog_552 g14586 gene-HOLleu_30626
ortholog_553 g14650 gene-HOLleu_30202
ortholog_554 g14673 gene-HOLleu_31159
ortholog_555 g14685 gene-HOLleu_31021
ortholog_556 g14712 gene-HOLleu_29021
ortholog_557 g14715 gene-HOLleu_29022
ortholog_558 g14720 gene-HOLleu_29879
ortholog_559 g14721 gene-HOLleu_35211
ortholog_560 g14728 gene-HOLleu_29979
ortholog_561 g14730 gene-HOLleu_30259
ortholog_562 g14780 gene-HOLleu_30704
ortholog_563 g14786 gene-HOLleu_31042
ortholog_564 g14793 gene-HOLleu_31040
ortholog_565 g14813 gene-HOLleu_31089
ortholog_566 g14823 gene-HOLleu_31203
ortholog_567 g14833 gene-HOLleu_18503
ortholog_568 g14876 gene-HOLleu_29974
ortholog_569 g15001 gene-HOLleu_30604
ortholog_570 g15003 gene-HOLleu_30896
ortholog_571 g15018 gene-HOLleu_31143
ortholog_572 g15025 gene-HOLleu_30268
ortholog_573 g15070 gene-HOLleu_00018
ortholog_574 g15082 gene-HOLleu_31190
ortholog_575 g15122 gene-HOLleu_30772
ortholog_576 g15140 gene-HOLleu_30019
ortholog_577 g15143 gene-HOLleu_08903
ortholog_578 g15173 gene-HOLleu_37800
ortholog_579 g15186 gene-HOLleu_30876
ortholog_580 g15190 gene-HOLleu_30875
ortholog_581 g15194 gene-HOLleu_29960
ortholog_582 g15243 gene-HOLleu_40587
ortholog_583 g15294 gene-HOLleu_30486
ortholog_584 g15316 gene-HOLleu_31030
ortholog_585 g15337 gene-HOLleu_30641
ortholog_586 g15343 gene-HOLleu_34078
ortholog_587 g15350 gene-HOLleu_30944
ortholog_588 g15354 gene-HOLleu_18525
ortholog_589 g15357 gene-HOLleu_29976
ortholog_590 g15367 gene-HOLleu_04804
ortholog_591 g15428 gene-HOLleu_30178
ortholog_592 g15432 gene-HOLleu_30177
ortholog_593 g15435 gene-HOLleu_30176
ortholog_594 g15436 gene-HOLleu_30173
ortholog_595 g15446 gene-HOLleu_29785
ortholog_596 g15447 gene-HOLleu_30431
ortholog_597 g15452 gene-HOLleu_34933
ortholog_598 g15476 gene-HOLleu_30838
ortholog_599 g15478 gene-HOLleu_30683
ortholog_600 g15487 gene-HOLleu_31191
ortholog_601 g15495 gene-HOLleu_30545
ortholog_602 g15506 gene-HOLleu_30492
ortholog_603 g15541 gene-HOLleu_30110
ortholog_604 g15546 gene-HOLleu_20710
ortholog_605 g15580 gene-HOLleu_19936
ortholog_606 g15613 gene-HOLleu_33781
ortholog_607 g15615 gene-HOLleu_36185
ortholog_608 g15625 gene-HOLleu_30406
