ortholog_1 Parliv_PL00053 gene-HOLleu_28958
ortholog_90 Parliv_PL01241 gene-HOLleu_28808
ortholog_91 Parliv_PL01772 gene-HOLleu_29147
ortholog_92 Parliv_PL01108 gene-HOLleu_29548
ortholog_93 Parliv_PL01147 gene-HOLleu_28774
ortholog_94 Parliv_PL00346 gene-HOLleu_28772
ortholog_95 Parliv_PL00231 gene-HOLleu_29127
ortholog_96 Parliv_PL01273 gene-HOLleu_29246
ortholog_97 Parliv_PL01035 gene-HOLleu_29113
ortholog_98 Parliv_PL00658 gene-HOLleu_29596
ortholog_99 Parliv_PL01080 gene-HOLleu_23299
ortholog_100 Parliv_PL01057 gene-HOLleu_37427
ortholog_101 Parliv_PL01203 gene-HOLleu_37745
ortholog_102 Parliv_PL00380 gene-HOLleu_41559
ortholog_103 Parliv_PL00886 gene-HOLleu_29179
ortholog_104 Parliv_PL00735 gene-HOLleu_39662
ortholog_105 Parliv_PL00635 gene-HOLleu_28461
ortholog_106 Parliv_PL01353 gene-HOLleu_04315
ortholog_107 Parliv_PL01855 gene-HOLleu_28572
ortholog_108 Parliv_PL00859 gene-HOLleu_11464
ortholog_109 Parliv_PL01768 gene-HOLleu_28303
ortholog_110 Parliv_PL00847 gene-HOLleu_28934
ortholog_111 Parliv_PL00867 gene-HOLleu_28959
ortholog_112 Parliv_PL01220 gene-HOLleu_29229
ortholog_113 Parliv_PL00610 gene-HOLleu_29112
ortholog_114 Parliv_PL01199 gene-HOLleu_28906
ortholog_115 Parliv_PL00762 gene-HOLleu_29386
ortholog_116 Parliv_PL01915 gene-HOLleu_29385
ortholog_117 Parliv_PL01844 gene-HOLleu_29293
ortholog_118 Parliv_PL00826 gene-HOLleu_29296
ortholog_119 Parliv_PL01766 gene-HOLleu_28492
ortholog_120 Parliv_PL01696 gene-HOLleu_29577
ortholog_121 Parliv_PL00756 gene-HOLleu_28152
ortholog_122 Parliv_PL00431 gene-HOLleu_29545
ortholog_123 Parliv_PL00303 gene-HOLleu_29077
ortholog_124 Parliv_PL01759 gene-HOLleu_28738
ortholog_125 Parliv_PL01764 gene-HOLleu_28736
ortholog_126 Parliv_PL01018 gene-HOLleu_28732
ortholog_127 Parliv_PL01287 gene-HOLleu_28904
ortholog_128 Parliv_PL00527 gene-HOLleu_28551
ortholog_129 Parliv_PL01143 gene-HOLleu_28508
ortholog_130 Parliv_PL00911 gene-HOLleu_29310
ortholog_131 Parliv_PL01223 gene-HOLleu_29399
ortholog_132 Parliv_PL01670 gene-HOLleu_28973
ortholog_133 Parliv_PL00576 gene-HOLleu_28780
ortholog_134 Parliv_PL00534 gene-HOLleu_28351
ortholog_135 Parliv_PL00120 gene-HOLleu_28803
ortholog_136 Parliv_PL00536 gene-HOLleu_14549
ortholog_137 Parliv_PL01837 gene-HOLleu_14547
ortholog_138 Parliv_PL01418 gene-HOLleu_29184
ortholog_139 Parliv_PL01385 gene-HOLleu_28113
ortholog_140 Parliv_PL01678 gene-HOLleu_28519
ortholog_141 Parliv_PL00838 gene-HOLleu_28518
ortholog_142 Parliv_PL01536 gene-HOLleu_28201
ortholog_143 Parliv_PL00318 gene-HOLleu_28847
ortholog_144 Parliv_PL00365 gene-HOLleu_28578
ortholog_145 Parliv_PL00317 gene-HOLleu_13045
ortholog_146 Parliv_PL00678 gene-HOLleu_05243
ortholog_147 Parliv_PL00787 gene-HOLleu_29359
ortholog_148 Parliv_PL01697 gene-HOLleu_28981
ortholog_149 Parliv_PL01017 gene-HOLleu_28979
ortholog_150 Parliv_PL01559 gene-HOLleu_29627
ortholog_151 Parliv_PL01507 gene-HOLleu_29193
ortholog_152 Parliv_PL01573 gene-HOLleu_37796
ortholog_153 Parliv_PL01488 gene-HOLleu_28460
ortholog_154 Parliv_PL00784 gene-HOLleu_17431
ortholog_155 Parliv_PL01064 gene-HOLleu_28593
ortholog_156 Parliv_PL01867 gene-HOLleu_28872
ortholog_157 Parliv_PL00215 gene-HOLleu_28483
ortholog_158 Parliv_PL00550 gene-HOLleu_29518
ortholog_159 Parliv_PL00933 gene-HOLleu_29321
ortholog_160 Parliv_PL01753 gene-HOLleu_20624
ortholog_161 Parliv_PL01397 gene-HOLleu_29367
ortholog_162 Parliv_PL01237 gene-HOLleu_29368
ortholog_163 Parliv_PL01085 gene-HOLleu_28614
ortholog_164 Parliv_PL01883 gene-HOLleu_28615
ortholog_165 Parliv_PL01122 gene-HOLleu_08006
ortholog_166 Parliv_PL01543 gene-HOLleu_28618
ortholog_167 Parliv_PL00606 gene-HOLleu_28623
ortholog_168 Parliv_PL01429 gene-HOLleu_33999
ortholog_169 Parliv_PL01186 gene-HOLleu_29543
ortholog_170 Parliv_PL00300 gene-HOLleu_29542
ortholog_171 Parliv_PL00373 gene-HOLleu_28131
ortholog_172 Parliv_PL00888 gene-HOLleu_28675
ortholog_173 Parliv_PL00390 gene-HOLleu_29505
ortholog_174 Parliv_PL01770 gene-HOLleu_28819
ortholog_175 Parliv_PL00857 gene-HOLleu_28689
ortholog_176 Parliv_PL00751 gene-HOLleu_37699
ortholog_177 Parliv_PL01623 gene-HOLleu_29585
ortholog_178 Parliv_PL01157 gene-HOLleu_28631
ortholog_179 Parliv_PL01477 gene-HOLleu_28632
ortholog_180 Parliv_PL01774 gene-HOLleu_28184
ortholog_181 Parliv_PL00760 gene-HOLleu_29362
ortholog_182 Parliv_PL01173 gene-HOLleu_29365
ortholog_183 Parliv_PL00555 gene-HOLleu_28892
ortholog_184 Parliv_PL01765 gene-HOLleu_29226
ortholog_185 Parliv_PL01004 gene-HOLleu_28109
ortholog_186 Parliv_PL00803 gene-HOLleu_28112
ortholog_187 Parliv_PL00811 gene-HOLleu_28360
ortholog_188 Parliv_PL00247 gene-HOLleu_28362
ortholog_189 Parliv_PL00692 gene-HOLleu_28391
ortholog_190 Parliv_PL00599 gene-HOLleu_29031
ortholog_191 Parliv_PL01276 gene-HOLleu_28704
ortholog_192 Parliv_PL01267 gene-HOLleu_28770
ortholog_193 Parliv_PL01319 gene-HOLleu_28771
ortholog_194 Parliv_PL01479 gene-HOLleu_17060
ortholog_195 Parliv_PL00208 gene-HOLleu_37781
ortholog_196 Parliv_PL00377 gene-HOLleu_26946
ortholog_197 Parliv_PL00732 gene-HOLleu_28431
ortholog_198 Parliv_PL01557 gene-HOLleu_28448
ortholog_199 Parliv_PL00664 gene-HOLleu_28449
ortholog_200 Parliv_PL00819 gene-HOLleu_03580
ortholog_201 Parliv_PL00475 gene-HOLleu_29195
ortholog_202 Parliv_PL00476 gene-HOLleu_29140
ortholog_203 Parliv_PL01242 gene-HOLleu_29137
ortholog_204 Parliv_PL00169 gene-HOLleu_29136
ortholog_205 Parliv_PL01301 gene-HOLleu_36890
ortholog_206 Parliv_PL01283 gene-HOLleu_29135
ortholog_207 Parliv_PL01671 gene-HOLleu_28452
ortholog_208 Parliv_PL01779 gene-HOLleu_06000
ortholog_209 Parliv_PL00834 gene-HOLleu_28399
ortholog_210 Parliv_PL01548 gene-HOLleu_28397
ortholog_211 Parliv_PL00525 gene-HOLleu_29211
ortholog_212 Parliv_PL01650 gene-HOLleu_28916
ortholog_213 Parliv_PL01045 gene-HOLleu_09649
ortholog_214 Parliv_PL01511 gene-HOLleu_14269
ortholog_215 Parliv_PL01747 gene-HOLleu_29237
ortholog_216 Parliv_PL01431 gene-HOLleu_29236
ortholog_217 Parliv_PL00884 gene-HOLleu_29516
ortholog_218 Parliv_PL01256 gene-HOLleu_28929
ortholog_219 Parliv_PL01426 gene-HOLleu_44758
ortholog_220 Parliv_PL01019 gene-HOLleu_29247
ortholog_221 Parliv_PL00738 gene-HOLleu_28723
ortholog_222 Parliv_PL01493 gene-HOLleu_32428
ortholog_223 Parliv_PL00226 gene-HOLleu_28611
ortholog_224 Parliv_PL01094 gene-HOLleu_28665
ortholog_225 Parliv_PL01209 gene-HOLleu_28127
ortholog_226 Parliv_PL01357 gene-HOLleu_28128
ortholog_227 Parliv_PL01504 gene-HOLleu_28423
ortholog_228 Parliv_PL01014 gene-HOLleu_28421
ortholog_229 Parliv_PL00702 gene-HOLleu_28417
ortholog_230 Parliv_PL00330 gene-HOLleu_00006
ortholog_231 Parliv_PL00894 gene-HOLleu_29035
ortholog_232 Parliv_PL01277 gene-HOLleu_28957
ortholog_233 Parliv_PL01225 gene-HOLleu_29662
ortholog_234 Parliv_PL01171 gene-HOLleu_29661
ortholog_235 Parliv_PL01457 gene-HOLleu_29660
ortholog_236 Parliv_PL01246 gene-HOLleu_28132
ortholog_237 Parliv_PL00729 gene-HOLleu_28322
ortholog_238 Parliv_PL01545 gene-HOLleu_29034
ortholog_239 Parliv_PL00849 gene-HOLleu_28834
ortholog_240 Parliv_PL01631 gene-HOLleu_25782
ortholog_241 Parliv_PL01009 gene-HOLleu_13927
ortholog_242 Parliv_PL00902 gene-HOLleu_29570
ortholog_243 Parliv_PL00281 gene-HOLleu_29392
ortholog_244 Parliv_PL00255 gene-HOLleu_29030
ortholog_245 Parliv_PL01556 gene-HOLleu_29562
ortholog_246 Parliv_PL01512 gene-HOLleu_08704
ortholog_247 Parliv_PL00709 gene-HOLleu_29619
ortholog_248 Parliv_PL00356 gene-HOLleu_28214
ortholog_249 Parliv_PL01177 gene-HOLleu_28396
ortholog_250 Parliv_PL01006 gene-HOLleu_28395
ortholog_251 Parliv_PL00211 gene-HOLleu_29144
ortholog_252 Parliv_PL00266 gene-HOLleu_28140
ortholog_253 Parliv_PL01141 gene-HOLleu_29085
ortholog_254 Parliv_PL01127 gene-HOLleu_28999
ortholog_255 Parliv_PL01098 gene-HOLleu_29351
ortholog_256 Parliv_PL01872 gene-HOLleu_28190
ortholog_257 Parliv_PL00360 gene-HOLleu_29130
ortholog_258 Parliv_PL00493 gene-HOLleu_28308
ortholog_259 Parliv_PL01760 gene-HOLleu_29553
ortholog_260 Parliv_PL01756 gene-HOLleu_28453
ortholog_261 Parliv_PL01191 gene-HOLleu_28887
ortholog_262 Parliv_PL01663 gene-HOLleu_28840
ortholog_263 Parliv_PL01015 gene-HOLleu_28558
ortholog_264 Parliv_PL01875 gene-HOLleu_28761
ortholog_265 Parliv_PL00392 gene-HOLleu_28838
ortholog_266 Parliv_PL01688 gene-HOLleu_28755
ortholog_267 Parliv_PL01800 gene-HOLleu_28122
ortholog_268 Parliv_PL01834 gene-HOLleu_28913
ortholog_269 Parliv_PL01442 gene-HOLleu_29119
ortholog_270 Parliv_PL00452 gene-HOLleu_28285
ortholog_271 Parliv_PL00309 gene-HOLleu_28799
ortholog_272 Parliv_PL00285 gene-HOLleu_28187
ortholog_273 Parliv_PL00193 gene-HOLleu_28185
ortholog_274 Parliv_PL01325 gene-HOLleu_28156
ortholog_275 Parliv_PL01713 gene-HOLleu_28157
ortholog_276 Parliv_PL00934 gene-HOLleu_28281
ortholog_277 Parliv_PL01873 gene-HOLleu_28919
ortholog_278 Parliv_PL01661 gene-HOLleu_28584
ortholog_279 Parliv_PL00293 gene-HOLleu_20214
ortholog_280 Parliv_PL00177 gene-HOLleu_28926
ortholog_281 Parliv_PL01259 gene-HOLleu_35251
ortholog_282 Parliv_PL01264 gene-HOLleu_28536
ortholog_283 Parliv_PL01272 gene-HOLleu_28538
ortholog_284 Parliv_PL00173 gene-HOLleu_29603
ortholog_285 Parliv_PL00917 gene-HOLleu_29605
ortholog_286 Parliv_PL00376 gene-HOLleu_29443
ortholog_287 Parliv_PL00312 gene-HOLleu_28516
ortholog_288 Parliv_PL00201 gene-HOLleu_29121
ortholog_289 Parliv_PL01370 gene-HOLleu_28490
ortholog_290 Parliv_PL01475 gene-HOLleu_28416
ortholog_291 Parliv_PL00652 gene-HOLleu_29081
ortholog_292 Parliv_PL00581 gene-HOLleu_28313
ortholog_293 Parliv_PL01622 gene-HOLleu_29617
ortholog_294 Parliv_PL00796 gene-HOLleu_29084
ortholog_295 Parliv_PL01805 gene-HOLleu_28487
ortholog_296 Parliv_PL01400 gene-HOLleu_29022
ortholog_297 Parliv_PL00904 gene-HOLleu_29021
ortholog_298 Parliv_PL01406 gene-HOLleu_28705
ortholog_299 Parliv_PL01610 gene-HOLleu_28706
ortholog_300 Parliv_PL00333 gene-HOLleu_28424
ortholog_301 Parliv_PL00837 gene-HOLleu_28754
ortholog_302 Parliv_PL01097 gene-HOLleu_29606
ortholog_303 Parliv_PL00591 gene-HOLleu_28216
ortholog_304 Parliv_PL01887 gene-HOLleu_28217
ortholog_305 Parliv_PL01082 gene-HOLleu_28218
ortholog_306 Parliv_PL00541 gene-HOLleu_29508
ortholog_307 Parliv_PL01551 gene-HOLleu_28851
ortholog_308 Parliv_PL01136 gene-HOLleu_28480
ortholog_309 Parliv_PL01167 gene-HOLleu_28173
ortholog_310 Parliv_PL00440 gene-HOLleu_28170
ortholog_311 Parliv_PL00726 gene-HOLleu_28401
ortholog_312 Parliv_PL00277 gene-HOLleu_28400
ortholog_313 Parliv_PL00361 gene-HOLleu_40154
ortholog_314 Parliv_PL01178 gene-HOLleu_29414
ortholog_315 Parliv_PL01895 gene-HOLleu_29413
ortholog_316 Parliv_PL00445 gene-HOLleu_29416
ortholog_317 Parliv_PL00118 gene-HOLleu_28432
ortholog_318 Parliv_PL00304 gene-HOLleu_28960
ortholog_319 Parliv_PL01345 gene-HOLleu_28260
ortholog_320 Parliv_PL00833 gene-HOLleu_28561
ortholog_321 Parliv_PL00958 gene-HOLleu_29223
ortholog_322 Parliv_PL01369 gene-HOLleu_13477
ortholog_323 Parliv_PL00472 gene-HOLleu_28787
ortholog_324 Parliv_PL01585 gene-HOLleu_28445
ortholog_325 Parliv_PL00165 gene-HOLleu_28470
ortholog_326 Parliv_PL01833 gene-HOLleu_29249
ortholog_327 Parliv_PL01215 gene-HOLleu_29318
ortholog_328 Parliv_PL00455 gene-HOLleu_29317
ortholog_329 Parliv_PL01496 gene-HOLleu_21911
ortholog_330 Parliv_PL00653 gene-HOLleu_29235
ortholog_331 Parliv_PL01269 gene-HOLleu_29437
ortholog_332 Parliv_PL01424 gene-HOLleu_29501
ortholog_333 Parliv_PL00840 gene-HOLleu_28563
ortholog_334 Parliv_PL00620 gene-HOLleu_28889
ortholog_335 Parliv_PL01613 gene-HOLleu_28907
ortholog_336 Parliv_PL01227 gene-HOLleu_28998
ortholog_337 Parliv_PL00453 gene-HOLleu_28997
ortholog_338 Parliv_PL00988 gene-HOLleu_29005
ortholog_339 Parliv_PL00880 gene-HOLleu_29006
ortholog_340 Parliv_PL00477 gene-HOLleu_28822
ortholog_341 Parliv_PL01751 gene-HOLleu_28895
ortholog_342 Parliv_PL00940 gene-HOLleu_13412
ortholog_343 Parliv_PL01376 gene-HOLleu_28739
ortholog_344 Parliv_PL00827 gene-HOLleu_28933
ortholog_345 Parliv_PL01413 gene-HOLleu_28638
ortholog_346 Parliv_PL00460 gene-HOLleu_28640
ortholog_347 Parliv_PL00615 gene-HOLleu_28544
ortholog_348 Parliv_PL00618 gene-HOLleu_09133
ortholog_349 Parliv_PL00406 gene-HOLleu_28119
ortholog_350 Parliv_PL00494 gene-HOLleu_28479
ortholog_351 Parliv_PL01024 gene-HOLleu_40628
ortholog_352 Parliv_PL00775 gene-HOLleu_26500
ortholog_353 Parliv_PL00963 gene-HOLleu_28115
ortholog_354 Parliv_PL00663 gene-HOLleu_29018
ortholog_355 Parliv_PL00338 gene-HOLleu_20539
ortholog_356 Parliv_PL00905 gene-HOLleu_15959
ortholog_357 Parliv_PL00261 gene-HOLleu_28846
ortholog_358 Parliv_PL01607 gene-HOLleu_28331
ortholog_359 Parliv_PL01386 gene-HOLleu_28265
ortholog_360 Parliv_PL01025 gene-HOLleu_39988
ortholog_361 Parliv_PL00810 gene-HOLleu_29141
ortholog_362 Parliv_PL01166 gene-HOLleu_26763
ortholog_363 Parliv_PL01074 gene-HOLleu_28641
ortholog_364 Parliv_PL01570 gene-HOLleu_28497
ortholog_365 Parliv_PL01700 gene-HOLleu_28708
ortholog_366 Parliv_PL00332 gene-HOLleu_28968
ortholog_367 Parliv_PL00538 gene-HOLleu_28967
ortholog_368 Parliv_PL01304 gene-HOLleu_28710
ortholog_369 Parliv_PL01433 gene-HOLleu_29297
ortholog_370 Parliv_PL00424 gene-HOLleu_28195
ortholog_371 Parliv_PL00499 gene-HOLleu_29495
ortholog_372 Parliv_PL00684 gene-HOLleu_29491
ortholog_373 Parliv_PL01717 gene-HOLleu_29490
ortholog_374 Parliv_PL00879 gene-HOLleu_28151
ortholog_375 Parliv_PL01162 gene-HOLleu_29354
ortholog_376 Parliv_PL00349 gene-HOLleu_29028
ortholog_377 Parliv_PL00821 gene-HOLleu_28867
ortholog_378 Parliv_PL01580 gene-HOLleu_28271
ortholog_379 Parliv_PL00681 gene-HOLleu_28539
ortholog_380 Parliv_PL00367 gene-HOLleu_29064
ortholog_381 Parliv_PL00614 gene-HOLleu_28601
ortholog_382 Parliv_PL01055 gene-HOLleu_28598
ortholog_383 Parliv_PL01538 gene-HOLleu_28875
ortholog_384 Parliv_PL00711 gene-HOLleu_28874
ortholog_385 Parliv_PL00630 gene-HOLleu_28873
ortholog_386 Parliv_PL01729 gene-HOLleu_28673
ortholog_387 Parliv_PL01627 gene-HOLleu_28672
ortholog_388 Parliv_PL00718 gene-HOLleu_28671
ortholog_389 Parliv_PL00294 gene-HOLleu_28565
ortholog_390 Parliv_PL00543 gene-HOLleu_28394
ortholog_391 Parliv_PL00764 gene-HOLleu_28668
ortholog_392 Parliv_PL01309 gene-HOLleu_28219
ortholog_393 Parliv_PL01725 gene-HOLleu_28237
ortholog_394 Parliv_PL00139 gene-HOLleu_28942
ortholog_395 Parliv_PL01346 gene-HOLleu_28251
ortholog_396 Parliv_PL01092 gene-HOLleu_29152
ortholog_397 Parliv_PL00931 gene-HOLleu_29188
ortholog_398 Parliv_PL00224 gene-HOLleu_29153
ortholog_399 Parliv_PL01347 gene-HOLleu_28613
ortholog_400 Parliv_PL00808 gene-HOLleu_29622
ortholog_401 Parliv_PL00688 gene-HOLleu_28215
ortholog_402 Parliv_PL01377 gene-HOLleu_29099
ortholog_403 Parliv_PL00513 gene-HOLleu_01519
ortholog_404 Parliv_PL01578 gene-HOLleu_28801
ortholog_405 Parliv_PL01817 gene-HOLleu_28542
ortholog_406 Parliv_PL01440 gene-HOLleu_29568
ortholog_407 Parliv_PL01103 gene-HOLleu_28325
ortholog_408 Parliv_PL01771 gene-HOLleu_28845
ortholog_409 Parliv_PL00598 gene-HOLleu_28869
ortholog_410 Parliv_PL00334 gene-HOLleu_29615
ortholog_411 Parliv_PL00348 gene-HOLleu_29023
ortholog_412 Parliv_PL00748 gene-HOLleu_29384
ortholog_413 Parliv_PL00828 gene-HOLleu_28719
ortholog_414 Parliv_PL01640 gene-HOLleu_29002
ortholog_415 Parliv_PL00694 gene-HOLleu_29003
ortholog_416 Parliv_PL00869 gene-HOLleu_29916
ortholog_417 Parliv_PL01126 gene-HOLleu_28284
ortholog_418 Parliv_PL00806 gene-HOLleu_28583
ortholog_419 Parliv_PL00792 gene-HOLleu_28883
ortholog_420 Parliv_PL00552 gene-HOLleu_29470
ortholog_421 Parliv_PL00371 gene-HOLleu_29221
ortholog_422 Parliv_PL01446 gene-HOLleu_29512
ortholog_423 Parliv_PL01415 gene-HOLleu_29108
ortholog_424 Parliv_PL01633 gene-HOLleu_29320
ortholog_425 Parliv_PL00159 gene-HOLleu_29319
ortholog_426 Parliv_PL00297 gene-HOLleu_28730
ortholog_427 Parliv_PL01033 gene-HOLleu_29067
ortholog_428 Parliv_PL00327 gene-HOLleu_28901
ortholog_429 Parliv_PL01836 gene-HOLleu_29300
ortholog_430 Parliv_PL00587 gene-HOLleu_29301
ortholog_431 Parliv_PL00465 gene-HOLleu_29349
ortholog_432 Parliv_PL01648 gene-HOLleu_28241
ortholog_433 Parliv_PL00344 gene-HOLleu_28517
ortholog_434 Parliv_PL00412 gene-HOLleu_28121
ortholog_435 Parliv_PL00989 gene-HOLleu_29361
ortholog_436 Parliv_PL00163 gene-HOLleu_29583
ortholog_437 Parliv_PL01448 gene-HOLleu_29602
ortholog_438 Parliv_PL01226 gene-HOLleu_29406
ortholog_439 Parliv_PL00160 gene-HOLleu_29404
ortholog_440 Parliv_PL01693 gene-HOLleu_29402
ortholog_441 Parliv_PL01609 gene-HOLleu_21504
ortholog_442 Parliv_PL01847 gene-HOLleu_28649
ortholog_443 Parliv_PL01744 gene-HOLleu_28088
ortholog_444 Parliv_PL01739 gene-HOLleu_28094
ortholog_445 Parliv_PL00820 gene-HOLleu_29239
ortholog_446 Parliv_PL01516 gene-HOLleu_35231
ortholog_447 Parliv_PL00287 gene-HOLleu_28450
ortholog_448 Parliv_PL01351 gene-HOLleu_13544
ortholog_449 Parliv_PL00232 gene-HOLleu_28836
ortholog_450 Parliv_PL01495 gene-HOLleu_28835
ortholog_451 Parliv_PL00890 gene-HOLleu_40151
ortholog_452 Parliv_PL01007 gene-HOLleu_26992
ortholog_453 Parliv_PL00352 gene-HOLleu_29282
ortholog_454 Parliv_PL01530 gene-HOLleu_28224
ortholog_455 Parliv_PL01773 gene-HOLleu_28226
ortholog_456 Parliv_PL00781 gene-HOLleu_28663
ortholog_457 Parliv_PL00140 gene-HOLleu_28871
ortholog_458 Parliv_PL01120 gene-HOLleu_28478
ortholog_459 Parliv_PL01061 gene-HOLleu_28991
ortholog_460 Parliv_PL01378 gene-HOLleu_29220
ortholog_461 Parliv_PL00156 gene-HOLleu_28571
ortholog_462 Parliv_PL00749 gene-HOLleu_28242
ortholog_463 Parliv_PL00611 gene-HOLleu_28700
ortholog_464 Parliv_PL00189 gene-HOLleu_28970
ortholog_465 Parliv_PL01571 gene-HOLleu_28236
ortholog_466 Parliv_PL01135 gene-HOLleu_29620
ortholog_467 Parliv_PL01029 gene-HOLleu_29182
ortholog_468 Parliv_PL01086 gene-HOLleu_35742
ortholog_469 Parliv_PL01732 gene-HOLleu_29070
ortholog_470 Parliv_PL01611 gene-HOLleu_29222
ortholog_471 Parliv_PL00661 gene-HOLleu_28530
ortholog_472 Parliv_PL01553 gene-HOLleu_28527
ortholog_473 Parliv_PL01494 gene-HOLleu_28524
ortholog_474 Parliv_PL01820 gene-HOLleu_28852
ortholog_475 Parliv_PL00689 gene-HOLleu_28900
ortholog_476 Parliv_PL01158 gene-HOLleu_29681
ortholog_477 Parliv_PL00503 gene-HOLleu_29381
ortholog_478 Parliv_PL01814 gene-HOLleu_28520
ortholog_479 Parliv_PL00721 gene-HOLleu_28154
ortholog_480 Parliv_PL00823 gene-HOLleu_28266
ortholog_481 Parliv_PL01649 gene-HOLleu_29540
